,UKF243,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.001663074862806781,,,,,,,-0.03302634594591713,0.01752909691497266,
BMP1,0.011051820204256798,0.022353825638623294,0.0014909588296136013,-0.0483524204877224,0.009612611128920673,0.024871657028361825,-0.005411181275317753,-0.019685004894050232,0.02674811306306015,0.06383817438133188,-0.010740873344782038,0.007228727180558144,-0.01797622597828259,0.0236378383911087
NDP,0.060174262691818775,0.026292872952076836,0.026420177851081666,-0.0033777833444978604,0.036914411640467104,0.033223452025803235,-0.003736296954008649,0.03554085336960562,0.06278058521358386,-0.003068524856962846,0.010413774022942659,-0.005916437649057531,0.09880449671074955,0.05368171761381761
TNFSF18,0.0384106706367462,0.026323112402244143,,-0.012399101751949507,0.031208128545366434,0.005406802404212288,,,0.0126437099034503,,,0.027111700480923345,0.0005649982279905937,-0.03568580055509573
RTN4,0.04749580922448929,-0.006225942891728219,0.001879676245140384,0.0006236534435018111,-0.033442986864739385,0.020643976743464326,-0.09988511704200642,0.0691858219970611,0.030083043005685574,-0.03751076666581797,-0.01664627643045902,-0.07663128450531367,-0.057713675838667884,-0.003352298494648589
HEBP1,-0.08911148779999473,0.013888402696517393,-0.012934566422334983,-0.08768113208168249,-0.0010478997233529966,0.030242525347788027,0.05181480610546343,0.015199649928188839,0.03860560630223255,-0.005423307913948134,-0.0028278498337576765,-0.0328934479228914,0.09475086361719778,0.05792762399458415
WNT7B,0.1460562212127151,-0.03288835611660676,-0.029643017517365897,0.05643296273507066,-0.059920542550686136,-0.015786467042765723,-0.05101676767622271,,,0.05234058230462567,0.12496612223948879,0.006990338057106735,-0.025374396136115553,-0.01727807340389149
PTMA,0.025008425996862472,0.015256445174545184,0.002830405930574712,0.006581353924349755,-0.02168082543514794,-0.04705527376961932,0.07494893375499131,-0.04138932171383486,-0.05584594897332566,-0.12995127414417532,-0.03425129858310738,-0.04670152863493168,-0.13809742516641407,-0.048667597061852114
FASLG,,,,,,,,,,,,,-0.018478381985361562,
CEACAM1,,0.07183096342381633,0.08136968400322243,,-0.02177389295229678,0.04843848690953806,,,-0.05033079720827456,-0.030154038100917133,0.06406992325047284,-0.04893992785817917,0.10591263532939983,
PDAP1,-0.007784073594749274,0.01298685290451449,-0.05470031141248025,-0.036539955660788166,0.029941803040049456,0.05685140357062241,-0.012999872168177436,-0.01837136297033294,-0.04037303569417326,-0.0348994562391687,-0.020226913487331785,0.00403185555621759,-0.008926337144326571,-0.057455245455154055
QDPR,0.07747671875810418,0.06081706747268771,-0.0040840889023942605,-0.03354772127495885,-0.0018177678913495355,0.0838391844969235,-0.02722480627917008,0.05672842773826092,0.06746587709923256,-0.01933919459077998,0.048138060499720185,-0.017090762282530314,0.06058172206010374,-0.004490508856043137
POMC,0.10700544047208542,-0.0058798492477741505,-0.03187560746304178,0.043967866235637316,0.04007778891967672,0.0326569880070289,0.028036180998462664,0.019267237718749625,-0.0395413800440592,0.00277319776109864,0.037009404454865155,-0.06935301230851419,-0.05166990009150271,-0.020358717809647726
CCL18,-0.026259927730457357,,,,,,,-0.0028302302155453238,,-0.0213797087934949,-0.03856785638182068,,,
CCL17,,,0.14300572021927882,,,0.011505056817899892,-0.0290941272151193,,,,0.04428562680170615,-0.01856096418143317,-0.016748577784907365,
VEGFD,0.11318313769272967,0.02894332185163735,-0.00875530032254421,,-0.034870598202405234,-0.02803173721888465,-0.006755723658335628,0.0803219379222322,0.08023936472136667,,-0.01956087866646515,0.05363086525033024,,
TNFSF13,,,-0.013684953428197156,0.08025444107097277,,,,,,,0.035419359987757554,-0.046694589582157754,0.03338562737112487,-0.03882106079255142
WNT5A,0.11062614439121744,0.0454442193999978,0.01883511531070133,-0.05069264004747122,0.03219370878285843,0.06440029482034672,-0.018797719164235,-0.034666949056315566,-0.014497174548504568,0.04976959205511436,0.03839408443740723,-0.04209609530731594,-0.05804329894492391,-0.0424124610886287
CXCL8,-0.06846827851091464,-0.013054803645598525,0.01889061780591454,-0.017104131236819906,-0.05312093636510373,-0.022118852658619174,-0.03653190156327823,0.00022860491312173673,-0.0070375461116120005,-0.03764234342142561,-0.11966820389929156,0.07135030409455925,-0.03622676093616416,-0.12379135239343039
