,MGH258,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,0.015414465035755427,,,,,,,,,,,0.00867289381510673
BMP1,-0.022999482074891227,0.048471239165176074,-0.03440511239822312,0.06837590700593874,0.11590085912906953,-0.023902221096829247,-0.016040630316885907,0.0777549654626448,0.01765722449645342,0.0549872537744513,0.00036995619736449953,-0.016687855869283893,0.013969798134613477,0.027255317870033414,0.01564691252840708,0.06963976348541344
NDP,0.05794033280709936,0.022028246517628268,-0.034356296784079136,0.0037691723461289782,-0.025659151679282288,-0.00872525752278148,-0.04041119218950146,0.012855023459478823,-0.027957001538222646,0.07465661641321207,-0.03706119511902481,-0.02834002330464887,0.009434020668944726,0.016614881069131084,0.0410009411471998,0.07499772373367382
TNFSF18,0.02600931496908716,0.030467777618181,,-0.012763182642151486,0.05949945349227639,-0.010492886331704632,,,,0.08200845462674619,,-0.04341439607012337,,,,-0.005270127104287054
IL36G,,,,,,,,,-0.017614511368409427,,,,,,,
RTN4,-0.07184648893145151,-0.04282145087871739,-0.026611495338178442,-0.09073437337909614,-0.08350262021491786,0.04883771111665744,0.01030177795316649,-0.00604783209866287,-0.02476729266634393,-0.062415262779693635,-0.03194565335028618,-0.08530572019169673,-0.07026710656925193,-0.029340479886887795,0.007576567927099255,0.016770869411912564
HEBP1,-0.022984674340833254,0.029952685125345636,-0.0004195505863085412,0.03262335510529517,0.041452760172936066,-0.0023315876075712403,0.01507009404557897,-0.0035074869743529926,0.021371911291932714,0.036533170825527046,-0.004169060013002886,0.003967341822199149,0.010947704594544094,0.010756621187710782,0.0024039454191627377,0.09017744503345167
WNT7B,-0.017710093291403117,-0.03674642317934705,-0.034620463844267466,0.011135786519702321,-0.010998053070807114,-0.011993287756343762,-0.014396738979129764,0.03343616274808361,-0.019360377914823302,0.022971511770635045,-0.04065656831336199,,0.07937052200217455,-0.0001705704893316958,-0.003655516424074818,0.029023080809084677
PTMA,0.01133966867273503,0.047434045285931634,-0.03855736772189178,0.10202029533759752,-0.07639950384030385,0.03575468929578737,0.03943668331187893,0.055969036214798006,0.030310626686097752,0.010082905986981427,-0.10333273261266036,-0.04064842013339201,-0.0395446327260879,-0.000836242396088567,0.051102525970059993,-0.07751855340438164
FASLG,0.09096057200162969,,,,,,,,,,,,,,,0.0007308293846632362
CEACAM1,0.052358675781073095,-0.01580393568753256,0.018217228496743055,,-0.009920397587978497,-0.0165028104370964,,,,,0.07909544808791331,0.030178873446586273,0.048590618911516704,0.05217345837869221,0.01949829203691431,0.01664661789145371
PDAP1,-0.003367760021508023,-0.01458902687289408,-0.01940332446595778,0.050606036879363,0.019693193859831294,-0.025975552899354163,-0.04221850404045167,0.025394845340403684,-0.050390725367851184,0.016898011330179413,-0.0585730507422759,0.03429001360864389,0.07669987290984423,-0.022199479842790207,0.052304814846843684,-0.017414824522481456
