,MGH258,UKF243,UKF248,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.04041642811892881,-0.04872237927151745,-0.056365162642281585,0.08634585816684733,-0.034312717698552465,-0.038197238996392324,-0.017501184522547526,-0.0007437702278141494,0.050179336496279606,-0.0017558577113622185,-0.09016598199243672,-0.06218891370071578,0.025538048105440223,0.0663710087273614,0.1002671984433367,-0.09373315167929319,0.07029538531574486,0.06517215469772766
RARRES2,-0.14045751043904808,-0.02144329535299129,0.02185649179172088,0.09991198127324531,0.005693345925100289,0.0777628588308771,0.045877458288085086,0.061368599942081985,-0.03614604623601676,-0.1475816883630342,0.0517435982727713,0.08708122190857032,-0.012136959141620001,0.04803329738024324,0.016220070253003854,0.08807264087607018,-0.0043047335603386356,-0.007035109726511521
SEMA4A,-0.0390518226887522,0.008786501503346875,-0.022943775812112627,-0.011329748595801064,-0.044426654358464296,-0.03801745727752097,-0.0063981491627180045,0.01698827063993127,-0.046818813627974784,0.011655054791960896,0.007104959152322864,0.02347531211427717,0.04357335480683203,-0.03345152874034002,0.0634462918711779,0.010323155620217385,0.0006584258353154763,-0.07410371790774559
GDF11,-0.03934348218923847,0.028295916930415034,-0.02846117219654684,0.05773964378159466,0.003120751075493637,0.017598696327315217,0.030793235774462486,-0.05523924558557881,-0.13594059272071052,0.046831639617314756,0.06047925455674794,-0.03926296880295975,0.0235203484458283,0.007157841199394123,0.029536205081222604,0.025828341386081383,0.05731149654859307,-0.01827248327505597
GPC3,0.011930393985771334,-0.004306620585564148,-0.0013334377066518972,0.01472295294002468,0.026126675702229797,-0.020501261259343324,-0.05804921708846148,,-0.030149669572255254,-0.03180778521901878,-0.004901840903849595,-0.11438067286228662,-0.042373947714151323,0.05254181677457994,,-0.04914503392004759,0.01883824457307478,
OSTN,,,,-0.016300600668370403,0.05937812282955119,0.01676744816205469,,,,,,,-0.03448478077624329,,,,0.04661213155927648,
GRN,0.11097571890261798,-0.061067762283897105,-0.04847365329875106,0.08191671685596738,0.022804245019854924,-0.020344900557419374,-0.12046600573750335,0.0351410519165149,-0.09163356991790629,0.08332114639784949,0.05963338177648821,0.01304122350284215,0.06625595086791879,0.0986537185017733,-0.022329230707387005,-0.04200012168273384,0.013182954590316128,0.05935189889222934
CALM1,-0.028009943210381357,-0.0506760948990651,0.010089654827041944,-0.1270441895111406,-0.018095401750293377,0.011507339800951932,0.007652650067267372,-0.030499538224810822,-0.10910576576593736,0.04210698733918112,0.02812967768487954,-0.05833718766543352,-0.020064467115074997,-0.013763009269189651,0.03814067050237733,0.05131174770532131,-0.0171761665692052,-0.10280111099107492
ANGPTL4,0.012514092706001421,0.027622449841866282,-0.00536357945478755,-0.03622088897262008,0.05195489723549041,0.04396011807989824,-0.020812503818157937,0.02271934961522029,0.02912367029874533,0.02803425552468433,0.041738021079150145,0.20363051205533,0.08561262008871155,0.06177837716805568,0.0510870149041079,0.09860599373517377,0.013036195635992719,-0.01898101933580607
BMP8B,0.025228332885618616,-0.022429986823223513,-0.028528281134797717,0.02789738631114414,0.0033807400069055886,-0.009088321893042832,0.04532801113107586,-0.0072415335984674705,0.039604848866267924,-0.01784951229793184,0.05216152818903291,0.033343451030299655,-0.03563237460864052,0.014212524376336098,0.05751783840003335,0.019428582469870073,0.09009166037669304,0.1107287549827268
TNFSF4,-0.04123606296910153,-0.0021830137011487304,-0.028408699115149132,0.005187612843670831,-0.03389278637828406,0.010658270592263524,-0.011081867913431248,0.07768064023185989,0.06035706727705337,-0.03377892345399643,-0.03349125836444984,-0.011790200775587532,-0.03791141703920215,0.012905214262420188,,-0.06094931725403337,-0.00038668872594148287,-0.011825656704004765
RBP4,,-0.05350045546217233,0.018280874842110245,-0.06221337946077954,0.026577741108295947,-0.002943238834963734,0.020364787994539654,0.07283452022040496,,-0.033393250080562396,-0.07027475861159742,-0.13421982933670926,0.03876633012900725,-0.029314146809362653,0.023414423665592737,0.0678685416961013,0.04537932647926789,0.11761155297704713
DKK3,0.030233153176172946,-0.002879910625599293,-0.028583227184999112,-0.0805117366104864,-0.0029967755239153067,-0.0017158485526513826,0.07959908231106598,-0.08221798594840722,-0.02655255041869816,0.01330706252277039,-0.08136890499029967,-0.03152703259000338,0.04860643814578546,-0.0064566487993268865,-0.04253835006483608,-0.15260227527097386,0.014948816205359754,0.0715402633426202
