,MGH258,UKF251,UKF259,UKF266,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,0.011490056029980857,,,,,,,,-0.039150532283482996,,,0.0019751352184109124,
BMP1,0.05108637128115272,0.07504561351433447,0.08391742355898993,-0.040878300073019146,0.17951711503617238,0.0027995859816530196,0.10726916210684202,-0.004606365660690832,0.11925283914859185,-0.020815769992753627,0.11384269097367486,0.08652382708103878,0.002958585097382783,-0.04107475911719142,0.08192844989185669,0.05556917486873374,0.023984139875991215
NDP,-0.03161794275392004,-0.014123133137096823,0.0386017452128777,-0.01424026352021789,0.03625713905452156,-0.07427818413294467,0.021950017736788053,0.11585537531138987,0.1830052012022639,0.003511061568931804,0.024793882391739408,0.009440465212197293,0.01486867215564831,0.042344547921662694,0.06703417397421979,0.06162053120390605,-0.013042592264290179
TNFSF18,0.014585201788741651,0.015151859149547272,,0.00798712364304722,0.1358348023561141,-0.00437372141828648,,0.10005967510523414,,-0.04325882514899612,,,0.013630554963330552,,0.002680981459820246,-0.0071623593137813855,-0.0006097368420756755
RTN4,-0.12161894275656751,0.04096725358521605,-0.013716174634299829,-0.007698865391648291,-0.2133636662460321,-0.10476032147382336,-0.06012260957460555,-0.005666481021793092,0.051293101279032666,-0.02879030779559658,-0.0867441459348622,-0.030833943947173384,-0.041704335362904035,0.032587666590562885,-0.11342835596776853,-0.05883717912591251,0.05264492534005067
HEBP1,-0.031117255614513863,-0.017978529009381992,-0.028190087245962513,-0.00016392686149948132,0.06888330563347089,-0.02193069385622389,0.04588943042284686,0.12620004638213575,0.05683308076539595,0.005997318546486034,0.018401374000914503,0.028659586382000928,0.020362679423635167,0.016486663790955765,-0.07333003423318138,0.0637615561908968,0.008674352175953269
WNT7B,-0.006323618355530173,-0.003260278261207835,0.0038913474341759026,0.00811476750746654,-0.0839608739685489,-0.013289147720170027,0.06584533766527624,-0.001465979122651605,-0.05448915035795233,,-0.032399982113123345,0.06160671722027209,0.022938347210455408,-0.019153670140883906,0.048108777835170716,-0.00026787915147138497,-0.0018365074453511562
PTMA,-0.02684547979288606,0.025685536284166255,0.0710450163460418,0.0282438171376846,-0.11712560676977352,-0.01571416606823007,0.18235859808567473,0.07265703786154962,-0.01768313483434239,0.03131944002338777,-0.06391580493063069,-0.0026608142236127633,-0.041595565795806186,-0.06833439546122039,0.04422954488017452,0.012243608787950788,-0.031555356422806526
FASLG,0.01151068835735922,,,,,,,,,,,,,,,-0.01683430828438918,
CEACAM1,0.098678825496748,0.04949620366487259,-0.026274341079143768,,0.08400204700916826,0.01505821630310148,,,0.03495594550826246,0.013495350288690568,-0.02347441667956586,-0.025323608605626505,0.032050567423851865,-0.012712569437745642,,-0.005363968548354582,
PDAP1,0.04405073196958851,0.015990838517651627,0.03313565447426545,0.006816552239297194,0.16355152625075628,-0.06578419346370475,0.10377942202240627,0.07060931863239842,-0.029317675411308183,0.08183670829478301,0.037860333572010144,0.04997786519375308,0.008653107112905628,0.00449052222747477,-0.0017036586595441207,-0.05129045485598374,-0.04428287365848056
QDPR,-0.10105106564906866,-0.020738607308782832,-0.003366351859383592,0.019435337645148428,-0.15746771936111872,-0.036100777870050706,0.04501712576245482,0.040613337140690736,0.03387282025216848,0.0019746642219565535,-0.1237530844160823,0.02527046077592458,0.006147188678900273,0.039314284603499026,0.05153962177294425,-0.01036553712599121,0.0312643742385432
POMC,-0.02686062546929505,0.07799274091379231,-0.024467732455495543,-0.01995295859473948,0.025255482151994517,0.007654998372943286,-0.04431356274720388,0.13008852581829508,0.03098079638454288,0.07191134452328769,0.0611359437953507,-0.032088985142748334,0.0015099831590802421,-0.020796093605439325,,0.0651000162945345,0.09734281779339936
CCL18,,,,,,,0.1857398549155803,,-0.03151075859687798,,-0.03631655841689042,-0.017903500104570216,,-0.04377885646175005,,,
CCL17,,,-0.015228933061595151,,,0.03683628245258424,,,,,,-0.017965874608582014,0.027181904439328847,,,-0.015258409636707479,
VEGFD,,0.004510597444732435,-0.01696671315743807,,-0.025963967634086163,0.06442030975732073,-0.011913991975496165,,0.008288742732662306,0.00840652362346671,,,-0.012676331584729863,,,,
TNFSF13,,,0.04487521787611517,-0.007923321749202104,,,,,,,,0.17238618157296143,0.06736282769053552,-0.014275363449955076,,0.04227465505454198,-0.03155005042512508
WNT5A,0.002264352665288344,-0.02830671360137344,-0.022009569674950807,-0.033877118532894684,0.1411881266342857,-0.08950077713621514,0.12757109237291514,-0.047890258563658715,0.07079915243537886,0.06672917851769643,0.04928003251708904,-0.015620250784282445,0.035002737669257586,-0.01940158543676647,-0.003529894751093802,-0.03381072920950204,0.004227605462743105
CXCL8,,0.028499870202006186,-0.004028093995092751,-0.033342848518723,0.09419027605311749,0.05037367094552734,0.041240948958620606,,-0.1292557847376214,0.018646820357332238,-0.05183758439687669,-0.03346929239425095,-0.05120353560089403,-0.0030670922010470367,0.001033164787003707,0.005399214588662303,-0.021508796822101713
GRN,-0.1480059144546143,0.08707860458254814,-0.029351196726057932,0.0007109399921634537,0.18138673070320643,0.027873889680976996,0.03209593434387987,0.025129668048455834,0.10526578620601239,0.07698914429168116,0.15511426309981652,0.06556268225796434,0.031743104339634724,-0.037234956332112525,0.15006050712782965,0.008974058764892684,0.09559280535224167
MIA,0.05451139007321435,-0.037686253029921894,-0.0019004466947653794,0.09206887661269267,0.06544723605633535,-0.023397708270100646,-0.04734842047136044,0.03607820408343315,0.07671639151842201,0.032945184867164114,0.06771262076005449,-0.02487407366710905,0.06622193815800997,-0.01495331895869326,,0.018397825371212505,0.016244566157246537
COL4A4,-0.03678116490187036,-0.009438703296450846,-0.0016206836016477756,-0.022302772445440964,0.0453014785580517,-0.034336417500296854,,,,-0.07722728346107022,-0.00047759489405870405,-0.047470922195400916,0.04904751553096435,-0.025620221287731528,,0.01855665004923017,0.08681279911583693
TAC1,0.08348442838265822,0.0020436076710535584,-0.011871517655650022,0.03561860196683521,-0.16869527193102646,-0.07941353837240205,,,,,,,,-0.021932803868577138,-0.05522986556729243,-0.020058731007848305,0.08057994149408156
RARRES2,0.14032356774261548,0.023000459204249948,-0.024550228560309525,-0.0626110875122411,0.1774374838198909,-0.013233563798983857,-0.0681316353977899,0.034987790961276036,-0.01952110517611421,-0.1379921096917219,0.00943236008940776,-0.07356756222347001,-0.07243983617455138,-0.06823000726191294,-0.031007148124484976,0.044571063264684435,-0.025530766264370706
FGF7,0.001583870215392367,0.05142323953098914,-0.00600993669925964,0.038009690701346174,-0.002817077358731703,-0.029747733219240888,0.009201067844618594,0.05304575978726128,0.009311265935111699,-0.001752633094652638,0.127495206695334,0.01746252241341597,-0.04225678641297281,0.051424255277605524,0.032186365582031806,0.04500999712589217,0.06835182881753661
HBEGF,0.01566863115664522,0.003535912987549039,0.06790124236712843,0.05373996175088124,0.07341759035955717,0.07773261060757741,0.1080193042371547,0.12607546772597594,-0.018998232665919323,-0.002056640664968447,0.057386380595969705,0.018137820055316025,-0.05321166950899228,0.019619402104982284,-0.052826259694408774,-0.020160698671761193,0.03184521395962452
CSF3,,,-0.01815156035249213,,0.01708387256323479,,-0.020942692687167412,,,,,-0.03717302162195002,,-0.018225204809033568,0.13021393599625486,-0.016064751459940012,-0.029760368077685416
PI3,,,-0.031324113041794874,,0.009726174053479288,,,,0.0017758649327140204,,,-0.025228956543669082,-0.020737772224332176,-0.028830805164808744,,-0.03490336793198446,-0.041510372834530115
PCSK1N,0.1517067015206778,-0.0255919861083293,-0.012416665825063521,-0.022015567723707812,-0.072680605457541,0.0436711112792307,0.07317983555883537,0.0023556925958709046,0.020637457081389435,0.025585407691184836,0.023527969507715452,-0.03049504042219607,-0.00718412604186288,0.008259200087453065,-0.060460039821818606,0.024698835658225008,0.026834496394360002
NTS,,,,-0.027226617783597116,-0.010152813166303077,-0.010756666695403483,,,,,,-0.030968250460188952,,0.027338404193869327,,-0.02378970630310347,
SFRP1,-0.002534386742983864,0.01779494847529456,-0.013287832749183917,-0.007804623984657552,0.03464275204219756,-0.005241338031059567,0.06691545873310953,-0.009290717340080561,-0.04092172294915446,0.03794229059178954,0.03928619737895519,-0.013640133790742148,0.06549618983234877,-0.011284434490226557,0.09028584780127802,-0.023236893798457555,0.0455011587510172
CXCL13,,-0.03670816035801663,,,,,0.04912721465161198,,,,,0.0337991600191541,,-0.003609670633568769,,,0.007504945109174388
MICA,-0.005026153209589463,0.0048607185539652825,-0.02301604494080451,-0.003784457378884901,0.11217279256249237,0.057627851484884834,0.03306798093965353,-0.027092057982200973,0.03222909917177595,-0.03546377489319444,0.03715321896398254,0.09325992783530138,-0.07222913573255882,0.00878234210605178,-0.0006004447870972321,0.0266090317597419,-0.00023945872081055806
TG,0.06729523203519952,-0.01389042064806035,-0.01433967678409954,-0.031426694220148786,0.06862060715406118,0.047642582636590894,0.040812746602264804,-0.008886852399693525,-0.08523839811692395,0.052192273357384106,-0.05913184783620157,-0.023872155628724342,,-0.014999623616917264,,0.05059465304937812,-0.0003271083292410842
ADA,0.049118828962553325,-0.013593228764282438,-0.011154632455510167,-0.023579548420867315,0.18169675126214777,-0.010562821269309963,0.08438168997870728,0.0005048742954670461,0.1685682544195268,0.007791386822666127,0.0793880914529687,0.07826885284614359,0.07367937950922325,0.043291356611348676,0.11601704125110247,0.031087997813173517,-0.010830025105329355
LAMC3,0.036370698102439016,0.02454879946262288,0.06679443861703374,0.04679328578589975,0.19749764936946562,0.03630311014200042,0.02572269831301121,0.04828344091939344,0.228048435932034,0.07310423148488072,0.14109771971183335,0.017906135852542103,-0.0067236601964039185,0.09476788023048768,-0.022916929883983805,0.0784471789913941,0.07370729984286951
CCL7,,,-0.01036756340398213,,,,,,,,,0.06917292616241354,,,,-0.016834302298310094,-0.02548024221113374
NGF,,,0.06624276887285001,0.009666686057621944,,,0.10196280525179996,,,-0.14093655571268238,-0.05396869865919056,0.024045897630710144,,-0.0055656216841292365,,0.04017727309917641,0.06355404546566479
TNFSF15,,,-0.011544788921364697,0.03833511109597704,,,0.22360703130623594,0.0766805442165084,,-0.05528161515256866,0.09334211488750395,0.03999703968306019,,-0.011317539298249142,,-0.03472889013838044,-0.04723413060564963
