,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.006383373733964055,,,,,,,,,0.007033222066320115,,
BMP1,-0.08118863005531629,0.047134699138703114,-0.07496168169249313,0.029338142509625437,-0.009881626440984274,-0.038940794577004875,-0.09410656250018204,-0.061631293772450704,-0.016734249916738355,-0.13482264560680202,0.09355554129506924,-0.24146728476625817,0.02950345849598154,-0.016967274421691974,-0.03647987831593671,0.2685816957411636,-0.004394895838514868,-0.12970628197798423
NDP,-0.008807282828319064,0.011390535727240319,-0.0026587259871373634,0.007264887862810823,0.18261384611937198,-0.001612297789656931,-0.06149577245629664,0.032881043559163506,0.013230598591488469,-0.11839465061960712,-0.027680048247092838,-0.02524786324388246,0.010026783460886795,0.06862976580685157,0.03718672442172882,-0.0859327712072318,0.08742218853962604,0.04586878496708359
TNFSF18,-0.03101890405059222,-0.007844262945848836,-0.01057501122515205,,,0.04954768002510803,-0.012646576104878567,-0.018978801414436676,,,,,,,,0.08572440961693541,-0.05468009153687716,
IL36G,,,,,,,,,,,,-0.024623708737786385,,,,,,
RTN4,0.046250869337518444,0.036393294737456706,0.034105130659373484,-0.007726300232969329,0.14080165419991506,0.04022237131023378,0.15088403044328585,0.04733870614559668,0.10833166162630095,0.3081708864462039,-0.01974907189885275,0.3313062968951852,-0.05753894330636583,-0.029183174681778366,0.0731430640423773,-0.04340872154926364,-0.006391614765959123,0.041489883861632694
HEBP1,-0.10808560672109793,0.02511195756129216,0.021825388707137988,0.054428867160103436,0.01084605841356747,-0.12387647349613122,-0.027731585663257674,-0.015503848831845296,0.04491882995347653,-0.13268824808591811,0.01669315592417917,-0.08730014588650363,0.001807895847948342,0.030292163620935012,-0.019779300976552568,0.033800893172040096,0.0449122595300656,0.018247285621091902
WNT7B,0.03956174839872953,-0.058322548386095664,-0.02345585365989839,-0.030613331820282925,0.021364970043141782,0.023539983278369918,0.09368479258744818,-0.014314038131478043,0.009601910698634496,,0.005338819045147972,0.1062598090504326,-0.025385226744549735,0.014522866662007188,0.08511236803713117,0.0499038293317663,-0.00676342845975649,0.12459412622400018
PTMA,-0.0024400755035424073,-0.012269919553055314,-0.0780744347028982,-0.007100092463165495,-0.12306951837200905,-0.08373795127936928,-0.018724259466450073,0.062363998530096776,-0.052138388179586506,-0.4290445706384553,0.06827377659103935,-0.34131515340992374,-0.02443741447987716,-0.08885129153492471,-0.12249685879264116,0.21240868341438407,-0.009330710911755183,-0.05662859084795508
FASLG,,,,,,,,,,,,,,,,0.19742736323354904,,
CEACAM1,,-0.004801126596926562,-0.018000956909371313,-0.011759201888193788,0.012790444724049308,,-0.017244502148306213,0.046171261555562566,,,,,-0.034277307212696694,-0.03085547588949499,-0.02020352924859248,0.06990131439867812,,
PDAP1,4.562453006056428e-05,-0.021387014540945812,0.00011796409000099008,0.027119696209912864,-0.06406569033152179,-0.07261271487590372,-0.07418168105034145,0.04588870661076879,-0.020221774020704627,-0.050157291498322334,0.016635167264314004,-0.12143843827234108,-0.0208440744538014,-0.05495227219759552,-0.004139760885057164,-0.004839114103202904,-0.0036463425278760032,-0.04875993723953475
QDPR,0.12241109107373546,0.026400594700382266,0.01843528542064843,0.02185871883603701,0.17303268531472013,0.06846072930442092,0.05241933354943618,0.07667838858586808,0.018998655666732023,-0.33948150760525847,0.0018282355900378123,0.07576071046017388,0.011939718677187417,0.038821117421482504,0.03888810856180749,-0.06067942316323391,0.02073378274256117,-0.08069963038252685
POMC,0.05142396494968389,0.02060865188856673,-0.021902849656233958,-0.026983057254538884,0.11682955874805004,-0.026707135023042627,0.021715182867320285,0.08077364682770792,0.007908235023853974,-0.03776808389101169,0.11187549897559472,0.07943151080852093,0.03942271711482727,0.006321214387794176,-0.033050319801318444,0.07123004643019135,0.06722943937769303,0.01886279923782084
CCL18,-0.04159890083723869,-0.04334123839710858,,,,,,,,-0.16555821161180095,0.006219950631245929,,0.05589366321715286,0.10739367800005208,-0.0019384462170550965,,,
CCL17,,,,0.053265877197333895,,,,0.0234854846416593,0.035643762237576426,,,0.04998009970449214,-0.006118996940567864,-0.006182164195810013,,0.06098489544853958,,
VEGFD,-0.04686980251907504,-0.001987015180486372,-0.0257827592521002,-0.018449080278158725,-0.007957415408567071,,-0.05258085355958463,-0.0037737342706051615,-0.023213876307739714,-0.0348546521610357,0.038328446719606134,-0.03360657254714384,,0.08763741211932193,,,,
TNFSF13,,0.09100469337478115,,0.04752317987549894,,-0.03384792008602728,,,,,,,0.030367610838748213,0.059082853729007935,-0.022687209254418084,0.03607836621769163,0.022811503787593942,
WNT5A,-0.050419042290401665,-0.0006010600078956733,-0.013560676363845349,0.01489552384566218,-0.09348505073787063,-0.009523075964126639,-0.12788054141890756,0.0016782231767772657,0.012116294200698059,0.046243219674590365,0.006927538144894585,-0.07038967491978489,0.01048021693999846,0.0036642311235968697,-0.002033820310667129,0.19839857218344223,0.022874509843139615,-0.04193779040705935
CXCL8,-0.1244266000767305,0.04654624807133629,-0.02414144757078891,0.013205594506452575,-0.06019847259124515,-0.007513278200280619,-0.026973689919683762,0.02648168642218919,0.031673394233786956,-0.14182613637925623,-0.08527845101878492,-0.089995523826614,0.03877345608509873,-0.052198664266359655,-0.030895964911062817,-0.03157642820718739,0.02124497448202134,0.0318867925065062
