,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.024126888687535916,,,,,,,,-0.017325838819859017,,
BMP1,-0.006420296990575493,0.06429475217993305,0.030345151259147857,-0.02932213693607659,-0.029559270472544048,-0.15592042131442307,-0.05941427339200282,-0.037785810781849005,-0.004706189445165743,-0.1436283549981871,-0.06630017747802036,-0.06307320736158153,-0.006472686457978155,0.05082522811852579,-0.06728952068494846,-0.0018576195421766562
NDP,0.002056512795145294,0.08634726045313777,0.035458869625539895,0.12054469238461483,0.04571784849622603,-0.07815362368947681,0.08896333344718098,0.053106149321584126,-0.004621800641398033,-0.0026870300481930945,0.06946067592757393,0.03791372395698301,0.008431005579530897,-0.05619682146863087,0.0597365469623896,-0.1049442463465037
TNFSF18,-0.029141442254167493,,,,-0.025262730327063495,-0.03582770539194417,0.01000570596245247,,,,,,,-0.014002877939545766,0.02066855118747315,
IL36G,,,,,,,,,,-0.01808103735587131,,,,,,
RTN4,-0.03059191081386273,0.0436640589247746,0.09275043178619166,0.17227728094412834,0.13461429971474512,0.1863101511619879,0.06336616941543066,0.010952563591959596,0.14368339813456735,0.1894906898044101,0.07614179432149303,-0.022533862075834424,0.20344160006170148,0.014489165067125196,0.04891635721640884,0.09850242936565282
HEBP1,-0.04016298328891749,0.027262577244064598,-0.07730233386316285,-0.033984041553427546,-0.02614385636313693,-0.07252930181942027,0.020891139045420015,0.06970700458009188,-0.021363103124089927,0.027533509611853725,0.06109039131876528,0.07036000949047613,0.07296656346638397,0.03604183820927068,-0.01030793861672491,-0.02288979654039323
WNT7B,-0.016742668652180315,-0.02625941417290235,-0.03089539040231683,-0.021237798179710513,0.005834976551604035,0.1280569329916884,0.023075615514813127,-0.029972156796496764,,0.11610098533716555,0.036298400746452845,0.049089236670684905,0.02898501881639226,-0.03698054249368324,0.04655792599887614,0.057506311650473034
PTMA,-0.008026889778210755,0.05629851970138326,-0.05636288380158124,-0.14812595997209038,-0.12582732775794128,0.05405336195226131,0.07049347362685833,-0.022380457708186353,-0.18479769387765652,-0.19915815124220293,-0.021753856697435396,0.009435150593307245,0.03003706038897787,0.014459574336856336,0.00680050664559375,-0.13927585148032068
FASLG,,,,,,,,,,,,,,-0.0150266940976684,,
