,ZH8812bulk,ZH916inf
IGFL3,-0.019296714180305454,
BMP1,-0.0600733993235371,0.0584833513550806
NDP,0.003667927743703192,0.061523804793448
TNFSF18,-0.019900360727141575,
RTN4,0.06419901078142524,0.03260424180937447
HEBP1,-0.0420264538846783,0.06860639249360675
WNT7B,-0.028691234709418086,0.13833869505932037
PTMA,0.08269752127251132,0.1093422408078409
CEACAM1,-0.028594740739121965,
PDAP1,-0.001241315861351478,0.02374384803532677
QDPR,0.026942070016702895,0.008083885962837819
POMC,0.04309907112239094,0.06867078155983926
CCL17,-0.025441602971669558,
VEGFD,-0.026833038601684917,
TNFSF13,-0.00826586991375406,
WNT5A,0.04571717495391835,-0.019709189874791325
CXCL8,0.022758352284384116,-0.08956731638430131
GRN,-0.044759555842580276,-0.05131540179955704
MIA,-0.053480389058014464,
COL4A4,-0.025382929776972964,
TAC1,,-0.03825825542193683
RARRES2,0.04875792347095587,-0.010896925498643668
FGF7,0.0605503665487557,0.08283106647436775
HBEGF,-0.017058834611363354,-0.11542895112346944
PI3,-0.02161679115613417,
PCSK1N,-0.00041896219224378626,0.003636262094171698
SFRP1,-0.0013961304775446264,0.07055906897740452
MICA,0.07196324434547112,-0.033862990086704264
ADA,0.007766715541774574,-0.06644721970327203
LAMC3,-0.03689679392188459,0.05396174947169778
HMGB1,0.05307418580344704,0.07915976438937804
ITGB3BP,-0.057585034674010514,-0.06398245894718561
AANAT,0.0017161802518046985,
RELN,0.07400501952149371,-0.046975453448524926
IL15,-0.0391907278387218,
BSG,-0.06983380094018456,-0.10907129395962284
ADAMTS3,-0.04876138598869195,
CD34,-0.056445639349253826,0.039536927882128474
PLAT,-0.02059458737981185,0.01391929606476805
CKLF,-0.036863661405992634,-0.025969043205057052
CD24,-0.009664146664701799,-0.048305252746438744
HSP90AA1,0.06624092712246554,0.010831064672811273
BMP4,-0.05566004351914129,
IGFBP4,-0.08566884109181408,-0.07338704559745139
LEFTY2,-0.05187516543134086,
ANGPTL2,-0.017538602179908797,-0.06530565930514204
LRIG2,0.0036690337117817502,0.011865288837757625
ICOSLG,0.011744899571765714,-0.08385297493252081
WIF1,,0.030326210915370983
