,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.045615413148562524,,,,,,,,-0.016113806938538387,,0.017130020258844997,
BMP1,0.05942012606809807,0.0032216529747111826,0.1608654937027062,0.062373512730683624,0.022934694226383764,0.0009307025904647753,0.07297846890519456,-0.006800991018190989,0.04505565069532718,0.02207380835777865,-0.025626148282538418,0.043399900080024034,0.13408220153370956,0.0461919559837136,0.044364503565094804,0.00045175513552822924,0.21241447938214525,0.07117199522392208
NDP,-0.042268087099886706,-0.012425394346857549,0.02460635771833669,0.014604828576260349,-0.013326768526175202,-0.058121136325060704,0.04826275429238143,0.004174839601211307,0.051993294886256085,0.051646642203484444,0.08818987208911307,0.029185160768433218,-0.023316486047334203,0.036861457034259186,0.02544649792086188,0.0068177154125982345,-0.03779015549210564,0.062315758908112126
TNFSF18,-0.036239966773290166,-0.018681622354295192,0.007837085991463726,-0.027010380833013152,,,-0.021572904403804882,-0.01588254150501278,,0.1640065584005973,,-0.05071180123631157,,,-0.01661788467031928,,0.09611218501525153,0.043671487768230134
IL36G,,,,,,,,,0.02573898632033792,,,,,,,,,
RTN4,0.02117028233802792,-0.002251228760575977,-0.023154914593694335,-0.049934921327790524,-0.035778489821820844,0.06797994079887623,-0.11340260160121468,-0.04907625469277555,-0.01561250137358954,-0.01427767745363235,-0.13627929864399427,0.03822675024110241,-0.04221056232345205,-0.04280341034714749,-0.028892339358443618,-0.04725561260296182,-0.05823576062565747,0.027131339177689846
HEBP1,0.07137782796467723,-0.022603760787790646,0.02965985462848582,0.021539613871063176,-0.006711863557249911,-0.013258876435717831,0.05741139266182978,0.06048916798665683,-0.0028181173740941755,0.04083179227371844,0.032505348929779,0.00047542716960564425,-0.04235816199878221,0.07291141417546944,0.023848829460083328,0.03918381259194904,0.04296348302173558,0.030649683378293612
WNT7B,-0.017079113783193933,-0.029194703734079976,-0.014435190149882718,0.06631805425581776,0.020202749067221554,-0.003028973548646798,-0.05684013026732136,-0.04552582675543388,-0.01792677732990707,-0.0374465505087455,-0.017026388730375916,,0.08318027233096646,0.02344064541157075,0.022556677758579714,-0.020366665052748305,0.12298823995995482,0.10610687232144711
PTMA,5.974267166079578e-05,0.04448035428916031,0.06592933830037633,0.06457320312261007,-0.024977449775021986,0.04544851233623246,-0.011071100434736938,0.02365719380699268,0.04203752857665165,0.06975048291430222,0.07862575043281397,-0.025860678599465982,0.0029289587541419843,-0.062101532495734364,-0.0455343366909015,-0.004571938574658145,0.1087292402079835,-0.008528158894698186
FASLG,-0.03192628468542176,,,,,,,,,,,,,,,,-0.03851958201924393,
CEACAM1,0.002572467995482949,,0.006889134512367719,-0.01714421449509197,0.01261450045731135,0.042327225364623265,0.04861518626333326,-0.024979454025397883,,,-0.04449299807099521,0.02059980492042244,0.02810071189945195,-0.020585075943705504,-0.02387816534060702,-0.013517651802184682,0.005107178389752274,
PDAP1,0.06052873110006694,0.06218055218907563,0.06857991548618075,0.018425240943248784,-0.0006052801134478422,-0.020044006503221575,0.049510080628709124,0.013129011582163723,-0.028241348099826116,-0.006423101842944762,-0.08591193162772004,-0.05365296137196016,-0.019238095502479183,-0.003292425455387536,-0.03303023460595782,0.012385303534424321,-0.041483332206308426,-0.11049314995559346
QDPR,-0.12841336030172987,-0.04330556646322234,-0.0846773836093209,-0.02271180996127953,-0.008602969048811608,-0.025652335574894748,-0.14073537375388265,-0.03197000678068388,-0.0012475636202520818,-0.12485877728316182,-0.0463606257237569,-0.048982103244755784,-0.1361368908640674,0.03292026766870993,-0.01804946347511904,0.052941487446276324,0.013941162875624346,0.006749872136621014
POMC,-0.012735127269382198,-0.035274020718961484,0.04393046978010039,0.023597708131222663,0.022134457225144143,0.06017832236077822,0.0012515238116386045,-0.018428845200619656,-0.02519655101003574,0.11488250953199966,0.009586761119180894,0.08443850060151803,0.08862045596674237,-0.011987717532651827,-0.05164359545498222,0.046046693879491785,0.15482505960099796,0.0799299290336662
CCL18,,-0.025053591659058957,-0.041911587452904145,,,,,,,,-0.038150419757665685,,-0.037371387533087184,0.009092131237923972,,0.06973027048935962,,
CCL17,,,,,0.05297682079314427,,,0.03645193006165425,0.07425156662144745,,,,,-0.014604115036376809,-0.02124512363409729,,0.05601610088565459,
VEGFD,,-0.02822807501688752,0.044857907545342225,0.11030905471673336,0.08355973843632802,0.04490738111334524,0.003984494657495109,0.030935812776331856,0.0259783720072184,,-0.04298071236304656,-0.008844493073158155,,,-0.022407048141035085,,,
TNFSF13,,,0.1578338998468594,,0.031480694079731246,,,,,,,,,-0.028023103183075056,-0.022782647612101168,-0.015179416986558968,0.0948243359534259,-0.045179751310280035
WNT5A,0.04183729202276079,0.0031637862708029573,0.02954445667228132,0.027095301237551654,-0.02612608073002699,-0.04175394147715748,0.07950730236703854,-0.01572642730078028,-0.01755984173045686,0.029368521078479,-0.05218262748468877,0.002357965519249971,-0.009041628974980344,0.06741014693010737,0.06396366696543394,-0.017280922597797548,0.08466181366662259,0.027721622626223668
