,MGH258,UKF248,UKF255,UKF260,UKF269,UKF275,UKF304,ZH8812bulk,ZH916T1
IGFL3,,,,,0.09515071162627804,,,-0.019712708366953387,-0.015224980992989343
BMP1,-0.01254753762859172,-0.05471951646392583,-0.02112631286327585,0.04903262713973047,0.09201099908712558,-0.015269022318706705,-0.010195598400406165,0.016942422490056796,0.0002837325062833427
NDP,0.04744491993643917,0.022339545005528125,-0.013931824864261663,0.040872348716948975,-0.017108945812326116,-0.03451194467442075,0.01502979987138529,0.049239891225709875,0.09903311838734252
TNFSF18,0.003976721226651214,-0.03400769434835827,,,0.03838118584088109,-0.01512909311420863,,0.2246694041974241,0.04209537130447044
RTN4,0.05187044522563518,0.06165182460689808,0.049769591462632067,0.009359351602724596,-0.14079181157001008,0.03857509410686051,-0.10879286437909162,-0.014566445538397959,-0.030942235435684678
HEBP1,-0.08655330795686217,-0.016824679295340487,-0.034511866660746064,0.0013531859514219194,0.02653699823788767,0.04356038924222798,0.09713019464725248,0.011098086576117112,0.03661620237243351
WNT7B,-0.0174715351289223,-0.043520069252301875,-0.043259686133073225,0.025745492210761858,-0.07817469596922907,-0.016657315150074375,,0.009100132118475164,0.007037997622018538
PTMA,0.0473539696219479,-0.08694130780089163,-0.062291020950642276,-0.018599460107211405,-0.043969725717993305,0.0028120394455078274,0.09917846878023058,-0.07017655067390806,-0.03746917158008611
FASLG,-0.017471540068080525,,,,,,,,-0.013204620821142337
CEACAM1,0.05059258565154403,-0.02164496544816133,,-0.03133983746962054,0.12942029030253116,-0.023794459203715083,,-0.02921117967297527,0.0736479119502389
PDAP1,-0.05819315858948655,0.003737171383432114,0.007652963932366473,-0.0196976940408154,0.046916446818992284,-0.06306253749069546,0.026021662048051005,0.035578365090460376,0.01588712435651813
QDPR,0.00710141746968007,-0.0005643906249910755,0.002271718336565538,-0.019776713370563304,-0.08524441835016514,0.010533277327327789,0.02991230581208767,-0.016600624134869076,0.07550428243348911
POMC,-0.046122773271288664,0.03353485078352473,,0.012002257877911949,-0.01424552732577701,-0.017554603269225793,0.008384157797643333,0.019398071983405332,0.0031533188327196307
CCL18,,-0.027010871775801873,,,,,-0.013471241974216805,,
CCL17,,,,,,0.010031861571411104,,0.05227909265596236,-0.011968505636386888
VEGFD,,-0.014523949715593997,,0.08777360350220668,-0.007762867759457876,-0.020103243266824725,-0.021864772948659097,0.0506386686532228,
TNFSF13,,-0.020383277088454152,,,,,,0.062152860711835255,0.06712075283713416
WNT5A,-0.019862019694981442,0.05422324177433993,-0.05842952304985265,0.07103025849721428,0.0120374345899507,0.022946617795453168,-0.05609303248117132,0.07793453398889576,-0.001818873788869096
CXCL8,,0.06516410106652545,0.009941832287488853,-0.04287972950829671,0.10100368247204272,-0.0062896630038488,0.010619085590820443,0.004980460534383431,-0.028312675305615678
GRN,0.0006512689033013704,0.0006420424716567874,0.047107929851794586,-0.018903688956853026,0.06787971704623118,0.020066144156043825,0.048540282120938756,0.0019037748645169767,-0.031047158742509125
MIA,-0.022868738991163776,0.020545160888250376,0.08003048667720365,0.0013447435361492708,0.07638706674873223,0.023838333240680614,,0.020229972794976788,0.13275045084478473
COL4A4,-0.020234172294654715,-0.03243983754572527,-0.031882554304419615,0.05589235073460848,-0.022426511907860373,0.03800376597320574,,0.025944672333586206,0.07993277158054662
TAC1,0.062367369770505526,0.05217947249650006,-0.02247562747841895,0.01424712699046401,-0.08426007204622624,0.0071026479738556855,-0.046104853956952414,,-0.01573381766790768
RARRES2,-0.039151769518721354,-0.0147860015529044,0.03598469735979559,-0.04184927567730585,0.1060857165714153,-0.010518759474444214,0.12644092341654944,-0.038032275092277204,-0.043985863156389006
FGF7,0.014455873333974363,,-0.052167694702315845,-0.008439715036501412,0.0224697471027781,-0.01761040304828604,0.06527429658708397,0.01558891627969783,0.07100100114824906
HBEGF,0.0032076290393424586,-0.028026849486810966,-0.0292784501775775,-0.02766301538862462,0.06754475331474526,0.052232570549085006,0.046486214701735126,0.0011827456347805144,-0.029672169786074298
CSF3,,,-0.030706487609560254,-0.037145248874189726,-0.023726817941763973,,,,-0.012600990075197351
PI3,,-0.028416575933880174,0.07647057301625865,-0.08238769372193641,-0.02671671016252643,,,-0.02208280103589453,-0.027377765164848685
PCSK1N,-0.03434623048784919,0.022283635865246447,-0.05022955473226072,0.022382477928317955,-0.025591862976097987,0.038788546782110155,-0.05902918618611503,0.06506258444289324,0.048972151756098294
NTS,,,,-0.007020064989777383,-0.029163113381740404,0.08713037874342433,-0.01968531921133513,,-0.018660348015019094
SFRP1,0.05047257540681752,0.057379014297125476,,-0.03420675919577825,-0.01306713385668454,-0.04178644025352535,0.07888577914075345,-0.05014180187558418,-0.018226728802057165
CXCL13,,,-0.022296543281894655,0.04366652451420078,,,,,
MICA,-0.011125927305968833,0.09384567403727706,0.08126438560929293,-0.023721753561249153,-0.005150283076782592,0.014642762020177919,0.048676725735080445,0.09136349597909268,-0.008589832266610857
TG,-0.020234167734806085,0.030891428421788353,,-0.0190084737702461,-0.028636146465345895,-0.01900972752627776,,,0.030048662232816242
ADA,0.02102213303525945,0.01884895124449867,-0.04256446256401991,0.07674621388695574,0.06040585423028704,0.01601946454419732,0.03962302756983657,0.04933815048393677,-0.029904930463997035
LAMC3,0.06107646585511513,0.0048906610038109925,-0.038325921389934854,0.032930110484654496,0.05056458292736593,-0.022828580931833285,0.07324038456211925,0.0649202176553022,-0.024907995899342526
CCL7,,-0.017181196267494366,,-0.011018136049883026,,,,,-0.013204616125736788
NGF,,-0.017127042524486404,,-0.03954913018337946,,,-0.01968533217281173,,-0.039534222699642504
TNFSF15,,,,-0.03327657739912142,,,,,-0.03488888196103993
HMGB1,-0.024081318484917777,-0.0136758840180982,-0.017423041822981655,0.05199981866911459,0.09938856769766602,-0.006385582980989141,0.022096597311727154,-0.0030415177612296844,0.03818489803810436
ITGB3BP,0.043696935126362475,-0.05363980058657209,0.005370298115831011,0.007616286403384629,0.09513467450493958,0.01189059442767667,0.00789531172401468,0.033727001275503196,0.030441976088278137
AANAT,,-0.02492730184762159,,0.07131512275699939,-0.003165612679739259,0.01574402410509836,0.03931129167244835,-0.0321488794061003,-0.01397103452228421
RELN,0.03862711873004082,-0.027159665266623223,-0.03458019677177275,-0.006555662309651081,-0.038710694272473936,-0.03763890258001601,-0.05551879118477962,-0.0402041560194301,
IL15,-0.03689832712967301,0.05914783392425358,,0.08235337943994339,0.0481119528379327,-0.01688497131191295,0.06398748158890791,0.047025389899154266,0.03380416972865611
UTS2,,,,,0.11838283745353621,,,,
BSG,-0.040117728873813284,0.02646996466918834,0.046136140317217855,0.05588095029299293,-0.0731111194136793,-0.0213303832360842,-0.08491928090485552,0.05838906127989156,0.008922712076216543
ADAMTS3,-0.018816027869868295,0.06394292083057586,,0.0007054035903292322,0.05300349393613303,-0.039124456840178325,0.0785688512575717,-0.009403222575976448,0.08446568806515921
CD34,-0.021676859764682744,-0.0016155851231915944,-0.006121748169405894,0.07048274796258956,0.04312840029330895,0.0006779710457919782,0.14168049685188797,0.033216879195791596,0.004634010542327196
CCL23,,,,,0.08792658958461823,,,,
PLAT,0.013863790065129467,-0.03062413598605726,-0.009221814262651964,0.04613925816403817,0.1050983495203079,0.02635328447546051,-0.012610132101954762,0.03500206034869944,0.030500141899918596
LTA,,,,,,0.06926815961205468,,,-0.018802906981560213
CKLF,0.023608906305203865,-0.03319969783177732,0.04542158674729597,0.01113348085531126,0.09191532663052995,0.03744667396251716,0.09545061924081293,-0.01759515508483182,-0.008343053595160865
CD24,-0.037072148251170244,-0.01637217725640422,0.03575833166129159,0.04158485592713684,0.024743515649089883,0.04085453715037335,0.023469890537913603,0.04858387633819179,-0.03211461545237543
HSP90AA1,0.03693801115566998,0.011982806296141475,0.008356170272816732,-0.031386103565983536,-0.0722912521648202,0.02440411760864012,-0.08007963419009934,-0.04820621638262314,2.976121387906472e-05
BMP4,0.13436092258446,0.030408427379269964,0.033293710487397585,-0.05201004178935067,-0.053656043311469184,-0.003863867773409432,-0.02951923770996839,-0.00037859297781088003,0.041308640388438726
SCGB3A1,,-0.017181194549397694,-0.032822198677841384,0.018168442331649368,,,-0.03257768800625108,,0.002498244957461509
IGFBP4,-0.00691629880592295,-0.014605128420476387,-0.011456597862190946,0.08618330143132297,0.08396611081198324,0.030086566322899095,0.06710361555604183,0.026121153227562605,-0.04465398220715761
RSPO4,,,,-0.021572970250197387,,-0.01914957057650597,,,-0.024799066077916838
LEFTY2,0.0027017345044644168,0.03583682462423014,-0.009000169753128617,0.013647667725432773,0.05970405898720125,0.03843757585401492,-0.01968533217281173,0.13828591266375553,0.015407001830304095
PF4,,0.0009845122327830035,,,,,,,-0.01880290263042807
ANGPTL2,0.012312866863197599,-0.040835566679015375,-0.010064028365543817,0.03131247090927078,0.05972518873766255,0.013097481270495334,0.096399511222282,0.020747658952204533,0.010629912853080318
LRIG2,-0.07803089775021313,-0.024123449804945057,-0.030761280483985378,0.08239327675565822,0.02102043593345869,-0.006839046873679565,0.01938647050756279,-0.012194791984617794,0.09131793247945848
ICOSLG,-0.035657959289630864,0.039337739787100985,-0.03158762994275347,0.014883199584115048,0.05911367951090866,-0.019383302340086547,-0.002031457468142284,-0.04277388784170852,-0.04141871013917123
WIF1,,0.012723520258694358,-0.01914505015935983,-0.01585321679419434,-0.058134430513297336,-0.014777270043239572,-0.04509351247032639,,
NPPC,-0.010098492136503953,-0.0010027656545438866,0.09222123522400792,0.010556581957227293,-0.012679718843292019,-0.028825758572540196,-0.04887309660314984,0.0679606944430242,
LYZ,-0.03708631170734044,0.0008360402808694706,-0.012752732082067031,-0.029750180153090337,0.028441356917797932,0.03846699894747497,0.11870198346480226,0.03432019100606152,-0.02509320177237418
EREG,,,0.024050304546001506,-0.04491890244468044,,,-0.020250453996581024,,-0.028396738409259013
SPTAN1,-0.015101375895270656,-0.043822229722958725,-0.02578072341048112,0.052071921838802306,-0.04089571231851332,-0.016000537756551497,-0.09683723019436441,0.005852401935201218,0.07326542183423342
LIPC,0.04695365222802744,0.009535833385135624,,0.04500824616910121,0.0986107866477675,0.021417409856654395,-0.021171635414238704,0.004312385735267089,-0.023773985780694916
COL8A1,0.018985859168568663,0.006403476541597799,-0.0383376101867305,-0.010331061196270851,0.05361357036200755,-0.02032303330068756,0.015609441874410752,0.06829692897180026,-0.07156820719463121
GSTM2,-0.019661067373071304,-0.023678903919116184,0.0209157686127391,0.04894544825329694,0.021111564728167744,0.014634386390093028,0.035572676161568326,-0.03407209646677736,0.08187698473257678
SPX,0.019937473527756034,-0.03528993009166746,,-0.017074281121389905,-0.0009790018049992044,-0.017157633977404694,-0.11113754873856982,-0.04291976865948017,0.09451248550560824
MFGE8,0.02179672305315043,0.009909078885101268,-0.03268906749650164,0.03816321914429005,0.026515109950352868,0.04593969440839426,0.04040218235527796,0.09029803877395462,-0.022740061904092106
TGFA,0.05349489089510157,-0.008360685603963502,0.03722305970447921,0.056629767945488144,0.0548623447293608,-0.003807722248147119,0.020904392746118848,-0.04290246357165254,-0.00828158859668879
SLIT2,0.11200294734513498,-0.004380612143029089,-0.024395761648422477,0.04162247930815021,-0.04407303985397276,-0.04291107786072012,-0.07178368778053537,-0.0111204405296534,-0.028329310193058063
PLTP,-0.06408262562386444,-0.03861883135651068,-0.05281688577021729,0.00505827243163849,0.12831354918130644,0.03242246847553758,0.104058355459739,0.03160188852077578,0.039811103958873904
APOD,0.0360525014047847,-0.05425981655437788,-0.035267513576600205,0.0621948349112404,0.0649172860073838,0.03793981480839774,0.12359023062474656,-0.06141219551187561,-0.06592133493583238
B2M,-0.0004988643621391054,0.04517702838911894,-0.020336126250448096,-0.06231774384039033,0.11055930787236597,0.0741629703478623,0.13322951268017322,0.08064180462701992,-0.07372518046602917
OMG,0.0018996542792473375,-0.09150021383504392,-0.027852200211413134,0.007109426691351917,0.021555942353762885,-0.013523522725808215,-0.025161203597804063,-0.02246300957449378,0.0937462196765305
CXCL3,-0.016294639452331176,-0.027532746703766178,-0.01849214438354297,-0.039692682485526556,0.04138789929233255,0.017820130164602002,0.05093865641240948,0.08632193536313347,-0.023015825582496457
CXCL10,-0.04383994158473624,0.07760300107618391,,-0.0066997834867786816,0.1016909233379272,0.06367985684880843,0.02680278663731637,-0.03049990738642426,0.04514309154186043
RSPO3,,-0.00795854212605923,-0.03070648856732984,-0.03990018593675047,-0.03514359958158603,-0.02892253163071727,-0.017603115098769887,,-0.013400103330929235
CORT,-0.02023417196895114,0.007873861383481244,-0.04075169383516532,0.06188065786747098,-0.053443825824808146,0.048211224457939454,0.010526999094828968,,
NCAN,0.04347801105148734,-0.03776475614824957,-0.034108509831391826,0.011791832080899683,0.0448891211666764,-0.009789490829569446,-0.06998677717383132,-0.01442414528762957,0.10713980845779927
PRG4,,0.00042808794385499623,-0.034333821001662254,-0.0026950742147894614,-0.017312715347132853,-0.012814588522762176,,,-0.030354845419958757
ZG16B,,-0.02382513122446397,,,0.001776330861711961,0.008480002566977583,,,-0.016708486736140324
TGM2,0.07288767191641043,-0.014526461193468145,0.00946004435539339,-0.002914375783494474,0.01505990045022717,-0.029776431457832576,0.03363810463334522,0.04696780485401807,-0.06467008965056743
