,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.022564546794731865,,,,,,,,,,,-0.02587194966229816,,-0.01697309203462273,
BMP1,0.09165316696922976,-0.08159356397469449,0.009569826948307072,0.031477332478926055,-0.0015731561969592224,0.04200153883507483,-0.04072056861363758,-0.014121553333026057,0.1318166263313178,-0.036834638339811786,0.05127797364795667,-0.023336467010913284,0.08101209273187879,0.09724487195351166,0.0856071845844238,0.03992725434318364,0.05033349632161037,0.04139949363937352,-0.047237663980152896,-0.00774369789957554,-0.0233013040034987,0.03683936562567399,0.004823065967997565
NDP,-0.03616571333229185,0.0018720143660528675,0.04266586345966984,-0.005478940898348724,0.008516671363119833,-0.013771001688515229,0.007965494381313973,0.009273021109357607,0.05251096389340293,-0.01885509458585383,-0.029032111853237622,-0.04951601254769337,0.05923946088782481,0.08487960784009028,-0.016912919071261134,0.007835474767679783,-0.05574078593622481,-0.011526910587051095,0.04819541713998717,0.022526239454539538,-0.007386384904109112,-0.024628758079880467,-0.025042577746339906
TNFSF18,0.0044693992395010256,-0.03580965932121625,0.0593118962742497,-0.037739863292233514,,,,-0.01750996218256934,0.11572016332219401,-0.020147799489049493,,,,,0.19952325312886418,,0.007645168607522191,,,0.011931479728311548,,-0.01144781944150658,-0.036428825542322324
IL36G,,,,,,,,,,,,,,0.053521789098802064,,,,,,,,,
RTN4,-0.00320712107898895,0.015349832061850218,-0.043978053438373514,0.0020411767923369933,0.022098278676626944,0.002743722748142522,-0.04361078503153182,-0.01661138104620565,-0.20370911588992244,0.03295837232142736,-0.01649817186560822,0.0753518878650721,-0.02595820763315579,-0.037077824661989375,-0.0660759341736343,0.11326922129025598,-0.016270032268424328,0.03183556144757975,-0.031711699126372714,-0.06951867441431075,0.0505445046139913,0.019919648983277013,-0.14670131484444676
HEBP1,-0.04515947331271756,-0.00704697930680176,0.011470147335639145,-0.021060036976070038,0.03530855979350482,0.0077073064730336155,0.06563975256646037,0.0057351482883949475,0.010312090086294598,-0.018541439344178387,0.005068870273031045,0.05851862453139045,0.0470084340843348,-0.0005458261413453997,0.031229940783405633,0.008215757760685042,-0.00469810440652796,0.028264214177926763,0.03005934825923036,0.022218126775821734,0.02413095210334922,0.041503197457454996,-0.010016434683075412
WNT7B,-0.030777783495676593,-0.029210243127337138,0.0268111043592246,-0.028314696603359158,0.023300179746065932,-0.001997590589556182,-0.041813694545504605,-0.009949815311451789,-0.1046883153816199,0.003792943284798603,-0.023246439446579965,,0.06664760601452044,-0.011623295689066124,-0.025256279985882358,0.008248708085662805,,0.004790607385990135,0.06405265112760726,0.00543965791682129,-0.010018865574194617,0.03484296745348509,-0.019817121914025813
PTMA,-0.014215147733851134,-0.010435294148789668,0.015011603303792122,-0.0018760143224958797,-0.019584386763125454,0.0006232082399734827,-0.01672963041320271,0.039405442739591255,-0.06826172572949453,0.00575268052333097,0.05329206333883943,-0.05684837067121192,0.10572022419482903,0.09690557902797198,0.0372697166469413,0.00034069364369385905,0.04336691270048188,-0.038735405254139474,-0.019010483843322698,-0.004545402394512407,0.021653221459756917,-0.011238858673439534,-0.09224884042721525
FASLG,0.03269740501538424,,,,,,,,,,,,,,,,,,,,,0.004934652780894519,
