,UKF248,UKF259,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH916T1
IGFL3,,,-0.014513722061046463,,,,,-0.015471719509742079
BMP1,0.029772503157481166,0.02577805139946522,0.09351770623810007,0.0027546726922486834,0.004622844484682204,0.03661953625502887,0.08447790311750412,-0.022064914613686724
NDP,0.01753782300423126,0.011442788840962061,0.06614741057070014,0.03180391793233644,-0.04046858672061057,-0.014639644384542289,0.0018046387963666596,0.05781241513846662
TNFSF18,-0.01064929522791121,,-0.021552441546777844,0.08639857655868574,,,,0.03867073829288698
IL36G,,,,,,-0.013752909006013963,,
RTN4,0.004857867659388124,0.011505847694860157,-0.12171646747883046,0.011767402785348952,-0.0030074788490276126,-0.03311225883824215,-0.01530252571726878,-0.024054799669643172
HEBP1,0.025321735015416787,-0.02209299904988623,0.054116283336673565,0.04873742553224936,0.017286690864613652,0.017279938423028086,0.03624956273339607,0.053195436731075706
WNT7B,0.041009791851815,0.000501884189469131,-0.041216662867864545,0.022391623173880073,-0.013333402474102975,-0.015116031902090191,-0.03199837609233401,0.041969780152320384
PTMA,0.03305205704842624,0.08119422000127599,-0.02310406194388584,-0.0039552731405412735,0.00016029261645628581,0.056993950424323536,0.027018406519716223,-0.08224666603527646
FASLG,,,,,,,,-0.013418617052545925
CEACAM1,0.01379520137144121,-0.027388829201514354,-0.014631685352411765,0.07564602967380263,,,-0.017930268344180315,0.026642663722084414
PDAP1,0.002813421048599518,-0.01429067124507158,0.057201491874144646,-0.05319754196470555,0.029311224660277798,0.01092262252008294,-0.021063521515594506,0.02977920718197306
QDPR,-0.02878647632520914,0.009490913760483426,-0.07360128537412913,0.003323518682939423,-0.009707066144232524,0.011896932749327342,-0.011987935585958537,0.036811584814390806
POMC,0.010288109873993182,-0.025505589013757123,0.007837452846621979,-0.013048432311156506,-0.026646245620747924,-0.006276651808435018,-0.04305180174458243,-0.02104261706688521
CCL18,-0.025485261126037086,,,,,,0.02180344281726848,
CCL17,,-0.01587490416177993,,0.025047504235454803,-0.01650301453745062,-0.012563672821948054,-0.012720657540813444,0.22515540463208306
VEGFD,-0.011819835104344987,-0.017686396297451935,-0.007777315212091502,-0.014942850315605232,-0.012105160741197574,0.011198440143227767,,
TNFSF13,-0.01923200196999941,0.015642956583330224,,,,,0.04848209241848086,0.08599424947406702
WNT5A,0.037071516569331914,-0.010067180454122412,0.036012392331715576,-0.009997218447098954,0.027357311499996515,0.12486628945899658,0.005803675605282739,-0.024666171032001798
CXCL8,0.04091509213825961,0.018327595040658715,-0.03994657542018523,0.023888216112861512,-0.011272852032090854,-0.03208476366223497,-0.03694964901282991,-0.020171458278423468
GRN,0.028872644164911105,-0.0019603802444785865,0.05618358422005763,-0.04976767299936402,-0.0030072415557245665,-0.018291111913594463,0.06564614090660058,-0.052430700213481486
MIA,8.790191694774927e-05,-0.0037460882253072024,-0.009922344355953712,-0.01757686626693684,-0.013767071019997586,-0.018440766527771626,0.014267825880938435,0.021196343437802235
COL4A4,-0.030607591550587305,0.025605916241289828,-0.014302195807715613,-0.014642924971434074,0.027721635244409855,-0.0178882276677506,-0.005860901309467265,0.01253108009092846
TAC1,-0.032169514541984905,-0.027340701112785134,-0.07341836476623104,-0.047453674626064896,-0.009753492387765662,-0.031701683115869725,,0.08804946924730356
RARRES2,-0.06770889457771216,0.047016293387539904,0.05485886796151008,-0.029302006294015644,-0.008817698001535638,0.03548709751722285,0.004961103634120132,0.056502135396093646
FGF7,,-0.02813974054567993,0.11345965493368797,-0.00599461551429629,-0.014432983277255606,0.0026817308307791896,0.06269154443931653,0.05240250243308445
HBEGF,0.030638011803529357,-0.0019108462599212888,0.026134336614580193,0.06649627691338598,-0.0310872134577686,0.03990595228829341,-0.004964726651201262,-0.007624720791508405
CSF3,,-0.0035119827974156156,-0.015131447881477703,,,,0.018806027117702937,0.019595308537259375
PI3,-0.02681156920790639,-0.022917686091544386,-0.017038210028038823,,,,0.0019167324104879665,-0.02782145367729346
PCSK1N,0.023961402385118742,-0.013376989315125239,-0.0114204578010262,-0.0031467801353468024,-0.007849505597574498,-0.017669090612457406,-0.0015805073737189966,0.03504323331104734
NTS,,,0.002651170353613584,0.01613303843266112,-0.0035155862890297483,,-0.029675969871069015,0.0036387226321445473
SFRP1,-0.00927091490908298,0.02848053191669121,0.0034222666697144755,0.013979842705263508,-0.016503014703649534,-0.004760175147300476,0.01601130877146427,-0.018522114131729814
CXCL13,,,,,,,-0.02857320493689128,
MICA,0.021740894058990524,0.02161077994287448,-0.003282526434637171,0.11367265010912983,-0.02522257478199697,-0.02915820749416377,-0.00422353791874062,0.038579589212726424
TG,-0.04013310354698024,0.061608753892887565,-0.018262303812937215,-0.014130034104217246,-0.011943159954413399,-0.018872409349723156,-0.0169025735250844,-0.02497258984383323
ADA,0.054527882112715635,-0.012382159805500762,0.05252880088981531,-0.02599581639084521,-0.01939665223553017,0.0533892150115396,0.05253611726189317,0.0019927024913398493
LAMC3,0.05837084742695354,0.043202530813991204,0.06215021160501917,-0.006335180720140343,-0.0036613969485619034,-0.0408948916311992,0.02212403096101165,-0.02593343952726152
CCL7,-0.016210779014065663,-0.010807328048768366,,,,,-0.01906533353420571,-0.013418612281045867
NGF,0.0499995059729182,-0.01293212783581825,,,,,-0.02201893393665591,-0.040174920738896135
TNFSF15,,-0.012034488361947425,,,,,-0.018586559343537163,0.06190057923632878
