,UKF251,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH8812bulk
IGFL3,,,0.08477420532155654,,,,,-0.01586387679311226
BMP1,0.037306487587986076,-0.043567423647581836,0.08171863445676114,0.033249713049837565,0.01572845309025348,-0.05384289065984132,0.047723185630584,0.04436679406617035
NDP,0.0028091134138375565,-0.03279742911809139,-0.005002075130381491,0.02491549667247431,-0.030482775837220564,-0.03121658962510939,0.0689295502326489,0.0072208323999457475
TNFSF18,-0.02998952651923004,,-0.022321451786056202,-0.002212684243015435,,,,0.19867959979647032
RTN4,0.007150337974463692,0.019160049752127973,-0.11433489637914883,-0.062401267181124924,-0.03130864283820564,-0.058388833646507696,-0.08915570801814039,0.06364633820637026
HEBP1,-0.026748599808529692,-0.0010312401183359763,0.058122833162010466,-0.010538813295573197,0.016326971017477182,0.00301068779793455,0.045318301265898774,-0.0031440061899891064
WNT7B,0.05008940475211237,0.017687654044278602,-0.0622152641772384,-0.06190903091156922,0.0369822205514272,-0.006250936279684468,-0.07267547581725509,0.02949775253527525
PTMA,0.09330432927992682,-0.0486278263439225,-0.013716644292737478,-0.023410128826877732,0.04392216074781821,0.04812173921018459,-0.07515128649038644,-0.001643693433362934
CEACAM1,-0.014296302618219332,0.07892434489463658,0.075891043788378,0.027738286334073874,,,-0.05472645576188824,0.020409470782296827
PDAP1,0.004926713663603765,0.05521793834864639,0.05848612256893726,-0.010011524352239511,-0.023195997251493836,-0.01869206096838604,0.029209433448459873,0.02461313820540461
QDPR,0.014523410722526664,-0.025031238526114698,-0.08206848000867427,-0.016089055597937343,0.06873531695318733,0.027926946415783947,0.016046151097070825,0.029313554701881035
POMC,0.06356322367969157,0.02474141217106662,0.017285759803272117,-0.00881569157346021,0.010798893446269768,-0.02831155641620027,-0.04361805827674746,0.030979737181833413
CCL18,,,,,,0.038463090532518396,-0.046925074723755476,
CCL17,,,,-0.021916250793744926,-0.01250185977590822,,,-0.02091560517457256
VEGFD,0.011678353689607545,-0.017950633073574758,0.021079479179016165,-0.024070130711840724,-0.01803350900525189,-0.019128431965655123,-0.052866342025265495,0.1344808477998141
TNFSF13,,,,,,,,0.06513884351390964
WNT5A,0.08599696881965677,0.02257139810764517,0.06698715369781724,0.006977955016271791,0.004160758202711394,0.08670403389576377,0.08260404013435894,0.008579854962501158
CXCL8,-0.01917306073513222,0.0036605397221503894,0.15601827286430453,0.03559821698701459,0.05398812153227374,0.02789059285333444,-0.05172762082933221,-0.02969560006770054
GRN,-0.07536753292605736,0.0648105822093764,0.052760225236664224,0.003577063443255103,0.047831436666789906,-0.00015276903407668077,-0.03458462146012498,0.01325713172299302
MIA,0.05178003592657523,0.07183518172316271,-0.0034631693204612663,0.019280755025134568,0.04818519354475034,-0.02594159022407222,-0.008156081177718547,-0.03155905956728621
COL4A4,-0.030624541089644863,0.0034017154214784546,-0.014812510845407556,-0.03215837740001526,-0.03445402431668407,,,-0.016435847393534507
TAC1,0.006645892707396714,-0.03630937488699166,-0.07137906495337407,-0.0145189304708726,-0.025152859815505538,,,
RARRES2,-0.04016375664664026,0.05654718054140943,0.08750496924244812,0.004085395211933558,0.01223457677442673,-0.0431142372311801,-0.0008801127637168068,0.04285884430006924
FGF7,0.047477299301071495,0.011430182306195738,-0.012582929390063375,0.010363145242241106,0.04194765380367766,-0.005733732064821284,-0.03344282458202087,0.0011983180464018946
HBEGF,-0.03099873123056934,-0.018097337202792305,0.023116449242292426,0.019919086937021425,-0.03311202822314421,0.02245263370955206,-0.023307155017941082,0.05522115545689882
CSF3,,-0.047566764830901435,-0.015671351369011013,,,0.028052511060487006,,
PI3,,-0.0281691211641474,-0.01764614848095605,,,,-0.0238049351470428,-0.017771217853936355
PCSK1N,0.025896355335878272,0.0012993978241101906,0.01691115183709332,0.010753209488120058,-0.03205823007751876,-0.005525785137360997,-0.05517788804298424,-0.006149007684918971
NTS,,0.018815130049790497,0.0006673405188697363,0.03927423933050152,0.01131182134664515,,,
SFRP1,-0.025738625356228298,0.015116953610698673,-0.02769324779777939,0.0021483533463105674,-0.024585155921079127,0.035072657135162603,-0.08022850429761387,0.02515807754937434
CXCL13,0.10503794214860168,0.035044035741528964,,,,0.1433655600289315,,
MICA,-0.019614331116737608,-0.01693305879244212,0.039390002954009413,0.02808678309348915,-0.007588715783581255,-0.009040461540586934,0.026019004025308243,0.02342498761291328
TG,0.0958021661542484,-0.033592384453975825,-0.018913919018317994,0.07275310174749865,-0.017792170396885642,-0.021353267354192167,-0.057677354806134146,
ADA,0.05290958864834875,0.05208270460598674,0.04859202901851268,0.023591873683647555,-0.018766316202782102,0.031085972691114763,0.04558868883394866,0.021558246533560827
LAMC3,0.0029722474342042822,-0.016473218479549943,0.05382491303298048,0.01921116109457637,0.006723669579604423,0.03779006828896487,0.03699446150818504,0.06391795373575906
CCL7,,0.05842808140084224,,,,,,
NGF,,0.024413123481146305,,,,0.0504826318338235,,
TNFSF15,,-0.01992169168069773,,,,-0.018300378947205553,,
HMGB1,0.02363462555768844,0.07883399967525602,0.07662926101821639,-0.03676334318901828,-0.0252519551280917,0.017849936500687776,-0.09726004193812848,0.02185466952830326
ITGB3BP,0.001051222779717829,0.047176342031861364,0.0805412270805959,-0.03065337238374424,0.0198305960870248,0.028198310251203996,0.09314479407840091,0.005426209296215137
AANAT,,0.00197089602514633,-0.01413598303171383,0.03394220600856963,-0.020509319812620736,,-0.030198047966692034,-0.025871932584868904
RELN,-0.009795782633170736,0.024740182329762182,-0.023109045946266837,0.004875186345538819,-0.03981497023331214,,,0.12575384165583578
IL15,0.014303770421769847,0.038903721421975124,0.06280273219959025,-0.019094522558468073,-0.02371572832071753,-0.033704703074834766,0.08791925096300034,-0.03221879497497102
UTS2,,,0.031447936607225176,,,,0.11610098266219944,
BSG,-0.009932646543855866,-0.021663660496602212,-0.018472813174263174,-0.024710468465382853,0.05121334111624325,-0.07809437806063707,-0.008104581147627198,0.03357885132939487
ADAMTS3,0.013596137566178742,0.05567012131483411,0.08653199212228786,-0.008757778308099595,0.04320945349702594,-0.014477109470691162,0.06515082474354277,-0.04008685687926559
CD34,-0.020456918703812325,-0.01111060509003483,-0.015889022920996886,0.00726413084382257,-0.038372380498464705,0.0182456899811817,0.01946572352821356,-0.01746536420521547
