,MGH258,UKF248,UKF266,UKF269,UKF275,UKF296,ZH916bulk
IGFL3,,,,-0.01924621225049179,,,
BMP1,0.019671369309199025,-0.044833861782613935,-0.004933291106214115,0.048196454905700806,-0.018056801746573543,-0.02066162432618958,-0.003612268219742653
NDP,0.06966894132697253,0.009623049551904978,-0.00929377848774895,-0.021549569857684657,0.0017837027906852266,0.0015109901822433261,0.03578708086031761
TNFSF18,-0.029639460000119324,-0.030940063377283358,-0.01239910227893153,0.027199691302174592,-0.010647509681371023,,-0.025005824927914384
RTN4,-0.05137251918065023,0.014293348645081775,-0.04812438764565212,-0.07412816762773612,0.03320906068848737,-0.04499194911087413,-0.03853975913785037
HEBP1,0.011836993864010398,-0.06750590965481958,0.021588594012308164,0.04055617808871045,-0.05202592149106801,0.0011532081425636956,-0.007894538544528859
WNT7B,-0.02611143592640288,-0.013182147033003964,-0.022461797987765233,0.046603480404217905,0.011924221456118007,-0.013194808285128699,0.08172511548827507
PTMA,-0.06603469378753206,-0.027574352561880275,0.03102148755534009,-0.05508340597739824,-0.003045857039583393,0.03930227824196536,-0.03674375564137345
FASLG,-0.02611144330803893,,,,,,
CEACAM1,0.056122414013957136,-0.019692502405637195,,0.056964459993451996,-0.016745996129576765,,
PDAP1,0.10777046139400702,0.048360840534437274,0.0760720662846133,0.0893259168647468,-0.010089437319254838,0.04364371060641407,-0.029522319175877186
QDPR,-0.07090483795857438,0.01162675968770669,-0.03386968457460368,-0.13499450741487246,0.04381157848421853,0.002530425817464474,0.028158186486971448
POMC,-0.007501327033385856,0.051610153498847414,-0.03271133259186988,-0.00884984203924505,-0.012354528249030876,-0.01885608370282292,0.01951751922838286
CCL18,,0.03134103244632744,,,,,
CCL17,,,,,-0.013279517579130084,0.0012150922677596448,
VEGFD,,0.0026196054229597173,,-0.03224256819600321,-0.014148202783512946,-0.01197933352353216,
TNFSF13,,-0.018544623416492934,-0.01202454261191814,,,,-0.02720277069855013
