,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016337611232719887,,,,,,,,-0.01777122479963611,,-0.014346812197994064,
BMP1,-0.08788932900476629,0.10916840676356299,0.02663878066864108,0.04381103378713797,0.008559334166458505,-0.00569317945215029,-0.002706872028193859,0.0044890377896542434,0.15866524024800097,0.11980713996916716,0.15631391454831775,0.1136269437419803,0.029321660691247975,0.024630254305853173,0.04525614872468806,0.05556508750964547,0.08996266141256992,0.1469711664393356
NDP,-0.025741074294612917,0.004438544113110247,0.03305041061580541,0.022789171068591327,0.011689107287819129,0.020961731225111607,0.014104690934963006,0.05138553672132099,0.045914998149439064,0.013815838063418268,0.2224050497707627,0.012515709090500083,0.02530389671135081,0.04026166587024374,0.02210117520836197,-0.026164212289011553,0.0824093275303868,0.06100343251956914
TNFSF18,-0.033666208302950584,0.050931575203047946,0.02649838205831476,,,-0.00027555761113786493,0.03808513796515704,-0.013981877461201827,,,0.1524729743557457,,,,0.0925466116016459,,-0.031486299415262035,0.06310645636271697
IL36G,,,,,,,,,,0.020741205039671088,,,,,,,,
RTN4,-0.012769178386738047,0.05429123162486252,0.04128320422500481,0.011608972248368571,0.04907816177040231,0.1348688827391475,-0.01492108813332933,0.023415443323745438,-0.052288614357273604,-0.10370831933855554,-0.06750456771293306,-0.07748984394675586,0.039987430904685914,-0.0492036267810901,-0.03049776873346794,0.036613616792772155,-0.029897295284357295,-0.11825548332981131
HEBP1,-0.09336018997064244,0.036971778473870884,0.00853592589709213,0.010928423977467223,0.023353286920797682,-0.029407427008985892,-0.0029449482994662536,0.00036058027316401094,0.03811485305390977,-0.002021081151879822,0.13595842117701423,0.00490680593194701,0.04440161450636135,0.06407674109628868,-0.0264732577110571,-0.008851899678324626,0.05949570890418046,0.00724526253355839
WNT7B,-0.06215707269027062,-0.01594987798241834,-0.004112936322897183,0.05702618353670982,-0.04837740544099782,0.04940217328319006,0.026467508698417835,-0.0017117004934637434,0.04436458324657521,-0.04002558405927092,0.043936216465396305,0.06436383476828934,0.009588755884903925,-0.05241952174811662,0.08529392761967444,-0.03023628427115855,0.12046826315397734,0.08610660067603043
PTMA,0.012452079083509072,-0.004401038796273505,-0.008364800717841176,-0.05429911463311351,-0.05088594751722594,-0.11747889075885609,-0.08077369312905207,-0.01346578118888981,0.2146925098814909,0.07249948560994716,0.016920830562202536,0.038375052750673835,-0.07452062169962871,-0.0011325523808931417,-0.06370414269121377,-0.0005451205639625979,-0.04031363063500545,0.03728949578574183
FASLG,,,,,,,,,,,,,,,,,0.04212305775845086,
CEACAM1,,-0.011912869012599954,0.06588898138903092,,0.01062092200638182,,0.015033131710121711,-0.03203747903853428,,,,0.09692724316754678,-0.020833082998252924,-0.025394817830758903,0.030656497041529868,-0.020068261618229003,-0.04335485303810171,
PDAP1,0.01620027933622296,0.031248708828500074,0.03337744118791295,-0.033582212700653515,-0.004762053645305872,-0.06377442830143665,0.035225726327384,6.14660603145276e-05,0.1724683406825626,0.06973340360158878,0.05383031356122043,-0.015050376611405878,0.0023747863285474855,-0.049206087130772146,0.032199510847075015,-0.015445623417082317,0.012467468317093215,-0.06253266025006686
