,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,-0.015224974020574484,
BMP1,-0.024963810545250164,0.06001997065107127,0.026103356325672733,-0.02447913563204927
NDP,0.045599661465096,0.034172580284893034,-0.05354307170224091,0.08052220597081101
TNFSF18,,,-0.025681809226755746,-0.02667448049034657
RTN4,-0.0037875417588871508,-0.022437492419838355,-0.04606512152486555,0.0777652043529343
HEBP1,-0.05912653741214141,-0.03677817766938111,0.026293584921692592,0.06621977491761814
WNT7B,0.005804801661641255,0.04461602069872791,0.023408080472047066,0.041493494080501174
PTMA,0.12226754894629012,-0.024205657213300445,0.029596953203249565,0.05631879104166072
FASLG,,,-0.013204614773969309,
CEACAM1,-0.02156122482088231,0.025751204235196053,-0.01837228205308253,
PDAP1,0.04018469978495179,-0.029540811665746545,0.06592087442226294,-0.002465570506470868
QDPR,0.012565602891799605,0.01403234309161187,-0.043093826693993476,0.07932153859898732
POMC,-0.009871340234985322,0.00920885561781107,-0.036575076498042765,0.00796142722771964
CCL18,-0.03945677693942033,0.02076706364908425,,
CCL17,-0.01529664541780002,0.006076222090666747,-0.011968500155303754,
VEGFD,,0.02599429637864361,,
TNFSF13,0.03466619742539236,-0.028670708502895326,0.06499077946009478,-0.029018029933970554
WNT5A,0.0039038891718861843,0.04676286125803796,-0.02801099581608648,-0.06542700473602078
CXCL8,-0.03461249983408661,0.09763315894099549,0.02659132557255111,0.029406718956081924
GRN,-0.004840232421439143,0.028445315370825005,0.05860341759764172,0.01942607453736756
MIA,-0.020414371736549416,-0.0421217667116586,-0.033837954054612804,-0.0531566379408667
COL4A4,0.03862754784517705,-0.02925638144845849,-0.03514772249945775,-0.03243204229883731
TAC1,,,-0.015733810462466562,-0.027374291043308102
RARRES2,-0.022434030529787086,0.058108320222857786,-0.032914381655805416,-0.0320281760923761
FGF7,-0.0319050937767736,0.0019669024559923194,-0.032147519939445535,-0.05377202799501498
EFNA2,,-0.0173663443204067,,
HBEGF,-0.002392119391668371,-0.0919091853375399,0.07743963710073402,-0.06111665680682514
CSF3,-0.045410194028834325,0.049142377397301776,-0.01260098430446237,-0.002744149466109486
PI3,0.007716384042543743,0.0647969098927002,-0.011423368005335898,0.004906739569529333
PCSK1N,-0.058934935196627,-0.02050998687097088,-0.11724352407440168,0.030491422758446945
NTS,0.018193001358965837,-0.02115759505745795,-0.01866033946934749,
SFRP1,-0.027871503963662787,-0.0732941118268339,-0.018226720454965317,0.008423690971614193
CXCL13,-0.007703707582613897,-0.004019293105278436,,-0.02767173509873661
MICA,-0.03457554835217586,0.07108637182320683,0.01587777405400219,-0.041630779017727486
TG,0.02134541141538342,0.005083043395936577,0.0271210856559232,-0.030494395278349736
ADA,0.02338435596536378,0.02528168569354287,0.0037722451086777266,-0.04467039829699247
LAMC3,-0.041679935169396276,0.015223821400849697,-0.015204227640471343,0.0023435717308323313
CCL7,-0.022926145595001036,,0.017603238134802975,-0.019211664005445397
NGF,-0.009328520582139168,-0.017132911435854867,-0.039534204594595154,-0.038662536512823996
TNFSF15,-0.022350417571009078,,-0.01163417427629292,0.02093907880071944
HMGB1,0.07049495052837851,0.014739476953869464,-0.0255858022643816,0.04731240236667027
ITGB3BP,0.031536791305688754,0.012043759310303152,-0.00484300617342571,-0.0015485858273383884
AANAT,-0.020112698641019465,-0.023370395856725148,-0.01397102812412524,-0.020830453493306755
RELN,,,,-0.009036449903966641
IL15,-0.03684728796148005,-0.02280380298847937,-0.05517671834965173,-0.03046506824132345
UTS2,0.007787480095728471,,,
BSG,-0.13545814450898655,0.01696981752717444,0.007770817134391671,-0.0357783851927813
ADAMTS3,0.0137500378950612,-0.02055457940930193,-0.08086267020298633,-0.02640547837864977
CD34,-0.05036856797246956,0.015525263466288804,-0.008982420993921705,-0.008025150101897426
PLAT,-0.018201790868742865,-0.07692404002521482,-0.024861706993561883,-0.07064921100560867
NTF3,-0.04580538728295299,-0.03962403160868978,,
LTA,,,-0.018802898370602467,
CKLF,-0.01966167020877917,-0.030913646679296188,-0.09655778368745527,0.03766157812487479
CD24,0.05183787621916632,-0.09518795554498638,0.050464046675617394,-0.03840023248958656
HSP90AA1,-0.04340683555502898,0.04170008512312255,0.0013461939786611784,-0.011165397697008122
BMP4,0.022767848336076323,-0.02022835199764295,0.02196092111662881,-0.007323147855291132
SCGB3A1,-0.0348945627957529,0.003835040844029258,0.002628006399375328,-0.003992002559040047
IGFBP4,-0.05447118332111416,-0.024775456384838655,0.02639989797284333,-0.057606778402731755
RSPO4,,,-0.024799054720964938,-0.026266376741990283
LEFTY2,-0.019461701429187208,-0.019968175806798,-0.010363536057086876,0.0004566588389052779
PF4,,0.08809642333619885,-0.018802894019472317,-0.020575939176758727
ANGPTL2,0.002074065536489605,0.022311544688321045,0.03822555179915752,-0.035428893501755356
LRIG2,-0.04980140035585794,-0.01773183080505692,-0.01405595182781917,0.0360408693892278
ICOSLG,0.008818284806594023,-0.04559386253811474,-0.05499067344765273,0.0034950411896573705
WIF1,,,,-0.03775640877052546
NPPC,-0.03422460101793669,-0.030116895556811685,,0.011423521434735785
LYZ,0.031393312450776964,0.07975925999820377,-0.018316703533667322,0.034904771916191804
EREG,-0.04653596465606552,0.008229209102203476,0.04459372540145987,-0.02368900126031854
SPTAN1,-0.04405290891847206,-0.04059940248205886,0.030379733636158767,0.058174408038106994
LIPC,,,-0.023773974893187617,0.00012473059471999475
COL8A1,0.03443393176264372,-0.04631125626868076,0.024979207526680754,-0.07336358053673551
GSTM2,-0.0017759794862964781,-0.04920523684516557,0.017259698039218122,-0.0493222623793307
SPX,0.015384806176188315,-0.019763557285321788,-0.02559067757990788,0.04873497795198361
MFGE8,-0.005522128720902246,-0.05285040489529676,0.057547443816891815,0.01168573486715967
TGFA,-0.01310255500710584,-0.05193237005548652,-0.04557684855557609,0.012662235526844812
SLIT2,-0.0729159356550904,-0.064115362050808,0.08517182002642153,-0.035683844914775546
PLTP,-0.021963929601283814,0.06399368226826369,-0.0169957632736664,-0.05783201028767817
APOD,0.0300538137797707,-0.07155547936648732,-0.028804448577208805,0.028023211421616352
B2M,-0.039102127385958335,0.024861113540872042,0.012970964668400628,0.014646172505426882
OMG,0.06305206644692604,-0.050063075714893976,-0.06148024830266363,0.07851301277078981
CXCL3,-0.024941280637936332,0.026840259179515203,-0.012185506285378138,-0.02544922797636195
CXCL10,-0.004939702396211049,0.05613050224628882,-0.0513822523741191,-0.04765911064743186
RSPO3,-0.01550786793439388,-0.02849859332534967,-0.013400097194233261,-0.026417742245271842
CORT,-0.026141873090546962,-0.016656809621104374,,
NCAN,0.045304560696840426,-0.09290551901413711,-0.061828049036604465,0.038377302224771
PRG4,0.010342544715070992,-0.02457814189350904,0.02468155705532182,-0.028638904124394526
ZG16B,,,-0.016708479084340873,-0.017553386382222466
TGM2,-0.059402128919516975,0.010099833631853971,-0.031468474748242624,0.060223080771976974
VEGFC,0.02871415869404088,-0.021050490663731693,-0.04446984615906391,-0.023850374032685133
WNT6,0.06339959953790404,0.025729364889529288,-0.020178922475709456,-0.01813791452876686
NRG4,,,-0.013400098696064454,-0.02727664147736213
PMCH,-0.023302848864631607,-0.005925755929643813,0.001085462113497541,-0.034931664993883775
COL9A1,0.03333526154688752,-0.08046886299534209,-0.03910143666418743,0.05501908158220314
GDF11,0.035015882922124035,-0.031826432586891884,-0.023113749846309557,0.07109714352256111
RAET1E,,,-0.014699813059313217,
IL24,-0.017374042586344306,0.010775020208984892,,-0.030494377767616748
SORBS1,-0.0902974174144578,-0.037811522654315095,-0.015508276369783172,0.011222365509867663
DLL1,-0.022891562819055515,-0.07954587545708912,-0.006922353344555027,-0.0420136132678756
TLN1,-0.04035285571088018,0.03735279903147987,-0.04465575417115681,-0.015383379792663705
COL2A1,-0.012729133007665398,-0.020523215839252068,-0.01950167052540311,-0.024574789911442
SHH,0.017532573705705965,-0.01655149235626385,-0.04668372423439201,0.021963336248836167
PON2,0.0047733759364923505,-0.05726817141404002,-0.02148287846852935,0.016718750518207846
ICAM5,0.03135780679448456,-0.010396192478411876,-0.028895702138602063,0.10900291793786687
HPX,-0.04400072506517618,-0.03573402881030659,0.028817638880496682,-0.03012997001348876
SFRP2,-0.08907847466836288,0.01552068906782486,-0.039312912351981304,-0.059568953231649346
CFC1,,,,0.05805487694144362
CD70,-0.059515490279674906,0.06332747953191846,-0.020444271774397366,-0.04791734199548517
HP,-0.07453256314830795,0.01068622030085601,0.06408179656713534,0.012413485281382981
CXCL2,-0.04682144466228455,-0.009102635588323117,0.02410413283293722,-0.04202380246389909
NPPB,0.003183102643010136,-0.036062939518902055,-0.013592907755212064,
CCK,-0.02348821234598917,-0.046096037099039575,-0.017633670837457833,0.06482287577312006
SEMA6A,0.02715127714194487,-0.07529952856881644,-0.02994704304444073,0.008272942161690333
IRAK4,0.05183606720484208,0.062408881442594294,-0.06106361321788502,-0.029558027274725503
GSTP1,-0.0011772305184012037,-0.006492368334670562,-0.06422487344850081,-0.11353308540904347
