,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,,,,0.11774412781989922,,,,,,,,,,
BMP1,0.01853600396325615,0.03499380665762687,0.037039186970388514,0.02763441158362443,0.10750256958918504,-0.04663827867789764,0.03349840104490695,0.2042650234419865,0.31663024256533095,-0.023311804309542807,0.12927143271768143,0.09135944798711194,-0.05532457338522893,0.018325692793650535,0.023662949313086015,-0.030026143711756877,-0.13927431919982178,-0.03517192936353237,-0.002840513441997557
NDP,0.032998168850105626,-0.02886647176182529,-0.027465514353925618,-0.04906923236199827,0.08205171177652629,-0.025656092308467392,-0.03962539796893662,0.01883185500907957,0.05342041910409258,-0.04414447891029819,-0.04818463098497953,0.0018615023410453327,-0.011797716673716478,0.019651770066235325,-0.014456854755628717,0.024225239114087634,0.010621183883536792,0.10124242841588567,0.018157101226466844
TNFSF18,0.038750728502861945,-0.019872584047343003,-0.03351894294663763,0.035513705183407934,,,,-0.0027168161514348173,0.04533479811714703,-0.02159965645063203,,,-0.03590240248067654,,-0.058284790372599184,,,,
IL36G,,,,,,,,,,,,-0.02911946356313417,,,,,,,
RTN4,-0.01280187671927122,-0.06115054867683202,0.033464630783054464,-0.03562062606219041,0.09637445310099983,-0.011257199012040465,-0.009448512689850863,-0.3260227374104726,-0.3529821370183871,-0.0029396209681185107,0.05412933235332023,-0.03432823319579929,-0.08626763277059642,0.004363970548284065,0.05027435330912372,-0.07009411396802961,0.067250484065587,0.024275614135983236,0.1975064210115594
HEBP1,-0.04605439647339604,0.008876846272865427,0.06584252277422649,-0.008152846340186261,-0.03835101335580463,0.006424079049874913,-0.0035358321558907747,0.17281917569874747,0.12343188899098166,0.0032353396218515714,-0.0081843908270059,0.02156055398450784,-0.02039270923049573,-0.06452554621348999,0.08457045742992617,0.003959118619974382,0.08900123710639031,0.09526403839627338,-0.0649463942496477
WNT7B,0.039922163689306144,0.04336618882725983,0.026642018441494667,-0.0014455699016203097,0.027705395816229966,-0.03149923555119304,-0.10646784805175383,0.0041336010450188174,-0.12079064359844989,-0.01715296155583636,0.06398132898233745,-0.03200564622361773,-0.03952504086251565,-0.06813546300384951,,-0.03139837175171816,-0.022495181429368117,0.0961758968538481,-0.016055401158679063
PTMA,-0.00288457229183881,-0.039490914954416076,0.02094902758624322,0.05109568851673618,0.12611623002422198,-0.013153081170370064,0.02206496352294145,0.4360975293315645,-0.181389556942372,-0.06363401040806814,0.07748489975997794,0.03934134612006262,-0.0022547921695207,-0.09226714810302407,0.09630910082406247,-0.02592569099244328,0.022933176966390554,-0.020818685848354068,0.063657540800628
FASLG,0.02238302872071597,,,,,,,,,,,,,,,,,,
CEACAM1,0.05627447308353931,,0.051706539857601076,0.10624472324239505,,-0.00941122894643702,-0.003989222277071157,,0.08476500630198965,0.11574001247569718,,,,-0.05130771226420542,-0.012490675153610934,0.06966670984926397,0.08362718863236504,-0.050222548914972694,-0.03514291645355354
PDAP1,0.010385306507540869,0.0007774256785115629,0.03570037031368028,0.02406890822349697,0.06298185134944775,-0.019601381230707617,0.004463663961219071,0.21445157918122523,0.270858055967627,-0.021386074165580984,0.0664786053647339,-0.007210443185951307,0.022181062408568313,0.1345068457940157,0.04719570561340387,0.03373584494928544,-0.07121554663763736,-0.08232140115449174,0.10577662721207735
QDPR,-0.03473594908749791,-0.05544989852537022,0.026113433256771953,-0.06970063083314405,0.12775551469985502,-0.0032559900715564156,-0.03625638669485833,-0.1344476380124541,-0.3260469536384454,0.05416430585845438,0.1260605744561031,0.03948622766247129,-0.06119300583728204,0.027949062905590207,0.05241501150703181,-0.11957657736855852,0.12252054030288238,0.20039634483804128,0.050378595729806935
POMC,0.011711631154778347,0.025346005769376987,-0.01052004679209445,-0.017382107500964108,,0.004249869949454589,0.022842716253994935,0.016375627855510916,-0.0027201984689025254,-0.025062533284715836,-0.006187486651055394,-0.024459567714587967,-0.06638705125045492,-0.07221650574879176,0.10072036877436498,0.03526827614049412,0.04333244457072,0.08963405564273204,-0.0018083708594156718
