,MGH258,UKF243,UKF248,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02068823689760586,,,,,,,-0.0272552948526239,,0.04970701438420636,
BMP1,0.05684779262086014,0.0795135040113208,-0.011931041650976588,-0.017346574125520008,0.008037997052019854,0.0869183486157842,-0.03576619882658982,-0.02010985004842675,-0.01785171643132112,0.10897441468860883,-0.018575120900792885,-0.08614729620907918,0.029671404599354946,-0.004996079335846159,0.07336896743406028,-0.017187424730685616
NDP,0.051981332065598886,0.04422360179625904,0.014687842582645218,0.03211766848559607,-0.04880984630566575,0.007744587647817373,0.03638109545358655,0.08779772467824652,0.00955112453515581,0.10254111581553998,-0.022537396132841978,-0.006224234131763377,0.11626219164720589,-0.022049331564396646,0.05449583808821901,-0.01724356117997146
TNFSF18,-0.04024402202289235,-0.009449356851896093,0.0906597770786839,,,0.045588081042393286,-0.0038320855392552475,,-0.0386881134713475,,,,-0.042527393265914114,,0.0290684048807952,0.02800078149552851
IL36G,,,,,,,,0.05600224421115548,,,,,,,,
RTN4,0.008279167815184915,-0.05307590720347375,0.054867530059321774,-0.001991419384202036,0.01819507234601311,-0.1376453848532184,0.02579845274500317,-0.07037461660194613,0.022187182231869645,-0.12520502867419225,-0.03261774129360427,-0.027649326017355362,-0.04277167094595593,0.026430833023259652,-0.027711517790193745,-0.06941203657635811
HEBP1,0.004501597347058,-0.02353073936032329,0.03926287214083166,0.02020004334245337,0.018600181845894338,0.03412458146681999,0.02650480119892602,-0.016032985849530213,0.028250496865147565,0.0063743389105493375,0.054095965778163724,-0.004409013771046813,0.05122548752149461,0.0171949531470935,0.07197723604205053,0.03225703702464225
WNT7B,-0.03545372292434713,-0.021626963081342244,0.010706806780099908,0.019447518187651048,0.004982837955643572,0.029544357172998418,-0.02565957997933558,-0.024037350807495233,,0.042329782851295655,-0.007098202582046841,0.029325370909154463,0.005974800393459074,-0.03336433401888985,0.09043986061962354,-0.02567948390638585
PTMA,0.02042901657545485,-0.07907600950883478,0.05010504995416996,-0.07670625342883172,-0.005699140305015817,-0.0707037597032397,-0.002955810093465729,0.07138937023512477,-0.05043176196098401,-0.24024996025468143,0.0024136422180297016,-0.019350556687974297,-0.03631158296058,0.016412433103877196,-0.058905106007449054,-0.0024693923524615304
FASLG,-0.035453732947023774,,,,,,,,,,,,,,0.07887757369093491,
CEACAM1,0.009397495794921149,,-0.0017917705970618971,,0.008795667606285027,0.10704868315878288,-0.02913673823848818,,-0.05035772405940082,0.14375132590286904,0.028091146453997465,0.052133037771259966,-0.027633532733620736,-0.022144393729216786,-0.020345140734746386,
PDAP1,-0.010339021719126026,0.04353963702543599,0.06354932705363252,-0.06990540013794899,0.012880883788612678,0.08558772253006479,-0.014420519574455304,0.03550692586784462,0.08070186722631895,0.010655956330888087,-0.06532570694157284,0.03719169434983283,0.03572664887418118,0.038709179553363796,0.03346248145414675,0.06066344060130806
QDPR,0.0146295629348599,0.046596360532822206,-0.003416131528674116,0.06791939321973782,-0.04825895955341458,-0.13639648372602065,-0.0027555605894200464,0.012679071232941918,0.011193516569338152,-0.19169008536714205,0.034670902006080875,0.007606541977579553,-0.0589887812319197,-0.028740434502209564,0.042763308615457615,-0.04257847677875211
POMC,0.06155450924868601,-0.054772502733706305,-0.031691982639971375,,0.04756175209113498,0.08198830071074129,-0.021495923734046515,-0.03917199298388194,-0.09529180315003757,0.0065099468070169125,-0.03559875852708103,-0.006647617752289556,-0.009478408155876788,0.019641534853518102,0.053907776714947224,0.0013206236240051522
CCL18,,-0.009875146031534854,-0.04088695557579654,,,,,,,0.010728237524124738,-0.021207102744164878,-0.004938860284485349,,-0.006208716857661025,,
CCL17,,,,,-0.03216996163541763,,-0.010718937492569924,-0.019978616941791438,,,-0.013311997315982897,-0.018906900859191167,-0.05436911771231246,,0.04630090374064567,
