,MGH258,UKF248,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.02305937588678949,
BMP1,0.03394824643651624,0.12588515530260438,0.051889922723372374,0.07756133514634428,0.04579792521851873,0.09426033481975583,-0.004071774192277775,0.016938287545185986,-0.0012977728249637163,0.1347014095950361,0.06924508037966615
NDP,-0.04116121496284971,-0.039102151117563363,-0.003946333259100696,0.058385060757292016,-0.11953730208119147,0.05171504281733741,-0.007877804177954615,0.021803074935221566,-0.03371666069521566,-0.06472265632864135,0.028243254560299164
TNFSF18,0.03366766665731824,0.07510095874606815,-0.004188901192505226,,0.018013132654795476,,,,,0.058396984861083606,-0.02322655944708257
RTN4,-0.005565058912251731,-0.02696579133294,-0.016960140545692507,-0.1799796205368858,-0.1035579752753131,-0.024876370079434832,0.004120733888248608,-0.018926736528638063,0.019441244330666047,-0.06007915930219212,-0.0013009587549178347
HEBP1,0.01243121844985408,-0.028834252343827787,0.00571996672251154,0.134439613128313,-0.06406294446438321,0.0010838684355810953,0.02615260883954939,0.03787039309304977,-0.027936206964756873,0.07714397031945924,0.017244950258458992
WNT7B,-0.015707257832693944,-0.006304899244513571,0.015391657794616525,-0.06813523821688339,,0.08083424662631711,-0.03299706442797603,-0.022489182707019245,0.004923635796154328,0.03564844057362044,-0.016593362808381282
PTMA,0.0652058299441534,0.0031712593047475584,0.008752009482156283,-0.048372790605732754,0.12531608735796784,-0.014792018752344574,-0.038499501721071576,-0.03635755984713165,-0.0385349764790035,0.10567122954434563,0.019211072937912216
FASLG,-0.015707262273095497,,,,,,,,,-0.019999388839792766,
CEACAM1,0.12484236659972767,-0.01931795086573243,,-0.05130754299398298,-0.009630670072881424,-0.011679752442465665,-0.018489882675813665,0.019594919214728897,-0.02474960409243183,0.18875134206276148,
PDAP1,-0.013644443700102652,-0.005344333096786336,-0.009855367247369505,0.022341771110059975,0.02753579157001023,-0.08803952984192318,0.020740955239390055,-0.05128632258018301,0.012298840889401853,-0.034207888228610636,-0.013290328447627718
QDPR,-0.013084174569615735,0.005959372278624355,0.021098976120891965,-0.0968540000172286,0.006052730316298367,-0.0169556329846754,-0.04505546025554534,0.053480112459325324,0.011431468049524832,-0.08370047172483999,-0.018088912096318528
POMC,-0.011490701178546234,0.008583624899495322,0.0575667508193986,0.03936959533783871,0.07994787450584015,0.005440210870092935,0.03395551900000033,0.05631251189517244,0.09171092964192223,0.0967738630841672,0.05256264057088064
CCL18,,-0.02410697744263964,,-0.0439935357655962,,-0.02323043029547389,-0.007513685690669118,0.05112161162661304,-0.05812137101837513,,
CCL17,,,,,,,-0.013117676823012283,-0.02974713942931428,,-0.01812719965953899,
VEGFD,,-0.009754564100271331,,0.03915830953145116,-0.06842362526046636,,,-0.020606751471508505,,,
TNFSF13,,-0.01819190454336419,,,,,0.07577647227757511,-0.01920325935510384,0.013456570996888326,-0.01560283106325685,0.055071322321810647
WNT5A,0.03586497817750244,0.03038788294231765,0.027611588852896912,0.04849819560354689,-0.06515440554926871,-0.023120602056896478,0.05852892710755668,0.041433183479259596,0.049131763201234364,0.04282726430499706,0.04546881335089715
CXCL8,,-0.03968208873879005,,-0.018912000936350315,0.08805063671019515,-0.007272681957623838,-0.027342712073375193,-0.0596763479123427,-0.09498125399341706,-0.026731258597148637,0.027506836747217666
GRN,-0.07957074181562131,0.16233170619381565,0.03726079217547229,0.11946325050655132,0.053629878894695525,0.10475783084562447,0.06902922941459919,-0.00559336772168853,0.008898438925601422,0.10459530855173092,0.028773298594303613
MIA,0.025960283540933504,-0.04802943157612583,0.173618243807237,-0.0756482515752522,0.04850979735564306,-0.04411884859025415,0.06281092196698462,0.0699226214326189,0.020961604057674686,-0.04129503320575539,0.11151268429667838
COL4A4,0.031797489061507984,-0.005442620917338943,,,0.10703170405655102,-0.029370522317422727,0.021237808251780385,-0.008664747552703047,0.0365834758758565,0.021324371514487826,0.04574836112496415
TAC1,0.1030407290972669,-0.05749686504141253,,,,,,,0.01849808801590301,-0.023830047203707978,0.025569174852405226
RARRES2,0.07114165897003397,-0.056467996737223254,0.04935694340648437,-0.01747991183093637,-0.10678681451682853,0.04903639136660457,0.008661807351208735,0.01521136148483992,0.018154522441007407,0.018441613883738207,-0.04642288431508704
FGF7,0.021160010979547107,,-0.01761046982908463,-0.04546804275879785,0.010520058422252006,-0.018503569616126404,-0.005108501710447769,0.04027585108893719,0.008878234530581463,0.012461957268749626,0.02206297122039516
EFNA2,,,,,,,,0.06479113287557507,,,
HBEGF,0.011076574594723741,0.125630298457383,0.09617074693503645,-0.15822532800577477,0.15979528149306949,0.11665879413058884,-0.02390767754272784,-0.014134734250638471,-0.037566037955089664,0.04517377714302097,0.025128777555975253
CSF3,,,,,,,-0.0467637221910435,-0.018843519638817675,-0.03548193822940128,-0.01908514479088538,0.08795593978739516
PI3,,-0.025361556662114395,,-0.05485368455619039,,,-0.0314609397484726,-0.06928672355181902,-0.04199526322199797,-0.041465679212814695,-0.050630537132125224
PCSK1N,0.04218819802036738,-0.08316480538440664,0.09897726130206323,0.0023696717111145247,0.06884323669395859,-0.01007536862394326,-0.0017893762783752396,0.02467828751207128,0.08579175050177752,-0.11247060142140035,0.03463822603882611
NTS,,,,,,,-0.030602174528254755,-0.006060421658927663,0.034023044665819284,-0.028262496961721673,
SFRP1,0.05770783301258893,-0.015981189395318087,-0.05515851844670874,-0.007006744771461094,0.1285256839279668,-0.014932170321237496,0.003925389147302681,-0.00577416188483637,0.009059132417837144,-0.027605748133724635,-0.02277746546143944
CXCL13,,,,,,,-0.029464991645067967,-0.042394275435408454,0.03325965232419339,,-0.02409490975868586
MICA,0.01421610507918133,0.07920633961581944,0.023294241726320174,-0.0019850474484137265,-0.03248381240128834,0.14419811803733457,0.05455734894237785,0.10533846676148043,0.026299929961039407,0.034349801331656264,-0.003262057881753015
