,MGH258,UKF243,UKF251,UKF259,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.05227897030485635,,,,,,-0.017543366002308585,,0.06718293602166413,
BMP1,0.0071974953060125494,0.03638156010438063,-0.001676004673478105,0.049676555564960354,0.19583962573242097,0.010493350508661356,0.00027777293642060785,0.06283572078117837,0.08805731575715743,0.02542061898734963,0.02612320962629046,0.0057661300322467334,-0.026094867563131695,-0.049718983933537846
NDP,0.05162156302223519,0.03173620478166627,0.03915536209016618,-0.028838511620316205,0.07616011948662119,0.04972768970609845,-0.07054752324157748,-0.027480607702083368,-0.0032857560674835243,0.044099165841082505,0.011460751280744062,-0.022116010082822452,0.09922211006324183,0.08146060032883715
TNFSF18,0.19828666052774097,-0.02084317107163029,0.01995765785721308,,0.05164743699275419,-0.010799998529311515,,0.0447989403733529,,,-0.01809216369958619,,0.04052169985156369,-0.026018895224589594
RTN4,-0.06641935592800675,-0.059028926543836194,0.02822109111418424,-0.03861301335731206,-0.25733747649328315,-0.04387533480212373,-0.0030738345447813673,-0.056580226208693005,0.012624216699646373,-0.023712600588371602,-0.04540014096778828,-0.04322678115431735,0.012193189671672437,-0.036296541619547144
HEBP1,0.01584267687024717,-0.07484604754387301,-0.037830345077237044,0.0021836823806491656,0.10570764705047137,-0.054209366273178884,0.007576797993584509,0.0011075186593308716,0.10277526325158803,0.015484394381240387,-0.00806339132871315,0.026725987937709153,0.07599901533962741,0.05410330712369748
WNT7B,0.09393748045502033,0.030525791021997036,0.021649466058203688,-0.0006780994443284584,-0.09731795344469076,0.008003525849403993,-0.019084918146628393,,-0.03653399833483464,0.032426665909385206,-0.02310354251520096,-0.025860407247953292,-0.0320186843726135,-0.05657315620805696
PTMA,0.07000873761572571,-0.10706674874972671,0.019901900415352045,-0.05105309989439353,-0.1095127398146022,-0.06640466631287004,0.052477699927162835,-0.061966028972249725,-0.030120239288312062,-0.025791120230323965,-0.07021782720428048,-0.011267118015487179,-0.01166374472529277,0.021730460153457188
FASLG,0.015472883876398813,,,,,,,,,,,,-0.01999939120791,
CEACAM1,0.14394318355565852,,-0.020589003145352287,-0.0167107012360695,0.03606407096672334,-0.016985824759353247,,-0.0002228018423962736,-0.032764274884453284,-0.01808101532146346,0.07137919207011637,-0.017163928396483053,-0.01295081939327394,
PDAP1,0.017901119710060746,-0.0024575909236668643,0.0001971923978306647,0.04533313183486312,0.2403112380790146,0.01240494257757154,-0.019167375875006804,-0.027864389052930368,-0.007982011766023584,-0.005385476347651662,-0.07505945512827843,0.01129806176185877,0.02912233907667779,-0.0469209139773635
QDPR,0.019427362819576136,0.06214817407624473,-0.0012916937333689253,-0.013787820955175988,-0.17096422449345328,-0.0014961283189686612,-0.008201379432910098,0.06201909706337689,-0.03387174503085435,-0.002867147250574922,-0.04157140304625701,0.06625672974968158,0.03943957118238156,0.026617706842697486
POMC,-0.018885349471252033,-0.026635418801629573,0.028215827266957347,0.004674340902132628,0.03511083848478472,0.05484119362317275,0.03419797006321652,0.04987442800158323,0.12418479531154426,-0.03208841704818105,-0.04720940612787292,0.12503737808748208,-0.04138233602723853,0.01557554094021419
CCL18,,0.07075117314548061,,,,,,,-0.023230409589431563,-0.014810006313814024,,-0.017769774923402128,,
CCL17,,,,-0.02302245900852136,,-0.013469700861178656,0.013390676016297832,,,0.00449079041821141,0.10644279267628219,,-0.01812720180597128,
VEGFD,,-0.014339258311166484,-0.006199254972601805,0.03051236837633787,0.1279810743112735,-0.014350826984612385,0.04717344515210317,0.050435755692998255,,0.00416311776082584,0.01861583359398145,,,
TNFSF13,,,,-0.015880376966230667,,,,,,0.0276810086483847,-0.02480384226304787,0.05640383153977085,-0.029536762326772367,-0.02830484667730355
WNT5A,0.03869926354865949,0.036283540340646306,0.025079758957737026,0.05696585504253871,0.1260653418974951,-0.00849464824370425,0.013512733426550811,-0.05911108809753227,0.0399974443518507,-0.023710680796623373,-0.031351351709278635,0.02906798877923606,0.03538107401610554,-0.10864512874934115
CXCL8,,-0.05100743249161581,-0.027612328748454835,-0.017993324862554772,0.10007271310810424,-0.00635220580975902,-0.016135525701663142,0.16183812130805694,-0.040900793552989145,-0.013682655139576262,-0.032839436881660584,0.002605987215576835,-0.0007789592937036115,-0.013902719197529518
GRN,-0.029932915159556858,0.014374286666753987,-0.03381782669420391,0.0203528243972989,0.15612668609190378,-0.022998465088732694,-0.019022297772553404,0.0692959100083095,0.08519149431590486,-0.06286263249750385,0.012462164667202052,0.07883663438328561,0.023232851952814618,-0.07478186158958
MIA,0.1644812811476256,0.041794023106640814,-0.01383788125756885,-0.03617260024869028,0.10909078815279048,-0.02647487521862061,-0.01970565458035123,0.0496443719758774,0.013948127488823086,0.12271432448478727,-0.03503346065927793,0.12597320649882815,0.005236286716044218,-0.03982644519410323
COL4A4,-0.0215683820149105,-0.03311548314122222,0.05543882564201126,0.03152884047966499,0.04764057769610706,-0.014062784433720625,0.03183303216315803,-0.003457228754301752,-0.004119961523169,-0.0289505326575587,0.08863090891842558,-0.012867716492517018,0.037914665453131685,0.00010281957194981515
TAC1,-0.030190373107590512,-0.06210356913481501,0.008852086756959624,-0.0053088036346913645,-0.17040979394398204,-0.057198844447998116,-0.031197687893288282,,,,,-0.029612666186633788,-0.02383005002541148,-0.06739784157123808
RARRES2,0.07365487762256608,0.05780048368800543,-0.003810941039255277,0.021556138947326175,0.21291987763153844,-0.025121013364036066,-0.01739459748206415,-0.006295066697122292,0.03951592920585573,0.036836519755610954,-0.07309895114421647,0.0002157224499852931,0.042047713465268075,0.022132768996393576
FGF7,0.012939053868406455,-0.002345786070173456,-0.01319436452284115,-0.012574596304049904,0.12686062677452872,0.0022522008920430455,-0.02173219302552476,0.09849869739299101,-0.02456816885856696,0.027624866573907527,0.01828493218936752,0.02804484624701611,0.09781201937113596,0.013053439746211525
EFNA2,,,,,,,,,,-0.01718479502586721,,,,
HBEGF,0.01253254657905509,0.04397465532906723,0.006121608349170526,0.02122316713536823,0.05174588101224281,0.01805876406904251,-0.030858362727375892,0.03213082553297341,0.06982570948047881,0.04666346418828085,-0.016110991108317048,0.0845181268453203,-0.02820805625291927,-0.09119241543089061
CSF3,,-0.033707230528325464,,-0.02744076374002916,0.005044776830434447,,,,,0.049716502945742674,,-0.024606835926078797,-0.019085147050747455,-0.03327634998487161
PI3,,-0.0571383467484634,,-0.009282476924508436,0.006943348952572912,,,,,0.00781894585552883,0.03217811247219218,0.015435052204586524,-0.021452576187459726,-0.04170940838317484
PCSK1N,-0.011063527678676644,-0.04114963114209817,0.05667481529767411,0.03901025837991687,-0.06811209495658722,-0.014892217661148755,-0.03743511052885818,0.10617168442876149,0.017341738054695945,-0.0109391758501668,0.031448477047773406,0.01613185979319547,0.016523231259523093,-0.009728366790929742
NTS,,,,,0.11033245259747565,0.05282637410035438,0.019016650639745326,,,-0.020936411693477305,,0.05553503383683653,-0.013564226422238824,
SFRP1,0.05273564965476914,-0.02348880530882274,0.007048877992593002,-0.020087985385637445,0.08142751020552991,0.030076567452297854,-0.023621778867283866,-0.06215154506448276,0.06735993572702338,0.013292955325707055,-0.022116170531820845,-0.0014037412283994229,0.11273606038302957,-0.04151492587455779
CXCL13,,,-0.0350678233147271,,,,,,,0.042908483333886284,,0.10786650589611256,,-0.02699164006126335
MICA,0.023991110376997696,0.01236357819261322,0.058384375574719045,0.007140971680428337,0.12866992866448954,-0.025903937812865204,-0.016750778212838727,0.03855433067201994,0.016024901989533356,0.035522754799581675,-0.029532343451028707,0.018803929284108,0.011079816274418938,-0.04873959515382117
TG,0.04650950052010343,0.03848595816967696,0.021382278854967077,-0.02167811885587191,0.10084611744866137,-0.013570213877102671,0.04916255713775235,0.09043386495590092,0.15488879051022406,-0.025785479694218738,,-0.020251804090095804,-0.03721967709531904,-0.029744927027603847
ADA,0.07338931358399305,-0.007973179343580153,-0.022734272774349692,0.0012674708181560532,0.11079199769336924,0.08457236243421064,0.013609381820987788,-0.011478649471543792,0.0962932108295893,-0.02584722379798077,0.09279219555489468,-0.031909459774709985,0.03688146018096399,0.06099136749601819
LAMC3,0.06455305582036153,0.03156968294273322,-0.013816434833696949,0.012317594920752451,0.17816064004172896,-0.023806266864782613,0.01992685573281602,0.06916592589011152,0.12116935199391672,-0.030534041587117804,0.02436663731285843,0.03764001307601727,-0.044863180277949145,-0.05885167905075166
CCL7,,,,-0.015673245297029598,,,,,,,,,-0.019999384096365206,-0.04586607670966128
NGF,,-0.013685470899356499,,-0.035911408110296646,,,,-0.04684493911309929,-0.034521855305499276,0.07793992418776946,,0.09113994019717075,-0.02036087536372028,-0.03771231784656838
TNFSF15,,-0.03994520395194238,,-0.017452925206850316,,,,-0.046816221483956325,-0.034864155087845024,,,-0.015280422662845954,0.020897329135232005,-0.03682846325092039
HMGB1,0.029725328001741297,-0.0005574677839808839,0.0005484650343500912,0.07672140136071934,0.22703665239075768,0.0015860094389802159,-0.01818915858501065,-0.055947279177483496,0.035301059399629894,-0.009796566972484986,-0.026600210092132957,0.011115741753347553,0.013465666918526142,0.05342521772410843
ITGB3BP,-0.019494429783175102,0.02716645587071269,0.02105818140880077,-0.032884597220219934,0.15488006650186537,-0.009449109178385923,-0.042712387525701306,-0.008790704722171134,0.022386435125723424,0.01224615171445257,-0.007803488597950924,0.00532591583987349,0.02937124046763646,0.013358571873751158
AANAT,,0.013713057882912709,,-0.015880378661113075,0.058000556294770286,-0.012203772644255177,0.03736848304060439,,0.09764880467490997,0.030792584037418788,-0.028610962404881615,,0.038594028453273595,-0.02031849831599074
RELN,0.0354498064320657,-0.044863752681875126,0.0016374228677323674,0.05000674270570955,-0.06597296569157146,-0.02686876797177644,-0.014957015546510645,0.03462520843278161,,,-0.035779772659001056,-0.018457094601741653,,0.0009619213414269743
IL15,-0.020375750907651886,-0.014249363845875065,-0.03566761707031919,0.0036282417252003177,0.13498488449369278,-0.019112510672897494,0.027288414133930444,0.06122038334798747,-0.024248582650285594,0.02965168659137516,0.023415396023064233,-0.03727365374419166,0.0181429223207873,-0.0023740147594895587
UTS2,,,,,0.00011504851308132854,,,,,,,,,
BSG,0.055658191760123724,0.06630846479134477,0.025099454756717494,-0.03530688328041861,-0.0061191087005565865,0.014936287876464194,0.05656810993367951,0.030604162729397456,-0.007586908027714097,0.03290660275398341,0.0848534726401282,0.026347306234213018,-0.05211360611916137,-0.03999710430833974
ADAMTS3,0.005268458149891977,0.006442134616738395,0.0008934264394980203,0.027449143439191272,0.20862733224161165,-0.03090813274288344,0.02805124823873043,,-0.02897158262370499,0.05056966990746,0.04011544386160681,0.022542136468791184,0.024109508048915283,-0.05757673334972359
CD34,0.017530008508103212,0.03202762286766848,0.03439453402974849,0.013721813416512416,0.1284752921132925,0.03007255578931738,0.044231848165877184,0.022634897601832855,0.08826803799840048,0.04311613017639509,-0.0216160203366277,0.025991600667619803,0.0172866698149206,-0.0767355783519368
CCL23,,,,,0.0333323418022907,,,,,,,,,
PLAT,0.03838300600726963,0.0720913090421025,-0.008208293092736579,-0.0022819251801307104,0.20515883273358904,0.04059904329337374,0.0477383351543173,0.020026978449963793,0.015951064963478114,0.035143390249582795,0.007272909630070589,-0.06532333720542312,0.01691152105781019,-0.016038260725281698
NTF3,,,,,,,0.04016238862520273,,,0.05147129163273076,,0.03989358116558043,,
LTA,,,-0.0041446008681849476,-0.020087984445889915,,0.12965970981064248,,,,,,,-0.028478416583387588,
CKLF,-0.02569720569546642,-0.047408289482233794,0.06336332128866026,0.08244811092866758,0.22879226407140385,0.04434121595541105,0.04704413672539345,0.12212164602284527,0.06496495481546323,0.03825921778128225,0.025036048020580758,-0.0449966311116935,-0.008646570375272628,0.11176753623717131
CD24,0.0059631639658101485,0.01934017618046341,0.05457338330522623,-0.01743451859721523,0.05502590911697048,-0.014817697401866052,0.01836773062954142,-0.11568974926179895,0.04379934147085112,0.013445412741312526,0.009742124553847896,-0.024077500018174457,-0.01130683612421557,-0.07179345729536958
HSP90AA1,-0.05037629245971034,-0.04952772557588781,0.023444867291132307,0.026710141795927362,-0.19976815344922239,-0.010422312021108606,-0.036138620984265644,-0.08507449730658621,-0.06351819209269573,-0.04373102809065612,-0.01989013116646329,-0.01093375071104645,-0.034218458528854,0.012512317527808245
BMP4,-0.010072852909311378,0.021631167983164057,-0.021825552501247417,-0.02606571897795258,0.02356286117113146,0.07787166268585813,-0.03676694628180274,0.040945652561430165,0.022959211771996106,-0.0032967704628174485,-0.03097467399211925,-0.016877641641878254,-0.026522785969153796,-0.002172332246576242
SCGB3A1,,,,,,,0.06912728596912264,-0.04464149748880065,,0.05642569513746482,,0.03858146377392752,0.002261866942160418,-0.026991053194172672
IGFBP4,0.08177231471040873,0.057268021903870155,0.0021070672033725833,0.02694456631809912,0.11988045492832844,0.02862810153723317,-0.01556760267221076,0.06885274985515347,-0.024115700119630667,-0.032802254181746066,0.028533264880997524,0.044136421513072246,-0.01667536807197764,-0.09078668031876651
RSPO4,,-0.009348711405860645,0.04816528796646587,-0.030748179617389338,,0.06517117464921245,0.00015542140542792326,-0.04081812315242913,,,,-0.003343180738160649,0.008418955101643314,-0.005370181009725105
