,UKF248,UKF259,UKF266,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,,,,,,-0.005583963550876763,,
BMP1,0.05858411946423806,-0.04533987548360089,0.11588412039922914,0.038011931177500694,0.028956164350426146,0.10999566246217593,-0.012696531110739711,0.010106092428095877,0.0024974631805138718,0.06619152856742452,-0.0672030615226437
NDP,-0.004076252730044244,-0.03529387577917074,0.01341962322164551,-0.012293484141237446,-0.007500785898925253,0.0988009059275597,-0.0021339128040628575,0.021413755452993045,0.08163063193171857,0.0014886559371724824,0.08652166484334108
TNFSF18,0.06841934328858358,,0.10937158872945585,-0.0030902161071559857,,,,,-0.008381290740919548,,
IL36G,,,,,,-0.023858996381182065,,,,,
RTN4,-0.030278333279054666,0.018088760363320234,-0.056900790156752847,-0.0294317420642372,-0.02853970782269994,-0.04755911193507773,0.00944979441013689,-0.09478141838243163,-0.02887822953424244,0.04805696681085435,0.037187608904188305
HEBP1,0.008965086735792039,-0.012648166536316929,0.013804699536728703,0.07544795322220736,0.029851036728272672,0.0165257052306059,0.02708598211810291,0.025720430826638867,-0.0028381915045511087,0.0025372712299488124,-0.09961559273666674
WNT7B,-0.038288713771808584,0.0037756185012316453,-0.01941802391884668,0.03701671490165759,0.01670178038510473,-0.02622378656705237,0.01929658039810141,0.007190987766558187,0.041652780475586064,-0.004627326926315416,0.07299560892152243
PTMA,0.10710089717943318,-0.011793762754498532,0.051663742257244315,-0.06281375709845283,0.03593050929501992,0.0467663784049195,-0.07465986893838078,-0.049719944001805565,-0.03362576442624603,0.01918669961987064,-0.06950984075653195
CEACAM1,-0.011843266508614472,-0.026274341079143768,,0.09934053598633265,,,0.004969346776661078,-0.034207975508162444,-0.04282921508926822,-0.020068259637178138,
PDAP1,0.06689240610755906,-0.008795081721838613,0.04451175200465926,0.009848732521664436,-0.014709121158248286,0.002786493860510117,-0.0319836574730149,0.015386020585440734,0.011023135175262653,0.07250756135385128,0.009764662123352029
QDPR,0.010390216370522504,0.06489261109786458,-0.009775539572468222,0.04265280066855633,-0.046371645811145015,-0.007283433694709427,0.05843252362222438,0.06644036505108344,-0.0020781595993876025,-0.008769551043007418,0.06466668461837609
POMC,0.011185621680636724,-0.0003599213826550971,-0.031723171686783194,-0.021282461210835393,0.045273578129123464,-0.00894184583179683,0.017625725710919145,-0.010674902133210793,-0.05017439994384112,0.03703292796740377,-0.04136846189287015
CCL18,-0.03199489506287754,,,,,,0.10465331047013439,0.04192809420209882,,-0.025167502477217777,
CCL17,,-0.015228933061595151,,0.0014181234371598587,0.04534262853723177,-0.021795870550887414,-0.023748683651866498,-0.04938136020336951,0.02050065593204166,,
VEGFD,-0.03240578463073514,0.0349270190795081,,-0.01294026862671386,-0.024446983885192043,-0.008829742210308618,,0.0029325597048015226,-0.028067662598923272,,
TNFSF13,0.03499548381470382,-0.01050457719230214,0.01938491831492297,,,,-0.035142373978097635,0.019864922744933847,-0.03936251938965651,-0.022535310546912074,
WNT5A,-0.021587180312355042,0.015510218695974189,0.04592593351318985,0.039279822376147855,0.005215734865613893,0.009046155344632044,0.009386740249536073,-0.023182106813260377,-0.06728458315030116,0.05548823603327758,-0.07993534434320433
CXCL8,-0.06811021397648802,0.048142455796842724,0.028210120867073602,0.028439049831581385,0.002390182734382462,0.0024170531751855216,0.02902991198810454,-0.06410841809096827,0.029028818673896853,-0.03711645934736015,0.018580334298802084
GRN,-0.030552837959631058,-0.020328657659516323,-0.03270813529523453,-0.03917114551628703,0.003517239613384457,0.0010355337811947635,0.018967355694784572,-0.03499980053466298,0.025308472374516038,-0.004996072238986717,-0.07919570437208776
MIA,0.005447111247657391,0.003737087002739073,-0.021085877587167436,-0.020582854149062888,0.005199827361135095,-0.0319916449428939,0.11108313430220462,0.1780471399608396,-0.04407586724061475,0.016812733465430336,
COL4A4,0.02165090644527764,0.06318024405992462,-0.011095210788463742,-0.011981005814383681,-0.0004676767797478445,0.06846007577324734,0.06907848628779491,0.0005441629623873016,0.05625273319413293,-0.02109710025822446,
TAC1,-0.021735223062096496,0.11391017790381805,-0.0039978370425631845,-0.02307851337002559,-0.02683360233051991,-0.05499711678512275,,,,-0.03462346496995534,0.16121706223479623
RARRES2,-0.006373133128327698,0.039773136064668424,0.097003012461344,0.08434159423514255,0.01174338925454661,0.05068911460744858,0.012372232494889203,-0.0011388305087828786,-0.025062243866476666,0.016370187170650998,0.13363273124779398
FGF7,,0.05010477302896182,-0.03180074000336857,0.01963907447004527,0.00447979385613379,0.018125099308768062,0.012215187721621112,0.06663614900576245,-0.01195043487223255,0.02552909095479956,-0.0579880601642616
EFNA2,,,,,,,,-0.032512391417523386,,,
HBEGF,-0.02101253509503376,-0.0034912584637121296,0.013209169905894559,0.014766689626493407,0.003247755148464549,0.001311079353224787,0.004962313263707293,0.03919948184548658,0.013099939524281604,0.0025689255686183713,0.05772447646272296
CSF3,,-0.01815156035249213,,,,,0.0004835979438822134,-0.03496651472157939,,-0.016098738752236615,
PI3,-0.043325011577981035,-0.012971841140425471,,,,,-0.025665529336806936,-0.08542155971182878,0.06785915025739596,0.014548231227919914,
PCSK1N,0.09942017460279759,-0.03840382473371783,-0.053924742511938815,0.03477068185794714,-0.047551829751624884,-0.039713538658309656,0.021831765294754744,-0.052092474703575774,-0.02215844005920571,0.033860483025828426,0.029082196588071593
NTS,,,-0.01354473145008913,0.0325635950907619,0.05321056921767963,,0.03698618627112134,0.006733145567113146,,0.013525495195805448,
SFRP1,-0.048610366004943645,-0.013287832749183917,0.06087548334660118,0.08757727355618787,0.0364496639818592,-0.040441423242688124,0.030461374275626334,-0.021024706957878524,0.02933250557917409,-0.013174768264909835,0.02598058300468188
CXCL13,,,,,,,-0.020569678622930732,-0.010257763694339802,,-0.030971987529273826,
MICA,0.030543286963059274,0.06463753387006516,0.040086548029363574,0.08959620316278331,-0.05692711756683145,0.04328824343257548,0.13353259202804502,0.050086020526808966,0.03780777800133297,0.006994383636046374,0.019669849166522743
TG,0.02867112455249943,-0.01433967678409954,-0.015634190664417725,0.038174339467694045,0.02276901229328764,-0.03274047302882113,0.025545624604184906,0.028289339238282123,,0.03868934894643537,
ADA,0.04271070050162461,-0.03758462095033533,0.030034126868562494,-0.021961846038984958,-0.031107470165986476,-0.015796198590848024,0.01419568440074457,0.04352910541299834,0.10236006169982517,-0.022855825975472945,0.053847357034194965
LAMC3,0.05535268760402976,-0.01749794865230796,0.05595147672772206,0.03656092965005727,-0.013291229526298427,0.025437606979494626,0.02367780071585106,-0.027573612061178317,0.0031241514878554235,-0.013395590494113964,-0.030544394519482668
CCL7,-0.026195116855203617,-0.01036756340398213,,,,,-0.03559380270779774,,,,
NGF,-0.02912000791754398,0.03893821413412603,0.08203530133506103,,,,0.10397221201755036,0.02108332712595478,,-0.03418961373337548,
TNFSF15,,0.08671448416051075,-0.01811519324173028,,,,0.06510118279341846,,,0.02474064234449495,
HMGB1,0.05626470452744261,-0.025268797597125095,0.014786212128770187,-0.052535384406616294,0.03680801221302366,0.06229816738488379,-0.08542162159936871,-0.10375524657590288,0.02138122409455937,0.037879562956392304,-0.06320877354339718
ITGB3BP,-0.0032678713236562553,-0.021091680893025384,0.05345459395911542,-0.034959233246195744,-0.006446418142861975,0.0367635851764067,-0.024077423348402033,0.01618711731872185,0.023868674095461898,-0.001530230079138972,0.0409094304503059
AANAT,-0.038005129248116526,-0.010504578313435669,,0.032844955858138104,0.015236197812525838,-0.00663914297785582,0.09895049979850006,0.03189641612319443,0.039155543521944884,,
RELN,0.08754834350118892,-0.0182335955038965,0.0454945116235438,-0.039574673888467145,0.0025955200447317695,0.008990319574583391,,,-0.056304935958711645,-0.021580244222622547,0.15138993711945428
IL15,-0.0459303613245938,0.06448355806227045,-0.012890036927285242,0.032931799748122936,0.07042152517774226,-0.0020835197646802647,-0.022319106504099153,0.04184649230059204,-0.03275046079590503,0.0034775310622584157,
UTS2,,,,,,,0.15935737218625295,,,,
BSG,0.07402917266717766,0.06313146408062648,0.03422261523757737,-0.0794520605548338,0.1205170616162035,0.007445016415549052,0.07919112372576768,0.04236519246956576,0.09186534018262738,0.07269952348530566,-0.02960380858667171
ADAMTS3,0.04109456977461231,0.09907783495598566,-0.0207621205644783,-0.016338007158350622,0.055079787483755,0.0074123126578948826,0.02228645877935221,0.00013587338288395897,-0.033642157955513265,0.015262061692307602,
CD34,0.07961123188108928,-0.02607697332189509,0.046327607303068515,0.02828279718044305,-0.02043153541377112,-0.06279639543753866,0.06904440907201065,0.063560213232173,-0.029985019326543072,-0.002780305275665488,-0.008100372179998086
PLAT,0.06581328109232525,-0.06596748072473416,0.018932327098982266,-0.019917976159489263,-0.021630827236554292,0.04954158092773711,0.08742092289928753,0.0291780774973981,0.05885885503117867,0.08276427337491413,-0.007988167892550616
NTF3,,,,,-0.037916374252756534,,0.0256287655172966,0.07834260153633306,,0.009600881415244693,
LTA,,0.07496702057778105,,0.07979493221601688,,-0.027116039600925568,,,,,
CKLF,0.028416058446682126,0.027611180625111628,0.023782041010047574,0.0626721941657324,-0.002668784766486292,0.02795085060151568,0.001661433602420529,0.04591825893821785,-0.019722526590073813,0.056500986836362184,0.01946917872182812
CD24,0.03475682547289608,0.041224228957906325,0.042607892440546226,0.06221865904144845,-0.012224398537966003,0.05010497228628689,0.07893303119159732,-0.005241504110477647,-0.014183837785366383,-0.011698651359452288,-0.03518992175518954
HSP90AA1,-0.0038959872727858283,-0.016741991914729096,-0.04588493698550547,0.10579817361048553,0.018204423328088703,-0.07161054923743591,-0.07815075254700915,-0.14945543298110459,0.0009736373698321933,-0.0143155021824908,0.02863720277784571
BMP4,0.007372172034639151,-0.0017501022516531117,0.05331474886634764,-0.02003734723912592,0.008803738855715778,-0.008551811755607385,0.11187589688301534,0.020543073683414785,-0.002188280960268362,0.03577184764452258,
SCGB3A1,0.06612134163476521,,-0.016454360114915044,,0.061896504961017465,-0.018921213838899532,0.013041662152053901,0.04596172856807647,,-0.01650529437940594,
IGFBP4,0.02997291693302633,0.016703688211904474,0.03989875692575771,0.018377300665002337,0.05938770795372531,0.037190246613662686,0.0033694493957383493,-0.11011860713902921,-0.0038258307806131645,-0.005612929660398873,-0.02107794123933358
RSPO4,,-0.020339355104761304,,-0.023216132358462413,-0.011505151250464068,-0.018251679719546682,,,,-0.009765225197285605,
