,UKF248,UKF255,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.08458893498162987,,,,,,,,-0.020390437462916064,
BMP1,0.0467206397854024,0.03656922731030429,0.04377517002533638,0.09428880481547762,-0.010908344382616295,-0.05858063010494129,0.02005430001558417,0.016378727679870454,0.013590099857759155,-0.05300318697942108,0.02536554525969685,0.06759704184817349,0.03365296976380086
NDP,-0.03127135548218132,0.06648886669174621,0.08491448354688595,0.033373672780991105,-0.02636201578456229,0.04610014256092192,0.0134096962915807,-0.05033426596047936,0.007189764999089929,0.07598943689595938,-0.04243670559263363,0.04401347490250951,0.00635515225671019
TNFSF18,-0.0021142619792917238,,,0.07548661832164691,-0.012358479061745517,,,,,,,-0.0011943267419663108,-0.03715912718389918
IL36G,,,,,,,-0.0157952058273029,,,,,,
RTN4,0.05322930834235108,-0.037277102181945486,0.0008313983986699853,-0.14295588831483866,-0.025330918099563376,0.04636598360048134,-0.00443323514020598,-0.05510268660358213,-0.03881738157101278,-0.09967931044547033,0.07367617788240989,0.0007763135247911237,0.020310381637718186
HEBP1,0.05472393479137136,-0.007332948996706864,-0.008937638796395286,0.011014409077540822,-0.034789450561122474,0.01074521750163145,0.030982908702588526,-0.0007993819882161093,0.07618503651143617,0.0740449838678572,0.03664894599014546,0.02280813711553811,0.020595278857426784
WNT7B,-0.01618617690077852,0.02426857849823084,0.07910859175576827,-0.0093101702255364,0.04152225781405105,0.008388790689128628,-0.017360751465830583,0.0457595971427697,0.023575919704526955,0.022923209632826385,-0.003283104648457894,0.022837044939729947,0.01479768347363643
PTMA,-0.02368483553058426,-0.07049438396156273,0.04151029206003646,-0.06261096943218866,0.013940459733946984,-0.037881534571006986,-0.001680803779533019,-0.04642378249474791,-0.00011667648349665099,-0.0618850267168288,0.07755842990676474,-0.031536348440954494,-0.012059392668623183
FASLG,,,,,,,,,,,,0.056737389097007984,
CEACAM1,-0.025429367169298774,,0.07794438500666385,-0.014351797839358717,-0.01943694335376245,,,-0.047691865338795346,0.0026178946589735666,0.07105086559779446,0.011316790620916872,0.07721935844555843,
PDAP1,0.012699352212626096,-0.015254968298908761,0.010065096158419452,0.09569562901247661,0.040509141392640065,-0.011048850478469536,0.04952924728116128,-0.04865684738084726,0.0038408026290478892,-0.052645268557556274,-0.009015777267613719,-0.02391770316126497,0.056530287518338274
QDPR,-0.0014315084846648375,-0.03336502134910841,0.0068780577471475,-0.12881835311855172,0.08142102605368833,0.004870499311269043,0.0016395463872950662,-0.02261865477084171,-0.004917344801559268,0.10596618406459743,-0.08781883742729339,-0.0005625740823882993,-0.013782401484184331
POMC,-0.0033582630047428587,,-0.05005488962411742,-0.028540471360815174,-0.01433980181774593,-0.03548879885176714,0.015870553381818902,0.11261597792001812,0.03254509336978987,0.04729303652573892,0.0008931993304911475,-0.011558452670930003,-0.06627441721222051
CCL18,0.05654458266847458,,,,,,,-0.04089328120343525,0.06435595360419591,0.012046414436239751,0.01012570089052746,,
CCL17,,,,,-0.01541342951196345,-0.01633147378332645,-0.014429368948982595,,-0.030572770422285574,-0.04932941184441119,,0.1502765344815181,
VEGFD,0.0471096040719042,,-0.02379923286345913,-0.018393094386111263,-0.016421705459192394,-0.01197933352353216,-0.015464401628328343,-0.0460708523825053,,0.041264560807405926,,,
TNFSF13,0.019311886288688497,,,,,,,,0.006686164970808023,0.030536644937696263,-0.03320436767164552,0.08141418788055726,-0.0009561620578676267
WNT5A,0.018424183859655843,-0.03314465156046054,0.04009931292191239,0.0826772536911275,0.04627359148591131,-0.032798709340225086,0.0023816167878496063,0.09144404398736201,-0.011138050644903703,0.01133369725952443,0.015918031049032517,0.057504993707378715,-0.016416567738415905
CXCL8,0.017374205237028584,0.03339215422773366,-0.057324339981340684,-0.00952610320883307,0.003425732608364124,-0.011155676255851508,0.011642409143261525,0.13842197045570606,-0.09096404387653782,-0.14644705485528112,0.007729406879074334,-0.01842192204970916,-0.0690870918926673
GRN,-0.007062994000432786,-0.055268574811991995,0.0648969486901373,0.07572096932690336,0.03522869614728384,-0.028352800795327354,-0.00978849577224112,0.05310319126187635,-0.02079797288640406,-0.05581323511238291,-0.03550242317709719,0.07195449183087331,0.07782250981628067
MIA,0.058325371084967596,0.05068906448982581,-0.008310578319347348,-0.04540876740440945,-0.0017744263688395095,-0.013623969058868477,0.06033139205957296,0.04107773991918229,0.20081288915211468,0.21215988602031752,0.05579933207875436,0.05653601242390817,-0.04400703848615829
COL4A4,0.01874579765095969,-0.02150785978430303,0.07118917524539625,-0.018287466833939107,0.05294001218305619,0.0022747511065902438,-0.020544616253493766,,0.08148632797223966,0.08390332436885224,0.002488645319368034,0.026623802534700237,-0.0451797509253173
TAC1,0.05372871042492446,-0.0008820229090985757,-0.012381772519698775,-0.05556878392578356,0.04654425219368184,0.05253084996760545,-0.036409359624798715,,,,-0.051015505578922156,0.0053446760028701065,0.04063898915269826
RARRES2,-0.021407625920771688,-0.01671142304457132,-0.0070600073714425495,0.07971088756276885,0.029763431856070218,0.04672248272604248,0.004153134923228404,0.017703611733118095,-0.030136527871276172,-0.0437075647027205,-0.0040229160967168685,0.055014152819068914,-0.05026726568510125
FGF7,,0.008243169602384144,0.003771544589696282,0.049023740925083534,-0.019984690732237874,-0.005286167262741959,0.0018060093392597888,0.0794298695269994,0.044515313298470076,0.04430553096085035,0.036505956834459105,0.035728849720078115,-0.04961551075590103
EFNA2,,,,,,,,,,-0.03751763424252203,,,
HBEGF,0.0622508596647659,0.03458790546976934,0.07227549232668547,0.03590092443738917,0.03301392293149883,-0.030764077098162115,-0.01811563170959435,-0.03567183924714954,0.08234196528050367,0.055226682174890615,-0.026651894477230344,-0.015995733779493558,0.06394897017173275
CSF3,,-0.025357418417651736,-0.05889926589046905,-0.019347787920280156,,,,,-0.05422787680842129,-0.07331782642517647,0.013947037396801044,-0.011099555354954086,0.030607350041838205
PI3,-0.012396178364349314,0.028506313336358172,-0.05586830827381638,-0.0040187088927903245,,,,-0.06545945274481806,-0.10176524001708279,-0.21191804372764825,0.0006433941185295483,-0.05948283853418972,0.006355952079703884
PCSK1N,0.02747361808415147,0.010214091154919629,0.009245124527282067,-0.046191467301336275,-0.05975820828862318,0.078782678277106,-0.01598019465350163,-0.022216477473555634,-0.018622436565850303,-0.019210675836083938,0.006964626257200806,0.08023703441636586,0.08215235309635383
NTS,,,0.01230183126211102,-0.023780758725839027,-0.018383350557666826,-0.019529427962819697,,,0.026552991925898183,0.03291105268891754,-0.01283810956887671,0.07955230708777111,
SFRP1,0.08567888859086926,,-0.027150803221552524,0.00712605900299104,-0.015887056216511194,-0.016331473947797808,-0.041202238935643495,-0.0780362606142852,0.023473376435501396,0.024515593157904348,0.045108994417455674,-0.028077857468063187,0.06108423042928138
CXCL13,,-0.018412486131766388,-0.026906792724154624,,,,,,-0.0227397311807715,-0.04575445860155597,-0.025352623625572408,,-0.013221988786787093
MICA,-0.0064640929249199465,-0.04214424545123408,0.017038505444478227,0.05930155453417058,0.001054936824066232,-0.026726064784195737,0.06853593827236955,0.0429706284717534,0.02978333357422639,0.03207038363099062,-0.009633663206682614,0.09613604802745919,-0.040395893870181145
TG,-0.049972481367178696,,0.03821352328831868,0.05829966145020485,-0.015528446935286105,-0.011819016655590242,0.1517355393575786,-0.06461486031899412,-0.016959130656522495,0.05649567673875211,-0.03488899034048662,0.06825856613629766,0.044531801063636946
ADA,-0.025570930312251054,-0.050033071828237734,-0.03313599966870252,0.0911434579905161,0.010836215992042002,-0.019195033534630625,0.001495354276357763,-0.1171819694193533,0.005476588728744984,0.046193892893234195,-0.007059312057011096,0.11183908416403966,-0.011286811395028237
LAMC3,0.05034170749618912,-0.023267350161691805,0.04950385261476777,0.108535500941968,0.037724057349812594,-0.029393647981886976,0.007521090713971984,-0.05140960950239597,-0.007387412791190623,0.04622059674928352,-0.013852004211300088,0.10333695563874558,0.12979981269728874
CCL7,-0.020185153417789998,,-0.035673439428926125,,,,,,-0.02579583913875444,,,0.07038440133937604,-0.006902118702813165
NGF,-0.014736676571120995,,-0.038077683651479045,,,,,,0.05036264227946347,-0.0007833769721989244,-0.06653345122373362,0.05583271161893433,0.0352254221237515
TNFSF15,,,0.0030023892098229284,,,,,,0.08030986804543204,,-0.02632449515662203,0.023331203968937304,0.08809447460172039
