,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.08593483422157702,,,,,,,,,0.016342666730583804
BMP1,0.08310241648585613,0.05305004102208564,-0.023314982190712284,0.01824062824042391,-0.0016018280769183283,0.06136672840135564,0.18525765555421891,0.04772696321743805,0.050525732025038725,0.062094835032873455,0.00818915689363257,0.048572242602418166,0.0834372523914135,0.003658141381562305,0.017143918378361264,0.03665100727556234
NDP,0.03916631068751946,-0.007202184080630058,-0.0074011448702101445,0.003822652206412117,0.009855881821584481,-0.01598165742976606,0.0286732444322738,0.030241595761189767,0.04923013374011996,0.00334344375647144,-0.002098690506134307,-0.09455632239939772,0.030100975158968934,0.062272973645233674,-0.013900470474524099,0.04115185611230492
TNFSF18,-0.03311336419082518,-0.010387064845614592,-0.011756178371680505,,,,0.0028443126669820454,-0.0143391570405622,,0.3484727722931859,,-0.052922375403750783,,,,-0.006300348564197471
RTN4,-0.03295882881836282,0.0382406405539327,0.003226429480909671,0.1029402336894908,0.0054915375731041565,-0.014235783024275719,-0.12958897818544865,-0.0009763518564825939,-0.06798219989897258,-0.044900532088399454,0.01972677188105656,0.06977341230724086,-0.06932371106950351,-0.10073491637370117,-0.0012144839724606627,0.03598707890334561
HEBP1,0.024178549719269894,0.018773043611048406,0.01670778334136325,0.057375775472733356,-0.017472708473433612,-0.02398817855813874,0.05892546193992284,0.027434936321572838,0.038642328308749835,0.014544356560124951,0.12219599237632113,-0.0062089105512303355,0.05517587643133213,0.050986550842275595,0.034707757497437056,0.015376075033395442
WNT7B,-0.01882181373809393,0.03772377660650087,0.004574864711399829,-0.035723856252063015,-0.02209021918289869,0.022862614738598682,-0.04946482506048373,0.02340338289637246,0.03914374031254994,0.05323327973767799,0.09960012313295047,,-0.02815115378793923,-0.04985968387234098,0.017333146038039652,0.04350779842076146
PTMA,-0.07152746208215983,-0.005155629424838769,0.03631448130742942,-0.03766385747449006,-0.010980015900131049,0.050821120657561114,-0.1667499616155895,-0.06425457277114954,0.11716936832146492,-0.013305966811164712,-0.1453533249275858,-0.056942819852547615,-0.07053358063339585,-0.003983446012777337,-0.005514758103386763,-0.0721551727698333
FASLG,,,,,,,,,,,,,,,,-0.017409868275008077
CEACAM1,,-0.015803934635700758,-0.012055896488437145,,-0.037772353050219594,-0.01856477537223141,0.07255942383237805,-0.022552077949529372,,,0.13051226520895723,0.01615196231412879,-0.03008838246852589,-0.0036471169760066897,-0.017163926969733963,-0.02310931010371053
PDAP1,0.02459992859457472,-0.01710524206759427,0.04683431174048569,-0.017291029935922356,-0.011937254326457269,0.03192235964848841,0.1100632330781223,-0.0019075166800506592,0.07664353044403431,0.0916466105636344,-0.0514506846227816,-0.04374338326972859,0.0007553644790253478,-0.009074345624195209,0.02616324686225929,0.0194855518964325
QDPR,0.03375916163345991,0.0020118933638222916,0.04631104130532063,-0.01839048480927808,-0.013862745524961846,-0.012880571649589083,-0.16403691383653918,-0.022128071213449698,0.04219330720612685,-0.0020649490516186663,0.039601288760496414,-0.11073598057728805,0.012285425580429192,0.015777701696577405,-0.015929892858926507,0.07203943423755388
POMC,0.06991022715058326,0.07858126966046573,-0.021421404630910947,,0.08892380312624791,-0.04698965972024125,-0.0552323194167429,-0.01663802391603973,-0.004116884520107532,0.030998013568584268,0.04362061279650235,0.11463021804217705,0.009715450607016717,0.017486633508720664,-0.028077929772378867,0.01890973998940194
CCL18,0.008233517705669128,-0.019721817205965067,,,,,,,0.12616625945702004,,-0.038712226411740595,,-0.03156768306528462,0.05584195035606711,-0.026954437123369295,
CCL17,,,,,-0.01795747122989876,,,-0.01788372057770542,,,,,0.10642840859997973,0.02639745597499783,,0.09264334459214514
VEGFD,-0.013295483140842565,-0.01972182346856574,-0.01726765295281577,,0.005060425665596618,-0.005590305505097098,0.007392279574640921,0.009894750501864794,0.152633431112374,,-0.0436136503583772,-0.009729212255741717,,0.09263657529997243,,
