,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk
IGFL3,,,,,,,0.039295262431193634,,,,,,,
BMP1,0.08349789637962293,0.014088406892224447,0.01259224826269585,-0.01228591812402364,0.019698877540158807,0.21715170755015775,0.2851252708368109,0.05590938877537889,0.008991228805957837,0.06743021448517461,0.091923581368061,0.020157382428599616,0.10048975928064668,0.035913944273634146
NDP,0.019195088296949846,0.0324018090365401,-0.027461618097073974,-0.015947135305113335,-0.008858051225524324,0.020145081214155303,0.08802197790766164,-0.002392859710244719,0.03634215516868537,-0.025546172217933153,0.08076379230969809,-0.04889439660634679,0.03324236144839865,0.010733011335797625
TNFSF18,-0.040401005543187575,0.025019046847016023,-0.02528979954525549,,,0.09034643419065594,0.005218042577796599,-0.018798784105810415,,,,-0.043725903644340064,,
IL36G,,,,,,,,,,,-0.008487916927126572,,,
RTN4,-0.12185604907779148,0.03863019075928984,-0.029752697730084293,-0.023721232374662542,-0.03983152940739988,-0.3566704541457489,-0.32408273394857,0.002493661905168398,-0.0722046533025158,0.018411350436488394,-0.044184665059343285,0.11261965278216683,-0.17007869604464593,0.06739152590148818
HEBP1,-0.006406780942037182,-7.204787059929605e-05,0.01232825442836535,0.011411612214606919,0.026409664081665632,0.1802727504668124,0.14748967921433256,0.05267776862005841,0.04605041223485487,0.00745743113837629,0.027071617030835913,0.10820236082957352,-0.06972133829388746,0.018672136268833295
WNT7B,-0.023716226493882886,-0.01873673492262654,-0.015709239525174813,0.013796526058160551,-0.013054746025875162,-0.005201903995120026,-0.16134524678963263,0.005558767697672912,-0.014657080674415486,0.033326119418063,-0.040677895914544626,,-0.002617381056072599,-0.03348586273095298
PTMA,-0.047899248790143165,0.026039529756022913,-0.022681091168396235,0.02379609136080191,-0.017383763441558186,0.45625043384745567,-0.16296009607572243,-0.012539696967027798,0.04806117667309263,0.0487759560642536,0.06475658244569049,-0.059338692758419825,-0.24859146681079605,-0.09314371521326006
FASLG,0.013511245765883542,,,,,,,,,,,,,
CEACAM1,0.009297756914743126,0.030952798112308576,-0.012055896488437145,-0.004891097185680416,-0.01601100034805827,,0.13009476085014493,0.009367738749151458,,,,0.08141458046215143,0.03650523083699729,-0.018763780473416477
PDAP1,0.10021769109324712,0.02291921436196524,0.04751458781213742,0.0376840345992219,-0.06269828477588903,0.16358981249766325,0.23885470589947153,0.022560156990292787,0.053023691176416025,0.029377310246966472,0.07723993998367452,-0.002205691722025408,0.06534034258963008,0.08173918682479292
QDPR,-0.19579571811073834,0.12283067181360852,-0.003331726321141264,-0.021190514225032615,-0.03126504653674466,-0.10459434095924525,-0.25322377150692177,0.02615875215210126,-0.03308317665846895,0.015084801877411845,-0.0017485629032673025,0.036340002872085185,-0.25094432190568444,-0.0024925675311065934
POMC,-0.024061535066869835,0.019037039847522145,0.010203277847967946,0.03833639449058301,-0.032217918855724156,0.008412185946045163,0.015567889401173408,-0.021812622503552564,0.05353556369599181,-0.02730679506840936,0.0071477910046851365,0.011747884362492996,-0.05338656448363058,0.0422027249777149
CCL18,,-0.053294173671964915,,,,,,,,0.049702338298631826,,,-0.0720522326328024,0.07365460156211512
CCL17,,,,0.03660431220542618,,,,-0.023445743790789963,0.013785756379302532,,-0.01278667994497424,,,-0.013311994053385427
VEGFD,,-0.004753417884558751,-0.01726765295281577,0.003473803798247318,-0.015318418619666062,,0.08771920625341459,-0.02497945694079317,0.01648434287871742,0.02128136036350683,0.0208688579789714,0.02079326900715616,,
TNFSF13,,-0.006061513343054682,,0.020516849146636113,,0.06706841038134909,,,,,,,,-0.025543717096263793
WNT5A,0.08249900784934286,-0.01821865135252098,0.006979500058968613,0.06266596818391328,-0.0010481259932708666,0.3287827136252021,0.25323323985446977,0.05096001641045925,0.02748668917721349,0.02706657030823821,0.003834843954708443,0.0002597418053344295,0.09799789811607153,0.006851413306014133
CXCL8,,-0.03537418987302359,-0.016168406738585335,0.020863919135572135,-0.03967718653618679,-0.027129021735823416,0.04988527673793258,-0.03191527855438865,-0.024387987573534053,0.017784971118316884,-0.011184942965075278,0.006877383461390929,-0.057905489794384944,0.02969955723763569
GRN,-0.09961648756391041,-0.0485552094041423,-0.056388388379077524,-0.017525247307916936,0.07402440435716552,0.18841195690600862,0.25247113714289354,-0.005400425808652063,0.02340512540497536,0.023435039771629928,-0.00018644709420056357,0.07678053259038979,0.05443943636585168,0.07053486653224243
MIA,-0.02886367096857547,0.0001396456765057364,-0.015356642960508524,-0.001014455421768229,0.03239214003356338,0.04844668927648678,0.09528812928404073,-0.033873299766969,0.005872564061823901,-0.0407199807475545,0.007477487977609938,0.022110721941190885,0.15518777506067655,-0.051400529190079196
COL4A4,0.026592219797324755,0.05540828640656431,0.06395717028616565,-0.05587832777709674,0.06080704174165298,0.09605172718872312,0.04412256088193945,0.009863316187438777,0.042422858108183664,,-0.010314704121959006,-0.08501443499337649,0.03664894330666222,-0.00813877863176012
TAC1,0.029945343752811732,0.07679930262605789,0.023713377772618137,-0.026147609847705353,-0.013438721424292139,-0.24925667694614187,-0.22143536439607156,0.07126442891450567,-0.02425251762267023,,-0.08531060098681784,,,
RARRES2,0.21792324868532448,0.024892509713856953,0.05433346471525757,0.02067593669779371,-0.032408164799993505,0.2024531492412655,0.312476582682414,0.010098838296739672,-0.006655033404462503,-0.10269101351671396,0.037097179747358315,0.013789984424056732,0.07361448162989674,0.06655115782549507
FGF7,0.0230008634951675,,-0.01948973928325289,0.009942240959159002,-0.01664107563253114,0.08006185797930583,0.12007824754316855,-0.001930633314995296,-0.0029421558855231523,-0.02884374819886217,0.04359156600510388,0.12307767140382175,0.14742624854802855,0.03233550083757768
HBEGF,-0.04902933018892207,-0.03492592813916183,-0.047301627237149674,0.015804269697632618,0.008725335285845967,0.17099136156208442,0.15912385647870114,-0.01612881498095094,0.06052218507567502,0.02243934425185187,0.014972992732955702,-0.08278333959959434,0.037949408196190824,-0.009799429178550296
CSF3,,,,0.05099275046903141,-0.051036934238298894,,-0.019413639633522568,,,0.04599348821683289,,,,-0.014926921849885349
PI3,,-0.006357487480826604,,0.03918690921232957,-0.006908627458245292,,0.09081967724244742,,,,,,,0.07338868814360422
PCSK1N,0.14546292146140008,0.05993532686158179,0.01901611952451742,-0.03129836696821503,0.0002650045037730837,-0.14595635753150854,-0.10456489714516622,0.023134749452096978,-0.07602413867963595,0.0016609512934511034,-0.024660611284891578,0.04287283085732523,0.031832458107124394,-0.01822730573701543
NTS,,,,,0.12160014015450733,-0.022121867171342253,0.06222640174727778,-0.0279633631734452,-0.03038351514134432,,,,,0.02922428464499971
