,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.007207059132489758,,,,,,,,-0.06123940319813373,,0.04278651436403598,,
BMP1,-0.007386940180472952,-0.025469893769961543,0.03446862183661557,0.009371392799171539,0.03559489425637783,0.13718636497185588,0.09684029959330161,-0.029898015786828765,-0.020516102040021047,0.058970721079442456,0.039545732992330856,-0.09115956845284681,-0.008853208757153641,0.04096447445124187,-0.05309464333751295,-0.01238583761569589,-0.03554396927854664,-0.019233412555093816,-0.10973853051468084
NDP,0.1086788764563004,0.006955582648834195,0.04284698713335683,0.06948026310199801,-0.017621792337039314,0.020263450401721245,-0.021539928452067123,0.00440642786264391,-0.007797146889664739,0.053979738780365855,0.02889325382388543,-0.11448581233806858,0.05336533463102476,0.05540490694776775,0.012767356160834454,0.0901525345982744,0.027449348996501144,0.07633653633699906,-0.07860313369693758
TNFSF18,0.05620931176501157,0.0488801068831789,0.03173721852548045,,,0.009704303545010768,0.0170059891777175,-0.01944719458510975,,,,,-0.01425072313889931,,0.003815274570918744,-0.025907291361311563,-0.007384027474303178,0.0011461962309517446,
IL36G,,,,,,,,,,,0.08187384726476174,,,,,,,,
RTN4,-0.01939221403724664,-0.010108399560633915,-0.05163614980430904,-0.04110447556171957,-0.04843323858790576,-0.11194645671835693,-0.0678264943914714,0.07496964655402154,-0.04555679390206555,0.01925908081934787,-0.036277151121537114,0.04322460867084418,0.015927030008758804,-0.14532255230106328,0.05830309141440906,-0.03729056088360826,-0.010272232081769654,-0.019650994646716255,-0.00489873700372663
HEBP1,0.0064691041342653365,0.0327954729152837,0.05149335744436314,-0.027598927220371206,0.041134122418931975,0.010900274186568769,0.031281136187976996,0.011776752993263475,0.04272031006532388,0.014131907268111126,-0.013006268901259303,0.05060270942008847,0.0003714397255101165,0.0018756909959309804,0.02378946670439533,0.08320425183881391,0.012574784004006903,0.022557356030527078,-0.005224151081605002
WNT7B,0.006993633909515467,-0.03447621921617067,0.004458899352644814,-0.012613955136290544,-0.05573858219459886,0.040232325094834966,-0.054635647315065816,0.005827591939671788,-0.0027355764317637046,,-0.03613602707945824,-0.007298228130044473,,0.012030798100537629,-0.020911774942102192,0.03567058555895065,0.044349222227210924,0.04230595385608687,-0.06330258780233405
PTMA,-0.013604805684192912,-0.004955050309934155,0.013226604318042979,-0.08680100165467616,0.034116078038993185,0.07664992511925872,0.02837611382462048,0.07694087213204398,0.05995539370316209,0.03872946958315022,0.02662396119919607,-0.06534838890994,0.013997345235687507,-0.15474212249564281,0.0200486608538801,0.051559605148395304,-0.06896131339500364,-0.09725678552833943,-0.09396149318056578
FASLG,,,,,,,,,,,,,,,,,-0.017174634213455817,,
CEACAM1,,-0.03768529458914392,-0.00045912365449420875,0.001923615022295232,-0.021348873245762463,,-0.04843772248595055,0.009440044602525857,,,,-0.00874483393013584,-0.0172533924361055,0.00943540675500955,-0.035654606626989514,,-0.023895981013407556,,
PDAP1,-0.03655617194934168,-0.00024605432429269377,0.07481620854961647,0.00844796424122775,0.03656315194308973,0.06244505865134749,0.03491365872321934,-0.03585520321728098,-0.0453540970124396,0.0037634216841266298,0.02662372193346891,-0.009080953988516204,-0.002898237821626916,0.10511511297198116,0.017574262826187546,0.022475557531968768,0.10463922351271146,-0.01742928160850725,0.077107372488694
QDPR,0.04441169746882292,0.030742336654944004,-0.017875639463621487,0.011767875822701498,-0.04672396857979662,-0.05306568243851226,-0.02753503384357243,0.09422160142041407,0.03449575856605166,0.13255698534570773,-0.03011690338591967,0.050160237530031335,-0.019167703847356644,-0.09481538360001533,0.020475509081240843,0.0592535359537317,0.018019987798032867,0.026544596317511975,0.029636625570851456
