,UKF243,UKF248,UKF259,UKF260,UKF266,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.04776671135512031,
BMP1,0.019950675313931767,0.10992825540716651,-0.08338511761571542,-0.032413195470282354,-0.022868945898914646,-0.04826055926145837,0.19465863259003285,0.06461505619366731,-0.00036640392932292705,0.011810009242376993,-0.014526074173076112,0.11316054001368778,0.1494728467972361,0.071935365931407
NDP,-0.07422717275744303,-0.009557409025641974,-0.0606411939785549,-0.048491263174730535,0.025112526180316345,-0.04688948129370293,0.07261193072735794,-0.050193055957628116,0.00918078163233977,0.04168029763236519,0.06718640107117137,-0.04954275704381691,-0.04398475617683399,-0.015335432118068317
TNFSF18,-0.017415230000392738,-0.04561421564201316,,,0.0330970300481534,,,0.10592985237475308,,,,,0.06225638823959179,0.0028006854665591154
RTN4,-0.014905533304496356,0.015161019843314277,-0.013308933486533597,0.004091140286772393,0.012271067692667031,0.1307237464378215,-0.05596749119269278,0.10932688066869231,-0.058937114500450874,-0.026728730121469948,-0.04277946791772686,-0.12372690646495944,-0.09293205009245967,0.0014994633084563736
HEBP1,-0.011692992040676366,0.02545136164876046,0.08674475647246857,-0.017904929323823912,-0.011115643266786919,-0.045336390874960206,0.07255410730096763,0.08843397970830766,-0.02750927343495524,0.0031470970327170597,0.057796860003410465,0.01884413872467191,0.03989870109800523,-0.039319159691214585
WNT7B,-0.040647340411536594,0.03764099536705084,0.028527479772465173,0.00983963929847029,0.0664919964365086,,0.072986964609844,,-0.0001363706133233018,0.0716427777112269,0.15734008512092923,0.035005684768155056,-0.016000297315543383,0.011076953114777577
PTMA,0.09403426002796147,-0.03192551791949776,0.0609850202541641,-0.02506084783329827,-0.03726027804651485,-0.10150023491574649,0.22059064922053656,0.03885908684473053,-0.01327410524444543,-0.04360469380326504,-0.053840369119688106,0.003818982567559125,0.15826851140629655,0.07656457714633164
FASLG,,,,,,,,,,,,,0.039373729674009414,
CEACAM1,,-0.004861408072443852,0.014709445387825032,0.015754530794945598,,,,0.03535870350552213,0.0063337897666345695,-0.029007551476340054,-0.015839919415089613,0.007570121415081569,-0.0009959084028535582,
PDAP1,0.09171010321225713,-0.08173534279392793,0.020060807881174876,0.02291634416823136,0.037148122196573326,-0.05257413332264732,0.22216217301854613,-0.10025194015739396,-0.0006453367078722893,-0.05641862329947976,-0.01903090669966096,-0.04741486432004243,-0.06958535557953936,0.021444010947974993
QDPR,-0.10072947894775024,-0.09657354235822453,-0.05118771408603537,-0.006912567061456994,-0.04648810115398142,-0.10769347048937847,0.10783907050104215,-0.039530146788484266,-0.08663193933025183,-0.00028978725079051635,0.09082686292752311,0.06162460979129783,-0.016656033747945147,-0.08559738503781304
POMC,-0.032882860610769976,-0.006706656585811871,0.01472732797601003,-0.03263580238748667,-0.0011865795242779695,-0.02943916239032178,0.03726090187800837,-0.036419692126462094,-0.009792818811093701,0.023424674788923162,-0.0371072758123005,0.08693429907954055,0.08229198936270558,-0.007688703257767331
CCL18,-0.023355255384343937,-0.03622944023312396,,,,-0.03479819081069295,0.14754982734430996,,0.09026273250232579,0.11038275287232924,-0.038680034298088584,-0.04374044161359822,,
CCL17,,,-0.036373451726333585,,,,,,,-0.02057945376750623,-0.022865918096855644,,-0.02589689747971881,
VEGFD,-0.026314546433083754,0.022245415278399315,0.05580886995063628,-0.025403198620106465,,-0.02042609378225299,0.061493405910850396,0.04072227142122052,,,0.08459843476719861,,,
TNFSF13,,0.02440284897802705,0.024515000303571906,,-0.014919211433552565,,,,,0.050839115805452535,0.04022919892942066,-0.010636872633145736,-0.03314755618451245,-0.016435675113038454
WNT5A,0.014905949757337403,0.0015058981115058676,-0.01573256963203723,-0.037169453432857776,-0.010939227290972083,0.02198949334470379,0.042323749398946196,0.012743428169535961,-0.026204085283413656,-0.03871751230649104,-0.04080663878699643,0.046604373885336205,0.18809111280590746,0.07936772611427456
CXCL8,0.03971224948161667,0.0526992501168189,0.1693006217377101,0.08003668575712752,0.14004688636403595,-0.046544237851277245,0.001556457257516449,-0.03344538897867117,0.20551170697140023,-0.02344338705801595,-0.1151746306705268,-0.03807803251388302,0.006478475514635269,0.12516860172802366
GRN,0.09683222898186587,0.11793441321111722,-0.07833407040047274,-0.04393636222999898,-0.05612267083936386,-0.08135269088851828,-0.0029245783424510664,0.008035223140491083,-0.041038884250190234,0.009550651543142925,0.009243008668611089,0.21064050781702004,0.23533680527395853,0.017245169947452406
MIA,-0.049719657340095307,0.0733567037641643,0.06205134481742592,0.003190176880254556,-0.026976811609071366,,-0.04249067477285308,-0.03808279639602722,-0.054372854258297985,0.11079840209348087,0.10330482964347551,0.1923393802171535,-0.09420057256515808,0.059464500888333695
COL4A4,-0.026490183424903162,0.0048166903360043825,-0.01127240936806494,-0.06035862749770782,-0.014194970542059888,,,0.05961744642575534,-0.03094603364842484,0.015328861461238253,0.05778658910631233,-0.048682577850112055,0.2103348706861661,-0.025570852510400484
TAC1,-0.03317688953942428,-0.034865061174394404,0.017877926101306115,0.035349463329961445,0.019325709949873895,0.11773794654165144,,,,,,-0.053784429538327835,0.04023974108573497,0.03957077597686934
RARRES2,-0.022589040447431933,-0.026408002903901016,-0.03934613077209401,0.00651780676286248,0.03638907198722753,0.022259267314230738,-0.1547707651833347,-0.01883027627534807,0.07517882818622011,-0.006662270290861575,-0.0642295224217365,0.00872255505825477,0.013220089959130146,0.06972349071478418
FGF7,-0.04745066083353284,,0.08486986957138666,0.05400220820972095,-0.03019151899916038,-0.02237940353555788,0.04390674346818268,0.07085472970184593,0.03219371232019629,0.07319231106234848,-0.04251706029214234,0.06045033964063042,-0.033085562014038866,0.02105512232471685
EFNA2,,,,,,,,,,,-0.01505478334789318,,,
