,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.07792433380361412,,,,,,,,,-0.01657908437791982,,,,
BMP1,-0.04134402442886394,0.15717645626022295,0.0017452730238657658,0.024797021662914625,-0.03955339892320525,0.013385707240027153,0.05533273453717074,-0.008506728637820172,-0.0740958480364454,0.01602705909880248,0.052680509061163956,-0.0748445978704794,-0.04944048130557744,0.0518277515690008,0.057211442395088005,-0.03925507893231397,0.0019756730675341626,-0.07770535290908928,-0.03237292181421803,0.025290202827546505,0.03653569412879203,-0.0358396468075256
NDP,-0.03991577916922957,0.17452959305972962,0.05808647144996105,-0.009894891095246192,0.02670761319279271,-0.018158450122514033,0.09690769524812716,-0.009771391569972492,0.02524283373967655,-0.010407300395321116,0.025173002075892376,0.02647597132396823,-0.01615828260724981,0.09150020034978323,0.017953179532625874,0.039258299095794175,0.09581202899232802,-0.03938815132559454,0.1048161403370134,-0.0066592476434632905,0.14924610883357245,0.04359139487788252
TNFSF18,-0.033752068417268126,0.05035665168877713,0.023949452425743867,0.011830244191723138,,,,0.11244138271735862,-0.024260856491203988,-0.019943160911373506,,,,0.08150344784730171,,,,-0.047839970697005386,,0.036493293706317584,-0.027630982925919114,
IL36G,,,,,,,,,,,,,0.024410482607192314,,,,,,,,,
RTN4,-0.045655383020346156,-0.09183171494322029,0.020326649742752553,-0.0257525232948669,0.028242155678305084,-0.011501761625090224,0.06718386252203983,-0.020240331174887362,0.07336629610475733,0.03757768476161345,0.03729921963246728,0.10884174870611868,0.07279543541274949,-0.06021114766282004,0.012858278465534384,-0.09888812117165298,-0.097960835396236,0.03763986237416374,0.04241517274900177,-0.015976719275104682,-0.02242090347438432,0.06988479288104149
HEBP1,-0.009000313358257166,-0.05391787413009178,-0.011649061498041402,-0.01913444343827761,0.024100377449118634,-0.03690215657476649,0.007285141734629735,-0.00026039425163699493,-0.021071535183374297,0.027300485516336775,-0.0006981028555992684,-0.06416799341640035,0.006127940931962387,-0.07463884822777346,0.005490183358253935,0.03052302640198943,0.01393144689733777,0.0060960819208115535,0.009128378014526576,-0.014473278196160457,-0.026514021961489994,-0.02380252398782087
WNT7B,-0.03970301284537875,0.09219519464119978,0.03910713600629348,-0.0030759245030826136,-0.04139645088462618,0.03128083857840362,0.011728848462050558,0.03785424754215297,0.11653801002254024,-0.019764748974828977,0.02484325270539438,,0.006527285139209439,,-0.03141456567476522,0.006173991826004542,0.005987150035764151,-0.01662648735959203,0.01304253036668876,-0.05017242857009994,0.005743861409149339,-0.05397488953251777
PTMA,-0.04269829569966458,-0.2031572662581478,0.10598481974848596,0.07987673889807752,0.04224467558845777,-0.061455810548706476,-0.029013651746224615,-0.008349975286341332,0.03426094516595997,-0.009854486396602783,0.0038865408882434067,-0.10823727622388252,-0.023760209920404663,-0.01683576792386065,-0.018719587377960673,0.00024632371436363054,1.949760649167581e-05,0.08547041356105761,-0.010321215971458162,-0.009057203446082561,-0.015250340796730573,0.1374200733426499
FASLG,0.03760678698665784,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03702295750147551,,0.0062270799813363194,0.029831576678660633,,-0.017667289332035513,0.04348487052409451,,-0.03192590534735926,0.004758870065053942,,,,-0.07061796311084877,-0.010300167020068708,-0.0275095282792679,-0.02912964953629314,0.0019704764830204544,0.09873393941145697,,,
PDAP1,0.039234922577487376,0.04785563123206705,0.07931476651108424,-0.004498547401845956,0.08254801963949981,0.07284403868441484,-0.049638778125528187,0.037315704415062254,-0.06069646392620603,0.02889146019403721,-0.008969481350830017,-0.018535327372509763,-0.025917740039972048,0.13217269805394877,0.09474731443155249,-0.07690542397942385,-0.03384232256244467,0.015970667530160715,-0.060297363972572654,0.043971684162728474,0.01015195666367869,-0.033514639437894914
QDPR,-0.004766581597647447,0.16440440120296237,0.09723209111789671,0.00985289876785013,-0.07422897060369121,-0.0048608819749325835,0.1014642400320339,0.035095421720643234,0.0012224216923558252,0.009320082179602212,0.008718579085305468,0.013719483069277345,0.049461954415356425,0.05368929041897657,-0.03067318472653003,0.04981814482864892,0.08839213009785617,0.09422389259161726,0.010778765855721994,0.05450718456744148,-0.01405042707165594,0.06056742547063484
POMC,0.06583778274311006,0.021629746886430254,0.004318808167622214,0.011652128930563438,,0.0172660367265226,0.047650732449813035,0.016868747292738056,0.02192050693278101,0.024969908835479258,-0.021114031631621653,0.051781049486044665,0.033648374661325954,0.11313520897109731,0.08150297915813859,0.04005214440161291,0.019414783068916922,0.07206775392212145,0.0216935370738908,,0.006017409459504627,-0.017484969869777017
CCL18,,-0.07643256124214945,-0.04390264175170971,,,,,,,,,-0.058523917521743476,,,-0.053515850156544705,0.05418914018783056,0.022403420751888177,,0.03943193517010873,,,
CCL17,,,,,,-0.009682551090590357,,,,-0.024873004470647535,0.022479435470487922,,0.0036748789900301927,,,-0.019516678815544378,-0.04205047784854653,0.009077809336241723,,,,
VEGFD,,-0.012487106178916334,0.023481484188454443,0.061752108758777624,,-0.02203644261441185,0.06011747090064208,,-0.027369874823167693,-0.01584402582119283,0.09745582929799686,-0.029282588937454102,-0.009362552928041909,-0.041169423444391104,,,0.000616699040644607,0.0625614620247254,,,,
TNFSF13,,,0.08432584963820688,,,-0.01414370737477486,,0.08403820421748898,,,,,,,,0.022431302080733122,0.040310290465114064,-0.013305649885753768,0.03664240698438156,,-0.030058568148666236,
WNT5A,-0.04689728550504274,0.004609405648755628,0.007019689258118165,0.05273388427045142,0.039096449969358835,-0.020860559476864226,-0.01161277542531314,0.01588248750650223,-0.07323884656303574,-0.03135679567025828,-0.037262532484257774,0.031603253502493725,-0.008496212049204366,0.07199383749279674,0.05811142156290261,-0.019364475020192957,-0.03481588441969044,-0.02128971217036837,0.003921836605819843,-0.03417306838560587,-0.046956884067508343,0.03373693979737474
CXCL8,,-0.23491209668260574,-0.04682765142108103,-0.028941924710104983,-0.016107484637466755,-0.07049291251868871,-0.12986839269415656,0.020615127170563196,-0.03922238576442247,0.037944471882491615,-0.0006281686774388528,-0.056839281343486286,-0.060222574299228344,-0.12266308818146437,-0.010953275625601163,-0.0967279563274386,-0.09123914894671883,0.082984129242148,-0.04622424338127794,-0.004837277107797459,-0.05801598448418101,-0.016262740696850873
GRN,-0.05482207238391812,0.04007091643908975,-0.039329508259363447,-0.0023927483091714472,-0.03441061254861651,0.04934915548597005,-0.03533765880143918,-0.012041775166707121,-0.07481048219998888,-0.04463462749597853,-0.016400787362088706,-0.10207715181792268,0.02298079195871283,0.007423389601979651,0.030765847282124413,-0.006890886988590333,-0.06573216040294265,-0.10429091285458392,-0.019292124663921998,0.03725682890794459,0.02964598256517453,-0.06546544865241417
MIA,0.034663887908723184,-0.02066833872242229,-0.00410396524653481,0.03373496416296458,0.0038762252869375164,-0.04111693998093579,-0.0831031276133625,0.09960004287572216,-0.029607612121600686,0.013079115401922694,-0.009822221926925822,,0.045044614841981453,-0.00248583731550942,-0.01722155150808893,0.1225950763625918,0.1826357817623614,-0.014247746031772592,-0.09170740626698279,,-0.04432739001580363,
COL4A4,-0.004403047718878245,0.032333690949217536,0.06571954662983112,0.06909745530688981,-0.016735590190201936,-0.013186684429462737,-0.0014995852437961399,0.03583762666418229,-0.016099499411562624,-0.0259681862050705,0.026391227089144646,,0.03136675907306427,0.022709378981082787,0.05135989149485116,-0.034499102423334344,0.0506545014365781,0.011315985677017765,0.027603246761789716,,-0.018791419141986898,
TAC1,0.00910656167381095,0.0578819418663958,0.07215613570369586,-0.03673839066879666,-0.07181140475018925,0.010085010647065764,0.08780696048283657,0.0671414285517968,0.058086629766524026,0.038520048184194675,0.014263749567305905,0.07086533547394183,0.07783053100059739,,,,,,0.02570021814470462,-0.02394148719853445,-0.05957399441851269,0.021105409605692477
