,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.006943428497656485,,,,,,,,,,-0.029258481816552585,,-0.00037840975582537854
BMP1,0.04500286762787039,0.05062159739834874,-0.012156114845598432,0.05420117709559601,-0.035764676401508474,0.05686516786636649,0.12183029662485138,0.17730153140049965,-0.081144039887727,-0.026978757817669306,0.05612998949333625,0.009625939167707607,-0.002228929026169749,-0.051328392360402555,0.10063623413018817,0.00320473663158188,-0.009482109756747424,0.020113166935587533,0.05324439823740414,0.07407768624225504
NDP,0.11952758520325202,0.030031100506448714,0.051313707754880616,-0.04950845109559546,-0.034502299797663304,0.004327278925841823,-0.05971726621236436,0.07171032390942893,0.004305788029202534,0.01759686957416715,0.0246574387869134,0.005352085114390509,0.017043224806994207,-0.008290202444393598,0.02603937221850212,0.052687323759596796,0.07957587991284913,0.0869960963095948,-0.02596593105224826,0.026168383063578098
TNFSF18,0.18858501187147517,0.038838581043530065,0.056599742894029165,,,,0.054141261626114184,0.10613691072415737,-0.022154135353106195,,,,-0.03365918206789623,-0.011515890844410669,,,,0.00461336598478995,,0.049678463933976236
IL36G,,,,,,,,,,,,-0.003549335235224756,,,,,,,,
RTN4,0.0003669101800857529,0.02299654797750487,0.001179844029096861,0.03594264418336185,-0.000636267355671596,0.0021940404615406854,-0.1515144814713351,-0.24655785816677667,0.03639605895690956,-0.11494119405944568,-0.07531582136789786,-0.04963270222201673,0.009877356126313231,-0.09658356856856558,-0.06577093253821122,-0.015353132404111076,-0.06799771784876657,-0.03968400743100633,-0.01466960520930052,-0.049970553913220334
HEBP1,0.038938898158449184,0.04573369076599052,-0.0060025492638872925,0.0048521376530407615,0.011714253134947417,0.013073159109533479,0.08196244628345607,0.13174194968809894,0.003701082379303591,0.015751083344485613,0.04126648004185629,0.011938826201101866,-0.03906271771795497,-0.002368237322324126,0.025806465144076775,-0.015683967133143215,0.06882224008855722,-0.039219437317725904,0.06324514284134476,0.022404817410453224
WNT7B,0.0701106128353635,0.032160605255531265,0.057871067092115064,-0.0012914113030793855,0.004190167865520032,0.06922533423820884,0.009875828089148993,-0.035908722639784965,-0.011314104541609058,-0.02983589074323599,,-0.030990740670730592,-0.03705547413849235,,0.034186979267910485,0.009720959210762778,0.015052486635102667,0.0064336456323259615,0.004891014467133901,0.034388147921221315
PTMA,0.10774916110576599,0.03190630098208604,-0.02059784054772134,0.09510744624637867,-0.023322969141657622,-0.00836674280003204,0.22001240341838565,-0.1320564501154358,-0.024890189188356417,0.03196812147658159,0.06365908226497842,0.10076551412409758,-0.02381836077458461,0.0300884998426005,-0.09435424756193807,-0.08618962296218867,-0.0501576090432327,-0.0280170266917902,0.006252336551316018,0.00629315098500285
FASLG,-0.005527439450708622,,,,,,,,,,,,,,,,,,,-0.00753024428715408
