,UKF260,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk
BMP1,0.01944386824545134,0.041768808039405664,0.09322190805220111,0.006570001973608944,0.05213077536908524
NDP,-0.03595523151276178,0.07172572032364553,-0.0020395309138427397,0.017442363926226476,-0.020423991723193383
RTN4,0.007753542912624808,-0.08603988390288789,-0.09019875408840558,-0.02669994801752537,-0.018482927861035815
HEBP1,0.028625232118106938,-0.007122353222437662,0.1272248377087173,0.03608590876506125,0.029982623609849064
WNT7B,-0.05733320830623786,-0.007402558269945697,0.0781572454257826,-0.0362885127875841,-0.03132424989156196
PTMA,-0.0379748050098884,0.09833236859814617,0.019402974140443337,-0.023709219986786725,-0.0016698085743333845
CEACAM1,-0.006164544963790558,,0.11930950435787241,-0.020334243532079858,-0.015175140732945847
PDAP1,0.04613696184618848,0.09771811241070912,-0.03306682706223374,-0.021685290646552537,0.05183798874131292
QDPR,-0.07272892950954474,0.0008260398236876542,-0.033192425707015416,0.02816443471326737,0.01996198017853319
POMC,-0.030083838184919914,0.04893239309583603,0.035629177353269426,0.09565802252306965,0.04045746730058868
CCL18,,0.056139945143396125,-0.04498775115289324,-0.02538347213381564,0.04774685727599971
CCL17,,,,-0.014426161580958398,0.1123579304619019
VEGFD,-0.021823010162025785,0.036492358330975784,-0.007623719131984892,,-0.015175140732945847
TNFSF13,,,,0.03604940605684867,-0.023811364728388806
WNT5A,-0.06583230402728886,0.007714728973676454,0.15475396115790313,0.0022174458263866954,0.03188384367465183
CXCL8,0.11941097059487978,-0.019429317515854364,0.07618436346211516,-0.029937521421364993,0.06707665205895175
GRN,0.06779219315504077,0.009117845811166463,0.10002105260032455,-0.004534017164497942,0.0474318412787884
MIA,0.062461826122227226,0.018519563923727105,0.17906104178228893,0.06169690582498849,-0.04537207354790923
COL4A4,-0.026503218469566894,,,-0.0033290884482931205,-0.024297773081950975
TAC1,-0.04822748448746274,,,,
RARRES2,0.10817427340521703,-0.01690714149638949,0.01518994382211056,0.006454861379465014,0.07802256384606034
FGF7,-0.04178471771846677,0.017246522402792622,-0.01775270624451759,0.019494826990310736,-0.04933785240673711
EFNA2,,,,,-0.014422955699550578
HBEGF,0.07068188940450085,0.0506624432016378,-0.0015729193393968003,0.0071224292013729205,0.015629477287386756
CSF3,0.15289805135836987,-0.022242041913568555,,0.028613332698480133,0.057335140014942845
PI3,0.07916929012723257,,0.05665969109245,-0.07044403637694925,0.06841141591069234
PCSK1N,-0.0460583249077087,0.037426886284937885,0.00696910050434987,0.0036183386540085296,0.0393200761726924
NTS,0.016425763065473723,,,-0.02010826681747332,-0.017571634570447116
SFRP1,-0.02489627535519579,-0.048129133516828036,0.010295976205418986,-0.024071999506397226,-0.011454678464078109
CXCL13,-0.02467252681695902,-0.03158223224161335,,0.09229553410781534,0.08029893445548442
MICA,0.04416837800232634,-0.0006370049525194826,-0.056384264443281124,-0.0035457989003103373,0.03444756483114538
TG,-0.037915460463467554,-0.031600433355367434,0.028307575241448616,0.09474838567592771,0.053920331789073093
ADA,-0.004897663378003865,0.05122682724585945,-0.04651064613736001,0.05747083691703252,-0.017990096619730733
LAMC3,-0.0040272244956474764,0.05935261099012853,0.067620911796635,0.002009937664266892,-0.010270884707849521
CCL7,0.06946236222283685,,,-0.02162149097064116,
NGF,0.11628686060421059,0.08063531693569487,,0.04855512835386992,-0.014229086909977338
TNFSF15,0.08339824670255698,-0.014164169472250514,,-0.021078525812337292,
HMGB1,-0.015206514695057257,0.09776414482312358,-0.1316557312755941,-0.05101121675417236,-0.01648648371372785
ITGB3BP,-0.017819810324873564,0.006806907401915112,0.044678043762990234,0.05370523156577978,-0.02061283158717926
AANAT,-0.021823013277383473,,-0.041325533454159034,-0.018968148407678707,0.021669770067556448
RELN,-0.016471351810082413,,,,
IL15,0.022890778036328874,0.015649963309796185,0.043891351758090925,-0.03475042503984934,-0.0351890471256657
UTS2,,,0.02414608257061614,0.09213479535317733,
BSG,-0.0018987633333241336,0.023969282869799144,0.02234978657798128,0.03324109260491666,0.04439128381613857
ADAMTS3,-0.01983227080188058,0.060109224464712924,-0.05480959275367706,-0.02297510363957299,-0.047994120990106484
CD34,-0.04554836117956953,0.0563141170057137,0.07352250030012113,-0.013950727941543242,-0.01607549041166568
PLAT,0.023652420059774047,0.02995641133137573,-0.05023192528902032,0.07104050561842835,-0.04044269815991046
NTF3,,-0.01765218508907178,,0.04882753013426147,-0.04428693750677915
CKLF,-0.002864138746680384,0.07308754055287701,0.05027760633872247,0.04212583591992065,-0.04347870363324707
APELA,,0.004601230047695684,,,
CD24,-0.08869524438657897,0.05078871052826597,0.04938371516757578,0.01693275485280371,0.0059483314635816464
HSP90AA1,-0.027269556758877465,-0.01577524271819212,0.05529855333200103,-0.10800947022790486,0.027065351082623174
BMP4,-0.04235108252035633,-0.04404761560682423,-0.023023546187679943,-0.04116237275751416,-0.005412001817625317
SCGB3A1,-0.025988514771052323,-0.029653877893392924,-0.029556204177701117,0.049973696534301774,-0.027609243597847388
IGFBP4,0.07735893219584866,0.10111729616779537,0.09726956402820196,-0.04388337019229984,0.010356324816624886
RSPO4,0.06734852978084446,,,,
LEFTY2,0.02035656744768288,-0.016015282804034848,-0.0995319548269411,-0.018354197393574842,-0.016583807723071827
PF4,,,,,-0.013219637446379008
ANGPTL2,0.0018935686542913789,-0.03552542153357613,-0.09848352426716646,0.07691340284409302,-0.054868770934511556
LRIG2,-0.02145359617701823,-0.015788702887057353,-0.02650660277354499,-0.002776840583478552,0.03504841626760254
ICOSLG,0.08580618019424886,-0.0026217833365428807,-0.040265486064126756,0.017401002563133604,-0.04021972560650543
WIF1,-0.0845852312405393,,,,
NPPC,-0.007865282624121688,,-0.06331816715976145,-0.0184731126595214,0.04334360028043135
LYZ,0.10140156142745678,0.08934363036971354,0.12947432496707403,0.022409618755054483,0.03401381461897464
EREG,0.10514910232219718,-0.018727373579380212,,0.030857730616212796,0.09253773979743732
SPTAN1,-0.04129683921970969,0.05468674400889524,-0.13328979498279891,0.05174588794387411,-0.08112320156956876
LIPC,-0.029040068443160382,-0.02341617495415362,0.07240561430781556,,
COL8A1,0.03446422592985048,-0.02686572461741085,0.05144819486191358,-0.02661013220628697,0.011929471986480615
GSTM2,-0.020082325832691938,-0.009446869723740196,0.053295525156771155,0.060684314480468474,-0.028630994508692758
IL4,,,-0.043637188785948834,,
SPX,-0.028889994380418046,,,-0.021799783177702845,0.03355280806310609
MFGE8,0.011240283665258583,0.018831625550321033,-0.028589349513637497,0.004093491821812042,0.05049960474461721
TGFA,-0.0015205263689024862,0.0790078694189034,-0.012768287457010885,0.08469963910907315,-0.03415776381849036
SLIT2,0.01033776449290578,0.04981370410695526,0.0014769443577111884,-0.011052238792143785,0.029528554426440732
PLTP,0.03967703442884804,0.11390796634062338,0.07685151994876495,0.01031647012472898,0.04371697259479194
APOD,-0.11398740336125121,0.04113483600761102,0.06345593627020377,0.14264268506150518,-0.07175579825781535
B2M,0.08429049452288946,0.143674066669518,0.0988163862706507,0.02409480630493523,-0.02275076140491982
OMG,-0.125576735731504,-0.01186014858332745,-0.044848327530720725,0.05965659856260355,0.004408670665182162
CXCL3,0.11275313113102867,0.05781730074793984,0.014497181883214253,0.02658556450856268,0.042246343464741605
CXCL10,0.030011644530940587,-0.01616066741463631,0.10742144875286076,-0.0034254330894605053,0.14449492822194807
RSPO3,-0.02904005053853363,,,0.03816000137387007,-0.0006389309186952173
CORT,-0.03524448594642259,,,0.01019464918089336,-0.013833678684968632
NCAN,-0.1460744166913781,,-0.046753772967802365,0.11596645494667204,-0.05435482048730442
