,UKF275,ZH8811Bbulk,ZH916T1,ZH916inf
IGFL3,,,-0.04277800380611673,
BMP1,0.027884012096347322,0.03895067564113747,0.1541729738971074,0.03150734610566209
NDP,0.020486954116090892,0.005511635643447814,0.016438610061189754,-0.0049326176274030326
TNFSF18,-0.012622089446573373,,0.00018153161536197448,
RTN4,0.01846329367112246,-0.12970988718980334,0.018501522365991934,0.03217695335577944
HEBP1,0.023888184856806768,-0.006189378428250579,-0.03481230696579446,-0.002429019931120517
WNT7B,0.04017915170770281,0.004344942576315606,0.04288187183269424,0.16315379891973486
PTMA,0.02797513562202968,-0.0723876148734472,0.12623062824462303,0.019959979367116753
FASLG,,,-0.03710134810711817,
CEACAM1,-0.01985153968813039,-0.019381568418418704,0.011446259690587572,
PDAP1,0.0008697683075104793,-0.0336904378955989,0.007950664333673458,0.13104006800097584
QDPR,0.02678439563027623,-0.0335849805119596,-0.07414878969075497,0.016528643167251774
POMC,-0.014645674462481979,-0.045404094940792776,0.02404608955049773,-0.06180830274385236
CCL18,,-0.019985074521140865,,
CCL17,-0.01574220298520926,0.0016330149517932186,-0.008672137855484697,
VEGFD,-0.0003376062604521447,-0.019381568418418704,,
TNFSF13,,-0.030411684658531755,0.0061139052674280365,
WNT5A,-0.022983076982899,-0.03613368351915798,0.05419123014869437,-0.04313002396067009
CXCL8,-0.0222188234056978,0.06544215899119,-0.043139554854868103,0.023029397712957013
GRN,-0.022897096690455632,-0.013196731259382416,0.15711011425656285,0.06707955603885234
MIA,-0.030941508203853517,0.0024511576397957613,-0.05472500916348447,
COL4A4,-4.1902264991029e-05,-0.005076924061292846,-0.012278949516404564,
TAC1,0.026326701062449748,,-0.04420769473488515,0.035775993955632204
RARRES2,-0.022096874133694183,0.11240029900981495,0.011214661193853497,0.00627581022060275
FGF7,0.002450568033185536,0.02304092284530338,0.01955308066626419,0.06018641922423083
EFNA2,,-0.01842088370750789,,
HBEGF,-0.01070962028986756,0.03459442208205383,0.15913086478205543,0.1299455374520847
CSF3,,0.07704380910760439,-0.035405311943958816,
PI3,,0.05710763575484392,-0.07692398059243258,
PCSK1N,0.04861048541401049,-0.0834957846220612,-0.10595272731822147,0.09874595579410046
NTS,0.04106114515052617,-0.022442351187636093,-0.019601693429253827,
SFRP1,-0.0007126030406266721,-0.020958816473806336,0.13765944859638835,-0.03181248082015332
CXCL13,,0.05289464118996482,,
MICA,-0.05483742797045733,-0.0034818477865557083,0.09491716467424807,0.12245395773638591
TG,-0.01585967376764452,0.032574765251671425,-0.005442532464013915,
ADA,0.05006867760926731,-0.027177248703112084,0.1121614572689403,0.04466070474508573
LAMC3,-0.006908528541538813,-0.0677100395246111,0.11010955068694045,0.030725664832821048
CCL7,,,-0.037101334914321625,
NGF,,0.04982852942283044,0.09484338989067728,
TNFSF15,,,0.10959268176135004,
HMGB1,-0.016019209156121827,-0.03459777697808544,-0.07426192623907693,-0.006202742337816616
ITGB3BP,0.030543789872835857,0.03526232023699697,0.024496470376403935,0.027092979366636575
AANAT,-0.014262697303464704,-0.00851376255615721,-0.0392547595458322,
RELN,0.08849211649980139,,,-0.004146077014987444
IL15,-0.009764075161569035,0.0029482350645524996,0.013917376211566655,
BSG,0.0010308021973969373,0.04477271843286834,0.029606884848770092,0.04579163036196923
ADAMTS3,-0.05086771520300116,-0.014523627697303091,-0.03590289453758066,
CD34,-0.017441749841976363,-0.04523556829813155,0.17438828427031874,0.07627226507665627
PLAT,-0.04801048823375817,-0.08641216519319213,0.045921844085811736,0.02224799239981425
NTF3,,-0.07889680865668552,,
LTA,-0.013736463908757535,,0.0439941480129668,
CKLF,-0.021203536407934508,-0.03794011279881641,-0.06485503601589447,0.049586146625337446
CD24,0.03151403425129103,-0.059370571246581946,-0.05316434256367686,0.09898537823085982
HSP90AA1,0.0024985754604104774,0.02778704350135224,-0.07514916517700407,-0.062427721802033966
BMP4,0.0006522561928115056,-0.025369856223553398,0.053128977032949616,
SCGB3A1,,0.010530285603956848,0.0778168044283732,
IGFBP4,-0.052169970989481854,0.01461860082370355,0.1981218575599349,0.029623994341876587
RSPO4,-0.01597634378052218,,-0.025544405891309813,
LEFTY2,-0.03934415377034461,-0.001330691909250656,0.002587879274997632,
PF4,,-0.01688401525512225,0.06939265478756126,
ANGPTL2,0.014178761463198802,-0.07436091067625421,0.15934331712035193,-0.0749442688355048
LRIG2,-0.02699286866930883,0.026829099678193937,0.07615664193942467,0.11062189389886491
ICOSLG,-0.013041407747429694,0.02430637504345625,0.08353012674482488,0.01875326338557328
WIF1,-0.012328566084821505,,,0.03164757433939743
NPPC,0.0003576156589258705,-0.03194568876716807,,0.1445531615477797
LYZ,0.0068122540168387554,-0.016938720433235317,0.04948523268814473,0.061593085319880676
EREG,,0.03045431369659341,0.009225526118548094,
SPTAN1,0.03465799556220703,-0.05560705338680615,-0.06565412570194855,-0.0015963506290017678
LIPC,-0.020689717866279392,,-0.02069698660284076,
COL8A1,0.039357142466281574,-0.0009860239164387276,0.05645871483860608,
GSTM2,0.012904890646971359,0.07288153726526879,-0.05745044178524578,
SPX,-0.016786174609622503,0.018020203455311152,-0.05170998878766506,-0.03139595169754307
MFGE8,-0.0024771800206745214,0.0777963385509155,0.11809050043176775,-0.0401288648672714
TGFA,-0.03658143332995276,-0.01655823842985615,-0.033495706744048136,-0.0017062062352410992
SLIT2,-0.0025488319396991203,0.017077416137777475,0.07181380361746569,-0.003041438889121555
PLTP,0.024827418546745222,0.02727713192939048,0.05055395164561877,-0.07767564247248503
APOD,0.03909509836390062,-0.05054069486633657,-0.08810913339747227,-0.009235502048751764
B2M,-0.030802219655705093,-0.005496023075354657,0.12384525318673613,-0.022931767511203818
OMG,0.0682003886215264,-0.02837843575197966,-0.03057134610434141,-0.011459781468760886
CXCL3,-0.026883502943086605,0.04334193375240401,0.03743952812127315,
CXCL10,0.0039319117107594805,-0.02264635907385373,-0.04590898861367572,
RSPO3,0.04630684054838004,0.009007993163279432,0.045179673017214636,0.07833090318362468
CORT,0.043388833950496704,0.005032463520269649,,0.13854589923828797
NCAN,-0.016120331529592233,-0.043258189828623006,-0.16479772013923263,-0.06816008900139811
PRG4,-0.0204171331147876,0.08409443974813197,-0.003842637117768174,
ZG16B,-0.01091486755085125,,-0.04694624640399786,
TGM2,-0.030543804180985356,0.06620093905798664,0.06858041968850888,0.02264761906939262
VEGFC,0.05811084102788196,0.01359556409539032,0.05451278685407187,
WNT6,-0.02429064842695862,-0.032837258006468,-0.03259156150986039,
NRG4,-0.020969227839597978,,-0.03765060434572455,
PMCH,-0.015976343009491033,0.04027592126390754,0.0461147928693039,
COL9A1,-0.029253270587196505,-0.053896332161324265,-0.0976565500803347,-0.05134674162802795
GDF11,0.009207507343738966,-0.01657308032555731,0.026811769608182323,0.0690790250996609
RAET1E,,,-0.04130244545249987,
IL24,,-0.016614808216028305,,
SORBS1,0.019482743906138276,-0.008857727756714727,-0.04094168199560158,0.00470596493867726
DLL1,0.004961272442968232,-0.012265519619856795,0.06462053510762202,-0.04290523694518878
TLN1,-0.06997536882693872,-0.0008858498835272964,0.07489511364431023,-0.058469520374855775
COL2A1,,0.05651616769955096,0.049899592165806333,
SHH,-0.052453278140690916,0.014774927660946992,-0.042305638557147994,
PON2,0.022232634618387082,-0.04979286300477669,-0.0640409328287553,0.06340547388791141
ICAM5,0.015083390861966365,0.01042101329816392,-0.018345158516473968,-0.04625881707563877
HPX,-0.021419751088300885,0.01570551554307807,0.027505081177758062,
SFRP2,-0.017851961836265313,0.03499528786386688,0.12950573876238267,-0.0422612906731046
CFC1,0.12724744072832186,,,
CD70,0.0283686983096438,0.07462952752718555,0.014634198544042111,
HP,-0.047594829399932925,-0.005151430426988072,0.10890614899135684,
CXCL2,-0.03763641551852419,0.08188657096976469,0.07861245258713603,-0.03647543167177495
NPPB,-0.012028207169398841,-0.03880920460286519,-0.02755247737650127,
CCK,0.03620577148475339,-0.050554043203200026,0.02423573986341532,0.05400603704196233
SEMA6A,0.007146798533124408,-0.09701285335174373,-0.1121542461890916,0.01760953588889379
IRAK4,-0.022531210558967077,-0.0154410204575003,0.048408307118642684,0.07213244624428315
GSTP1,0.058966315690900176,0.033778441024076566,-0.03840408913629895,0.045375140165557146
VCAM1,0.03135296935724872,0.02238857224897325,0.12236112016343095,-0.0019257182827057426
NXPH3,-0.034966237503793116,0.0032031907530282425,-0.0692633345539787,0.011236239138588539
MTMR4,0.008373796721590098,-0.0231667663932085,0.015784158163127383,0.03945260995766734
LAMC2,-0.015142170909140459,0.05294818615984076,-0.055093522763517776,
IL10,-0.04734437560722402,0.008083716165718709,0.08160864355096267,
SEMA4D,0.04490588639156329,-0.03666726341773709,0.0011740412715896898,0.022965013754575245
TRH,-0.039902054296381516,-0.062331939608071756,-0.04277798758189965,
SEMA6D,0.023088997170291586,-0.035209063991564316,-0.06116548682126189,0.016382693432805292
CEL,,0.0034376969692869372,0.02127549450425762,
PDCD1LG2,0.005487470297930934,0.059350962686662394,0.12326632552078144,
SPINT1,-0.026306213041352028,-0.008347739151305279,0.03493357890362099,
CTHRC1,-0.04970912377732057,-0.004472249186780744,0.14358736950576403,0.09288107847356789
PODXL,-0.01817435982840921,-0.03752184101972462,0.11297239941080331,0.02923942831312873
JAM3,-0.08600765786261992,-0.04381862703772951,0.0547566826510319,-0.07146442892089545
