,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,-0.01821903890066721,,0.14815337092619676
BMP1,0.07559272924551222,-0.055564623878545924,-0.00209804481615556,0.04310766962536495,-0.012014815116560277,0.016235887609370142
NDP,0.049908209096361685,0.03281370031968684,0.06832817954558498,-0.0591428437566637,-0.004755016197558158,0.014053609853732534
TNFSF18,,,,-0.01878897323333641,,0.03759976962395573
RTN4,-0.06761659062006001,0.039506257790846766,-0.03993228292884356,0.05167493123479046,0.018639917644948014,0.023853849736587024
HEBP1,0.07640086915311836,-0.021666405548010324,0.06246269834479889,0.0285088413975559,0.008739288249958062,-0.008611188444533117
WNT7B,-0.029266083077089593,-0.01337888402956415,-0.03444589148167077,0.016976747066952878,0.0070183512289262945,-0.005396371707950511
PTMA,0.11716718920260263,-0.02738096012843414,0.0037035199328813496,0.002255749516177161,-0.09546319580697123,0.010421691305036935
FASLG,,,,,,-0.013204618874924825
CEACAM1,-0.03816532095582586,-0.007083241899537647,-0.016687430751436565,-0.026997792940948763,-0.015698624378671183,0.0037948185812006372
PDAP1,-0.04185969800285675,-0.021871546438907756,-0.04632616312627844,-0.034748714725803466,-0.041713682304514006,0.027455015531900752
QDPR,-0.08774510411990247,0.017084935583848982,0.014530570619998826,0.030624261834490008,0.005303068984826742,0.03938421092488185
POMC,0.10225798238790333,-0.015055204514265723,0.0036459885333341665,0.03337080544510137,0.032604178166727456,-0.01847449631761179
CCL18,0.07302361567331193,-0.02501514456396848,-0.010487908646629638,,-0.01431439658199612,
CCL17,,-0.01767092410872918,-0.02408935391715438,-0.024020750367399642,,-0.011968503872359312
VEGFD,-0.036868108542118146,,-0.016687430751436565,-0.025334477649368584,,
TNFSF13,,0.04237577248708362,0.022520619408831266,0.11095548556182257,0.0034646518551256114,-0.01950167808958147
WNT5A,-0.007246820490441074,0.018748557861617884,0.011944981560741443,0.05370289010552315,-0.0300277490987965,0.009211786132056185
CXCL8,-0.028594018086819085,-0.02959409532816135,-0.06187909742412702,0.011400051473447012,0.006925010636580321,-0.014848268848534388
GRN,0.10898281956701014,-0.03883674458085427,-0.1055693516688984,-0.04297921975184172,-0.04116934747774339,-0.0521962455828516
MIA,-0.0652182385346583,0.02225245477264982,0.13957372653398678,0.04469045577656598,-0.002263876463895706,0.033658065978038186
COL4A4,,0.0275512315229888,0.06420329401173826,0.11566072207090602,-0.007682204155755289,-0.035147733415281414
TAC1,,,,,-0.02708459931644763,-0.015733815348914056
RARRES2,0.014326809839718643,0.013025040068999922,-0.028546165687637313,-0.03259559023261934,0.0038417709316695726,0.027993084100737375
FGF7,-0.062102620808016366,0.07268805161203495,0.09530528760325731,0.00045544673376163357,-0.021062017273682163,0.05331052662717436
EFNA2,,,0.08658075279218888,,,
HBEGF,-0.03142224871777185,-0.014734718934884872,-0.02056879671388495,0.026923028646343022,0.024607326224799327,-0.013619017729323689
CSF3,,0.0019731546361103974,-0.07495040065742138,,-0.022506122457971525,-0.012600988217948446
PI3,-0.05238379765293955,-0.04683277819130235,-0.0775967190664992,0.07789958482349686,-0.005171949559239839,-0.027377761129663822
PCSK1N,0.016741064718955628,0.03628663222776255,0.03845240342487334,0.05131868183409017,0.09826889735689456,0.01842556955160194
NTS,,0.023882231540662328,0.001974631031681557,,0.0348258995657369,0.026386932487033
SFRP1,0.06536122544379956,0.08079181348625893,0.03883514648898286,0.10859837340888419,0.021921263928987727,-0.01822672611563555
CXCL13,,0.031723163376437,0.021493345955765176,,-0.036712169160071,
MICA,0.019561928464311,0.022296676971908264,0.009808529092266581,-0.06201254289967185,0.04861326815716236,-0.0007808813009585566
TG,-0.03067143401352404,0.049240251363653814,0.04380004459733556,,0.04225657249997035,0.010124953794665364
ADA,0.017654374594046788,0.027593521310273292,0.02591278879908629,0.07288997841579244,0.03862494986163669,0.013656538980730748
LAMC3,0.13012206462540393,-0.007425566545026044,0.006162166698457642,-0.0481035259721365,0.048934081031775434,-0.0264468462361412
CCL7,,-0.02648464207998912,,,,-0.013204614179519967
NGF,,-0.0005435828242286269,0.010509953734470681,,0.013417355422722122,-0.039534216872728
TNFSF15,,0.08858745292690207,,,0.093691156873721,-0.03488887681879813
