,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.026481291949900003,,,,,,,,,0.014194399631114591,,,-0.0220222037380197,
BMP1,-0.018898532393343073,0.08745445413028348,0.03771064418173625,0.031949699931093783,-0.0007489009763819157,-0.003726973187790955,0.00943549440643591,0.030288167238280577,0.004127111454019532,-0.0012217500026992394,0.03406645877381393,0.028861508363309335,-0.008718716735676013,-0.05088966408854718,-0.025824749389299392,-0.026411708130589278,0.06154835590880565,-0.01617879111625006,-0.0027430765563459117,0.042008357510860586,-0.008872806386474998
NDP,0.0068535844528108385,-0.005778549737897817,0.0008709790429718614,0.016425688138292274,0.03073806708625333,-0.030893200939212634,0.05197864583392242,0.0427572353775611,-0.01828665956901654,-0.055028087116669774,0.022963069770407234,0.058417628210016496,-0.11027595541701003,0.0482037573074453,0.0726430486654432,0.0321471265415309,0.031157393817313722,0.006729042485694422,-0.026074764363236257,0.009329895042658716,0.051163926767732
TNFSF18,-0.02166145484878264,-0.00484494394249028,-0.026363846579007616,,,,-0.026878771755331692,0.0016746804649026238,0.0008172933245431576,,,-0.0252577245950281,0.12675837931772707,,,,0.01028285668160198,,0.04124556016581749,-0.025933054453049192,-0.0022008452674799725
IL36G,,,,,,,,,,,0.18117393397829187,,,,,,,,,,
RTN4,-0.07983193824236794,0.04536867077736818,-0.0030859222348290126,-0.002478771119813487,0.008045092422477425,-0.00934181041260409,-0.01539564433395501,-0.08612160259185973,0.055928528070951986,0.058085343407888214,0.011822989476838403,-0.05438018754716577,0.09720485094794969,0.011642181059854956,-0.10436867387708611,0.03700552279332349,-0.07775634465222067,0.04729338437063494,-0.0172740325912435,0.046922811667778626,0.016290876545412645
HEBP1,-0.06000817058981285,0.03706941864484354,-0.017519345648168528,0.0005314986577152195,-0.02154305907339149,-0.010856764550413112,0.010532502433248192,0.029314701921070437,0.05345859048217511,-0.015980073309028644,0.050695285033744764,-0.007244873954375057,0.061602402575779605,0.0629547786214959,0.03898515592767005,0.03795138577154272,-0.014639080232112694,-0.014096095981813564,-0.00506330855737522,0.043397462606877435,0.03255972988608027
WNT7B,-0.019083063266145197,-0.02671046266579256,-0.016376404248419175,0.03966901506760958,-0.030854960507009577,-0.007048965596480977,-0.010729888388024054,-0.03891028685233076,0.004894963920516623,-0.011246855396774986,0.04625681615248958,-0.027806289488564614,,-0.009334271202612635,0.05142492817863435,0.012881981573812377,0.053976564281888496,0.03477137053634857,-0.03007853181346318,0.00042651248001717167,0.05278653451378839
PTMA,0.02194295272446829,0.007428522457608641,0.007445240341049057,0.029241965874269853,-0.04611934812373752,-0.06016532581630009,0.04771435510265946,-0.028392937076368852,-0.05282786050451608,0.04483886018975441,0.028164236134801606,0.02973545430928155,0.11086798203123317,-0.010730026338287357,-0.05530700904340208,0.02556280306055677,-0.05404299832285577,0.03180320197221968,0.0613627064336395,-0.034007581976562715,-0.05470564782603919
FASLG,-0.019083068660878298,,,,,,,,,,,,,,,,,,,-0.01909984978900112,
CEACAM1,0.04363129359386773,0.0017077159051366668,-0.012567905286271124,,-0.03723292496342558,0.10000140845816367,,-0.021310744739226062,-0.00473843089365738,,,,0.009462733552599238,-0.02815853566156131,0.05137211228383645,0.012897003176570235,0.07923180111618543,0.016343605605411694,,-0.02657463572407985,
