,MGH258,UKF266,UKF269,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.017553688076762244,,,,,-0.018872394673790517,,0.06096992865782813,
BMP1,0.030670339948964644,0.056355880417297874,0.039133118636867456,-0.01624178248039116,0.019979114153518943,0.03101653335593046,0.008154051083485802,0.02256566294625864,-0.064356760875193,0.04619167963590177,-0.005748306740666502
NDP,0.07893376010594215,-0.04083727693202936,0.005557224794469579,0.0047710717445613076,0.06816161601761093,0.03844761863957646,0.018336200246817636,0.07529033673267332,0.013870575158892152,-0.02608557353548245,-0.0020197096109404573
TNFSF18,-0.02037040787942527,0.11054936985038377,0.11106909748835836,0.0912249582432191,,,,-0.019462767509751837,,-0.02312255170975875,-0.0282521656073963
RTN4,0.05633797598416957,-0.05669982625032711,-0.06518134607828995,-0.023926413202028228,0.04466448403548193,-0.023947215012092703,0.04174206515655157,-0.04118679117409342,0.02521910319431796,0.03009992359398887,-0.07664397688891535
HEBP1,0.036796175352354285,-0.020143183501644315,0.0486923808933801,-0.029201043766516343,-0.05720308663655678,0.07665438863008137,0.024063466653841237,0.05491659309141245,0.022423847758008878,0.01498779371562118,0.062267043033176456
WNT7B,-0.01794569132285689,0.02903863798610839,-0.023115833295582856,-0.027806289488564614,0.035419782183557166,-0.03748616031421068,-0.020513362358647362,0.03494304510696067,-0.023395447598800412,0.10465570738910748,-0.06142897937544295
PTMA,0.07879210623270509,0.05792941923861707,0.004872320964726646,0.0339139569847002,-0.04021283059169246,-0.025724959426580027,0.00019525862107342353,-0.10788429807115021,-0.004719433619440267,-0.05800053105836062,0.07462275017080532
FASLG,-0.01794569639605786,,,,,,,,,0.005612124529293793,
CEACAM1,0.05130026989002235,,0.013580421593591208,,-0.029764577222768557,-0.0300883835933331,0.0010004214898765415,0.09701705779246726,0.008008202176886404,0.04284855585166185,
