,ZH881T1,ZH916T1
IGFL3,,-0.01860240369427118
BMP1,0.02135840863747424,0.037295475272043375
NDP,0.021789975181716822,-0.0005579350363802572
TNFSF18,,0.025402882985357016
RTN4,-0.01773035407171687,0.019442455984302446
HEBP1,-0.009582631045402006,0.017075486111452282
WNT7B,-0.023135552770253646,-0.039705262611131865
PTMA,-0.04224564732994521,0.008373862356243537
FASLG,,0.009028395043840265
CEACAM1,-0.015355402850166512,-0.022447894300154515
PDAP1,-0.0382219258023194,0.04654386829022318
QDPR,0.08848738404583362,0.03712305461320987
POMC,-0.02511942189067962,-0.023103136640629088
CCL18,-0.005403617829430976,
CCL17,,-0.014623530470596282
TNFSF13,-0.01724308824270817,-0.02382782232534277
WNT5A,-0.015322049096407069,0.05750640009959369
CXCL8,0.019251525554128412,0.06432213095617413
GRN,-0.036947070363030146,0.07098142735451847
MIA,0.008515107229478227,-0.05722519785899567
COL4A4,0.07408903382373234,0.0733087603843575
TAC1,0.01807773107197715,-0.01922411778676431
RARRES2,-0.02067953022640288,0.08265523994278254
FGF7,-0.0665526930979543,0.0418877892221508
HBEGF,-0.06450591552210244,0.05899860603130119
CSF3,-0.022014067513257185,-0.015396321639696234
PI3,0.024626897255125915,-0.0069203384844631075
PCSK1N,0.033729363125127095,0.009644800891876132
NTS,-0.034812025313769784,-0.022799852887226524
SFRP1,-0.02419854473150438,0.05258349601509363
CXCL13,0.08694400387164584,
MICA,-0.03883432792128397,0.05271393399275902
TG,-0.01811791584435826,0.02759828596726395
ADA,-0.01331886766645073,0.03809113299801082
LAMC3,-0.04616175194749552,0.028732407655556746
CCL7,,-0.016133852640732207
NGF,0.0008870737716943514,-0.0006927824072054288
TNFSF15,-0.013670357990825204,0.018559932667415083
HMGB1,0.0004487998615234143,-0.0713623652493403
ITGB3BP,-0.029151926237037953,-0.020818390865153854
AANAT,,-0.01707028891069249
RELN,-0.01651231096439727,
IL15,-0.00824702938526794,-0.014479710851888105
BSG,0.0986220229894018,-0.014891229310447649
ADAMTS3,0.03191634982980165,-0.053469091962609724
CD34,0.023623418061734017,0.033182280086224994
PLAT,-0.02071761358821908,0.05534712018270026
NTF3,-0.05593323706052653,
LTA,,-0.02297403631951174
CKLF,0.022543419262116473,-0.08068474156379143
CD24,-0.011268004243169602,0.03442561668947474
HSP90AA1,-0.0163909213595367,0.019744813940529644
BMP4,-0.007558770015857832,-0.034562366462199484
SCGB3A1,-0.02838901994714651,0.05149104744796294
IGFBP4,-0.07627572277597104,0.06529956264407238
RSPO4,-0.01911879676412529,0.027722872517012644
LEFTY2,0.04890700566347589,-0.012949235405841496
PF4,,-0.022974031003149327
ANGPTL2,0.019173282405205053,0.04247383720959039
LRIG2,0.0076118614662762235,0.08143259187631349
ICOSLG,0.0592484626859196,0.02433971140841577
WIF1,-0.01777277347535092,
NPPC,0.019118960582427003,
LYZ,0.0172063918952705,0.04077990971473102
EREG,0.0869633774509811,-0.02182106023207783
SPTAN1,0.03381139174496534,-0.04908685074954905
