,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,-0.012644887350900979,,,,,,,,,-0.017974693843733444
BMP1,0.013922032788837465,0.021357595635362412,-0.02625182960891405,-0.0385530901444622,0.057849218602638336,0.03980182315172474,0.1373921769889069,0.01249610586909972,0.04744047174914184,0.03349129693987407,0.04016037026307767,0.012989875691875166,0.0214711787053119,0.013035400286521804
NDP,0.003944795199947571,-0.032696244651284484,0.040176385664379706,-0.04386664120105707,0.005000445648074354,-0.06759346904311557,-0.032849195370689574,0.053775039944697296,0.025030115384278444,-0.045913721848404344,0.029045857947081942,-0.039108763805095856,0.038635962937423746,0.03710556333573087
TNFSF18,0.04435458273314327,-0.03150733499002357,,,-0.018777278106167215,-0.013259369929039661,,,,0.17702654280574892,,,,-0.03032009496898207
IL36G,,,,,,,,,0.00415886921529007,,,,,
RTN4,0.0448980610424414,-0.0006188484002084282,-0.02089036716481943,0.004558998316893506,-0.033764698655575104,-0.05428413317801084,-0.09168512661646021,-0.07194038109957543,-0.02997249506936347,-0.05198527409364942,0.018998876325216105,-0.050762602879513286,-0.0007209591569237497,-0.032385669189720565
HEBP1,-0.024647500814712165,0.023624357954487817,0.01705422966297373,0.03238149003140686,0.03417788390601556,0.09980940071059981,0.08586620383086163,-0.009685485165924634,-0.016550020673389548,0.03983314778311695,0.047766591992765964,0.00448363468959854,0.0263224038443877,0.05335803466841714
WNT7B,0.03671408803766584,-0.0031504462696848395,0.02553736403532725,0.03741379026273371,-0.0003495327342764674,-0.023158994630059694,,0.07777944051637518,0.00023433536834605603,-0.027806227972930416,-0.017782450921016373,-0.03295058907139414,0.05466216684101736,0.08546192491959431
PTMA,0.004762317837106018,0.041061567613108745,0.04010137524613052,0.07103288628821536,-0.05514304801845743,-0.007266779791726977,0.1333715880852318,0.03771534513371971,0.031225736282001617,0.01179888954393032,-0.04512836544486419,0.015398322581063058,0.01547046435966799,-0.02741839778262204
FASLG,,,,,,,,,,,,,,-0.0155894458385146
CEACAM1,-0.027282561525114976,-0.015019856863100353,-0.013988240423686963,-0.018762222372120732,-0.009447205806698621,0.04495528659998897,,,,,-0.008051133817262296,0.03753032763303602,-0.018272027884212186,-0.021690424211470424
PDAP1,0.04095327976565136,0.0427454734611436,0.012983262925226445,0.05259808572061165,0.06562117024197765,-0.02573009533580493,0.05985632903400591,0.058396903008116785,0.04244462208953401,0.08665543338790767,0.029055017336341433,0.004954684662524591,0.027983071141419447,-0.04905813126245432
