,MGH258,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.019913152401894885,,,,,,,,,,0.09008263811633815,,0.10844297122909351,
BMP1,-0.022970554805077592,0.04821548207935038,0.018851501302535482,0.06439853980635159,-0.00726793369235223,-0.0612388447139435,-0.005097615759545526,-0.0021142100772176087,-0.039016889133717494,-0.13082647758405935,0.03297033721556826,0.020952155355066938,0.06199833949165826,-0.028714521946152816,-0.056199864980346646,0.03033829670865244,0.11253203126126196,0.0582236174459761
NDP,0.017581559009355867,0.0121653907188573,-0.0647570426061914,0.01995920034569184,-0.014229120815497553,0.04099251840821459,-0.04140253370349819,-0.11304358572663718,0.07103488048061343,-0.05824803292590844,0.046552074402308755,0.11579086056051209,-0.06067452087884249,0.042834593663988035,0.023205221999670927,-0.016746086581647435,-0.02585057008769712,-0.015679972737355528
TNFSF18,-0.017829526444861316,-0.03058393966602484,,-0.020025633637874237,0.03595204532391054,-0.018156243904575473,,,,,-0.03423134585697672,0.08728238941483588,,,-0.019015993751127194,,0.05942105409037373,-0.03126547785213673
IL36G,,,,,,,,,,-0.008669198866202935,,,,,,,,
RTN4,-0.04085122799133025,-0.042242851084808096,-0.0012016069942023429,-0.01923901398751189,-0.04803942977704867,0.0012806782311969044,0.04808709157477734,0.1436161716802918,0.015468187855982276,0.1879290539029797,0.0569062134335693,-0.01997285545276729,0.020853377272330314,-0.028684467112971086,0.030138523404511505,-0.06768082221427957,0.006335713518173838,0.04747953546312535
HEBP1,0.0036331377489134203,-0.030924110640060835,0.0015188510057962848,-0.005294335936552388,-0.02592118759358329,-0.02919798485369046,0.04311743923244242,-0.11902782242366565,-0.02052113791554454,-0.04457453657027264,0.05106951007420926,0.026774010375100313,0.04927162896176576,-0.01111214418924563,-0.07775460852200777,-0.0055852779002142265,-0.0076163288187749015,-0.057923052565951864
WNT7B,-0.01570725436162561,0.04501840279365916,-0.029897405443522908,-0.017673766633255348,-0.06717426543319344,-0.011293824576427722,0.045554755321084855,,-0.015669617482909168,0.09585973448758055,0.10184241622287711,,-0.04037096119038579,-0.0511100141996188,0.02708830956274346,-0.004275416714074176,0.13127429694407808,0.08631275911030846
PTMA,-0.050226878999479155,0.06141800238811347,0.027354953631319987,0.02246399203539169,-0.021283370065402325,0.06532985375376842,-0.06223338674403303,-0.2129220456109116,0.0004266595407204545,-0.19138774387754687,0.046789812073572475,0.0443536817793994,0.09485432374215266,-0.10458245639584482,-0.005795403132363041,-0.0008282781652356819,0.08552238762552912,0.12360795270544805
FASLG,-0.015707258802026176,,,,,,,,,,,,,,,,0.00940826120022712,
