,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,0.05861568536496326,
BMP1,-0.04474261660635454,0.03846350234235119,0.009989233518064494,0.020485836184262293,0.029567836131899703
NDP,-0.012796061334252649,-0.010531248319064974,-0.05258522728718417,-0.02166555768033779,0.040905320136927256
TNFSF18,-0.028411565588413863,,,0.020454219659648908,0.060792262953481786
RTN4,-0.03451292943598105,-0.021764251523374304,-0.04615895191425751,-0.00367472653941379,-0.011725380058905421
HEBP1,0.05779748057878246,-0.09424507749614419,0.00579655440028282,0.045881768649459295,0.02304240812363018
WNT7B,-0.03127836059033954,0.0029483932474538435,-0.005708005474214944,0.0952342656731274,0.08313527340801105
PTMA,0.05360193308882514,-0.005606184211978041,0.08005217926151054,0.020109020512227706,-0.021816873564012542
FASLG,,,,-0.018478392561619972,
CEACAM1,,-0.019300571844002034,-0.01583991961902425,-0.02570996926763154,
PDAP1,-0.06393626444948665,0.011854542610511247,0.04042134808899759,0.020295646552670955,0.040696957359281784
QDPR,0.08971652011461138,-0.031215873237997457,0.02157504892172718,0.0025248075433235723,0.020952779855580056
POMC,0.005410158521606115,-0.0030470597184159578,0.02574023722398165,0.0735077161218318,-0.039379130053245164
CCL18,,0.09360896789075825,-0.03868003479608346,,
CCL17,,-0.013692821549383227,0.10647005218984565,0.008585896243205143,
VEGFD,,,-0.01583991961902425,,
TNFSF13,,-0.026274467859916096,-0.02485447153040869,0.032493749747633666,-0.026444435395783682
WNT5A,0.07747060723637454,-0.023875158935608713,-0.005987615247096205,0.0004745140636526738,-0.016938630753196154
CXCL8,,-0.008442617406587579,0.0029274691775764325,-0.0027149951260251946,0.009656571647149725
GRN,0.027659020266610584,0.02726074232045615,-0.02231015769726469,0.021246659593777854,-0.06006130895256113
MIA,0.008272115031148141,0.09121481825727729,0.07852944720797246,0.029239010863105794,-0.048442202350846175
COL4A4,,-0.036180307419922675,-0.025362188022666297,-0.04918533596846697,0.07226707343670685
TAC1,,,,0.05299942142819359,-0.024824562294003986
RARRES2,0.002345256368860422,0.03391013898382871,0.021057373571485977,0.003468628013490408,0.06509289142009714
FGF7,0.0913511990359355,0.013527975850313238,-0.012411072076642668,-0.0031086095323243496,0.06442785587816342
EFNA2,,,-0.015054783541719402,,
HBEGF,0.015495722641498401,0.025336613043521142,-0.06678279366599944,0.03611469052808496,-0.025786702179408497
CSF3,,-0.027311141431648225,-0.011050519438354294,-0.017633678727204092,0.03218848301465627
PI3,,-0.04106127599983291,-0.018798625411699573,-0.03831212565876261,0.01581188935203613
PCSK1N,-0.012793888218250702,-0.0330097599547859,0.031388497814157285,-0.03609293623253059,-0.0011604781856763018
NTS,,-0.031943927304518616,-0.018341396898315224,-0.02611307364508926,
SFRP1,0.03894288900017115,-0.054036616959418034,0.0030122911553774304,-0.009696001259339717,0.003030757365432619
CXCL13,,-0.0003176672802475775,0.023418777963635857,,0.01366642635927667
MICA,0.01891066935128095,-0.03523041022685005,-0.001492232899771077,0.06005234409314306,-0.007643738246286707
TG,0.04612446490013543,-0.01819433643754158,0.050902855583063324,-0.03438903700788768,-0.0277898626373589
ADA,0.06932841488076225,-0.05732848992653342,-0.025622668883179572,0.02671249515897861,0.009301520925611166
LAMC3,0.08139107530938557,0.02577727826937424,0.01722851185387745,0.009043654567255918,-0.06471316213901651
CCL7,,-0.02052238329864329,,0.025711604814924773,-0.03358486582786646
