,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.046402037478493044,,,,,,,,,-0.011382433302265413,
BMP1,-0.05554798707424213,-0.031198267753744017,-0.010461324623772883,-0.04662531541092312,0.035284433758535,0.0972667455691251,-0.012300123124535822,0.023758299594658354,0.0322342825897036,0.10608053245447667,0.0671581364781587,0.06581521728757968,-0.0005538778558375498,-0.007100145514186648,0.02436926324986333,0.06220658504632107
NDP,0.08641844122282366,-0.024491415197735285,0.028100444474103953,-0.012379408127428404,0.013313284545850415,-0.03597145500314612,-0.014649939873948782,0.021745722768946554,0.04578851305907178,-0.09760971124246487,-0.025473669330059793,0.06235082618177367,0.0833914770856749,0.032130975181689565,0.07281651182817647,0.08103211968425746
TNFSF18,0.007573301040884342,-0.019400494158543228,,,-0.023454299581864277,0.11627879438976448,-0.016401178660684437,,0.07488001265060307,,,,,,-0.006491769556947888,-0.010590653972424107
RTN4,-0.1070133411630214,0.010778719376076567,0.01117571843080106,-0.047220394143425444,-0.07069575942564262,-0.1496504297004772,0.00041887869357743677,-0.03164615084585686,-0.02619472991555353,-0.0811502977736983,-0.014288272336390882,0.019814229373839014,-0.04015491289236944,0.08052047398808089,0.02782208725470779,-0.06502881583384887
HEBP1,0.032737354183782076,0.021530135651605168,0.06936272121851444,0.033412110548794255,0.09081365332218452,0.06265393056033793,0.04121972749776656,-0.0033074474769846716,0.009687218526279379,0.03155101950127495,0.014126627126328199,0.11271451654531862,0.017304413396406232,-0.001407353826108392,0.08043373319845068,-0.007390159516089451
WNT7B,0.021647530578228463,-0.018820661146675976,-0.02833911174577064,0.011761304375697038,-0.03769941452631689,0.036052281287047405,-0.04090120317278547,-0.011566943617167041,0.014141753501902384,0.01899070524662386,-0.03139837175171816,-0.05369575723944514,0.07348975985015706,0.007271187405989315,0.07682635601639357,-0.010984548577831358
PTMA,-0.0745569644827726,0.002742392791851442,0.048005812503727936,0.017555490251002084,0.14512465532194774,-0.050358317677441054,-0.03527385447757254,-0.03615418581270426,-0.02746679493536112,0.080641975933219,-0.09764132159178131,-0.08957664993289512,0.02898101634904851,-0.011043168914723256,-0.10378138546002803,-0.04790901312763814
FASLG,,,,,,,,,,,,,,,-0.023417093647405362,
CEACAM1,,-0.014443725443530106,-0.032723549367824706,0.021931564979552,,0.06654816943148768,-0.004460461018421671,,,-0.026499553842454008,-0.028158562705595063,0.028689834866361105,-0.026094650793676216,-0.01603498306079712,-0.01960705173805121,
PDAP1,-0.026247351789119282,-0.06463622076900988,0.06417368233553318,0.004630086192456146,0.08243611717684465,0.09301219881710518,-0.027279289180160912,0.008850626329045158,0.09004195112422066,-0.0270596889135593,0.0015221470393520966,0.005604977329019799,0.006792445775136004,0.0055362826625418035,-0.0010873148115080125,-0.02079742195380366
QDPR,0.010110917398563663,0.023155482064107627,0.010976733730980057,0.03567179022250222,-0.04336491697983462,-0.16430819130602442,-0.023589888164072485,0.002051349011416411,-0.022079046692059016,0.06216893522033778,-0.026187250676048286,0.014637800943151954,-0.03300968841435546,-0.03361038811193097,-0.03333295261939513,-0.049834121597559025
POMC,-0.00856400077483716,-0.025664195723677084,0.007046027600889612,0.006357611153668634,-0.005943886824904474,-0.02253797114345046,-0.01903063074320086,0.062395162790149915,0.05179345205674385,0.05057378853233868,-0.06705795464261866,0.0733551431578321,0.029427285454172315,-0.02623112584178775,0.06706657474981825,-0.02373428676181484
CCL18,-0.041071427548139666,,,,,,,,,-0.04298066073959554,-0.019964883929448833,0.010253193738362558,0.015027856238567441,-0.006306998066303343,,
CCL17,,,-0.018966973952240666,,,,0.006757375823230659,-0.014316633660368202,,,,0.1899764898467533,-0.026410889260221934,,-0.021224965192338224,
VEGFD,0.14646676750413293,0.1701341726268495,-0.02113130350042784,-0.028049019468459786,,-0.017534466696624035,-0.021793565680994918,0.01601519067578665,,-0.04842251876012589,,,0.06699300465546333,,,
TNFSF13,,,-0.01308299413884394,,0.02521414794838413,,,,,,,0.01193297898233896,0.0006338075723733446,-0.018006211272057714,-0.03458430920505327,0.08381176941235845
WNT5A,-0.0424844134543301,-0.01667440731903962,-0.0016193710209123,-0.002442304568472021,0.04758932600813151,0.10326522285585675,0.04440787021392435,0.03301793295212691,0.011050775567437924,-0.0017004853627211368,0.015893612368907777,0.012538961380283948,0.016725680707626703,-0.047790698092772275,0.0033747209939566083,-0.027227793331004373
CXCL8,-0.09325239511753959,0.048113681066306584,0.0027331971149380536,-0.039780461766655874,0.09280589153314814,0.07127334528887064,0.06900133422401351,-0.009779382577936781,,-0.006698030698994959,-0.035151321493671464,-0.014909625810217157,-0.07320364610353362,-0.054606963549191825,-0.01302027790856483,-0.030728695460987124
GRN,0.020164682761703856,-0.009164708996684635,-0.04402966466401799,-0.041380050652536284,0.030848938072035863,0.08040636640728227,0.034739730969856344,-0.019368153608523918,0.08210990325419312,0.04135752142174901,0.028047524077652194,0.035904838236970466,0.03502308581715435,-0.04460252398933984,0.006998902733394331,0.027184955763293325
