,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,,,,,,-0.022198084164778677
BMP1,-0.013759914110698084,0.17184147708347342,0.05937509640119363,0.015665803619325618,0.012145139590319362,-0.040480253161627906,0.005736371689771177,-0.11080219397595104,0.08058901410822468,-0.02995442158535747,-0.028890479776576394,-0.008806875979388888,0.12238653920577999,-0.0039083686154864185,0.02574675452419243,0.047027178348080845,0.15615234491442537
NDP,0.0421973203965942,0.20269565760449645,0.036445057489311164,0.045789263611942896,0.028653380945815186,0.03750020413942762,-0.03828529775659239,-0.024473098862992943,0.06558446243352731,-0.13682595480708626,-5.1337624888368616e-05,0.08539250281549798,-0.014962224685984725,0.026383415909019145,0.1014577119105512,0.01648587142525638,-0.03113771112497314
TNFSF18,0.2751381246175366,0.1257271880429456,0.06675930644485027,,,,-0.01619555065105829,,,-0.03189259986064638,,0.0008497782179121367,,,,,-0.03744419937590162
IL36G,,,,,,,,,0.03877953110987228,,,,,,,,
RTN4,0.04045566340848118,-0.20196664603846376,-0.029327290167901844,-0.018319630615452224,0.07731166671704626,-0.03793330598454477,0.05294824782271935,0.05243044951933398,-0.053407247869266504,-0.17563899029530003,-0.12933668830212178,0.045364010100023666,-0.03633095221538297,-0.10640546363706153,-0.0619202735012215,-0.03457498441511189,0.016418931513260137
HEBP1,0.015471797111100832,-0.08215028844086897,0.04958357364453969,0.10598162717390508,-0.056458151142433646,0.047528087920094185,-0.01722062844822806,-0.01565451201499593,-0.015126836445008625,-0.04130637219816204,-0.09681429391108899,-0.016381689946281683,0.02549108692210832,0.04183105492670227,0.04566577843228031,-9.172813861746673e-05,0.010571018413025154
WNT7B,0.13622815711051278,0.0024901134956001546,0.040610301869279726,0.03260924631102686,-0.021747766962546565,0.048272537234814665,0.01733213082052917,-0.04263760184224722,-0.04123114218964945,-0.05569834169546248,0.18644797852352882,,0.163276904508716,-0.0217949019537571,0.03956581079789209,-0.02763132349656344,-0.003565338893721286
PTMA,0.03484878721345251,-0.1751535170009517,0.06711384196219852,-0.05720185236362211,-0.06442903288917394,-0.0032122323860402317,-0.009704922281864833,-0.010397280988652951,0.054027833823312124,-0.13023719558775768,-0.08801575688980709,-0.05564181120436368,-0.11982411890788947,-0.017530746985013623,-0.03606469347739409,-0.04185221153683801,0.10149076918363381
FASLG,0.0758864163326041,,,,,,,,,,,,,,,,-0.0192523908231267
