,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02287489294178167,,,,,-0.01908563204457018,,0.052469619977548926,
BMP1,-0.0019519546900101535,0.054985879554326315,-0.002632904028159467,-0.003933144386554855,0.021725216195684703,-0.037358593736381694,0.05694154677631739,0.03901292696580831,-0.009570124947400869,0.04551048685430959,-0.07824197601542457,0.05080833339984265,0.05220866159239619,0.017184292325153627,0.036913745300145656,0.04026587239826235
NDP,0.010169709976184061,0.13726367135833495,0.053453897125773475,-0.04117087318669095,-0.003908602697194789,0.05456835681502882,0.041773377483524554,0.03465939059387767,0.05104264102400762,0.0524896682030188,-0.029554570726233242,0.030552862928523494,0.03905118779217405,0.055391332210042124,0.08112633920781923,0.08876195418277348
TNFSF18,0.005066907359437862,0.04103051194482003,0.05034473211649229,-0.0845208951875228,,,-0.014612397902220848,0.09535395940030497,-0.02923796261416799,,,,0.05688881577090066,-0.03687559138632676,0.08636445896653061,0.03926539356275351
IL36G,,,,,,,,,,,,-0.016810365574068162,,,,
RTN4,-0.0969111771100101,-0.043786000331104157,0.024700346755512862,-0.004063382476753619,0.003087675230551103,0.07844384274732344,0.008083452744288577,-0.05199413589299479,0.050239369980986034,-0.12593441410396983,0.07872372607844755,-0.0445865184997412,-0.023990285496476818,0.03190869548439954,-0.0024871493181707976,0.029101522693349823
HEBP1,0.03461029886487325,0.08130058530184776,0.015106342886976367,-0.003926228271216925,0.0031706998313667757,0.006578822652219882,-0.05443126533452217,-0.020109702780350232,-0.019556804782531113,0.025969486274430482,0.016693026832108944,-0.013212589460509879,-0.011531332641232484,-0.021339569464892887,0.1048096693106998,0.00024013645879233066
WNT7B,-0.017229909095279924,-0.035054866808014375,-0.03376971425052182,-0.004181390995596163,0.019036677880293375,-0.00418402316711566,0.07190633666375496,0.026333021136185044,-0.015988667285096195,-0.019489631746382192,,0.00015602448219717818,-0.041158066645384565,-0.008547651922985778,0.0062246163843407325,0.022865539424125017
PTMA,0.020655311427481095,-0.05007473821847058,0.059055026105648965,-0.013267500991105142,-0.058047914524283546,-0.08316126558943289,0.031919347286861396,3.468801458914819e-06,0.07176153332646276,0.03694740216683568,-0.07665490924845099,0.05211902281637461,-0.02215613585451904,0.024198411589991323,-0.006714821695529487,-0.037726237131951265
FASLG,-0.017229913966131088,,,,,,,,,,,,,,-0.015403991415204604,
CEACAM1,-0.023923886332790658,,-0.020954411828229803,0.023777541421255464,0.015936343890804977,0.09066295434916584,,-0.027251294589338303,0.04264963606959666,,,,-0.02828194971731315,,0.05814767762935928,
PDAP1,0.025805598796391816,-0.0016597900701810994,0.029892222481715344,0.03134011589036456,0.0019529874886641322,-0.070168614663865,0.012812855821088171,0.06190517260303984,0.020758055262191107,-0.02991350823631674,0.026986193352899045,0.06894065779253647,0.004139840465290922,0.032133283839588,-0.009604753804938835,0.053281717349476294
QDPR,-0.06000854669781884,0.06843399673199906,-0.02059578597533005,0.0644352673514945,-0.010781279172561888,0.03502399780299024,-0.03177415813462996,-0.03908602252552846,0.05540433355362449,-0.028376805666494,-0.05814372432768455,-0.024736013382474605,-0.030190208228013042,0.022936579061157415,0.0469776270724779,0.04909437187069467
POMC,0.009480258267939827,0.025700304906027104,0.002121763927027555,0.09919514697823087,-0.02418201738159377,0.03848926503746841,-0.027697415862087252,-0.0026368458609482576,0.049813782099370506,-0.0011021580624991452,-0.00021919508109139783,-0.015714362762639208,0.02482789781915388,,0.07633657131752915,0.014385909126436298
CCL18,,-0.04986811181656154,0.06518156984902922,,,,,,,,-0.05147733494702571,,,,,
CCL17,,,,,0.08762997745835154,,,,-0.020279506430121455,-0.0388556628533108,,-0.0153567461980281,-0.025163303368866196,,-0.013961988047437342,
VEGFD,,0.02136896071993832,-0.026149134407986614,-0.062405078250043045,0.004751907793696856,-0.013296215860167809,,0.004216322297949915,-0.00686906378018931,0.019611520318267062,0.002573787194893727,-0.016458300550098254,0.012200971827921224,,,
TNFSF13,,,-0.01973297594506772,,-0.024530431095163768,,0.011357305933922424,,,,,,-0.026984388666450598,,0.014557752299019908,-0.032367414207797776
WNT5A,0.08767873986609416,0.030194361990829668,0.041489345660322655,0.0005877195464172238,0.03863422887474619,-0.09638346343263632,-0.011253455065042382,0.013279427245436966,-0.008483599291502057,0.058847483943572435,0.023869905982244786,0.031069366605315195,-0.004316130805343154,-0.08068062598303145,0.03025253463274786,-0.07093562410639667
CXCL8,,-0.08546929226233126,-0.011363143627542425,-0.027924889655317774,-0.007925179766983335,-0.0505645912005869,-0.02015729658520791,-0.04617738414061942,-0.02697417671444002,0.026163127140973026,-0.050454555169112215,-0.04272332804337421,-0.02141433891741673,0.06723703416975305,-0.03830777249764732,-0.031110609630752382
GRN,-0.06256670937184848,0.058500421974534374,0.0028557047313051143,0.07645729824379377,-0.01683612682973204,-0.0780998659265331,-0.01414647654259737,0.05833265946300286,-0.041140647902956705,0.03140929834724602,-0.033715741551687356,-0.04722865246662708,0.00259286570630014,-0.046130249687228266,-0.04220507887132767,-0.04057666876871818
MIA,-0.02255247126448357,-0.006393310012982695,-0.003972861624826855,-0.054311839555795285,0.03432393342406129,-0.0043580483806901415,0.09041370727052628,-0.04202974016558356,0.009422291959672547,0.01588291709975827,,0.036384907099528414,0.019791547150175337,,0.08568999462130718,-0.018939874677706157
COL4A4,0.04988986369621208,0.009931370158802405,0.015204820322493737,-0.015046223084499417,0.02433877281122891,-0.08227065626403851,-0.013483059151431312,-0.005342968531346478,0.00010689555974116745,0.025216410680623226,,0.040461590858111615,-0.03876203476345872,,0.0551398963221537,-0.021700018434321195
TAC1,-0.01722990459204384,0.004891488380657831,-0.04839048559101128,-0.012207978243644987,-0.00030414351405653545,0.14542432732730157,-0.0006848111443871589,-0.023025203321307783,0.018268222727973477,-0.03658007422369333,0.03745143612082994,-0.03874939347435491,,-0.0335292089110943,-0.01835445300305696,-0.04876271010232171
RARRES2,0.07945039500269317,0.009937034967754766,0.03178348494313795,-0.022827715909936836,-0.010791493655237003,-0.06473710958707907,0.004201877324810557,0.011052478394441385,0.08902616274364904,0.00731592500018075,-0.05422603324398498,0.06637315099547746,-0.015412982511979565,-0.01698430120414446,0.013975365915204915,0.036179050984631
FGF7,0.01884033637481064,-0.02083281478296058,,0.011047871407810843,-0.05339060281714837,0.12072445412077731,0.028759724760601114,-0.026620782790259354,-0.049569377765340816,0.050770659605644766,0.024589205660328007,0.034938475193930695,-0.00890897677313003,0.045923262034865575,0.03488900045745675,-0.024445993118290692
HBEGF,-0.02600144715712409,0.04417068035987551,-0.018678974377846193,0.0025167738517087664,-0.013449209083993975,-0.01037355059245965,0.06786701330362041,-0.019260250189591144,-0.06118527345678788,-0.012434168607959152,-0.053514791205074526,0.03100261427690474,0.013708349263075742,0.02641544192109257,-0.047025419319416825,-0.06456672804629764
CSF3,,-0.02191779209772648,,,-0.04238776985929618,0.026649603945063483,,-0.023848482759080403,,,,,,0.09029732080977032,-0.014699819523074066,0.016818218003923704
PI3,,-0.01825258038074321,-0.027509983154871284,,-0.05674953976103094,-0.031973345547749506,,-0.026853706352626513,,,,,-0.02138033025391294,,-0.03193782428735679,0.0037564784497900894
PCSK1N,0.05286340994724081,0.049053605799192684,-0.019602077278777528,-0.03505808688717329,0.06211901358171648,-0.012802050387366641,0.037244271809781924,0.004641966071502855,-0.024605958236174303,0.007740423679640999,0.07260390894918468,-0.05766798241160238,0.04264167358450821,0.060336104171407626,0.04993667200282311,-0.023170119161965486
NTS,,,,,,0.03001723424458982,0.07555904265147026,-0.02931265407744922,0.041862069363673184,-0.03118098119773731,-0.01993504726178629,,,,0.016740091158953148,
SFRP1,-0.025069946405142873,0.09458534398714014,0.05720200119883508,-0.010641806717193818,0.018960426784162526,0.08012312643138648,0.011833288361836457,0.04586790907119303,-0.001949692799479233,0.010997619700144047,0.017465796825569355,0.019285208245558964,0.03680408071827487,0.1049988175385404,-0.021262585105405706,-0.023647958761641222
CXCL13,,,,0.006531200874645574,,-0.015032355295554415,,,,,,,,,,-0.030865724304072684
MICA,0.0012750166749920463,-0.07994939585789429,0.04448049737157583,0.007114945216704607,-0.008858576032934459,-0.02753462917251264,0.044139381388597757,-0.011469009845777693,-0.03674595442287131,-0.007635580718679524,-0.03211776106829095,-0.009533804113065817,-0.07225114181971332,0.06250675465877902,-0.01795533342587395,0.03917577970224856
TG,0.051293597622442504,-0.04508875178447999,0.04035387852295958,0.04637230144424232,-0.033486207663555034,0.012210475460594707,-0.01899889254310297,0.05167222367659695,-0.020055357482667447,0.012548069748648475,,0.0790356979074033,,,0.02884991362363791,-0.0037237294406748285
ADA,-0.06522608670790242,0.017966131677377928,0.029984865792187718,-0.01352289574104082,0.0067987775428195295,0.04075944008985459,0.04282532899227013,-0.02985568416711746,-0.06513063744413301,-0.0031254391605729723,-0.014491079558770303,-0.0045440984624366895,0.059952566274946946,0.017247141772464083,0.052139454535603424,0.038098858802961176
LAMC3,0.08456956203507296,0.030321987717063417,0.004651345417774795,0.007770490187504467,-0.006235217329672643,0.0018740129777750222,0.043279045986321825,0.01466854294592008,0.0012166871493264938,0.03740953763372494,0.018538477142625347,0.002645988974779681,0.005072235642053778,0.005331735112105363,0.03280105439741394,-0.03498619244476895
CCL7,,,-0.016633053222143375,,-0.024210474638854958,-0.019930127741633535,,,,,,,,,-0.015403985937729122,-0.04679236302525767
NGF,,0.09895207732916722,-0.028558126400195876,,-0.044613582436454746,-0.02127333701005945,-0.018130039312532712,,,,-0.019935060387692244,,,,-0.007035413340319604,-0.04312513070260828
TNFSF15,,0.03501657005619938,,,-0.02695954762951121,0.033800576598722695,-0.004795935991567295,,,,,,,,-0.01813470261409421,-0.04211441730348771
HMGB1,-0.08019163302856672,0.024998823778311325,0.05023735212612562,0.010917896494057569,-0.00730297454022498,0.04598405136679265,0.01796611532458446,0.05427740961279686,0.05955254267832074,0.022672745841486805,-0.0687964753377273,-0.016723057180710415,-0.10242121634092605,0.06425984767966184,0.03464760206000495,0.023075408692422136
ITGB3BP,-0.016305475908366597,-0.021663458351636494,0.0036166132662161276,-0.00978869627837644,0.013834962686800342,-0.01870177042591001,0.04777108072440659,0.023154368656630835,-0.0003520096869464079,-0.046525039940077194,-0.04742719064038381,0.027070503948136912,0.0015833146599782283,0.030015339009152122,0.013396091487970588,0.01699117456236155
AANAT,,0.04546972538403302,-0.024132029682959254,,-0.013024520245607085,-0.013296217758277554,,-0.02151197683443655,0.045412255878518125,0.02549620815306786,-0.018741888537939833,0.011715519984357837,0.00325411987361033,,0.13932612476142717,-0.023234792916276822
