,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.009725424480460263,,,,,,,,,,-0.03355644543417607,,0.007465168557253507,,
BMP1,-0.02055678536669531,-0.007164692546405357,-0.002649858510667262,-0.03555510014370653,-0.05478630140500748,0.04918008935141712,0.013967931428621728,-0.03775757686899809,0.19865639549899033,-0.01719143913980399,-0.025730029430168118,-0.008564612623066103,0.0631688270511659,-0.03538094764093235,0.06065686819730218,0.016681648502575554,-0.000878435813661189,0.012757932195232986,-0.0130684483565625,-0.02418574112955496,-0.049310833494384525,0.05877990330164766,-0.05570344234247665
NDP,0.12237018982883122,0.03738710692975315,0.07152178641384381,-0.003967470489443899,0.030172078019218097,-0.002834494469315067,0.014153309450536436,-0.023042073945248442,0.042914755686174526,0.027771902736553226,-0.002369149996047034,0.012926354403496846,0.03786027377859417,-0.014913178003274201,0.004113122853843409,-0.05882936612949727,0.08298420062550053,0.13740561945848037,-0.032391616382774754,-0.002293144867610585,0.14112237417897178,0.10108164082557176,-0.037313555578821135
TNFSF18,-0.006817125846446857,-0.018681602204775175,0.041334280542146454,0.04257005993685032,,,,0.04715607009128425,0.03705790447260523,-0.006563911435738289,,,,0.03762671380322678,0.004460940301913091,,,,-0.034606169870220665,,0.060993522425659134,-0.02702142319808471,
IL36G,,,,,,,,,,,,,0.07209179835032307,,,,,,,,,,
RTN4,0.024891076721834396,0.12152398055613,-0.01796542306523145,0.01892973249978712,0.0015724842766163477,0.016819276794405816,0.024247110495490064,0.08087746355342666,-0.2090271260988281,0.049687960021460434,0.016216851670508615,0.02028126013444634,0.022858679758270706,-0.11270973785559586,-0.06833009519246004,-0.03467783207815291,-0.02548827499953881,-0.069813412817076,-0.017694286446611564,0.049130572769135704,-0.03626772131642263,-0.06665608144828664,-0.005477205632413394
HEBP1,0.0017545615598637428,-0.07592605183102727,-0.019733705686748742,-0.022229650978026594,0.019036833203172707,-0.0215398257727968,0.010777881565539117,0.024912790667169785,0.041678599746061876,0.01643274010991242,0.01637833301499854,-0.002660220875292766,0.08566088758631091,0.020345833837630077,0.04916418887867514,0.016048980031839567,0.04326374621661165,0.08325428854746665,-0.009363284914585481,0.04141776383059888,0.09209129754557306,0.013393372803730921,0.053470929365561255
WNT7B,0.009259936298997965,0.2480754772537791,-0.028814994047666753,-0.021509833279553473,0.029382829967386236,-0.04258235977388678,0.0206273329560828,0.0355195408065732,-0.08607441622309037,-0.0057033938616743085,-0.023162886345107974,,-0.010332877939737615,0.031677502100829535,,-0.02698000358942083,0.002422130400964456,0.05691433339629505,-0.04191241101255072,-0.018064601764788323,-0.046980404677890594,0.006607555266205261,-0.057040763229986025
PTMA,0.030555324650847437,-0.04541959311132445,0.08240063860518985,0.031168521988905386,-0.008767157515431015,0.03122955222446328,-0.02459717240128851,-0.06619402351292827,-0.08145663503987016,0.00036595292997775237,0.037815163288496254,0.0006427852151127875,0.0397864053193218,-0.11572769646042176,-0.02801156256184588,-0.021345560908507585,-0.017948799332543404,0.02624201723181196,-0.0753673624174178,0.09358571787375596,-0.056680217478591914,-0.07498706096479581,-0.0162937402353645
FASLG,-0.020132033284210607,,,,,,,,,,,,,,,,,,,,-0.022239564231391586,,
