,UKF248,UKF275,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.014741805233653095,,-0.02056657605245292,
BMP1,0.028783918100821065,0.07002894243063687,-0.0029897645680562485,0.12013254476880116,0.06468400633131983,-0.015763877435626975,-0.08538968616275008,-0.03468850256118635,0.06450316645762624,0.07303874649204152
NDP,0.1120594345951397,0.03929111995355299,0.014674882533687011,0.06342047886819693,0.0007184257666224068,0.07209671864586441,0.019059188360318117,0.004388253994403054,-0.009262123480992725,0.012454149148969033
TNFSF18,0.014058074877192836,-0.011674764661574738,,0.15405881053915538,,,-0.016617877478407417,,0.01375428438480897,0.04240820423511363
IL36G,,,-0.013349798171543534,,,,,,,
RTN4,0.01884756701121441,-0.06629907240454894,-0.040344531299485224,-0.06719903408202217,0.07782152520272494,-0.011832431410417042,0.04784138810634497,0.05340648239634799,0.03728122396711115,-0.057905180473817666
HEBP1,0.024852644993233287,0.0185438787273086,0.0485147696722115,0.0038006567698862666,-0.022736460643090223,0.017234333556493602,-0.01548956605454091,0.04439123094780065,-0.010425455190368785,0.06377859381345563
WNT7B,-0.01993911054162057,0.009339838097628018,-0.014672966639950477,0.02671757560554082,0.08888930784593742,-0.022803590858722085,-0.01876434680300054,-0.023395452990638024,0.04732135743626276,0.011599764925401391
PTMA,-0.052228267325817944,-0.007341969107278276,0.03156233914763256,-0.0268140671974093,-0.035655962004413906,0.002368416309715062,0.08473011259240625,-0.05007274404806645,0.06969105301924457,0.011533153229579972
FASLG,,,,,,,,,0.07468643887130257,
CEACAM1,-0.01931795078284783,-0.0034095452368014304,,,0.06325219850755712,0.16013784799582848,-0.0019548970704581312,-0.015527902406346578,-0.024818100549217237,
PDAP1,0.08035391293370628,0.004300712192528023,-0.041609477281570384,0.056054175613988254,-0.010581633659539801,-0.04635598841061485,0.01781691341022572,-0.014683831085739871,0.03186224347315342,0.019475161033723366
QDPR,0.0035713253673800224,-0.01345739791598002,0.023332538411821275,-0.0336566853503962,0.03969391114723737,-0.00468139879237772,0.03490514135184038,0.03829243894246641,-0.01778498391577748,-0.01639444716863388
POMC,-0.007745158533810406,-0.013546473694648937,-0.028602085667449952,0.09352654553189899,-0.013927831491264187,-0.03820758823462131,-0.051643573104593214,0.06386351795823797,-3.3970942543239124e-05,0.0034992886586166904
CCL18,0.047370661185205935,,,,0.0637636388702481,0.0625755822211183,,-0.04674781751318615,,
CCL17,,0.1378959844607518,0.15145851808236743,,-0.01442616126576037,-0.029500379126808297,-0.02124511443960234,,-0.016167585464855937,
VEGFD,0.031976182182559564,0.09068680116390948,-0.013070208950681604,,,-0.02043581307795783,0.06683017180933098,,,
TNFSF13,-0.018191904465310944,,,,-0.027681636626328533,-0.03206590352496655,-0.02278263775219439,0.0258693966617955,-0.026343731061455038,0.035726884888911035
WNT5A,0.04324060120384725,-0.03760833868907505,-0.020332954333774633,0.07990848599647676,0.038108508841307995,0.047390934944879136,-0.07746306380292567,0.02162471774276491,0.055763533758220095,0.06896484067794928
CXCL8,0.03563042521997381,0.004795874337979075,-0.039297117181758275,,0.032456101638914624,-0.03453845304911092,0.04075311204363606,-0.06794183198840217,0.051484623701960705,-0.022553514602283373
GRN,0.021044715020180946,0.022188660295715954,-0.01694567782027197,0.0499132996444654,0.013836699175034441,-0.007917582551881271,-0.012490655530806308,-0.017570675251895342,0.05179781674481105,0.017787452076045766
MIA,0.010951469880280009,0.00213350646017078,0.05689893974711446,0.1889727524427283,0.05452836482603351,0.11356168432324047,-0.02986985097667675,-0.058047450531965895,0.010162272217628414,0.08701265364428425
