,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,0.015421749982027038,,,0.009568032342840368,
BMP1,0.02684657856080005,0.14967423168835328,-0.012896202541276996,0.006264564836786836,0.033686043801517955,0.050277842204323485,-0.053210107881595345,0.071260897532923,0.012358327377473902,0.07734822206463267,-0.06658790680092548,0.011920558256383332,-0.006702780925094737,-0.009148504934982453,-0.0718994263819255,0.04513558985946151,-0.01795449259321118,-0.05026820713990817,0.09664207638260917,0.144085315861927
NDP,0.01327946822371998,0.12190384981351357,0.0037675062655633156,-0.041658145881654285,0.04743451165758942,0.050262734075215997,0.006959016483040505,-0.0318179080705899,0.03975904632180175,0.07233099079745323,-0.03923978180888192,-0.03184207183208728,0.06201658042591859,0.009917912170890188,-0.020300283061031574,0.0018257380256742704,0.006611820925591202,0.027895615979636385,0.13374411633994515,0.03630146999238271
TNFSF18,0.05772071250386438,0.1582472664256793,-0.024830504610871256,-0.018465466767022584,,,-0.014949078125758028,-0.01843406493481124,,,-0.03066561162905734,,-0.005322987586942253,,,-0.03364505215101692,,0.0025794795142856865,0.09130261247240191,0.030873169115003655
IL36G,,,,,,,,,,-0.004507570471510359,,,,,,,,,,
RTN4,0.07154068914204863,-0.15148665109812118,0.06695403570479355,-0.05023871716993128,0.02070023695350656,0.06562333406691101,0.2790185493565055,0.006271877269951045,0.05985984013704269,0.004346905238947671,-0.02645249148156959,-0.16177893457244039,0.12814653260726414,-0.0027305561343630804,-0.07303887055325739,0.009596713235101473,0.04569392063585379,-0.0359875745555326,0.03685077621946729,-0.18759207700379305
HEBP1,-0.07211957218085928,-0.08916447233826073,0.035008147299219285,0.027027530693058778,0.004404301712704648,0.0027101532590524838,-0.08139868874047529,-0.0027523188385647733,-0.020984771693270995,0.021402903319595348,-0.0828800993812853,-0.11003082210826892,0.05581913778552246,-0.05374348859300612,-0.017911473934845178,0.03757927374639718,-0.020207767716312223,0.0029431979570036194,0.08246589063744188,-0.025186282774388603
WNT7B,-0.02016110078155537,0.06064955383837611,-0.03674642317934705,0.0011139097312218328,-0.0057970488448999755,0.024600016042819476,0.08736648353251057,0.022027415134543177,,0.0036586279107533918,-0.033759845274000354,0.09724456944482832,,-0.03447726716091047,0.06399241946426619,-0.06316995930952471,0.07212375482371526,-0.03060744418271042,0.07863846792898999,0.06588091371964856
PTMA,0.04826582962085732,-0.2327979743949425,0.033973217554569037,0.04826260416436994,0.029838760171236937,-0.02776031965388733,-0.30495283581273175,-0.04994747467636097,-0.003498663264283565,0.016602524075953595,-0.09944729830308315,0.011219901487543194,0.018818263239917594,-0.09241321434656259,-0.009116492001741828,-0.06523433889999497,-0.015810959797118683,-0.14757403280646275,-0.07954261687191268,-0.05366627579137645
FASLG,-0.020161106481046916,,,,,,,,,,,,,,,,,,0.0039741874339728174,
