,UKF243,UKF248,UKF251,UKF259,UKF260,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.08277976422050518,0.010456930512721316,0.0080853282970276,0.07725649255247372,0.041771404425504685,-0.008260154669271994,-0.060952942889274296,0.07906904707952822,0.03862863862144542,0.03112279793181658,-0.0656744308466175,0.023774880086980987
NDP,0.02686084692579687,0.0009951655577956802,0.056651003522985036,0.025943061135812944,-0.008054634610660383,-0.05306125975644491,-0.00020450346487839473,0.08316518290596026,0.007122851558817596,-0.03127237573620944,0.05235551412112717,-0.0033408153686205356
TNFSF18,0.07741275903992807,-0.027232128600384403,-0.004319706929056651,,,,-0.0019362894499748405,,,,,-0.02430873417830757
RTN4,-0.007876290969618758,0.06846776488916707,0.032192071858742885,-0.024188360198158333,-0.04976491578880937,-0.004911141859391934,-0.00408764936301635,-0.10867039825002875,-0.08606648359778607,-0.006646589705839349,0.023839842726132102,0.05486182479870575
HEBP1,0.014378055966664216,0.023119904818938462,0.00840526197948617,0.012525807593273935,0.015478601813811593,-0.027220421718307585,-0.06723900397696178,0.02080989162090719,0.016513384597689862,-0.003298044938424548,0.01326947810053816,-0.006669333145287033
WNT7B,0.031334827494465846,-0.022623385625389854,-0.02391979509909354,-0.011093585241739295,0.05220029221244569,-0.027947101354397402,,0.007177318271393901,-0.03012990116767658,-0.022613164648323317,-0.022067364173399634,0.0654911674351563
PTMA,0.01878328963353174,0.04205504582452269,0.000901389554907439,-0.011241137206533537,0.007522240294833082,0.08008947838041015,-0.03598295269153385,-0.1402066981055422,0.021406001418757356,-0.05350434494474572,-0.051256039966129076,-0.0006060619172824521
CEACAM1,,-0.017332503538678195,-0.018357004059755,0.05174032186185402,-0.025007636978947367,,0.07035550590292576,0.06777507663305588,-0.022726795195211553,-0.016893068243137372,-0.014646430543019532,
PDAP1,-0.0030216532106598156,-0.014470574816604326,0.05592082632048721,0.014349175377293034,-0.03734446091996193,0.0001228352842457137,0.018789263944204562,0.002578786588051457,0.024260021285000447,-0.06505815098025726,-0.037039984876025,0.041076357491170994
QDPR,0.03369084532682062,-0.014241779813473156,0.003308716667086541,-0.018737931448275826,0.04343285215336651,0.0438222820590516,0.049836232238605886,-0.09731054304808867,0.032689616938714444,0.04761223091886114,0.0550898449301654,-0.021161781599715008
