,UKF259,UKF275,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,-0.01660307221009506,
BMP1,0.011615915683280707,-0.043055616593940756,0.039615563938836224,-0.03347733488576419,0.05356225203056793,-0.05490824193647809
NDP,-0.010337837451628494,0.021204695561891466,-0.006970665839790883,0.02997476051269712,-0.01267240697552114,0.0033348525560104067
TNFSF18,,-0.014105909426731312,,,0.21726754051930391,
IL36G,,,-0.014899818438997443,,,
RTN4,0.0804046837476975,0.0485928845022402,-0.05814905551264364,-0.023057264253321264,0.03061903651933986,0.00787195059193307
HEBP1,0.002358833517539037,0.011600259580747398,0.012845535133494554,-0.0009693989216467935,0.021852175206248842,-0.008467484657116331
WNT7B,0.03030523228331946,-0.004169483378117583,0.045251831929307464,-0.03652214465408119,0.025008693413588412,-0.027464032114026038
PTMA,0.019916453345186626,-0.01848658337106378,0.01644991102813793,-0.008712466151456676,-0.003548698354973578,0.013723789243966772
CEACAM1,-0.026274341079143768,-0.022185235020494153,,-0.017693278750913827,-0.02460318067026859,-0.01822827754273522
PDAP1,-0.04314214107574817,-0.0017524466823777057,0.05212059151131379,0.012817531705032529,-0.022703305559117554,0.03604746805522309
QDPR,0.010947314417076926,-0.02694907267860191,-0.08133411577145747,0.03403838676364005,-0.0479552153291953,0.040786129418601935
POMC,-0.024467732455495543,-0.01636738182973719,0.00974549057646111,0.05528862728842486,0.06701513714261297,0.02375143684796144
CCL18,,,,-0.043205815067406825,,-0.012184097282578486
CCL17,-0.015228933061595151,-0.01759281539134277,-0.013611407149726223,-0.025541358650967797,-0.021890191632227007,
VEGFD,0.05107465423621929,-0.018743656778677235,-0.014587766633059026,-0.017693278750913827,-0.023087395779263734,
TNFSF13,-0.01050457719230214,,,0.03326148646015124,-0.02347439961789538,-0.002379501905435256
WNT5A,0.051907218141897526,0.003177981590747479,0.04309327508870377,-0.02043286138455545,-0.019004897108261906,0.027045848989631742
CXCL8,0.06363090498461953,-0.029344671944515385,0.03594362792749762,-0.1085000953674859,-0.014660546293558004,-0.04009527277128618
GRN,-0.0026108246414690197,0.009635244240525006,0.0003699555964082279,-0.08664311220943831,0.06600799433577359,-0.02850571357880891
MIA,0.0038792473978718905,-0.018686444007539594,0.013529805070439181,0.11127780936307313,-0.03693024391166617,0.022011232581474447
COL4A4,0.003277261872802005,-0.018367443566897956,-0.019379997666557965,0.015271485503370454,-0.03372007071523806,-0.015969610345939165
TAC1,0.07014020546644854,0.003178569873526115,-0.03434541175474495,,,0.05069358368076338
RARRES2,0.014794085052686846,-0.0010767896765710343,0.009392446155073461,-0.07570200785819324,-0.015379557080809186,0.042032534303231575
FGF7,0.05041089684578068,0.00712606402542917,0.06316973859842183,-0.05011507359242795,0.06144940572564848,0.0367233210768693
EFNA2,,,,-0.016816277364084222,,
HBEGF,-0.006238853565492961,-0.0025885468596816346,-0.055844974351915475,0.04550220564803671,0.026508675501205503,0.02056611621533844
CSF3,-0.01815156035249213,,,-0.02626133678448312,,-0.026132725815904687
PI3,-0.012898973356358773,,,-0.08635310781753128,-0.018599288001174025,-0.02692636218938426
PCSK1N,-0.015430348967719002,0.021220530153106234,-0.047808080743298634,-0.027675370049208888,0.029142453428671618,0.020588206321869803
NTS,,0.1358646337586527,,-0.020487442853767975,,0.04794205547346374
SFRP1,-0.013287832749183917,-0.008957632655887289,-0.03886659573375793,0.0912930036998525,-0.00849385215993703,0.012185925937807034
CXCL13,,,,-0.04320581036540433,,-0.0033676461667415257
MICA,0.041406110094445545,0.053647599929709966,0.11302977339151513,-0.03150060129772063,-0.01666117874751529,-0.015404674627981793
TG,0.025370888574487008,0.04377670120942421,0.08085767341390655,-0.025232525488447715,,0.0815809807140275
ADA,-0.03770983934979717,0.020702763388883536,0.05656610723908804,0.10803876240882689,0.03434509119065234,0.004571805285150444
LAMC3,-0.0063680700589069175,-0.014701142126023439,0.010967886663112549,0.0763537100546025,0.08871813983539989,0.01611698079166533
CCL7,-0.01036756340398213,,,,,
NGF,0.03918713679393811,,,-0.016590238304850027,,0.025580261509544296
TNFSF15,0.08710462307802244,,,,,-0.01622797408813067
HMGB1,0.017520740829139354,-0.050862763332224475,-0.0037371451692835116,-0.06957658579058558,0.006320305871039204,-0.008919988530306169
ITGB3BP,-0.0240630594623331,0.03591742137156115,0.03185053135072929,0.006475138823846353,0.030391534170150482,-0.013321303511169119
AANAT,-0.010504578313435669,0.05271032134066387,-0.01825840074620123,-0.022630154716748768,0.011793085450575945,
RELN,0.014323807664775505,0.02570968718161761,0.013077577317468706,,0.02747814978051063,0.018839399436850066
IL15,0.009572228021903733,0.06446474941028117,-0.0169338228025468,-0.00115072172875318,-0.0018179323277832937,-0.02099648716657484
BSG,0.04104544809508317,-0.0542120725857738,0.045302912426323075,-0.02158684429617675,0.04126207099649968,-0.05879671396766441
ADAMTS3,0.06696019720967653,0.007428583974223596,0.008930169090393923,0.007323559540734381,-0.016444021081963925,0.026859287359510615
CD34,-0.020871686308091265,0.02313362361968102,-0.021329217834043068,0.06807797842198128,0.02101771916598971,-0.030292315687053067
PLAT,-0.0022366653924122525,-0.0005738585663326566,0.036596650519646355,0.04771359750692558,0.054920956881464394,-0.010415571173717508
NTF3,,,,0.06852112148419859,,0.056847744676329574
LTA,0.03083959422511142,-0.0153512868499835,-0.01693382489286579,,,
CKLF,-0.022217575687849506,0.04838255034182764,0.05216790390604488,0.007143743272958406,0.0002370737327295876,0.0243816199421508
CD24,0.020433046060523655,0.003188864661432178,0.03147490537694676,-0.0027961302182646403,-0.059101268628076804,0.041726625296969515
HSP90AA1,0.01225686381156169,0.046172722860181495,-0.05480538685801477,-0.11711386801485511,5.279157620374565e-05,-0.07355275062792244
BMP4,0.049741844002236475,-0.017821531082087318,-0.014429367809096729,-0.02089550847069827,0.09141608579928101,-0.019034312100926515
SCGB3A1,,,-0.011816199069773336,-0.006765036489951734,,0.0022349675180346916
IGFBP4,0.002748594249581461,0.07703603082186256,0.01100201600197958,-0.035659871153570236,0.0845397315683021,-0.020484593125431112
RSPO4,-0.020339355104761304,-0.01785448116908636,0.12475573036511092,,,-0.02269577275830602
LEFTY2,-0.02969050525186518,-0.017024113416722164,-0.02090461771947849,-0.01933569763599203,0.02533921496881878,-0.018871030162670326
PF4,-0.009045494816796198,,,-0.01541328244930202,,
ANGPTL2,-0.021961978702446264,0.051768912918904904,0.11260906009843441,0.07011780271184209,-0.017330897543667918,-0.006352259988232864
LRIG2,0.022106958652182283,-0.04562766372206962,-0.0005345552062618531,0.0026164056285740175,0.04385879631762744,-0.027362642419515245
ICOSLG,0.009412302897068677,0.0030837125607552974,-0.03023055273117792,0.06592243081363655,0.010431685007594699,-0.029011532613322635
WIF1,,-0.01377788022261047,-0.03175835317614179,,,-0.021097919134654697
NPPC,0.06968618592250528,0.013816709586294404,0.058661404739314124,-0.0291629637006207,0.053731414827952545,-0.023799139868771597
LYZ,0.0015108687919078274,0.043263351352932716,0.0002835481036911915,-0.01499402109119987,-0.021837937426611696,-0.04676931898808877
EREG,,,,-0.040369085794438396,,-0.028267967622798453
SPTAN1,0.007592280757171969,0.04195245405242686,0.0014517001400165402,0.059337109554169196,-0.018458605783584305,0.007814943006230621
PTH2,,,,,,-0.03609383959950905
LIPC,-0.01625542787029061,0.007727180428817671,0.0249467207622702,,0.11807020904158473,
COL8A1,0.009854001191219921,-0.05791400953598923,0.045739601373729184,0.0005622009412539513,0.03482427111310048,-0.013640304418062747
GSTM2,0.021759570632538257,0.03379728387360789,0.055126803291510464,-0.005049954661633771,-0.04538929474394614,0.08233500045954883
SPX,-0.026636346035933473,-0.019789177984386622,-0.03900967290690518,-0.019137560264793557,-0.005964713597367927,0.005487825044299539
MFGE8,0.05953591799305757,-0.060259468601314974,-0.023001816840504907,0.028525083329640467,0.032197733826508805,-0.018490138980620293
TGFA,0.03258765422803978,0.05395829040448622,-0.023351935164817948,0.02890078112704027,-0.04455736438624978,0.06239601044119058
SLIT2,0.027801374989578572,0.06511919973321893,-0.03809067978974777,0.009880472305927226,-0.038192665788394774,0.04060628133538477
PLTP,-0.029894861452473793,0.0066013975477760365,0.030559271504574638,-0.049840358125040715,-0.016446023876720464,-0.010287122896324774
APOD,-0.04520700120062015,-0.010383192465939817,0.0033554991565616986,0.14426817382289778,0.03342963794640908,-0.05735865402460219
B2M,-0.04287631379646126,0.060559379221513644,0.07430970749468838,0.019523697798303947,0.048825949321495435,-0.03710230005499471
OMG,-0.027955236038555858,0.04675798439938027,-0.003854129326474115,0.09417833205987533,-0.0298992189793637,-0.006316939495242505
CXCL3,-0.04147934595626143,-0.04350776787412479,-0.012195420408069398,-0.012218397005000206,-0.0190679637282422,-0.03817965600398419
CXCL10,-0.018803072593160775,0.08674477952639807,-0.019379998890896612,-0.020673680020972824,0.05404189083681606,-0.03101168495072458
RSPO3,0.01689197633282011,0.016020047448046342,-0.012743979282728274,0.020494136803801008,,0.0992769991995064
