,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02004417140135891,,,,,,,,,-0.017760867889546644,
BMP1,0.01652294754633258,-0.01686821631783137,0.018019477532049688,0.021134860375412897,0.008077543174656657,0.03607076511511414,0.07565083395332398,0.034522249325029425,0.010583651039101558,-0.08258540723512602,0.07843460287377192,0.05366245132910652,-0.016013674252677437,-0.0257827517342676,-0.0028546052965887276,0.08311779668129493,0.03676194497523961
NDP,0.09698627209712615,0.029272826849251702,0.038886202176266246,0.037514113291379415,0.0581535198929181,-0.05563119486569555,0.052236047546430145,-0.04481845236015313,0.034866668666547286,0.059650519928160076,0.1376208815999997,0.03226584214735172,-0.021596231846221073,0.04406201395387247,0.004774726050060959,-0.011987940593119199,-0.024275810100570415
TNFSF18,0.039831802276383006,0.01416252629254769,,,,-0.01258239927525025,0.07666939803942968,-0.01262208878819351,,,-0.02412488744689246,-0.04352266035869172,,,,0.05347580699538321,-0.026674492887896424
RTN4,0.05178470478908258,0.018885074823549612,-0.006567247934615835,-0.0032608258134256287,0.07733764751640797,-0.03876950972209263,-0.0918562926180287,0.01021234920606998,0.017253934540671412,0.08339894115690107,0.012277183121800053,0.050594580177802634,0.012105524429613537,0.03209052043917508,0.11984453513055517,0.00790264252691255,0.09297528381541673
HEBP1,0.0006365869658038402,-0.027435670928011115,0.06335580253612992,0.03559375664212571,-0.001751248177597516,0.053470930973763924,0.023673785614831997,0.0048667198144835095,0.025068124304825936,0.003695749383469176,0.029507658937945404,0.0020823971253679974,-0.05753128416656295,-0.020007650577717324,0.041743688834992944,-0.004169953631115187,-0.02507451633143459
WNT7B,0.02528417812713083,-0.019571380718999096,0.17697769575405772,-0.02886729933287889,-0.010320217730131866,-0.0020199094393732473,-0.014072779842451588,0.08448153392578323,-0.012182917519153291,,0.030461756116921642,,0.04544673067366141,0.014217901966243035,-0.02173270355948443,0.05681996853284388,-0.0396603437157323
PTMA,0.06165900342340238,-0.027742000437095193,-0.005495165299048295,-0.019293776029606396,-0.04802850015723669,0.08422976560979667,-0.08102723641323063,-0.0570954810373664,-0.032380197868871335,-0.08135231711487978,0.0743472512876111,-0.04812115561728272,0.08648631944231844,0.03429411678881129,-0.09429243838744414,0.0365538842124566,-0.005718910477724023
FASLG,,,,,,,,,,,,,,,,0.09232223741272244,
CEACAM1,-0.023289243981117667,0.027221566488326545,,0.0008464954341385993,-0.020562806763227626,,0.03297325597471979,-0.019851538652655713,,,,0.02905844809355698,-0.020585075943705504,-0.01668742919788324,-0.01236910505812414,-0.021432396136330155,
PDAP1,0.017453752674723755,0.014183042983324972,3.303763758786759e-05,0.007093247589820365,-0.05707742682744238,0.06663109608761972,0.018506042979644973,0.04640741901694682,-0.029971145661501778,0.026689939252399878,-0.01821624754771404,-0.014530334538062895,0.0482947245970804,-0.05601548158860931,0.019415464907629458,0.0032601741339790434,0.007357341067754613
QDPR,-0.03332974652847371,0.0341230618571734,0.042216675122667295,0.0025659943962515965,0.07764826887380186,0.01809982660585816,-0.09943230093518148,-0.0431076275676197,0.0781887784213432,-0.040580956021314035,0.00932101888495238,-0.014789058269170865,0.0003778525497687037,0.013841504175872602,-0.025098579356541997,-0.02180483025454127,0.018269966395699163
POMC,-0.021978905555604625,0.02436975265194701,,-0.020914786589909966,0.0743893357923447,-0.033194907037405394,-0.013055920452745208,-0.01464567369855005,0.0019750357335175804,0.02043981825876506,-0.03636186970727881,-0.06736922142852497,-0.04942617653088429,0.05088953624278109,-0.008372171924052388,0.04848394252339241,0.14433766636477752
CCL18,-0.02906277602687381,,,,,,,,,0.00441395831766483,,,-0.03767043646820888,-0.021113730955039673,-0.03868858212840888,,
CCL17,,,,0.03938599218872951,,,,-0.01574220216408139,-0.01507903667632105,,,,-0.014604115036376809,-0.024089351674502626,,0.04566934968856309,
VEGFD,0.01925948667253833,-0.005849644922404076,,0.03447915546608251,-0.019673329282802843,,0.015651628230778137,-0.016771984912050553,-0.011060655759288796,0.0376447599157931,,0.0528131543958237,,0.007280471817765569,,,
TNFSF13,0.042133547580813606,,,-0.01332683647124798,,-0.012202302460436866,,,,,,,0.03738494645208686,0.11835564250850882,0.020832766052762915,-0.022749898957753135,0.0575177899936883
WNT5A,0.06876207739140029,-0.006476968899276681,0.04140550510607006,0.042118724092494175,-0.012158974291023613,0.12298675419638296,0.09057090440822836,0.03977230750873615,-0.012652107811323568,-0.016754091260923643,-0.007046134327189544,0.04607339685284535,-0.017272747243299306,0.034040529168094115,0.02044466648697822,0.0489339159635646,-0.014518058953110957
CXCL8,-0.05701484454946645,-0.020143434912516085,0.03291036765000396,-0.024445808936309047,-0.05659873980451459,0.004268492039503966,0.08060260614170846,0.026826622428511606,-0.0103001635763509,-0.06027585528555165,,-0.02021176677680864,0.015388083838860755,-0.10269464810188256,-0.05146781975971674,-0.06277039182967657,-0.034189245375245744
GRN,0.0961732985960354,-0.007379872302264655,0.04378334284526903,-0.014701520243375817,0.008967236755889056,0.07922228152044716,0.07139527212942202,-0.026517967443009806,-0.005690866059094617,-0.05274244384619683,-0.008661526407191873,0.02877892485051165,0.025817685830686006,0.012660087728850593,-0.05407335485043145,0.04022878763123562,0.036671251472318485
MIA,0.03585367599084826,0.06578248785330036,-0.040787736400927754,0.02000647258004343,-0.01815316503518838,0.04723080560089531,0.012886775877897425,-0.012521867097421091,-0.012579166573777334,,0.04149161625847472,0.022462931429683,-0.03231162063201511,0.04016292776929462,-0.0024422797168467277,0.05462051417228376,0.035541719658239664
COL4A4,-0.014597703406840894,0.010426466283017263,0.004492238142194147,0.04532450149214325,0.018106640451911002,-0.011609951688308574,-0.01975204313406694,-0.016435346102122373,-0.02113199945601408,,,0.024918620183929735,-0.03858820256339558,0.06428678671019512,0.023956578514061487,-0.041001978399944766,-0.0324320573723403
TAC1,-0.03732986838406843,-0.03639887099540914,-0.005235532713450732,0.03308604850572982,0.04753405504489586,-0.07514985586035361,-0.03475083488776747,-0.03240058857441494,0.013446799512472003,0.022731680549820863,,,,,0.08569195939763981,0.00392444306218987,0.09677290049759384
RARRES2,-0.0031588096773455987,0.012609231707077798,-0.028843062364515438,0.020595839678500642,-0.09146434859007269,0.09191927896536727,0.04826794923097147,-0.03686423630502594,-0.007716556881758455,-0.045305624531070614,0.013337705424614321,-0.034516375821139415,0.014813294867319433,-0.035387052046783336,0.026027599091748913,0.019428004660510853,-0.0673922089373086
FGF7,,-0.024281322276313695,-0.021299235862790703,0.009708595678849616,0.01994861345371273,0.06221119754909463,0.044195632240728484,0.030664026004620072,-0.00435607943771245,0.021399182728042577,0.016670014755601897,-0.0047147354192201155,0.048411164012185634,0.01566826856982949,-0.010215206524993184,-0.014492996125142377,0.09137756535149504
EFNA2,,,,,,,,,,,,,,-0.015860284678475917,,,
HBEGF,0.13492776850617302,-0.02259384680971588,0.025029504957972994,-0.04627478095465087,-0.02355683655664586,0.09891816302235604,0.05616684042661806,0.00996275046148935,-0.01788745459100307,-0.031561356311810965,0.03948390199569176,0.06159867804677977,0.04143783950593436,0.037698935941702386,0.008696743837446943,0.018293312157641427,0.02833801854273783
CSF3,,,0.07737170860645148,0.014826178969905991,-0.035677016657034474,,-0.020897281456222126,,,,,,0.01468882245290592,-0.0239664523338733,-0.0384585001486903,-0.014699822620870528,-0.03411481361313684
PI3,-0.03057526571789053,,-0.0021374597988513353,-0.018366253960913792,-0.009684780351062027,,-0.02353061473396704,,,,,,0.05849074722075388,-0.12021253002485817,-0.030233251267757975,-0.031937831017839355,-0.028349460130089512
PCSK1N,-0.009717389792965749,0.028537616033495958,0.029864287362017666,0.05086250633392639,0.06129689593818742,-0.005824618214133936,-0.029261663326095002,0.018061117003180065,0.023859494214529927,0.053505110467139835,0.022272273444981963,0.003854817653905947,-0.03388889662564741,0.021790918510886888,0.15349452503458613,0.02656841157554521,0.05452829131630473
NTS,,,,,-0.021743623554390575,-0.014173113135457799,-0.011086687262348325,-0.01877547243508332,-0.02041886243674183,-0.02381553102261165,,,-0.034069880147518716,-0.019322747178799435,0.0950965480370824,-0.02176843281579984,
SFRP1,-0.021578907354416383,0.021168016966596353,,-0.016857867847878447,-0.006413535816467473,0.09159270783319948,0.03351297554197606,0.014463040629308373,-0.015079036828179335,0.008804861045227819,0.05189464049989466,0.07065702967202055,-0.038048310468255624,-0.012127252033622502,0.022641021915475075,-0.021262589586219963,-0.01920944737830961
CXCL13,,-0.01793726505696004,-0.01577482591391861,,0.04639367523857842,,,,,,,,-0.03280383663481958,-0.04074959263119147,-0.013006828004859314,,-0.027671747959782413
MICA,0.054909217731573756,-0.017979745747969934,-0.007143482048481342,-0.01094266798906946,-0.0065443466220861165,-0.030082897516303924,0.001731093688382761,-0.046315259845964324,0.007729755863460122,0.008155560592826391,-0.008201369747072655,0.1286449193226852,-0.03561733891109397,0.06466751688144043,-0.006252703829282932,0.028172924187424144,0.03395584486606643
TG,0.023101734225962536,-0.020423980019497884,,-0.018192310271401266,-0.003748050857218615,-0.01635950877908712,0.03552741256569391,-0.01585967294038926,-0.010912633360110275,,0.01777737260924235,0.03668477027824967,-0.01940521764532658,-0.023798075444355284,-0.01914822885554275,-0.02866745798984241,0.0043920970322608366
ADA,0.03202066884092905,-0.01819690484461884,0.1326641235190796,0.005288494591003669,0.014863471194631883,-0.019703438039013633,0.06220645553759273,0.005539617252734016,-0.01772299417137802,-0.010240299555494934,0.053379175909618305,-0.07090736712375212,-0.02699296479736019,0.04556475106574621,-0.036093146775524464,0.09667272825869204,-0.04973389772020372
LAMC3,0.12222473653151833,-0.03631930432472268,-0.027659864865676596,0.019136512946014924,0.0748443429054119,-0.02581235480653895,0.0950725475792455,-0.00851173424960904,0.02102367981430943,0.020104091557275605,0.03521398644584755,0.012647615974793653,-0.009170794732483842,-0.00963747561618567,-0.002281588059901563,0.08857335893295236,0.06020251822615559
CCL7,-0.018486380711461702,,,-0.01315301125983585,-0.029488989185569053,,,,,,,,0.05835960797328743,,,-0.015403989183919532,-0.04889947351421006
NGF,0.05791393904813326,,,0.0006852142732317143,-0.007707205216916883,0.032509542074192654,,,,-0.023815546703558694,,-0.011651147295514128,-0.025279121237056824,-0.015647095769284514,-0.048161726566286193,0.003412326769407667,0.06768356603294798
TNFSF15,,,,-0.0146465213433673,0.011171047970925626,0.08185031791099247,,,,,0.20520018674780732,-0.04681618219078565,-0.021338539294259096,,-0.007337390879066923,0.0025906582017974685,-0.00791178823427399
