,UKF243,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.03752584146925708,,,,,,,,-0.024031212844352924,,-0.01999596695261382,,
BMP1,0.0019899511155865466,-0.009279867850662085,-0.05109020669842405,0.012828289601693015,-0.18176156894448278,-0.003950394281989102,-0.023786463851907982,-0.023449190370329488,0.009269103132579863,0.030725559616681598,0.03273124830173647,0.01741368028075505,0.1021767848499984,0.029761258699328844,-0.009261709926567246,0.09202359144056357,-0.04948477557086516
NDP,-0.03461904927319323,-0.05101405089225161,0.09977294651686387,0.040246726452859295,0.004936126697083144,-0.0010418366645467646,0.004394614653178869,0.008494162724565114,0.028151299130002343,0.010875303522740994,0.042650324312844955,-0.013031210793484509,0.010467089515382938,-0.04266373031436678,-0.002442968861192316,0.03852356733756148,-0.007620078449659174
TNFSF18,-0.02752805150384889,,,-0.0321474978321827,-0.03664643302500053,-0.01609183449775482,,,,,,,-0.024782965630564726,,0.07898717588424303,0.007373199425922789,
IL36G,,,,,,,,,0.013621422565446123,,,,,,,,
RTN4,0.1563790519093903,-0.06215828406738316,0.11422346540504735,0.07478563535278611,0.2493548670702352,0.014910060601513645,0.008726744813615385,0.08366444871819836,0.020952728815705018,0.021604862263739776,-0.03159654189274559,-0.033923548712659034,-0.02695117569884718,0.03429661795269759,0.03190293571800773,0.0952378647692539,0.03818162127777745
HEBP1,-0.007081563402375991,0.06259268431500785,0.01580851589166748,-0.04213420884952442,-0.05266295673639658,0.0368942145392924,0.008616313919127398,-0.030340356021411843,-0.014822419933236203,-0.018130325176150295,0.0049538779898787005,0.10148076340161187,0.008167974396552063,-0.017787854700620463,0.062145134150130864,0.016954082138508138,-0.08379744806998107
WNT7B,0.11815632218542521,0.04436258576902045,0.049819092609410094,0.12830051116170552,0.26232446738192916,0.01910127539529479,0.09339127601988784,,-0.01398322690194021,0.022284615524739978,-0.009579262240849387,0.027880289115786664,0.015487810733738318,-0.02834310000629197,0.15930211863380495,-0.020571300642096443,0.1230566243842646
PTMA,-0.029826874174924366,-0.12338857011160106,-0.07100840305642689,-0.07033240677892687,0.02533107672882084,0.013979985479259565,0.02349263578560494,-0.121388122317933,0.06461621252244151,-0.011987586349299424,-0.08315536947947441,-0.03739601422129198,-0.025298998397657067,-0.0362704039394459,0.037144456796410784,-0.006979714145825096,-0.034795283488153084
FASLG,,,,,,,,,,,,,,,-0.017342495316279266,,
CEACAM1,,,-0.021935711712376814,,-0.04822461863614301,-0.025308622042266443,,,,-0.013152527996557997,-0.026733028026001804,0.02459073567585472,0.08169017019995048,-0.018811727687732215,-0.02412953508367801,,
PDAP1,-0.01942385304980408,-0.002747960855741122,-0.017505363716216193,0.01107847304765391,-0.08508984502506146,-0.011269146257099275,-0.004125521414517716,0.05007405476933705,-0.014341915191325542,0.007042497685907866,-0.02900770467458512,-0.02236942973058003,0.029389707236256543,0.04661145292443665,-0.016527938903743346,0.004782175408441257,-0.08248064828833843
QDPR,0.08430503052170416,-0.011999274863081768,0.13964375870446674,-0.019626592421202405,0.020618604347738385,-0.014536752340886784,0.03842674122402779,-0.08731320527803947,0.01943922321927277,-0.06625501834079918,0.027968958502068757,-0.027198155810042406,0.029350910328638166,-0.027494766923120327,-0.005605867178537703,-0.08722108097553356,0.04071477703796705
POMC,0.04442459899566008,,0.05169569224085208,0.013872816236975477,0.022546398789052485,-0.003822751991207058,-0.029364420338296414,0.08450778352258385,-0.027257572621185663,-0.020826333449801192,-0.0116409307763891,-0.032263164693793034,0.03400180089229868,0.016926390902978324,0.00999752910507803,0.0890878668801307,0.028949954901656607
