,MGH258,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.022640966367906294,,,,,,,,,-0.024649713200844504,,,0.21189291543101282,,
BMP1,0.02582234695058855,-0.012704666254890374,0.01596931020687057,0.007215781391217258,0.1952133417728207,0.02205025338599977,0.022909195327290424,0.013267588889284854,0.05418651730056041,0.08237549766477195,0.09419536383859527,0.08575661253957215,0.0070679602217602975,-0.05723706553811603,0.04839531535695795,0.014005600728026313,0.025976951250166157,0.002027768821364795,-0.014100600540841376,0.049467658600109404
NDP,0.004282417249341854,-0.06394905500625653,-0.0433286752885566,0.023008224142738308,0.04709713201304791,0.017444566946158573,-0.022023523085573423,0.025144380887314067,0.025351252879687782,0.053921339664793795,0.016339550893151655,0.03824250869664161,-0.06810450003977843,0.025584189117727252,-0.04000203238519773,0.02600018189757915,-0.019550944037497724,0.029430974484710572,-0.002892285590355681,-0.029745906296738227
TNFSF18,-0.028198431022105352,0.06172071048557411,,,0.03976831037899853,0.012326828178314533,0.02420946420815932,,,,0.07216145935957287,,,,-0.05286576656000659,,0.04520283759926317,0.036086816079605025,-0.04912493361542901,
IL36G,,,,,,,,,,0.0201379824551358,,,,,,,,,,
RTN4,0.014624236261477358,0.00828200494218032,0.056061121603604325,-0.0017339870977339114,-0.3360208413326278,-0.04522621123210978,0.00067741234281769,0.00770472931755973,-0.05309376451461223,-0.018943737947677636,-0.05998015054517503,-0.008745791739833008,0.027725555830053157,-0.03895646060744945,0.11520805937068519,-0.02294214622214373,-0.013382591656965226,0.04112726595679394,0.08804104558787391,0.05664309851649041
HEBP1,0.0032413705575602253,0.0013659919207608686,0.05617108285396719,0.03873547565043929,0.14647519303808657,0.037498811266393935,-0.01365269844426662,0.012756445697360506,0.053905269535664165,0.06423251803016262,-0.0012651250700194325,-0.002016864320974221,0.03607940665460431,0.06464535946418623,0.013813301257141114,0.07734306143655528,-0.003617407412130161,0.014829700452517929,-0.03573344966242868,0.02195471579407272
WNT7B,-0.02696277944003211,-0.015378614886064394,0.003162966484012458,0.16268453282142292,0.007782664222868546,-0.05350791247873185,-0.05271375842470307,-0.011246854873331763,,0.07123085590185414,0.05709764034790238,-0.03662025121933036,-0.06372009594779164,0.018488266247051185,0.011507262638344456,-0.011618063088874713,-0.055603978336418156,0.18097383551200713,0.06820759748993513,-0.06924559012108242
PTMA,0.06817088070585235,0.004163748580718113,0.001234902030711092,-0.08126080980749775,0.4343716394727229,0.08286072412179474,-0.040035751518261525,0.0041808390358563634,0.15231653014495206,0.04301743909621644,0.008296922564277628,-0.0953294744572182,-0.043137487635713116,-0.06489065917688266,0.09714102893742377,-0.01163489943843549,0.10035075103742355,0.021655685034959172,-0.06320603846603882,0.012627331842874788
FASLG,-0.005186802451822329,,,,,,,,,,,,,,,,,-0.01404201609807316,,
CEACAM1,0.02769161798821149,-0.008587256964944362,0.008836905379929521,0.01912840704651004,,-0.02583667297154021,-0.023045455595936144,,,,,-0.07788816429045631,-0.0016255499172966208,-0.015399748832127795,0.024275890191626837,-0.017163928396483053,,-0.01953740300370577,,
PDAP1,0.02589814303411692,-0.011807830097445439,-0.01783950556118706,-0.042328946153112085,0.14762452178598548,0.05696869927306831,0.025984896820240626,-0.02726482971573148,0.10897508176045649,0.05075236060672078,0.08629051382806757,-0.10808139362654304,0.048639830950782684,0.011253153510992757,0.012622784163594265,0.018954372985620176,0.008676552329768588,-0.03389957044261378,-0.00043743268903036545,-0.01623674328835546
QDPR,0.18476999332525149,0.001577047929797098,0.06056434919604701,0.13801918441731284,-0.011597095609814742,0.06297003304359867,0.025069314607666964,0.05078088717962008,0.17268463988454474,0.0579275574870367,0.07142153129082086,0.048863717204913844,0.05140692439244542,0.040471952226474574,0.06759578138706412,0.012871286112394131,0.08510561296706359,0.041793949905038305,0.08919822190533369,0.1616330275643238
POMC,0.004865558373490687,-0.04815847261657937,-0.011728591979020422,0.06563276937768361,-0.012743796323092936,0.05192869280907792,0.0028982511224646154,0.06116906096188166,-0.014848459315208734,0.00807598460882541,0.1357359257128078,-0.08467668705170771,-0.051878452835266334,0.021072719399330333,-0.0029990154992528676,0.01264299652535981,,0.033181224148788144,-0.03651821170666041,-0.04337467706428133
CCL18,,,,,,,,,0.08039938220187495,,,0.05365461043705643,-0.05153717939697122,-0.02677756387774342,,0.022456421301877194,,,,
CCL17,,,-0.015228933061595151,,,,-0.002794827647450888,0.026556816235659066,,0.06057621511556763,,,,-0.0037049282244994925,0.05490958584560057,,,-0.01272751039900629,,
VEGFD,,-0.03563864360428879,0.10432129327539189,-0.02824331667497131,,0.014911798631626099,-0.04140574270052696,-0.01021082100679344,-0.05862139395555028,0.007928530006585542,,0.08279718846280128,,0.036833684961742406,0.037362907206747856,,,,,
TNFSF13,,,-0.01050457719230214,,0.009748811177272106,,,,,,,,,0.15092916990144323,0.027587783372748063,0.058687265427975074,,0.05913162078806229,-0.034205767822498276,
WNT5A,-0.037136026166983555,0.016460036099267352,-0.007477431190941841,0.20806455298823387,0.3486310818596825,0.02891491414858853,-0.03003765861402139,-0.014676830848373278,-0.02769536448630465,0.058537934335775754,0.07042374415299284,-0.03446735198155722,0.023927522294444788,0.027739541347966464,0.02883636867167134,0.0207904557532889,0.034639811471691456,-0.036402540996243876,-0.08192242261345314,0.02013179209385975
CXCL8,,0.0439111708658662,-0.022086810963270836,-0.21157457885481412,-0.005838777908559063,0.01030394993330847,-0.05119528783254886,-0.009508760502783705,0.03733436837510068,0.0005432977554493862,,-0.11146546945189088,-0.007512583203249487,-0.08772639110712005,-0.00397997711755606,-0.030663416534369412,-0.010154051738988125,-0.03914978009129509,-0.07372790971889749,-0.05344792330127826
GRN,0.07345660505989385,0.017458046659652195,0.023376138636024658,-0.04149852299388243,0.25284779283771935,0.04929865171706801,-0.014009356676430407,0.0243011679436098,0.12010811158964906,0.05437036268462168,0.0159507333783007,-0.08446792778669479,0.013628798002959056,-0.05076015928899003,0.01976977099026078,0.03741398327994021,0.17429342677747944,-0.020577522750622135,0.00945322563622435,0.09720801089834656
MIA,-0.024265788569917998,-0.039265513325497214,-0.03206702394285473,-0.09230825926887273,0.11869042371151589,-0.03144600460929602,0.03439683800130965,-0.011612658516346267,,-0.04506282955789429,0.08604705893433769,0.08699654725924945,0.06052144293847771,0.08028003240831828,0.029828519388087987,0.03972895606801941,,0.02325775928438484,-0.02411836008218707,
COL4A4,0.012950973755963189,-0.03192603503653416,0.07710523137439779,0.1840892412503015,0.031766459747653325,-0.022310991826058984,-0.007964115792434577,0.02405546950650467,,-0.034819493602063226,,,-0.010659246863172196,-0.024657405768219443,0.06073991384374547,-0.03459124812164298,,-0.012650161923821178,-0.05972832068912275,
TAC1,-0.04791763016405161,-0.009414743600435864,0.055341647434295045,0.026900086635732703,-0.2755602362024567,-0.04315454526443118,-0.0010027794720274292,0.0027350284291709753,-0.10157455018499098,-0.02298384009266348,,,,,,-0.002525950005529896,0.08173734780537957,-0.016731606607223608,0.09464923785072533,0.04141770304625401
RARRES2,-0.10315160686736317,0.010312558224408293,0.05806832961331467,-0.18842161992310635,0.22679089963657717,0.045969801495610085,0.06249572601446759,0.05214012804896641,0.06329481030993599,0.026180401506531666,0.07847223046099006,-0.08826009125236414,0.04042800730288221,-0.05348625517623548,0.030284546761964633,-0.040203963664277365,0.06510904227020965,-0.04958739381426616,-0.03608275346765508,0.12466644327750301
FGF7,0.04533628206792948,0.05546951852020696,0.01821367229032274,-0.04567298398208158,0.048618388615243195,0.006874349442477053,-0.06492418071047809,-0.011078136815453235,-0.008345381431151287,0.043085667198881766,0.05847257910259305,-0.027298727793361253,0.004941743385931834,0.060158481536526136,-0.014656913531216195,0.07037450099382428,0.07650330810570637,0.043732752870785645,0.1322935765622585,0.0028699655638347297
EFNA2,,,,,,,,,,,,,,0.06954105911757011,,,,,,
HBEGF,0.0311184598037023,0.058644561239204196,-0.023686169010500187,-0.12299992252685003,0.2419590202697608,-0.018644162712565724,0.047224179337424975,0.007635733961374254,0.06465933829689309,0.04936573172609816,0.10033547048220205,0.04186528965440362,-0.005323811134531107,0.022367263689509427,0.029485323202175628,0.028287457857514867,-0.019447191586088066,0.00021717017415796372,0.008573089372660247,-0.0191666010326691
CSF3,,,-0.01815156035249213,-0.17002794583956563,,-0.023604599918703575,,,,,,,,-0.033435962643983574,,-0.024606835926078797,-0.06400455679458035,-0.013400104999930919,-0.036425985436635146,
PI3,,,0.006425972818099978,-0.14073678025267009,,-0.026579091055457124,,,,,,0.005026254772565474,,-0.08939294291654763,-0.0019262321926334072,-0.044796753715327604,,-0.029113976416387084,0.00310661785143649,
PCSK1N,-0.15226778969782043,-0.05795147966456367,0.026789090678809042,0.07167709258845097,-0.11264872640888082,-0.06341178489656071,-0.007502704065675031,6.052060236580601e-05,-0.167112481825079,-0.02615398837667142,-0.030707670397768977,-0.0386205178739567,0.016864603809806592,0.028621269683350343,-0.05159927797138183,-0.0169256831172486,0.020560745192412837,0.03842889850073583,0.08430029208211802,0.0281850235169126
NTS,,,,-0.06702052455001756,0.014188388055696867,0.06793800721343687,0.0010565710779048931,0.030334724539046717,0.018474516064758105,,,,,-0.01783171330776119,,0.025991930565590356,,-0.019843728250265463,,
SFRP1,0.07883201618267237,-0.007649219909407093,0.030247115510069197,-0.04002977477949169,0.198334468531803,0.04392180127335102,-0.022561864434800027,-0.013920453665514471,0.05785319045333266,0.051217201154849006,0.06280447683870143,0.011433381825805713,0.06722463496990136,0.0074837171876917605,0.01199422737020584,-0.017739354698017695,0.026552307630799635,-0.019382610278661453,-0.022685012602835113,0.18401915349554737
CXCL13,,0.008656722682674025,,0.015833152462523002,,,,,,,,,,0.03054794047860372,,0.00782728897073979,,,0.01011947128691003,
MICA,-0.014608233271980103,0.0303104997374899,0.014011905862080162,-0.060885042273031154,-0.006623388167969988,0.004403161347237402,0.036943440939261454,-0.00906652496694273,0.02855439550901552,-0.0042801803964078265,0.005763458320093492,0.08873065124833424,-0.038908706991950176,-0.000560322783356947,-0.035157934849542674,-0.015489638024112285,0.034692659106414135,0.04068755716315072,0.0845291434478184,-0.028242452805531292
TG,-0.002523322922358042,0.030356353224254357,0.025506380978326377,0.09570926315355054,0.0020418097583964514,-0.014748839639511731,-0.0022050683074877377,-0.01007417176502143,,-0.0022614425805324717,0.018039656996037396,0.01728729636363937,-0.003862829495790383,0.05128428128389899,,-0.020251804090095804,,0.06929561331834086,-0.0022984229710152813,
ADA,0.06611210078940458,0.006866239687376494,-0.010599984802958425,0.006980752770888563,0.10180201335047671,0.027909104132148182,0.0021263137214654277,-0.016361265111827377,0.022397754659086205,0.04175134808232985,0.05511103363377526,0.09337529699361181,0.006166090745543915,-0.03551090921560867,-0.004438290167012415,-0.016036207325166637,-0.004968348646592224,0.0330769632512664,-0.014619302378897003,0.1702651048642843
