,UKF248,UKF260,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.021305655306240307,
BMP1,-0.08272643978089118,-0.048447456071911296,0.019328028119510732,0.15685616696314766,0.0901467853171761,0.03741925525622458,-0.04889483375163824,-0.007301443129601177,0.07665186968931245,-0.015124222246500079,0.024120121350895935,-0.03215452743911042,0.08621867454044153
NDP,0.000939716356349317,-0.006547482898136386,0.05764179035684318,0.052699450087246004,0.017325793946427023,0.02653024511893713,0.0026619429082875607,0.13307392142333332,0.014183718312336616,0.024953231493692617,-0.038166838964239266,0.0069712584228860605,0.023605299146389234
TNFSF18,-0.028831494494876597,,,,,-0.035075012750161234,,0.07046814251139774,,,,0.013391485941599807,-0.028252158636930452
RTN4,-0.03421371262677343,0.046417616169761144,-0.040839943660461356,-0.1829740728627695,-0.030104058968175428,-0.04646621166238442,-0.07691127744576888,-0.11751271364141129,-0.014216398869669187,-0.06461600213672183,0.039878392535616605,0.010537700551022496,-0.011080499507225497
HEBP1,-0.04989179345783918,0.028961425160936943,0.053318502532817384,0.15404884705955624,-0.0006455808150535222,0.052308839651156507,0.07437799073926704,-0.010799877803962129,-0.01340340819527147,-0.0009637054249479129,-0.03746147903306633,0.05842967204526393,0.04579955190096447
WNT7B,-0.024200339390805688,-0.0007229704371225281,-0.015270046203914991,,0.05272561373998607,0.0005736472484045341,-0.04684353930468782,,-0.03447725291296232,-0.013654948628779025,-0.025385186938721445,-0.006361880766562535,0.09194309552540049
PTMA,-0.043929831508656945,-0.08117950723377344,0.0021696146115082536,0.24640335997503748,0.03827132339535432,0.00780830885799547,-0.04848359420321147,-0.053432319568560024,-0.021576197503276964,0.020959916887535627,0.052499908513111565,-0.011488135054686072,-0.04735109817984719
FASLG,,,,,,,,,,,,-0.018478387578572883,
CEACAM1,-0.018350456098785297,0.042877999833606226,,,,,0.024077984355259003,-0.046275216200898875,-0.03091975264651054,0.06055387941066813,-0.016848517765784055,-0.025709962334453388,
PDAP1,-0.017996404767343537,0.04784653260165743,0.0013636230390620594,0.07078312644032507,0.021223747505014167,0.02189913442409819,-0.0878967819427537,-0.08800514140698014,0.016806149958036802,-0.03855233204122481,0.0034930104875778817,0.01861301672364965,-0.019254308142492575
QDPR,0.04227989324317857,-0.03364780538087944,0.02243411408711466,0.223246516463168,0.028101866396737663,0.008617102786185988,-0.05006458975348151,0.025758574443015086,-0.06854562111221114,0.028603540071633602,0.006182145551347302,0.04761022160933275,-0.03904775062994972
POMC,-0.025348627988450258,0.04616253724507982,0.0009787110767564904,0.05338069406286642,0.008287717451655116,0.04509424895450631,-0.024724069460692808,0.042289810638323384,-0.0063487102623290895,-0.033905976520625644,-2.02688580849784e-06,0.029437404686942014,0.008623860331912364
CCL18,-0.022899635386291462,,,0.09855505180762382,0.04508251197446767,,-0.028817095313885623,,-0.021922612995875425,0.00930847928466195,-0.009532763298107745,,
CCL17,,,-0.003736189759518706,,,,,,,-0.015126262213673814,,-0.016748582854525202,
VEGFD,-0.022899642657998254,-0.015090766159922478,-0.013863405397303935,-0.042005328952214184,0.046197146352696894,,-0.057031352011946576,-0.06291014235800216,,,,,
TNFSF13,-0.017280805194947905,,,,,,,,,-0.014261549724388723,-0.0189197562205996,-0.02729041781403939,-0.030734318717938074
WNT5A,-0.03287102939462667,-0.0653059920303488,-0.0171211439743561,-0.03467198155497348,0.029930814906629726,-0.004207387744032985,0.09502232175503145,-0.055618916808112616,0.018239704880014033,0.007505843670224884,0.05958592378246484,-0.016897909525718714,0.053446323100230425
CXCL8,0.004062355215761149,0.08760676112513187,-0.01291020590687638,0.22275692365989502,-0.02562654504807151,,0.06057062433336359,-0.04510332218117539,0.1372034744204536,-0.002374458777080053,0.023824421138804522,-0.011063479507995513,0.02188000164186752
GRN,-0.007988494174506849,0.028055726686814643,-0.047049668119895145,0.1642951407860112,-0.0070517090742413255,0.0438066534936715,0.005375545488328026,-0.006680523291457051,-0.002445502747366159,-0.03321991911063256,0.0012738773690249027,-0.09273228027915471,-0.08518199903242593
MIA,-0.011315667681773885,0.07863427416836835,0.002458285753913157,,-0.01434483888578415,0.051814044281583406,0.05010451813628734,-0.057917776555140466,0.005006108117141018,0.041647131157395705,-0.02353071804997024,-0.04476787251910422,0.008563234448426016
COL4A4,-0.027502276044756923,-0.03929371251255561,-0.02648680889180543,,,,,-0.010602125964448112,-0.027717032618936505,0.06013380987501682,-0.033955586684780506,-0.0491853227047134,0.06944335458101217
TAC1,-0.04582123431708523,-0.08011622300633334,0.01753031945889661,-0.10466632661095604,,,,,,,-0.02906849299371142,-0.0026671399319993334,-0.06629036053990195
RARRES2,0.044654911986026426,0.10304165601940735,0.018665296426544842,0.03450236982396021,-0.09528841803513234,-0.09699880861053688,0.0182921966218868,0.01740911836145436,0.04238624955585375,-0.027754800191817235,0.012649694811043385,0.09189311203591724,-0.011266216470176772
FGF7,,0.04777913818784679,-0.02484884892017723,0.013992413925509987,0.04158163149497394,0.004099565405186843,-0.06499661491423403,0.06889426068996858,0.05053202852338424,-0.027926789560242554,-0.0006818935924681541,0.06602346120420474,-0.003666672456464608
HBEGF,0.010641640192288205,0.024558652200787998,0.005621131898642807,0.153091165283162,0.03914430263968769,-0.044460802662938524,-0.015206535581385457,0.04168286104657806,0.0658901294348089,-0.043919050212751394,-0.03673676736619729,0.02184405193842957,0.07527994436905375
CSF3,,0.03093690576073595,,,0.018506834481879217,,,,,-0.029192018931072396,0.0058798023297170245,0.028523281919613203,0.09683954339971991
PI3,-0.024091381915177092,0.07408784113980116,,,,,-0.009543394848581603,,,-0.018210933915463565,0.07198455184148742,0.005846422500362751,-0.01866122106417954
PCSK1N,0.05613799907723807,-0.11351619548662473,0.012615617646470612,-0.2415815477918911,0.013350662311257358,-0.009463764448039716,0.007174427840354785,-0.0578849172237953,0.04751795266735711,-0.00440176488166697,-0.0253021042201957,0.0062561480572138305,-0.08525679214190333
NTS,,-0.0017058690170705599,0.06846228809488548,0.009483626325464088,,,,,,-0.009079074645398519,0.01955206693153428,0.004797484746112527,
SFRP1,-0.013404400182859709,0.0038440358790824075,-0.01890003676991462,0.09462005595692015,0.048203376733884806,-0.0365869224572552,-0.0744310690347224,-0.07033458075378139,-0.025672667244899496,-0.007491451443701335,-0.028424857804231745,0.05548884578818347,-0.045078250305568675
CXCL13,,-0.02257311106001302,,,0.039518010766905864,,,,,0.06514721150370086,-0.03940126340969773,,0.03855244415299413
MICA,-0.04125827065412975,0.023737215584734843,0.03248779385080194,0.07507173380893321,-0.06021973769134287,0.07566218159587323,-0.05827394953764367,0.04631988221206881,-0.02278957206612459,0.026669195411493936,-0.009422365950499568,-0.0014019811718734183,0.0393368073453178
TG,-0.026077515330304644,-0.030476465462326754,0.006782904901166893,,0.007236675279943385,-0.04495026663854415,0.07652928179020552,0.013685938772006077,0.004356769900769347,-0.020099020699678245,-0.019879649525400778,0.01563800954393371,0.1621860479660784
ADA,-0.06375114667432268,-0.05151755977409407,0.004324774598982336,0.12883129083514558,0.025497278340939854,0.038824602624316445,0.02709186896345846,-0.01762287814245208,0.02248989308992865,-0.04089789410408011,-0.02238547315974283,-0.03562756831325429,0.03694609727739359
LAMC3,-0.04419450177379435,0.003923343606815883,0.017882295972415644,0.043766780433330335,0.0651163183597623,0.008263035929991358,-0.03537515543225427,-0.008224558936676734,0.02410773642109977,0.006635438112869775,-0.04477285467704119,-0.07443408247477681,0.08955563641126096
CCL7,-0.014566102615703251,0.0602845448661757,,,,,,,,0.015199407348073587,,0.00426538301065047,-0.009476901637214276
NGF,-0.02500927485181659,-0.030218974118933137,,0.022125401447161228,0.07221465609760479,,,0.010444383744474027,0.19495426567561455,-0.026182936481294498,-0.022127523883627667,-0.016371721110872695,-0.028326576729459874
TNFSF15,,-0.02172843990665142,,,0.0406874588955982,-0.04143276700773229,,0.015941117926820184,-0.03290141641612398,-0.02210146522523032,-0.014999624022924856,0.05329614637081138,0.12109711967413223
HMGB1,-0.0352351985041196,-0.015206423323980577,0.034795481469840205,0.07462590364154566,0.020174739812437892,-0.0204025027195738,-0.08604835258073601,0.003783084928734938,-0.01835328240795141,-0.0804245124777493,0.023043886386773082,-0.03381533498515842,-0.01557289809976941
ITGB3BP,0.061650865006622244,0.09821564338432577,0.06485244983346884,0.057386328278131636,0.016819787647767804,-0.020818916244586108,0.07882483730398941,0.0247350869674428,0.047088251009502424,0.036412842849570165,0.06205611970307604,0.027150148890569006,0.023922003484915
AANAT,-0.02113319881759417,0.05110249419560454,-0.01576670491042613,-0.005969134875306732,,,-0.007264474786464116,,-0.022833320390372246,-0.01988867134977468,,0.0016871077916209678,-0.0220624831582037
RELN,0.014147000211949834,0.015360895713997319,0.03163108318668043,-0.03995861485752429,,,,-0.0031179534642713216,,,0.06303815312998118,,-0.03702902252371215
IL15,0.015169042236459644,-0.005943642611262999,0.0022242890533206686,-0.03917129148487913,-0.06169335139222364,0.040035579197686806,0.058294352452147445,0.016229212353421528,-0.038598312626161604,-0.03643686078514423,0.06853516771434785,0.06636689689231921,0.010038509271137095
UTS2,,,,,,0.006712314968049918,-0.06100897683603765,,,-0.016936659258223734,,,
BSG,0.02074919967720305,-0.03282421990497682,0.02978108739989163,-0.14801490058658892,-0.0439910985009514,-0.08339189671516097,-0.008771751289051185,0.10477130119989453,-0.02248210141041121,0.012057620047669746,-0.020626414451179277,0.009404787806332483,0.018614436324746644
ADAMTS3,0.024780729314718544,-0.018217229483613456,-0.0009203353274337932,0.08240202931423876,-0.024062048600563813,-0.04640497318155286,-0.014105086772166318,,0.07611110921798692,0.020354987664199374,0.04362050285710635,0.024042322962572082,-0.012942961133547336
