,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,-0.01482474746210828,-0.01595430647544075,
BMP1,0.05573513869774121,-0.03187739810171966,0.03822201820284913,-0.027549644935348137
NDP,0.03702893100765084,0.01304562802610961,-0.003439981246395899,-0.09956168367190071
TNFSF18,,-0.015288500385512856,0.01947635733000092,-0.028252151376034013
RTN4,0.05853229696795169,0.05949515550086344,0.0013889989946059493,-0.025410507952536916
HEBP1,0.09547446551070919,0.031898707974318694,-0.005123273855747929,0.0753966187599613
WNT7B,-0.04526930238494187,-0.03196949111360641,0.026482635960732998,0.1059627952894587
PTMA,-0.008345823750412939,0.08338152216751726,0.03129751399542461,-0.0034151730955473904
FASLG,,,-0.01383716456325946,
CEACAM1,0.035623313369286765,-0.021967978912938033,-0.019252382180226426,
PDAP1,-0.02696237133107881,-0.035776566420128685,0.04787453765246125,0.008459153254592686
QDPR,-0.03817126030244999,0.05488434753194826,-0.004162084484505539,-0.08826423898002306
POMC,0.07167665198227029,0.06680356708927238,0.023443068880698373,-0.05855581866452093
CCL18,-0.011358448765939153,,,
CCL17,-0.019029170622522438,-0.019545573176969467,-0.012541835491543994,
VEGFD,-0.021930869436679715,-0.020614546973856104,,
TNFSF13,0.013586555913803823,-0.020960099537982897,0.039603729257724575,-0.030734310819118444
WNT5A,0.05128801059627675,-0.0272683692589579,0.020295779502683697,0.07102434832579632
CXCL8,-0.09046360392034439,-0.02775045327700502,-0.0029602653292978864,0.13994499413572412
GRN,0.06117658284538552,-0.019009620991737346,0.03002780055915922,-0.09253022749953524
MIA,0.015245856325200785,-0.05615262692894523,-0.040781230879197654,0.0010750534636276656
COL4A4,-0.011679483542941857,0.09468966461846182,-0.03683142814643268,0.08638097505243268
TAC1,,,0.08622674357964702,-0.018650429122786617
RARRES2,-0.01821693052612987,0.009049893675893214,0.006505394229782265,0.13263662685920893
FGF7,0.006386867418746805,-0.04928818385199881,-0.012842552764747928,-0.03652015636357378
EFNA2,0.058041578214370164,,,
HBEGF,0.03635958202107379,0.028727739932212205,0.08221381917132965,0.07247354594213078
CSF3,-0.011621666965309934,,-0.013204617966108383,0.13021796301626296
PI3,-0.030922978410695374,-0.01660715222480183,0.029407134940906958,0.11060841307437876
PCSK1N,0.0611699389293717,-0.024269410174434788,-0.035276692299681035,-0.11262733235232222
NTS,-0.025394243805389457,,0.002232791934190318,
SFRP1,-0.004315366104546167,-0.0007081862732812411,-0.019099847644254243,-0.04507823872031209
CXCL13,-0.00530340853934456,,,0.08906951008243875
MICA,-0.023152699157313168,-0.0655099012649349,0.004543671056996075,0.024059490496404462
TG,-0.031275787254313125,,0.03752783274141769,0.08571979752007808
ADA,0.10626832391829318,-0.016378363826483156,0.10344755133391866,0.05444012667202243
LAMC3,0.0818772774731802,-0.029181116432391442,0.0175985189105269,-0.10745169668603097
CCL7,,,0.10708774168764497,0.05849827837311787
NGF,-0.020563647660175873,,-0.029887510392369643,0.07159066268353383
TNFSF15,,,0.0874650950516567,0.0778582849316172
HMGB1,0.09087551659331101,0.030855816783432414,-0.0709559261821617,-0.07647075159607163
ITGB3BP,0.007061553843666178,-0.05773937637731425,0.023188376154162502,-0.07612937501002755
AANAT,0.030406839109208574,-0.024177246957307334,-0.014640291941915939,-0.022062477488073946
