,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.018557929163707722,,,,,,,,,-0.014719726103919348,
BMP1,0.041603985100180055,-0.04150766711164709,0.022803055735542248,-0.0060073658603050145,0.005081332658484709,-0.030478702944879303,-0.024224896897971072,0.030569824433859926,-0.08016917692719099,-0.10024911609528958,0.11914276599961282,0.009130715451682975,0.040225874848168766,-0.008007497735240884,-0.02942612114892293,0.040281495916478456
NDP,0.04192891084040469,-0.024020011888051016,0.06263670094580008,-0.0318431344691664,0.003010574332319294,-0.0501798036312779,0.023824159049203455,0.004896163983659473,-0.06112548075932855,-0.005287469434533751,0.03254959501159682,0.13894343837937229,-0.005660916706893767,0.024972731826315084,0.02195884714690933,0.05135177624839939
TNFSF18,0.09613724877645075,-0.02883149340179522,0.0007673481205886233,,0.040794486817882704,-0.027557967683805577,-0.013506324514173523,,,,,-0.03292319279667206,,,-0.024829546320413957,-0.028252165462178208
IL36G,,,,,,,,,,-0.01956199337866932,,,,,,
RTN4,0.011742954817494322,-0.02421181392618926,0.03144717416518039,0.004194148992715545,0.004199470022477146,0.05050801174830103,-0.020716621172412457,0.07779440950688815,0.10146168099282925,0.13329732296417265,-0.061656586299013216,0.03725458003109582,-0.0020742100273674654,0.05668720876832353,0.09327424322671593,0.02094436870891197
HEBP1,-0.009949599676589014,0.00995844377424531,-0.015520383571426325,-0.004760535594469246,0.011023285162036548,-0.05006040365067427,-0.007687667144249008,0.016891194937750008,0.0013245304749166108,0.014900804498175789,0.06450881032858524,-0.08643115063249517,0.06149608122435671,0.0172357536540291,0.012850683995981504,0.011991162504722772
WNT7B,0.0718667754652256,0.028122342693196044,0.02573973532137339,-0.028867303561951038,-0.015400278812562215,0.0274396869993913,-0.002849706992989252,-0.013415229982457423,,0.04273054014578208,-0.05908597293752606,,0.053454964426118946,-0.02415945712353435,-0.03141801458163382,-0.01648311352998005
PTMA,-0.06093559828146989,0.0444659378158229,0.005627779859446654,0.007850967903005527,-0.010813019691250035,-0.021536805005379956,0.04877303063776277,-0.0917312639211938,-0.1724982927726284,-0.16847776841071715,0.03323328434790201,-0.07807501226068957,-0.010457382053188911,0.02190618357777529,0.017519910340015626,0.007841453617362888
FASLG,,,,,,,,,,,,,,,0.05229629154502445,
CEACAM1,,-0.018350455403068955,-0.012055896488437145,-0.033333459485245374,,-0.025314527034842948,0.03240596421752797,,,,-0.044493219311622464,-0.008229836559253554,0.013670623498487881,0.07633188953640575,-0.017762589240538064,
PDAP1,0.008465720982417654,0.0077723829612473755,-0.034906230390664476,0.006250172348970965,-0.023931427501718887,-0.058964037699130695,-0.017544547251379106,0.021149468961243992,0.003895194748271965,-0.11053088919491542,0.0513285772847331,-0.036255646726816707,-0.009960132732528562,0.10527045001403244,-0.012015140493311061,0.004017882996049
QDPR,0.08968577508576858,0.02585822736240357,0.0023757237837346967,0.04116695091230466,0.020184615257235534,-0.02817535457796988,-0.007706987296409587,0.05373217273771329,-0.17154135175108068,0.004302805342219634,0.07667154398812952,-0.054756927861304525,0.021632915343596657,-0.01805422054985238,0.041624090580479646,0.04484550983071644
POMC,-0.006263510085159225,-0.016231197050694625,-0.021421404630910947,0.0061838473941606895,0.015069063041487812,0.02458055182134017,0.055782102540806615,0.06161613385806191,0.02820419725466442,0.08035726522563223,-0.0626249872856185,0.04338999604617897,-0.04837212752937687,0.046388136482918445,-0.04618609896341594,0.02466632436846549
CCL18,-0.026650781492332506,0.006890950159433248,,,,,,,-0.0695303010880456,,0.14750500346653003,,0.01715707564580317,-0.019811311349465583,,
CCL17,,,,0.011769772344948705,,,0.04956198809850437,0.005012684455192415,,-0.01787043631621815,,,-0.01691332557459319,,-0.011571319853992101,
