,MGH258,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.011917476891233424,,,-0.10202877325944275,,
BMP1,-0.10801146537499264,-0.10919933165085562,-0.045141547068233534,0.05876045952739702,0.040585704205918144,-0.07416491761957338,0.054065134602608006,-0.1787960731097583,-0.18895806721133987,-0.06974374115521235,-0.05085519800845748
NDP,-0.025120289690591515,0.028934074000934572,-0.03808076021394768,0.016226490074490958,-0.14086714760592825,0.00980708052334693,-0.04213111491004686,-0.07449767368914802,-0.23022710076865874,-0.052939845691737895,0.08007420918796151
TNFSF18,-0.0375466299229814,,,,,-0.014796821939428646,,-0.09403853656649938,-0.05736759072451294,0.012618189576455992,
RTN4,0.19863051480245442,0.09335806406696412,-0.016704257243941444,0.03238361170632056,-0.047682552650052216,0.012219593166502314,-0.14380272391590285,0.055910043447993954,0.0033176264957885753,0.1475517962178872,-0.07255148983243127
HEBP1,-0.022885679750116513,-0.10827633773742491,0.036576991590894226,0.02496486833576058,-0.05938391318159527,0.025566663555691958,-0.030525338596227337,-0.19305360469669547,-0.24046122389130153,0.026380411429349465,0.04009904271323489
WNT7B,-0.04159382016657959,-0.0024896498761363553,0.08988852648474183,0.06506114655223866,-0.023879823797472746,-0.058586196274208045,-0.026732671060790154,0.02281342593034901,-0.07063236205063614,-0.003750979511055001,-0.1276656437147999
PTMA,0.1421018680621694,-0.008605519589212782,0.08126047174861174,0.024926951912987338,-0.004574149044751752,0.013965424314045757,0.14431274458259463,-0.12420636499424288,0.14768193506525226,-0.023015717762145577,0.303184229088157
FASLG,0.029935227898618195,,,,,,,,-0.025408521260943503,,
CEACAM1,-0.018227114246304753,-0.04449316836776449,0.005497727253203416,-0.04349147902541078,-0.03192521796164558,-0.02873676315065424,0.11325257132133354,,-0.08136543309003735,,
PDAP1,-0.13937973875029983,0.057555499433921194,-0.0615335653468534,0.024554346641005108,0.05253875419642812,0.025336466802544706,0.09380426242600234,-0.07647001011617297,-0.07299248026760789,-0.05673821571266919,-0.07988799620471722
QDPR,0.09320412497418491,0.0073897045436955786,-0.0029115429865858755,-0.08354015028086562,-0.048097267457857605,0.02034236132981381,-0.05263741755589367,-0.21967063663463188,-0.16918864336664904,0.01719147627561906,-0.05093913678676356
POMC,-0.009187738785390507,-0.06262491558124406,-0.05203801509639139,-0.08987829446224783,-0.06894642821391353,-0.006560972155416982,0.009165275366071726,,-0.11098670288622108,-0.020247548365774394,0.008884925103940173
CCL18,,0.04831509737201261,0.005571897320160972,0.043362931557687785,0.023986035150288125,,0.1666877302147074,,,,
CCL17,,,,0.030761735730616826,0.019087760100577365,-0.04568465550655653,,,-0.04934368284253055,,
VEGFD,,0.010324932568570214,,,-0.03192521796164558,-0.04832788080203967,,,,,
TNFSF13,,,,-0.030006500323668958,-0.01839077778125459,-0.044428525114510654,-0.016009724803773835,,-0.08176413474597523,-0.004189492694784192,
WNT5A,-0.08757711259860097,0.04752749045098953,0.024644766866143607,-0.003741091641795546,0.036877812276247285,-0.02184887945540742,-0.003824534896778455,-0.16529878099602188,-0.08513989478020681,-0.04364707228455419,-0.09428737164609662
CXCL8,,0.04919676177829311,-0.043094868042705174,0.18688799473150078,0.11354340276615696,0.0537315906831952,0.1561352291228798,0.03362608556743916,0.0332824433511186,0.050285011631294105,-0.039443911552768426
GRN,0.09594063183101936,0.09715392672367557,0.001396076341951903,-0.03488446633006824,0.04162785538249682,0.002252473804059576,0.01033816252282096,-0.1196558752432927,0.011282566110341051,0.031005438420935328,0.13370488968496727
