,UKF248,UKF259,UKF260,UKF266,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08927022901352205,
BMP1,0.014501145432872727,-0.021909887295065752,0.10026435369251109,0.012383631374194168,0.10935327480644473,-0.04853654882445104,0.02645268255249231,-0.023650618832795012,0.09334893587097084
NDP,0.07679466455583113,-0.013545195494558591,-0.016848463715384527,-0.005109334686922382,0.024096254610844157,0.06711961736020018,0.04168195304427901,0.11060924234526091,0.042464111889414964
TNFSF18,-0.03467419476415523,,,-0.015232543728177486,,,,-0.024104182392922384,0.01674609509736431
RTN4,-0.053035432273108765,-0.02261100211285794,0.03146780782260062,-0.10846603496519519,-0.05725099496819725,0.03726822377457724,-0.017566800290701207,-0.02693335357572199,-0.10546244442411377
HEBP1,0.03145094279246217,-0.02098494712902337,-0.00829814915672857,0.04497882316541658,0.026192491355647787,-0.05822419306318732,0.030543935291230805,0.07957105170305373,0.0022149582404803075
WNT7B,-0.029843444848811976,-0.0053757549893023015,-0.07592907887115186,-0.03710576631499094,0.030209648246180037,0.06663310721047784,-0.03652214667845884,-0.02329847409498395,0.05240474476855823
PTMA,0.038248112514672764,-0.04279369643274363,0.028396571796632696,0.18353529976695845,0.1091924921092611,0.05879673416670425,-0.05507236152753326,-0.13384476343162793,0.0742629527961075
FASLG,,,,,,,,-0.022239566777125616,
CEACAM1,-0.02742056743649438,0.03855384768636876,-0.01943464287703773,,,0.04436200427630435,-0.01769327973163055,0.11994776525812997,
PDAP1,0.03762221420898865,-0.04047492001613451,0.0005580767238638815,0.10545387193510639,0.08566606255242117,-0.008598098829151236,-0.05600802030057841,-0.011095598948995417,0.03153233039973544
QDPR,0.010577373489008548,-0.028791312285303978,0.026564403994159463,-0.0341580357664158,0.0366650834687033,0.07992942566623155,0.049304955032994945,-0.012523951841809773,-0.053066697976652574
