,ZH8811Bbulk,ZH881T1
ANGPT1,-0.024770817582563984,-0.03027744892002042
PNOC,-0.01362601865247844,-0.03363403943047617
L1CAM,-0.0778326693637975,0.09679901855193258
APOA1,0.044317083406695164,-0.04092518152297093
PSEN1,-0.06227731489568149,0.01522374688134897
CALM2,0.041732895736040096,0.06698608522363626
CLEC2B,-0.07167430529155379,-0.04390007205906602
NTNG1,0.054620701589178096,0.03816351443880048
LRIG1,0.07398088862259952,0.024742883662331856
CPAMD8,0.013412589126835812,
GHRL,,-0.0055070846520078875
NPY,-0.05178861243805535,0.04293855771495272
MMP2,-0.07507067203116263,0.015382248166308336
PPY,-0.05112948839003002,-0.029513691481830733
ALKAL2,-0.01462996008364123,0.08102918704971092
CSF1,-0.02624254068838161,0.006212189921672387
SEMA4C,-0.022364835518973357,-0.035976751078981156
ICAM2,-0.023789198997583194,-0.018898578586295976
SYTL3,-0.02441619039409418,-0.0073287968890375236
IL1A,-0.03376084637318791,0.024077103140300697
HLA-G,0.04644984974787148,0.06201692219195639
PGF,0.06443786691133262,-0.00712134535790383
LGALS8,0.034993559165272255,0.05843007253303853
DKK3,0.046425069059963575,-0.0214348339488171
COL16A1,0.002702700916481236,-0.03579415982343972
TPH1,0.03581753934663605,0.006432455087554629
TNC,-0.0790933245596052,-0.014730638191694716
TNFSF9,-0.006790377389926026,0.008016386214856794
C4A,,-0.028669417792631317
CNTN2,0.06192406255367838,0.016576197772397487
F7,,-0.02837020999775271
LUM,-0.03066506649728016,-0.006021680865238059
BTC,-0.021835624876566657,0.0315513691540157
APOC1,0.005068577330968228,-0.04681768433275804
PKM,-0.1011491902171599,-0.03233329033556639
TNF,-0.01494733640840303,
GNAS,0.028449150648241085,0.025425546334560224
BMP8B,-0.037300418548949686,-0.0526985048991077
LIPH,-0.016664994157013,0.016617542042320622
PTPN11,-0.05577888705076811,0.06696464730829514
ADAM12,-0.009400442507050895,0.03173106128548363
EPO,-0.01730786686443728,0.03099749991915801
EDN3,0.0035693421306937953,-0.008684114555124776
CCL22,-0.01582777923708563,-0.023816528700656644
CCL2,0.0007640707630586197,-0.06074037383700778
DSCAM,0.06327512814763829,0.032494646099642505
ANG,-0.049405472827147495,0.023666359656965872
FBLN2,0.04495369857527702,0.015473366221803597
VTN,-0.012170543063808248,-0.0011663512780076002
VEGFA,-0.06272790541782539,-0.04591650947834209
F10,-0.020786175736851008,0.03211087609226961
SERPINA1,-0.06559454237506288,-0.08063459181882747
VWF,-0.036352226693674106,-0.007581665759282318
GDNF,-0.02676209330490385,-0.03800800342731217
VASP,-0.01148026352870248,0.00961855463001021
ADAM15,0.008249260816671617,-0.019380992175925493
WNT2,-0.017776046241936086,-0.03259086715423556
CALCB,-0.02105281173413399,0.05506270751116701
OLFM2,0.06968587068176184,0.06308089429581464
MFAP2,-0.0033170508902307023,-0.014171036349006105
HLA-C,-0.0478083743550976,-0.018197234188737414
THBS1,-0.0632459087762213,-0.048146023892663474
HSPA4,0.005825221752981155,-0.03484157579257322
LMAN1,-0.039397021768532825,-0.0166952404648598
LYPD3,-0.021113625878712437,-0.043229701022377526
APOE,-0.028853559347711576,-0.0927630675594091
SOSTDC1,0.017627880138089642,0.08161483888865324
ANXA1,-0.07964881780060702,-0.10279718952356688
WNT2B,0.01335738101481251,0.02581877558502834
AMH,-0.03038648067966631,-0.05721984122054152
GDF10,-0.026655771822062115,-0.01825798689562779
EFNB3,0.012149093763187036,0.027489196475453424
LTB,0.05056502788403819,-0.057930824190517004
ANGPT2,-0.05595074223099752,-0.016084646484477782
NRTN,,0.10275529284287781
ADAM17,-0.017636351998061295,-0.05802614326678562
LRPAP1,0.06606012823166806,0.02534854911510403
NID1,-0.06613263046172685,-0.04193522931655789
MST1,0.05013153579528405,0.0034793929743234726
DCN,-0.03922665010586877,0.007855516552690836
IGFL2,0.0760657989625341,
COL7A1,-0.060524242401414734,-0.026273031296010673
CALR,-0.06653706000043075,-0.09125714186847678
PIGA,-0.043579535452448394,0.006735353248667295
CD200,-0.011272384403409124,0.043839499736146564
GRP,0.009449190073866288,-0.02650902322971728
CDH1,0.03218054316638518,0.00319405506493781
LPL,0.07946350005633608,-0.059200990949751786
SEMA5A,0.04405480807286646,-0.07479684882622825
SEMA7A,-0.036916615562547904,-0.045164252794722984
SEMA4G,0.09654898347146175,0.056835686609906094
SEMA3B,-0.06463225729470304,-0.06441141305166424
RPH3A,0.03623610592729327,0.04638658550506022
JAG2,0.05616192114904616,0.03829355331233749
CGN,0.10352009006478938,-0.012116877560728979
GDF15,-0.0728749380332056,-0.07024629787664907
SEMA4F,0.019112053496116724,0.10137765762177499
NXPH1,0.05895526005794292,0.0015252636177042886
ARF1,0.049207240869286656,0.03341541739187235
EBI3,-0.025127063659884274,0.016964584915587312
TIMP1,-0.13680299121312112,-0.08359520884135804
SEMA3C,-0.03545295092018894,0.11810635490860469
GAS6,0.08627940523677989,-0.006549416335622361
MEPE,0.043363467461086797,-0.021894368024359085
SERPINE1,-0.11781437909159713,-0.06711061422658737
RSPO2,-0.02321124395548214,0.027232714501039458
SHBG,0.0015537326339389518,-0.03846659030543303
LGALS3BP,-0.013792498008521328,-0.02709783250306362
LAMB1,-0.032627434592521216,-0.09046512670446968
SPTBN2,-0.022106729656337733,0.03971268446018393
COL1A2,-0.08277170289363041,-0.011471372875832456
WNT11,0.023792467658335616,0.06883288526097991
LGALS1,-0.11815906181897574,-0.020222146469436993
BCAN,0.09183860808699724,-0.04597349001406282
ANOS1,0.05637314813102043,0.03266929580185513
EDA,-0.026655770290232417,-0.007025141155857701
FGF22,0.18242232144396983,-0.002152349577921535
SHANK1,0.01888021369514996,-0.01610139378702461
NPVF,-0.014765380631041792,
TGFB1,0.0030326695713451786,-0.08789296492170602
MSTN,0.07030085748765573,0.004029536823777571
WNT4,0.04468790979852489,0.00849350573521087
TNFSF4,0.04753099368022267,0.031214637338635096
NTN1,0.088000792548951,-0.04935835663457613
CXCL12,-0.0188293839281487,0.007565837857493821
GNRH1,-0.03302850679032557,-0.03823790336659808
FGF8,0.05887060732231537,0.010999559751694275
RIMS1,-0.029761301051822762,0.005676485721901319
FGF14,0.06378068783313134,-0.004002686226133841
IGF1,0.04321126289950906,0.029123274314087132
TNFSF10,0.0003630368066589656,-0.021991785384110254
