,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.020432748080539062,,,,,,,,,-0.016190500893370822,,
BMP1,-0.007390473271314907,0.043453020780704496,0.008267561510253922,-0.07854714399661936,-0.018499159508438123,-0.1739183915962315,0.009262909900253228,-0.0009667253854364864,-0.03617304008217809,-0.09480190781245733,-0.011385470081041776,-0.06373950969795844,-0.011528437992060702,0.025136715108520388,0.010714995453309253,-0.05399988365907437,-0.07571539510221174
NDP,-0.01838992804383847,0.042332852693018085,0.006792060617813499,0.09825278337769973,0.04839754604542168,-0.03279534505621776,0.07349662961540573,-0.023718687710296844,-0.13955827365135903,-0.03887664076380333,0.0344723982317827,0.05026112502541586,-0.023396459434767463,-0.00202406057867852,0.07545775258936607,0.05438589793995214,-0.04225912285532789
TNFSF18,0.002775510322515769,,,,-0.00907906949073952,-0.030342017491693893,-0.022850210404760037,,,,,,,0.10954605763837233,-0.027310480442677202,-0.05486831006234345,
IL36G,,,,,,,,,,-0.013950283722715786,,,,,,,
RTN4,0.014665358115538332,-0.06303904524134267,0.08855221342945883,0.132476710208331,0.1409453643183392,0.20254555950187073,0.09666545674931702,0.04000917271290837,0.21190429613776335,0.1087953095818991,0.042611569340292324,-0.01787499496752041,0.0919525687688461,-0.037394467071669324,0.0037657892865782723,0.24599350180142107,-0.017148833214267887
HEBP1,-0.004340329498972772,-0.029446873346908254,-0.016851003619406207,-0.029357592709130388,-0.008212421840005932,-0.017542897036034334,-0.020593279099028906,0.02145313992424099,-0.037842036126098794,0.007789837110562833,0.092255525193877,0.08450558938234728,0.0032357402811126422,0.08814661012694137,-0.01788288080667521,0.022139739382691138,-0.061510255843623476
WNT7B,0.04837753611733457,-0.015155282354452305,0.0012896678899199086,0.008884953430368442,-0.05395301420134293,0.21926884267241142,0.011595463298975544,0.008954414895915386,,0.07351228711888634,0.0031629166695453094,0.013862474731561025,0.0031223438899257833,0.006374953913790948,-0.00976147046694651,0.1224928263173216,0.10587513781194247
PTMA,-0.047624089349536276,0.136777215330582,-0.004875852775628874,-0.11303472601847964,-0.13269521693310538,0.027725732235496413,0.044250626627946224,-0.08007959229537617,-0.24886359376022488,-0.13740480934694255,-0.08055227528588206,-0.02864553130294671,-0.08251493032858187,-0.023952411141241456,-0.05650418391537567,-0.12499547848993309,-0.15618922187766537
FASLG,,,,,,,,,,,,,,,-0.01404201590135132,,
CEACAM1,-0.02296895110681413,,-0.017487926376009072,-0.022083509225645014,,-0.03992836686697144,0.011852766670012855,,,,-0.0488572936680853,0.04015664479955717,0.014777536417016355,,-0.019537402729996222,,
