,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.02797874938714381,0.024674286586676086,-0.00674084158034491,0.01215732057655753,0.04909391108843363,0.04169851766722785,0.3256773269719051,0.06536428983226898,0.01941057540649053,-0.03541301800047691,0.0689815526037452,0.01786500325152319,0.05732889850975122,0.05301514854776326,0.034088110012510775,0.03589782505511356,0.0257977702465155,0.09219035618807407,-0.022316903537365353,-0.04181032428228884,-0.09653118600548191,-0.1062519049808304,0.015103574726091104
RARRES2,0.054530081337160835,0.06148540766209802,0.03134063425475361,0.00040711168081386496,0.0330824272391523,-0.07588415637610083,0.32167956695371247,0.10092080028168236,0.06393747567714367,0.03230137523604992,-0.009642548918824958,-0.002357041891733165,-0.015500989942542578,0.046426566799253104,0.040785604683737334,-0.016987186257039814,0.034621282705224556,-0.03498853235861749,-0.024346696813136406,0.11808392332240762,0.04434214867263075,0.08341857958843077,-0.013735992869501052
SEMA4A,0.024177549161167215,0.03719551429891026,0.02867008042600664,0.05226033293841249,0.027662362888624985,0.08796607581973996,-0.09278386539619603,0.05477587561747445,0.0014439397892381156,-0.028256955000140575,0.04785924898214918,-0.057429727834211776,0.09479885823751208,-0.019365041605627662,-0.012590882376279661,0.06369307827833355,0.07805979810664895,-0.014579548316801258,0.01965450114763632,0.015209192709829457,0.12468051773434431,-0.022615488951391708,0.10174718739926866
GDF11,0.04084827458264627,-0.0005447137423906449,0.0056199547345762366,0.015673672665949767,-0.07725248648602374,-0.022732458373592314,0.24285595584643327,-0.02858798403887336,0.04386854094557397,0.06189482683081963,-0.014585486262122232,-0.022418894785865326,-0.005747151586068944,-0.0654588185846995,0.0265111405928013,0.002619955432561318,-0.055455879720632914,0.12807153094818405,0.004257194013067871,0.06296572600392958,0.18292309693508924,0.022756587526906343,-0.00023640723564818887
GPC3,0.005765935021915026,-0.024140679397162707,-0.04271319040580377,-0.022545815376381177,0.022662874051977554,-0.07502552746230348,0.08552131733161927,0.046478505468765474,-0.03091543034344815,-0.05578548533267735,,0.027675995665932165,,-0.03605282494755039,-0.02382381522035539,0.06478550388488609,0.1596763775418428,0.13782994944732294,0.0005081031171781603,,0.11964239869661382,-0.0009968854746073754,
OSTN,,,,-0.01898863011704802,-0.02986099633504625,,-0.06883454614902032,-0.02736036750203858,0.03631714334745297,,,,,,,,,-0.0012892208866327774,,,,-0.010950334443394508,
GRN,-0.09330627972173564,0.018896535826607382,-0.03414039580902809,-0.008542194152084024,0.04207388041621575,-0.1286264893081609,0.21126899905253918,0.036038883881817044,-0.05502054355945114,-0.0491722611343776,0.06589642004592648,0.04014781890763925,-0.06755800805093196,-0.09202482937586957,-0.0011788109929711213,0.08278090859660313,-0.012843285712425807,0.13033378138459947,0.017008925847082284,0.07742348511832152,0.00047180840366740684,-0.10363624413605364,0.0038322157897074985
CALM1,0.17863951592194077,-0.022704526286282358,0.027867181320975,-0.057237170448228306,0.03394695945124285,0.11148874116421564,-0.32089007424286187,-0.06442122042542484,-0.007160751682330127,-0.007199110982371949,0.10491472942226417,0.0037546637043882124,-0.07860303435136633,0.09221725372715942,-0.05270661710698489,-0.058797098338882345,0.027323487313142998,-0.06915787472706594,0.08965289970263059,-0.13156930182987175,0.09497870523253654,-0.11740877016751824,0.016362514192317944
ANGPTL4,-0.17420149429360193,-0.037428570840307346,-0.04358367229212732,0.07665678029877708,0.04133988959060322,-0.009488908746348106,0.04539560870763628,0.005262425156698487,-0.020259911380721897,0.004701480957300825,-0.013687420526872222,0.05458252005618661,-0.008750391508326546,0.03744334400373577,0.01756746116108435,0.0010214167922140973,-0.1282512247621415,-0.04049169580980619,-0.09860351425629409,-0.05837476860641641,0.027492867404663227,0.05867984959951722,0.01341591454925924
BMP8B,0.09408520203534994,0.0356791873851103,0.024799851337130946,-0.02226620937550058,0.03322829031993839,-0.10730797209944067,0.02186993198819282,-0.03836489950669508,-0.02125823797492587,0.04693865159185627,0.05613864505233919,0.06311742486909849,0.011815023641013448,-0.017316899347188067,0.0898593660702159,0.11177541604167403,-0.040483730866612375,-0.0017047558339606376,-0.003947195111643527,-0.07056363273105887,0.051192327996976025,-0.12511018909879043,0.0032670687295669764
TNFSF4,-0.02971903929134679,0.02031156014136349,0.04673634041873389,-0.00045561475820160997,0.04880071791990419,-0.023391056546179127,0.077472862846187,0.022773124054671787,0.01487171616122648,0.0004582829935777614,-0.001769419563047773,0.04577436367916094,-0.05481664636848462,-0.08525990186166307,0.026104498604889094,0.04894737874373347,0.07765142402194508,0.08371538763968682,0.026239757467918658,,0.13145097162259353,0.08622216107256102,0.015038663884377716
RBP4,-0.01222770683633855,0.07358804386552377,0.05093367502077036,-0.028743431544267613,0.08971064872778842,0.12293701787013206,-0.15406644871778385,0.0032378419859876296,0.0334480622053269,0.014460955516145261,0.10361823459185064,-0.02117316930227072,-0.06431474663103523,,-0.010530692962721681,0.042660954143858974,0.11715672109484601,-0.02991024185435367,0.01908366820399969,0.006229346491730406,0.06927955226065682,-0.12314001147759941,-0.028585907505569375
DKK3,0.2262996530902283,-0.008565019963752925,-0.03730255817247562,-0.022415112771366718,0.009863026478890391,0.1455405198446664,-0.19357949569904356,0.007366046422275513,-0.031225912401878168,-0.051725794634916125,0.09337445762873207,-3.330281250880688e-05,0.031277357326976944,0.035260268749107246,-0.02520058965775654,0.11281636047529783,0.11407553782578894,0.1332473132128037,0.09713248461667254,-0.005266359092677582,0.13758266435781802,-0.2041002880529197,-0.0022615900081951463
COL11A1,,-0.007138060043271018,-0.025320524680028083,-0.020067107404910845,-0.08721973937274932,-0.11399460502682966,-0.05722037513570763,0.03453553661851001,-0.0005436812843023443,0.07113391231933407,0.001858178135226875,0.02582874904390271,0.15164239648751493,,-0.009305276527473219,0.09740190909068387,0.08732148035698298,0.017096131299379674,-0.013859889919377873,,0.012890845010028096,0.1297063963259981,0.033301416145537915
COL5A1,-0.10757844258140484,0.04259088305330442,-0.0011375441706190895,0.03542791759313122,0.008728872360028478,-0.028796570311775255,0.21736568328980393,-0.06164049539836866,-0.010953964349164319,-0.005564529282486251,-0.035960369523419154,0.036035471763727595,-0.022556112209486067,0.022771748377900206,-0.016749617670017827,-0.030296000945490436,-0.05632420720538551,0.13068819399060275,-0.06564797519696347,0.045847018115465564,-0.13783526752050188,-0.01216740725330838,0.2429200383180971
KISS1,,,0.03648188728743077,-0.02268444594266768,,,,,,,-0.017562515473497114,,-0.03975568924671851,,,-0.030908438951674232,0.10623599923251453,,-0.013900081836860778,,,,
MEGF10,0.16345902616776228,-0.0318192215984789,0.08639649180973437,-0.028464524823059428,5.522468843785296e-05,-0.041273143289359666,-0.05932075200140998,-0.008525070276456305,-0.024299419077179366,0.054738249844022736,-0.013400339318822035,-0.05491145076634779,-0.05938209468869645,0.006456102558332236,-0.0033987270689022353,0.07664400330979491,0.12821053801329294,0.07279372283865909,0.059736684826218814,0.05986916198928861,0.19659061246805723,0.049402004956691024,0.027073155118468348
CEACAM1,,0.03170531612212659,-0.029821425520030247,0.010922537619368426,0.04400423909473711,,0.0776228222951741,0.028357708430622405,,,,,-0.043829623530045686,-0.036052837590799684,-0.02856766134230106,-0.04182265714805226,0.07803667349064425,0.0350819456890202,-0.03231254139064735,,0.0459815768964278,,
