,MGH258,UKF269,UKF304,UKF334,ZH1007nec,ZH881T1
IGFL3,,0.13329676338356636,,,,
BMP1,0.0053316229437792555,0.07542136825402508,0.007939914624610018,0.04391037685044715,-0.08547705266905549,-0.0510148281959065
NDP,0.044878899490606285,0.021484335271951666,0.01091243998655703,-0.0204951378696964,-0.08214141985609419,0.02522382326113175
TNFSF18,0.05939190421815301,0.04410683734220848,,,,
IL36G,,,,-0.013752909091302733,,
RTN4,-0.007145485187831028,-0.11140088311151289,0.00430130683528274,-0.06831934959948625,0.07239068300479276,0.03267027585862443
HEBP1,0.016425584536500146,0.04857184036400171,-0.042772509725756455,0.03681404640376682,-0.04471510853691434,0.06223766996927509
WNT7B,0.1954613679613386,-0.05441024610855134,,-0.015116031995832379,0.1147791309797576,-0.022338912311980718
PTMA,-0.018882978138085156,-0.03313109065840096,-0.015430060141877,0.08037661378019126,0.08662039606489305,0.055797650909138755
FASLG,-0.019736378593722445,,,,,
CEACAM1,0.0557586980030342,0.04228318793093155,,,-0.043157329443017436,-0.014826660991910582
PDAP1,0.057361453843801015,0.05876776577229695,-0.0173694102082291,-0.023703058012125806,0.03768349524125262,0.056438315935204535
QDPR,0.004071230745033478,-0.08372644118896716,-0.011793256735898615,0.026106627155356377,0.028755955479561942,-0.00019426779941398862
POMC,-0.039374193768671406,0.0345915207732353,0.02575986261946553,-0.029465755133630662,0.09396389931011921,0.03902100207175399
CCL18,,,0.04655353137316474,,-0.037005153737758714,0.05300286207203404
CCL17,,,,-0.012563672899861766,,
VEGFD,,0.034820512524344316,0.04048394979840038,0.01189445650119239,0.10043992572729518,
TNFSF13,,,,,,0.0051414823362439565
WNT5A,0.006569620592352939,0.06799689888880842,-0.011131428714564332,-0.015792475894658257,-0.01781746874841302,0.01507887486046422
CXCL8,,0.0281838269496826,-0.035955880105021654,-0.011853910821059169,0.15405937485973273,-0.030143522548179917
GRN,-0.042612545810910826,0.0825001207809344,-0.04166226277276912,-0.0006645461733523295,-0.06587459023135508,0.0029845860940164327
MIA,-0.02583321727402917,0.04309258682846611,,-0.0005171571822025745,0.03418065225348591,-0.06703434602361079
COL4A4,0.06256945452421116,-0.01786943137734971,,0.001095778000724844,,-0.003905043102495353
TAC1,0.0739830935261972,-0.05850800934960125,0.06576118563607926,-0.031701683312467956,,0.002986909242666026
RARRES2,-0.01998256768345252,0.051143661714417504,0.04771178563444443,0.06507718012769644,0.001556816537498914,0.02822851807477423
FGF7,0.03204797407461817,-0.0032431118060996973,-0.03639676873107646,-0.0018973088159740961,-0.0696053151391064,0.06299716230683006
HBEGF,0.03339411997928503,0.05023335980308542,-0.05519390391156169,-0.004674458710651463,0.012127092445888157,0.038211099017841185
CSF3,,0.021010162367624152,,,,-0.02125604383401487
PI3,,-0.021287858800301315,,,-0.05923557711989261,-0.009158151131031538
PCSK1N,0.020161126590111555,-0.0012595014831497321,0.01611163084645377,-0.03405616313280786,-0.029930429608293674,0.005206746475136322
NTS,,0.009801943173758662,-0.02183870215738033,,,-0.007116260516888786
SFRP1,0.003280386171131584,-0.038044660505725275,0.023101417297339617,-0.03587485042205347,0.004021427582366654,0.007284353125665951
CXCL13,,,,,,-0.023193722902753084
MICA,0.037527451536590595,0.09222372410740783,0.008056772299081564,0.03593761857657687,0.012082216171130701,-0.005456034341235521
TG,-0.02285712612550989,-0.022817264507142616,,0.05414769576305722,-0.05847128842396044,0.02585762688532526
ADA,0.03548130220383968,0.0955709894999399,-0.03319833131971515,-0.04585403621713049,-0.10131155835065167,-0.027451936802936765
LAMC3,-0.01569336742602562,0.05834943526131242,0.0008713500143768207,-0.017185926470025755,0.019601890779003185,0.02869312051302619
NGF,,,0.10101581397098605,,,-0.015613686083211946
TNFSF15,,,,,,-0.013199638299676601
HMGB1,0.02880562485879497,0.059345378004557844,0.041170854032773034,-0.030807322529878747,0.0336751179474807,0.002888029188888365
ITGB3BP,0.0032818392906139556,0.06886196873363506,0.0688241754444404,0.014625082623514132,-0.040535536565075705,-0.002883825584051055
AANAT,,-0.017053285656489926,-0.020531605281492213,-0.01685296546687153,-0.006385580957177976,
RELN,0.00523361293232429,-0.042520451049440945,0.05217877961413974,-0.01865768741093518,,-0.015943732590478505
IL15,0.024906146711096634,0.07427931455571472,-0.02838436919831457,0.005516745318453594,-0.05808655074145039,-0.03219798027753523
UTS2,,0.03355037386023299,,,-0.05314136944213594,
BSG,0.0346204492108875,-0.005855403842640008,0.03384185522947289,0.07100596932968511,0.017113943548780083,-0.09387484074207367
ADAMTS3,-0.011653658685650497,0.08663913320492615,-0.03296893368471171,0.027387605138433663,-0.014704874379794727,0.0305444183195635
CD34,0.032008364083769905,0.062213695392051925,-0.013367621986969457,-0.036197378293544955,0.05373861280668083,-0.038336096255319696
CCL23,,0.0002990093575569242,,,,
PLAT,0.0687312630473854,0.08936094746416068,-0.015247811578423242,-0.001591323069365571,-0.04781793263220168,0.06469247917527937
NTF3,,,,,,-0.014804231736694668
LTA,,,,-0.015630348468547703,,
CKLF,0.004071279916866662,0.0721407317147641,0.007902840263831772,-0.018464121251495255,0.011129751189347014,0.0011787409253948987
CD24,0.09190399186706524,0.06173703193701039,0.07210943358518442,0.025884644307254807,0.07347362745055654,0.03961438253723603
HSP90AA1,-0.022087575087737253,-0.0507959650868646,0.04414797373204876,-0.09155873809862052,0.1262836562903068,-0.024485525453126097
BMP4,-0.023523301075239682,-0.04491044186285063,-0.03274835593672784,-0.013318671266764113,-0.03808823860081216,0.09477698524880805
SCGB3A1,,,0.10481219647413603,-0.010906650458638954,-0.041690401645348756,0.04100065074424518
IGFBP4,-0.015819511937906903,0.10351746590907131,0.032898439760613254,0.07393416962287275,0.028737027218047453,-0.05441333039731967
RSPO4,,,,-0.00644198701095759,,-0.018460467690813387
LEFTY2,0.01993443076622773,0.036211626496039026,0.02645355620864493,-0.019295490630405882,-0.06791720811953307,-0.010658999877336274
ANGPTL2,0.08371125055426809,0.07950295041155751,0.021645315780249655,0.004246903859290295,-0.06534197257569507,0.0031781859130501906
LRIG2,0.06270098725424497,0.0611969102177645,-0.024316068958396088,0.006474411381875218,-0.06969417984567754,-0.03314694969399305
ICOSLG,-0.03703658852775786,0.08252982301040915,-0.005540636250003875,-0.009585926496896916,-0.08095520160876075,0.006588358061252403
WIF1,,-0.03748796009445504,0.11883803189700282,0.01242715818808782,,0.025770832189380616
NPPC,-0.037937269744228785,0.02322909865325758,0.006457399619222166,0.06313071958732908,-0.0054260705895534285,-0.02710914407541985
LYZ,0.018825092002541004,0.0659500938586812,0.008815768974044416,-0.035680445034948514,0.07161537427662591,0.01794329819025447
EREG,,,0.0019680885389153848,,,-0.022992823753694432
SPTAN1,0.019065502814507317,-0.007909103664372655,0.03671528348056146,-0.058150650455118844,0.049731646542745936,0.09005361629062576
PTH2,,,,,,-0.029358293584442377
LIPC,-0.02926396369901705,-0.02617431122418355,0.045203420810860574,-0.024553815777857677,-0.03755001881245036,
COL8A1,-0.03899140760584617,-0.0006917044351712193,0.033067338879765866,-0.019619468446081745,-0.0031429183445858956,-0.04752751008908014
GSTM2,-0.00757743025254243,-0.010894316687417058,-0.03573190456423618,0.011102191998873112,0.04753517270097041,-0.029839776308558427
IL4,,,,,-0.0358942342821194,
SPX,-0.001501875633660752,-0.016382254871879987,-0.015320510963988895,-0.027002900756395175,,0.041934961960908575
MFGE8,0.011150057791711817,0.022911647120860513,-0.0009224970890927636,0.004640785697150628,-0.09819524580853296,-0.04778023214670837
TGFA,0.010301242808111717,0.08743688383969797,0.009358718481217814,0.09189948380746704,0.006790954300696296,-0.033646256906550806
SLIT2,0.05403567997037986,-0.001987963299065467,-0.005624950303387071,-0.03515866039033238,-0.04295360019625068,-0.00937401907125589
PLTP,-0.020844393044392343,0.0839600033360997,-0.008202050865167069,0.03755834518954874,0.027503085019382284,-0.05088142966306192
APOD,0.0021465991569072666,0.03325552096975569,0.005926617939681814,-0.06393140748658842,0.023015638566833047,0.02519735839229035
B2M,0.09262321982309318,0.0972509187097671,-0.04036069802611978,-0.006880200673247717,-0.016918378695048118,-0.05001471715582312
OMG,0.07040161057083767,0.02413453472173924,-0.04248220492794872,-0.07840205262814302,-0.07540421035337878,0.055678095335726714
CXCL3,-0.01840691616344419,-0.004395752780513902,-0.031625912051219125,-0.011256681340721221,0.04479218238374689,0.03501291689470317
CXCL10,-0.03435857824340876,0.04973731559356671,0.1189820180463203,0.019409040007645036,-0.07736634323587178,-0.025224530319683396
RSPO3,,-0.028002399287786615,0.10411854063069258,-0.011763015049772679,,-0.0179035702081039
CORT,-0.022857130908527847,-0.04846442574052574,0.030084783007656525,0.0060652006794245615,,-0.03070223362797584
NCAN,0.05701838871206269,0.056093751171632095,0.015220388331993193,-0.010604911208601284,-0.1451602494274625,0.04091354906952124
PRG4,,0.15348445758806314,,-0.013752909091302733,,-0.001264401264876736
ZG16B,,0.032433222576220805,,,,
TGM2,-0.00621289244015477,0.05341110821284602,0.05120159453269603,0.002622539807458739,0.05074532760330779,0.03819172493287531
VEGFC,0.056669598886313066,-0.0076227226237285135,0.05765675274556926,-0.01403539191675118,0.07837767618413988,-0.03150678881190381
WNT6,,0.03969693518119777,,-0.01224938132078785,-0.04551632964725738,-0.024500053355816485
NRG4,,0.046305265942173726,-0.02828161178861554,-0.016373921747847662,,-0.02437752655526736
PMCH,,,,,,-0.014035573300032798
COL9A1,0.042052681656260214,0.023299606717513403,0.07305414602486895,-0.018657694567344375,0.0448344717449984,-0.02949008823369417
GDF11,-0.01262706135400075,0.03196714832717483,0.0007754990378007938,0.005237787804626714,-0.09278065900086667,0.0019888796721465097
SORBS1,0.002782065334761735,-0.009091421891348933,0.010580319220012025,-0.007293482150805824,-3.97410843292249e-05,-0.04033202243377574
DLL1,-0.007985983800067011,0.07285313091325195,-0.022036169800782435,0.01234694552366031,-0.04910582938093867,0.062031776358555356
TLN1,-0.041184430254428445,0.05132792421588139,-0.014170515315903154,0.015703627857335964,0.08425946775415127,-0.01612066711675034
COL2A1,-0.00014439821318722504,0.0135729271272693,,-0.011427842591465443,,0.023105060549164908
SHH,,-0.017601383551742747,,-0.010906649505329807,0.09871330686365674,-0.03776793203973553
PON2,-0.02523563661348643,0.0436083584234923,0.04510680685627638,0.008643069115094631,-0.07017138033547252,-0.0009896902374159806
ICAM5,,-0.008503429393548569,-0.01663127801792309,-0.021300097339713466,,0.03014260957350916
HPX,-0.024385902506459025,0.03972742376447865,,-0.027722526275526925,-0.023923922279928535,-0.038851106455798805
SFRP2,,-0.017869426115451417,-0.0527870756994679,-0.021396055170403525,0.023999198970714758,0.015188890319091809
CFC1,,,0.023294183772462642,,,
CD70,,,,,,-0.011868457700434301
HP,0.00397927422270101,0.009447737377422499,0.003216962558094005,-0.01834206362584867,-0.011456510312422574,0.03670102321934288
CXCL2,0.11284933198859255,0.0012310049025845227,-0.01958324308867522,-0.02158688072417404,-0.05082160370360399,-0.02043451135377775
NPPB,,,,-0.014035392937585482,,0.04855098591153409
CCK,-0.01846110372853679,-0.07686003609582948,-0.011173213630366987,-0.053001302954379985,,0.02133772274226301
SEMA6A,0.020251469975839185,0.08648729407494492,-0.012036970628652905,-0.011194014409100055,0.009600035697173404,-0.025387856321320783
IRAK4,-0.02117131555367526,0.028340519752775732,-0.005414512782846842,-0.015370015543987774,0.07339970869231958,0.03538236576213744
GSTP1,0.045295106899823495,0.07249717579193456,0.028945888147130318,-0.02477219668947482,-0.021304916797209052,-0.010657228084063742
VCAM1,0.07056116502436799,0.06726534658684793,0.0020290252260901343,0.04687746204080814,0.07343910783823789,-0.015221239611288753
NXPH3,0.051301620826620764,0.11674322943795407,0.040497968080229305,0.054877411419067344,-0.04214071312831712,0.042744024318134496
MTMR4,-0.012388663873664031,0.015651672345035453,-0.024602494704869395,-0.03721343647072,-0.033517857364558076,0.031493606466940396
LAMC2,,,,,,-0.013623713125730803
IL10,-0.02374160073225963,0.04868521630023362,0.03360260246160102,-0.012563672100144706,0.030784875519521016,0.026614445843377438
SEMA4D,0.0055150382076904455,-0.030548207148874386,0.01075028682062694,-0.03952496608222617,-0.021547917797946358,0.003131375609833369
TRH,-0.020987233684134857,-0.046386041235541596,-0.035937105738772915,-0.016297441391307513,-0.07003305758012396,0.07478670842496259
SEMA6D,0.058797694699263374,0.0342768433604211,-0.06749199645120274,0.010010345552526048,0.03579949533044365,-0.01088231485896667
CEL,,,,,-0.02173477242016487,0.008002225515254112
PDCD1LG2,0.018035240820061013,0.06625137841253823,-0.051448861548205084,0.009798514521373059,0.0729879682562672,0.012104701736315417
SPINT1,-0.04471280006036498,0.014340245615302798,-0.03490116303715283,-0.01844076591668952,0.0604730930555513,0.006162703852989842
CTHRC1,-0.004306257725504026,0.07560409503036217,0.03716248300066631,0.026112974999752438,0.04181812296895163,0.014050787183203389
PODXL,0.03724268807776067,0.08001197786483068,0.008972143912787452,-0.052033060739690315,-0.08799844350707607,-0.00718665307680319
JAM3,0.06654823439851455,0.08332534923469741,-0.04596099969069529,0.058761351056739665,-0.012376774120501756,-0.0029366222909949133
TGFB2,0.0057746257316012035,0.09810247723050998,-0.008534192742406705,-0.005746552436392118,-0.05933294417869103,0.08099731426195612
COL18A1,0.03151599796773562,0.10664229490266343,-0.010746584572576871,0.0002834499553132852,-0.0002945767638080307,-0.07766143320598251
