,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,,,,,,,-0.017325837755786024
BMP1,-0.009326150314153368,0.061040357058081925,0.039939027084425455,-0.0041278115062997,-0.00924947464471713,0.035476816950959694,0.006150993865559978,-0.027087756043018,-0.0077915947861029325,0.04955747863208614,0.01742268553130816,0.057722225450811175,0.04284131107864315,0.02331654655906014
NDP,0.03069164267234628,0.10538692939427441,-0.02805766142250905,-0.0061533624472716614,0.022282618639975816,0.05767479320504304,-0.03264853265393051,0.01614062299467676,-0.05452671068529058,0.05044378295715539,-0.010966748291165845,-0.07713179292084008,0.09471342781352549,0.011900859623155007
TNFSF18,-0.019279987219288242,0.034891820423505825,-0.02087710660412742,0.0631127221083738,,,-0.010647509681371023,,,,,-0.03189161827578816,,0.06050563217916253
IL36G,,,,,,,,,,,-0.01631018900900801,,,
RTN4,-0.02292385457551354,-0.09679885272639875,0.030757856453456602,-0.01731165681243188,-0.009625985203629893,0.004838144045710974,-0.0383063551857119,-0.07214926070792801,-0.0234305242914574,-0.10927480380523871,-0.10721272186055386,-0.008987977302110636,-0.00542300657868352,-0.04440793716938591
HEBP1,-0.04660157055037082,0.059308250156775294,-0.02046756536554057,-0.07221121206477495,0.05165325260559505,-0.013734695748069911,-0.02073082135165714,0.05023210825697259,0.12595673767980314,0.009530794253867433,0.042636613198552185,0.08368961258124495,0.028237854886793142,-0.012526064600184534
WNT7B,0.0932125428370985,-0.0239710096215129,-0.03227652787074002,-0.024072642160995368,0.023659352339732653,0.017493530922570017,0.007634389282921201,-0.011246854499443792,,-0.0012552603806094073,-0.01792677732990707,0.11768724152387297,0.11373300425016386,0.006864941081876758
PTMA,0.04926826132894637,-0.12390246480885989,-0.03610266112052551,-0.006434154408309589,0.005108012114922316,0.008018994713487304,-0.042886437628409435,0.04136541197558509,0.05573708095636212,0.03498969563914657,0.04577859912866114,0.011826311161224339,-0.05592254091614641,-0.09879250986242759
FASLG,-0.0169850696758353,,,,,,,,,,,,,-0.015026693174798255
CEACAM1,-0.02358391789291431,,0.11477850257395485,-0.018474304986632915,0.006395720517157165,-0.01456208478832588,0.015550978941774238,,,,,,0.06619002982540212,0.10012636758083943
PDAP1,-0.021474834864608047,-0.023846627285091564,0.025519821917400598,0.03663089367456079,-0.006132649569357713,0.01786571875141142,-0.047610583848908226,0.04311986476593641,0.08186696878157736,0.03769597758784241,-0.010810858375735699,0.01213381026962034,0.008735368092029825,0.040317747321579125
QDPR,0.02044233721926096,0.028731010368961436,-0.006832032352796802,-0.030289429380892623,0.012170249997119662,0.06459765707956185,-0.10984217419930456,-0.060607577656741254,-0.006874068967263718,-0.01655847495392272,-0.001063677894393312,0.0345123993669449,0.006111469175028364,0.016306380019943133
POMC,0.041163677858967185,0.014203993851722116,0.00010086799371971472,-0.012787532344247761,-0.004442506977939732,-0.004443408072942383,-0.012354528249030876,-0.03024957607725938,0.11665476251714982,-0.026341203434650417,0.006615319890987638,0.022603273150289278,0.07539876723884441,0.02788765737339618
CCL18,,-0.02052862259775099,-0.025033668616951006,,,,,,-0.052067070097430786,0.028749177927278706,,,-0.017611851493901726,
CCL17,,,,,-0.035562808938634734,,-0.013279517579130084,0.00689294864588269,,,-0.014899820705837785,,0.08305340260020745,-0.013620009570503567
VEGFD,,-0.03842431350137799,-0.01136997011118174,0.03478080796695472,0.11053879368164539,-0.013932178247044983,0.004967689070479505,0.017618500142728987,-0.01982359215629794,0.06754593165744123,-0.015968599347610746,,0.0028665267033792037,
TNFSF13,,,0.01732517515074283,,0.01049884562655922,,,,,,,,0.026532812673313977,-0.02219266877912786
WNT5A,-0.02236131893789174,-0.020904995219198787,0.033832225873343454,-0.026852617656035666,-0.052298934010883,0.019651867987993444,0.035418727034015954,-0.012386009112972232,-0.06479304164782268,0.04371628201442567,-0.027073848564998806,0.1674811077510958,0.021457873459952054,0.022261758517871433
