,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH881inf,ZH916bulk
BMP1,-0.02208312573360502,0.010857112030630152,-0.052166302280517565,-0.025539800702013653,-0.0160373722186023,-0.061703457909725985,0.020290432184788848,0.025350811159773144
NDP,0.1273997881846338,0.0013347545031023003,-0.0647187329632528,0.05858037526954534,-0.0054501307933696895,0.05325322104605304,-0.027115988527713526,-0.05592867953169979
TNFSF18,,-0.0025279804664656413,-0.010492885860344048,,,,-0.03505051689194044,-0.026996761410537334
IL36G,,,,,,-0.015082906397327019,,
RTN4,0.1963751421421395,0.028515781648139584,0.008081877547108797,0.06853232739238213,0.0919786238179173,0.15055434531875667,0.05549057334064991,-0.011248895751511393
HEBP1,0.010125001354858955,-0.0166317675218454,0.04230512141659823,-0.00884010693314581,-0.05967726938720692,-0.03609529006128529,-0.044393491310585585,-0.0665785650189562
WNT7B,0.021093410622003643,0.0006642619186952333,-0.030076880560444066,0.01546638214743495,,0.14565416183077923,0.07949610681999755,0.045924875971881524
PTMA,-0.13160364929885707,-0.04427339098453984,0.02429320874007449,0.005626221528608243,-0.10571467621313599,-0.1312115425874089,-0.020512047087205443,-0.11137125252666379
CEACAM1,0.08487717324153225,,0.01638966817001321,,,,,
PDAP1,-0.05812153343113518,-0.031096415682401932,-0.03677111097620716,-0.00980141051659805,0.002006803459828595,-0.04266265012776822,0.00968353353038951,-0.049323943700583385
QDPR,0.16348980945562466,0.014212322222770525,0.06273931750894232,0.042152801274960454,-0.05969668417942536,0.029006489572280043,-0.017242409462302995,-0.017642794726844453
POMC,0.07629862167848864,0.07292627877282293,-0.012175114994474915,0.0037414491340094797,0.011689759753660852,0.10296891087919685,,0.05066272561307794
CCL18,,,,,0.030967219793316975,,,
CCL17,,,-0.013086671569976178,-0.01792506937774469,,-0.013778663197525666,,
VEGFD,0.052754664629036115,,-0.013942741671899326,-0.02080020377722335,-0.030630040873063334,-0.01476702011996358,,
TNFSF13,,0.015478866786851134,,,,,,-0.012282484978683016
WNT5A,-0.11271294116379936,-0.024487945885176124,-0.00623312925802714,0.019909653121212643,-0.012969281214940958,-0.06856489021495309,0.10730028067774959,-0.02146334943526718
CXCL8,-0.024098659639643985,-0.028908914521316144,-0.009702523020003654,-0.019370054180278408,-0.06979562137469804,-0.04439877910668969,-0.06912513227565661,-0.06447879337950402
GRN,-0.06090627070485494,0.004205143991467729,-0.020706209129780398,-0.021621195065356442,-0.06968000805167925,0.05910759010252831,-0.02072324839112845,0.0013406765312997768
MIA,-0.03359157839643956,0.014936044658880127,0.0191012541494953,0.07415469421837684,,0.10074235742484534,,-0.05379887613538485
COL4A4,-0.059438005231383866,-0.01933694842693395,-0.01366289000328783,-0.009362325316599304,,-0.019618137763347008,,-0.03282388604775372
TAC1,0.2388570818018263,0.09258888888878335,0.04405358152360236,0.06523359317950406,0.12259478983611179,0.21241049884188654,0.00587457836329984,-0.027309293040686064
RARRES2,-0.13203485217283412,-0.027127294343979143,-0.0003707936648693888,-0.007607523273231762,-0.01693020065295967,-0.057521982705281395,-0.04446730678679837,-0.03981076361634122
FGF7,0.13398153742043953,0.03330572219284727,0.031921283737592863,0.018825897877305986,0.06500757412410497,-0.05277825013179808,0.07161461257411439,0.004835673519728469
HBEGF,-0.09048991755998131,-0.00846199856706555,-0.03247230125976918,-0.028276832610766363,-0.03394736927115548,0.048206178535759724,-0.06724659363423434,-0.017641524056976936
CSF3,0.07752756385424163,,,,,,-0.03150241457480602,-0.03452697254824688
PI3,-0.019312072412565887,,,,,,,-0.056089434704151016
PCSK1N,0.03351687962861639,0.03349873138750096,-0.014757552851410626,0.026321626327670464,0.16938725420210943,0.13358837127882411,-0.019302568213207656,-0.023316848656961785
NTS,-0.03601835378037591,0.007057471467708008,-0.015608263619540057,-0.021366393381822366,-0.02757687598486916,,,
SFRP1,0.1557876003617217,-0.0017265964828831531,-0.010212724496538383,-0.008178204908161159,-0.0120023845582123,0.010307949195513061,0.020712251056430316,-0.04307517821711271
CXCL13,0.05805801187343477,,,,,,,-0.009716233774170743
MICA,-0.011444798844455985,0.04340223479142717,-0.022864058038040296,-0.038856090761334144,-0.060058493979886746,-0.06004000124743098,0.05354955010089287,-0.09581986960072923
TG,-0.025122783057422975,-0.02724757053638249,-0.01318432636138261,0.007509477018790301,,-0.020697496332553328,,-0.030862828387085407
ADA,-0.015214229842064357,0.058766857044309714,0.010038714348660433,-0.02443404133618065,0.0034548559807412458,-0.03730122528914463,0.025837116888318194,0.028576831154042845
LAMC3,0.054244706140152664,0.08638245586077342,-0.030641009425361684,-0.011847832703265027,0.025133523676108157,0.11523684367112541,0.11048052518563452,-0.07550287961210184
CCL7,-0.005537506498918238,,,,,,,-0.05846541409409181
NGF,0.026058859486016356,0.01863912022237751,,,0.050198066902386415,,,-0.03912965705707494
TNFSF15,-0.0219998105865555,-0.031571509918810914,,,,,,-0.038212584620511025
HMGB1,-0.009700490838704754,0.04836942679644867,-0.009072236305153497,-0.03724211509792002,0.003183201673011025,-0.004064217774828569,-0.0579576537767176,0.018403667230395947
ITGB3BP,0.025532998433068936,0.00010854959323579268,-0.009539210615054153,-0.0018797788201022918,-0.03707093207468636,-0.06195325831960774,-0.05137070198487914,0.01750274161492904
AANAT,-0.01982314505377765,,-0.011856741746234464,0.06088476713235669,0.016474164438512878,-0.01848275873611041,,-0.021082126912860072
RELN,0.11292608894656585,0.05170634907924902,-0.026104717956280193,0.05598719642048088,0.06517099212511683,-0.020462009233209105,-0.05711454228165193,0.024195759142934103
IL15,-0.04619800336617914,0.060498774061986664,-0.006250893225770346,-0.010091941463939838,-0.01223101920365575,-0.017141904468529954,-0.0038172953445392522,0.13735424320441195
BSG,0.034182931105419034,0.03376749874264997,-0.010680193573009027,0.025399647026182845,0.13747415929054158,-0.1251169734812699,-0.06856049511515404,-0.02564102738950884
ADAMTS3,0.0020998187766315215,0.016429262880239416,-0.0008964814675039224,0.007769937919553275,0.05088325013859144,-0.015834836734690917,-0.03830663332446577,-0.018278904513429294
CD34,0.009805777517177578,0.0446837423312419,-0.01536224150205944,-0.01028954351141335,0.06920684527546264,0.02521061449458258,-0.014614806572628484,0.05383061534536405
PLAT,-0.03658795941228047,-0.024211281126356562,-0.04191266772627099,-0.01276679479973941,0.04679067475801609,-0.06562245587594727,-0.14130437098558998,-0.06353810792484957
NTF3,,,,-0.006385968364022123,,,,
LTA,,,-0.011419277967362041,,,-0.017141906584534645,,
CKLF,-0.06455048799177643,0.0036429082332183928,-0.035590121950831555,0.052848354665855336,0.02728956573060283,-0.037332561578732576,0.08595438364431443,-0.005351440227960806
CD24,-0.03927795989610631,0.02818459868370429,0.025261453218492727,-0.01917881092473109,-0.04910735753746596,0.040466836827403145,0.011873091002779066,-0.08650320559474076
HSP90AA1,0.18727859368986974,0.017893054540042624,0.0644962891469811,-0.011776618394153898,0.14334685673541997,0.1503652875480768,-0.053817186307089024,-0.028824985481168363
BMP4,-0.038470015176849524,0.0316896201956984,0.04974760035900513,-0.026613613003855303,0.08185299835266552,0.008656704349505969,,-0.03882162429014393
SCGB3A1,-0.008251819516959262,0.012053483477932761,,-0.019953943064175292,0.002637723986115017,-0.011961395722454572,,0.033956066199878
IGFBP4,-0.006909302214037656,-0.04251965191748704,-0.06218171121078413,0.03892144325206463,-0.03050059023353932,0.0044899149709520195,-0.06366645474426648,-0.009874294112008656
