,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,-0.01664926915109362,,,,,-0.018219038478789834,
BMP1,-0.04365354697116728,-0.010347071858387385,0.04161565399498187,-0.03614618691942376,0.06731683272611207,-0.04579733541291939,-0.014459408123278821,0.04090628783599658,-0.07188798318822605
NDP,0.002362118050775651,0.03205952510250236,0.01646051511247604,-0.02066938059663855,0.039914826465486664,-0.0323713228621014,0.01724556349006497,-0.029337454808416194,-0.049909037629927544
TNFSF18,,,0.052168813225913865,-0.010336036015386987,,0.024304213749642353,,-0.018788972798261718,
IL36G,,,,,-0.0163101874847858,,,,
RTN4,-0.023232658087273372,0.028778893309084935,-0.009252733546324275,0.029867217032283976,-0.05813649446957308,0.005929243009548781,-0.028355818611747834,-0.02882698814261534,0.050971803631438196
HEBP1,0.006459046722731075,-0.014423680997391653,0.07514523136379261,-0.0006046931110735277,-0.02760680661435912,0.03454174452256815,0.055377505926556235,-0.00457251251222489,0.06425103878064706
WNT7B,-0.022423413322742582,0.006875595830069794,0.007805101091824642,-0.029627285080660298,-0.017926775654611204,,-0.01923956014476253,0.011694953714852463,-0.0009136207663846377
PTMA,-0.02312575122492209,-0.06970153292260185,-0.04910919746041005,-0.015047521873289586,0.06265467122958261,0.10700275232837782,0.0007195166026551386,-0.02700931503940811,-0.003408705701635423
CEACAM1,0.021275059571520198,-0.020246321745751868,0.027848751631540623,-0.01625612225661287,,-0.012161957724228688,0.04293192752900951,0.0500609191570958,-0.01822827673255684
PDAP1,0.02185741323687957,-0.06910746106069887,0.06553568598668862,0.003643530813517017,0.0649482930233226,0.02875887201276123,-0.0395985920164884,0.028718262887173763,0.03592920364956627
QDPR,0.014514411115323799,0.0439175272645811,-0.09249244413517972,0.025561607830013162,-0.07562722217617004,-0.023079568479330025,0.023848653831637846,-0.06648371114551221,-0.024509923670321194
POMC,-0.024112252426344693,0.013424626023792102,-0.04193933469492162,-0.011993118837780311,-0.025497443335269515,0.05503431394175218,0.0344296448493976,-0.017541098217645813,0.021526550653692786
CCL18,,,,,,,0.01439983283371222,,-0.004803298383665156
CCL17,-0.015007679147750908,,,0.07249783983949162,-0.014899819313417523,,-0.028237351858132732,-0.02402074981117869,
VEGFD,-0.016720211864407725,-0.019370534336880935,0.07213512394328778,-0.013734322663189929,-0.015968597855310823,0.10542247000217067,0.06406991299968941,-0.004765472575984769,
TNFSF13,0.0991061515124741,,,,,,-0.0035700633365303032,-0.025759147734410577,0.2013415702253414
WNT5A,0.0077418220745906095,-0.05645250677765114,0.01709235774270281,-0.008106965391664871,0.07708226489810446,0.06540532341205724,0.003123186141848079,0.048661955571707396,-0.011158765793057546
CXCL8,-0.014817810172641483,-0.0778886408408407,0.0264166629967979,0.014683138366682925,0.04366319380114062,-0.01453078147282526,-0.04543112925636974,0.024076629926985827,-0.05100983963112376
GRN,0.009013199984837557,-0.04525341247935482,0.03521724412288768,-0.024177594131505088,-0.00866104073313252,0.0407309292299741,-0.008790621439891488,0.036095129403890036,-0.013447885620563265
MIA,0.04195117637512371,-0.02549078984424331,0.059167868463656126,0.017871738559307026,-0.021869726564728516,-0.005717053601561825,0.13051173619547274,-0.017235408302620773,-0.06861229069045913
COL4A4,0.011552661929332632,-0.0013982189193047358,-0.016406618953617412,-0.01345865427565257,0.010718196799823183,0.0392000900268346,-0.03132002025172353,-0.03700202336618755,0.056686963890064695
TAC1,-0.03626804822473216,0.08088802158864143,-0.023219467537547257,0.014335162387753599,-0.03759643832275776,,,,0.029064812919660146
RARRES2,-0.011481575764290906,-0.05055595578508343,0.03353197654419139,-0.024974433637953805,0.04744341689272664,0.053300545100962285,-0.017128039203457786,0.08618047596757324,-0.04654981722194938
FGF7,-0.026602503744701095,0.06448475314393677,0.015169138554841368,-0.030680723169994668,0.044656707091250906,0.001993711869002796,0.03896749132597114,0.10742448289062076,0.05580141180932947
EFNA2,,,,,,,-0.018591303123790807,,
