,UKF243,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01244341280151039,,,,,,,,-0.019296710577795334,,-0.01595430624544777,
BMP1,0.012777373594117762,0.008847720911044119,-0.019443818946534342,-0.03723638323651821,-0.0026770931373069793,-0.022595244326667995,0.05082451318322413,0.016480252557901923,0.09062447703952246,0.01692589745844931,0.038889403139613005,0.08071264976580075,0.05030868762355837,0.0019086172565730645,0.05352843757391624
NDP,-0.0559784554054044,0.014244067346779903,0.023382457029006782,-0.02688989502094316,-0.006702038577173905,-0.02403040539257902,-0.04719131455964222,0.035151359022088005,-0.04482747408538345,-0.06491685619634648,-0.030409588346534476,0.028037919649673462,-0.005664486955510767,0.015647701496802925,0.02261832583084229
TNFSF18,-0.025051862564738698,,0.054529360948204604,-0.01847809444875391,0.07276827014661773,,,0.05902415042741365,,,,0.030116916794731396,,-0.02691206229889953,0.03670917487895411
RTN4,0.02670580842011646,0.03772569632248887,0.0790062072970626,-0.0014456937245392904,0.05283457995938691,-0.03324969900749912,0.01424596133882188,-0.0758198103180255,0.023996502895194213,8.290066502667568e-05,-0.010550080133508975,-0.01751771284341974,-0.0066271862000699625,0.01242685710532395,0.004574023812507783
HEBP1,0.05497905606823119,0.022889645784736384,-0.07690802261118608,0.01755929312732648,-0.004819736811439641,0.006641752234249343,0.020628802372062105,-0.06796547882962234,-0.008828666359063314,0.0652610512106294,-0.014548002394773595,-0.05012932725154361,-0.023390789459518745,-0.005398605659262841,-0.03518068530795058
WNT7B,-0.058471325706809504,-0.0391909421248973,0.01677671831012604,0.03303021721723413,-0.0003208725345010723,-0.03424030968589528,0.05385664634086586,,-0.033623410819004704,0.03933152035354943,0.04551165902421616,-0.014750455043672,-0.027014746876611602,-0.03405312182581057,0.018942968326738686
PTMA,0.011585363542060622,-0.04085381797594101,-0.09768532631788247,-0.021059550695868096,-0.03149218948046077,-0.005365330218886408,0.031750594000719994,0.015534477627644172,0.004921264460127781,-0.04718145703309596,-0.0461632625322452,-0.025907723151604757,0.038493603501880365,0.032603020542692235,-0.03388758423851737
FASLG,,,,,,,,,,,,,,-0.013837164363786628,
CEACAM1,,-0.018590623017165204,,-0.024316119860993645,0.009255039288765213,,,-0.032791466750278914,-0.0301540133803632,0.14866735030713765,0.08420541248685925,0.007507103111770838,0.04623218267086552,-0.019252381902689276,
PDAP1,0.054077594431228705,-0.003275993801428674,-0.005207995063400266,-0.00010746313147971935,0.014520339374614511,0.031961702255207156,-0.04097044889900253,0.07539126660165807,-0.004551365922975605,-0.02527674629510654,0.09962147231512787,0.0011839998496843242,-0.026663462607365934,-0.016791677376691634,0.06179038233518511
