,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.02020951808600245,,,,,,,,,,0.012581194169930114,
BMP1,0.01657053545912066,0.07547370865256141,0.046751261717813276,0.017772149140391654,0.07019171330160906,-0.07970631794359836,0.029840990024482924,0.12640454309670107,0.27804312749930593,0.09893459479794674,-0.029390425187579387,0.04378825328597966,0.10132592359009693,-0.06922815182903566,0.03500239082069949,0.012081937110537434,-0.06918242034104315,-0.02158826797363128,0.06737105468427756,0.1445163854993584
NDP,-0.05130298961492526,0.11416265287984566,0.0155852422882061,0.007659829937397453,0.043036120546290475,0.044559613210879555,-0.008493198197808745,0.048916501037198246,-0.012394668413703508,-0.0493913529560993,0.0391876142093147,-0.015350616795068698,0.11266405559208316,-0.013171182608172235,0.09652483766206044,0.06289641885523552,0.1932763125668682,-0.02036961060456897,0.17425300936553267,-0.0020466750901589575
TNFSF18,0.10285745922990719,0.01083868322897262,0.0187642358350791,-0.01363131927241763,,,,-0.007089523953458315,0.11671869758640996,0.0372599394645104,,,,0.016008487011658582,,,,,0.05733305376574199,-0.008320596735504815
IL36G,,,,,,,,,,,,,0.01318209883232076,,,,,,,
RTN4,0.0520761786248293,-0.18198345909955785,0.056091647491690724,-0.031711282017153106,-0.0027950993867124434,0.005423325236793126,-0.06892915715363036,-0.2414534727176673,-0.22401854153131118,-0.017579435665392253,-0.08771619791589522,-0.057172405038218986,-0.14013761641375197,0.0036930176422283424,-0.11571518355321009,-0.01703153513550549,-0.10406007790852184,0.01917567360268636,0.026210432842047438,-0.12152661955091722
HEBP1,-0.04660961199903625,0.06375138553648682,0.08518844725643239,0.023858330685790446,0.043906268223905996,0.0029494351414596225,0.050527117691215186,0.10019805419951298,0.13555138342875805,-0.000650796386810058,0.030939645157048785,-0.013137438828195156,0.039589763022243755,0.0006514931565539834,-0.02793145662725509,0.025174140111807606,0.09070900340090383,0.022489932897511167,0.12983262316322308,0.045615581977594424
WNT7B,0.12220077393568182,-0.10905729628411756,-0.02781255234550879,0.09086266721068592,0.10693093335972503,0.08055407694395013,0.044366289860722594,-0.04089353244760368,-0.11497707659827143,-0.022772642721840177,-0.00862707174452168,-0.036809035778628985,-0.020051254379310157,,0.007083554255944696,-0.011406147896945025,0.03235688557123188,0.019313031833216202,0.07375718675461194,-0.055746804850324766
PTMA,0.05752104128131242,-0.12232346682696993,0.011247708054791559,0.152036287215791,0.08843771918625351,-0.004742710513144345,0.029084589451503245,0.27746168268542337,-0.22807511477472173,-0.03744762613448187,0.03923624023927755,0.10630969830140562,0.1276433960803071,-0.08374853950976668,-0.26435825469527563,-0.16572669993842376,0.01855282543516614,0.08221047194007737,-0.08674570886239057,-0.022389019824755368
FASLG,-0.016485133923793856,,,,,,,,,,,,,,,,,,0.003296825365610829,
CEACAM1,-0.02288975272592345,,-0.021777046430742616,-0.047417742930882724,,-0.005732294184022801,-0.00757179370290892,,0.05464048973753194,-0.02399493660956308,,,,0.05467565648331017,0.019161891152902934,0.08196063684667895,0.032896661164673865,0.006628035983350641,0.015933374349038767,
PDAP1,0.04919898512841976,0.02443792913789556,0.043373288812785044,0.07306515755301182,0.049913977417537884,0.013398727835410665,0.008097139637298092,0.10642396744677615,0.19664833186961414,0.03690838456255742,-0.04473782392715973,0.08212894537349151,0.0574913920873989,0.0021513045094346947,0.04946184325957553,-0.059069322442513256,-0.09893638100738393,0.062166370487662145,0.017749919534099084,0.01872325713101968
QDPR,0.02533588389587887,0.0449283875960693,0.005876595918427205,-0.012302689494408658,0.0778294973682959,-0.03264709916863928,-0.01779478630040611,-0.11405260468715128,-0.22144105419595353,-0.055703657257315624,-0.04939391398996137,0.09281706106773455,-0.09206850103094988,-0.03242433338875272,-0.24705919280514313,0.08113807410173143,0.09636658375550732,-0.023626312849970115,0.08954097077327232,-0.10088593128318285
POMC,0.009451987249915313,-0.04270513070740582,-0.003313365005802645,0.05752769858306636,,0.03415250217067649,-0.07150217239430386,0.010561060920740786,0.005903621538412892,0.022533955136381092,-0.04725825331922537,-0.028996323140812404,-0.06814485384353355,0.05878129873347948,0.022629029903778918,0.06393514308119219,0.06357197786082097,-0.004306104719094547,0.09176742772757276,0.05228301840392782
CCL18,,-0.023768542641741375,-0.04966626953392717,,,,,,,,,0.11461060703878354,,,-0.08063484865107243,0.06053881607299467,0.05795253367450995,-0.04200746959071036,,
CCL17,,,,,,-0.012287277516322522,,,,-0.04252062796370772,0.0208272044188733,,0.015479786653492141,,,0.0009736919281325958,-0.004911437539026179,,-0.03985463753599263,
VEGFD,,-0.007036239947096017,-0.015509694921985949,-0.0002284853113314164,,0.055045168938884066,-0.022562842068264137,,0.020869613941850843,-0.007437862400156831,-0.025983066774588455,0.07199120566258854,0.003037587263836096,0.07940497317226297,,,0.0779708443715795,,,
TNFSF13,,,0.027236410267086973,,,-0.010375559065932578,,0.044619991408637365,,,,,,,,0.03432851052106245,0.08746695502859067,-0.0041422898407403735,-0.023264475840057728,-0.004141987314361573
WNT5A,0.050505544458562895,0.12868537878144692,0.05998596900694023,0.05168646295656054,0.12046205126893693,-0.07140834958107328,0.08462721528393646,0.20641686080317848,0.20867593419658015,0.09067521700964945,0.07083746876263397,0.0388818610842708,0.05151306549284264,-0.04837823040703753,0.15701877376502432,0.09124681584375009,0.006319505242649059,0.006989974587336369,-0.00544424102962708,-0.03294078893840759
CXCL8,,-0.07546310358973406,-0.04126811323840134,0.045019729359482466,-0.11914453075200336,0.002255960488560516,-0.012644445635121432,0.020684171742512265,0.11252210163623023,-0.026832780209847182,-0.02341483754213466,-0.0015304057380162838,0.06505862524801083,-0.010756641056611988,0.06521203561985174,-0.04379746169227162,-0.1920870048143769,-0.007015730581884006,0.008628904805587435,-0.021248634353554112
GRN,-0.06881045296436648,0.02374593957915739,0.03368051786195702,0.024788793272518757,0.07163397229755988,-0.007604790376500402,0.034276012024735965,0.07314523843618077,0.1621468112667489,-0.040801973922623545,0.0074079992398911505,0.0427114389815691,-0.010709064506941889,0.024263180500755814,-0.01500539770841891,-0.011087769937342435,-0.019667934889740526,-0.056628081496117255,-0.05823166754743657,0.05566807911507809
MIA,0.020659946107886438,0.03089044855468435,0.00684863605621667,0.0030762301769324493,0.007166336319888002,0.009791069965536229,0.002247486440596287,0.051979061630925194,0.18603432728344288,0.029470361158600567,0.027915735516145884,-0.06086122585048134,0.0496141174634666,-0.0261634567516495,0.07008102457942976,0.2004255129453949,0.3132344251285002,-0.006923486667562413,0.23832597566035593,0.14584733016800583
COL4A4,-0.0190917937866223,0.15243717491147926,0.07395093520542517,-0.05569457679113878,0.0048099094413978985,0.05336683955349546,0.05928913104859812,0.0749031325210352,-0.03693305253533411,-0.009809689771297312,0.013935169189018019,,0.08837186136584357,0.0021369279620523374,0.08082431643964533,0.08323343224068858,0.08015311271002314,-0.0029063148355057103,-0.015268274580461243,-0.01381394290570026
TAC1,-0.01648512495491079,-0.1269560054965015,0.08103588221014467,-0.008682151821384885,0.14498848639857703,0.08097105666931147,-0.07131434931904453,-0.17310617216392063,-0.17877913460920977,0.0021077659454164623,-0.007826571380602033,,-0.12330224253414898,,,,,-0.004973386740110308,-0.00910894580806409,-0.052165141027753124
