,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05890330375066484,,,,,,,0.028600720262310402,0.11606537901814745,,
BMP1,-0.06425142829866443,0.08362864206219285,0.018162207034404052,0.10184627707730227,0.02743039646373484,-0.06307195979938802,-0.07942724321139216,-0.37433459284840126,-0.0519896570216655,-0.009424870097695492,-0.08272283085069565,-0.05647500690825151,0.04021880802534352,0.08124662925432147,0.0644491897367677,-0.018234967986613084,0.1439724648929473,0.033054913584596245
NDP,-0.05295780009451164,0.08046495921677232,-0.016945137315778836,0.07026672225556833,0.01359098052009344,0.17281873317951224,0.03372661558801685,-0.11374670357933132,0.06502508162219033,0.0105323802774274,-0.09256472651251575,0.001957629710057272,0.16314628019904642,0.08409338938957905,0.02040669395163492,0.1718251810507103,0.013780411001979714,-0.06983893509731286
TNFSF18,-0.017804787766143255,0.013030718456040407,-0.03948368724189064,,,,-0.04268815539146264,-0.08746963774410123,-0.022831603216051814,,,,-0.0720346778435482,,-0.020957891820789255,-0.029893241108085753,0.004312648196901605,
IL36G,,,,,,,,,,,,-0.010700672521361226,,,,,,
RTN4,0.27588217142493365,0.11152310860669452,-0.007449882051464419,0.07471828429064817,0.03474615202210908,0.19602775712141735,0.35852925868254554,0.48105347288964584,0.20142449665645706,0.13868106567511354,0.3245764007087125,0.12890765945998767,0.09766486038893554,0.023186839151199762,-0.013290740893445516,0.1136815930205926,-0.17076256495522582,0.01281959681527189
HEBP1,-0.08388889840690492,0.0018281922004932606,0.060488262899546646,-0.01118234589411037,-0.026122810773628817,-0.053745800095529754,-0.14059149998508788,-0.10671244170393741,-0.018625355265466395,-0.10112010140660034,-0.22748382664309572,0.042890255102718086,0.03342839256169847,-0.016440243145698176,0.009377487267485883,0.07768560387892166,0.09179697927212468,-0.07262004902078538
WNT7B,0.28956271288901586,-0.009659784294672506,-0.02452604256945616,0.011833287726057247,-0.0005964323502324738,0.06171411188670396,0.1403807081116661,0.40468913093439435,0.023027356946785208,0.08201279474624361,,0.05450979997777369,0.1212612851088906,-0.012932508380116147,-0.021192367203762524,0.08887320319701683,0.009340552567505152,0.1578719109656052
PTMA,-0.06831513740109177,0.053667277872800914,-0.020741892544584285,0.17209305010506065,0.041323744138972815,-0.16502593839557278,-0.40315352681931366,0.09942878632147344,0.08710640079579206,-0.12604301371934473,-0.4350938660899056,-0.1805783595954939,0.03607463183749719,-0.12145312501930881,-0.053496940158198426,-0.1847985974349128,0.032372395608938495,-0.32036710302374455
FASLG,,,,,,,,,,,,,,,,-0.015221030441016681,,
CEACAM1,,0.09620957681483766,0.05197189465993792,,0.04127896293229531,0.0380473018263838,,-0.09472010455138907,-0.05802299097013348,,,,,0.013517998803054177,0.0033561716436533696,0.003109070637728059,,
PDAP1,-0.015281592301846385,-0.010026812544655676,-0.05769690787750872,0.011010678753023423,0.018455146016558,-0.10177212109143144,-0.10304303367921147,-0.24361405634246988,0.015150349418207056,-0.050746296000850996,0.011555616596385758,-0.03056295284330746,0.01194200652634112,-0.11167255307859873,0.06210591050669987,0.05934954329654616,0.15480930769223572,0.11543564793106081
QDPR,0.14900609447701413,-0.030459761254292422,-0.03195871747393271,0.06004098020129446,0.03331727849270929,0.22367007636769204,0.03397172723066648,0.0845421315896619,0.06182434933426639,0.02340275225346424,-0.3748643052395883,0.011017049442328446,0.11322071114856454,0.03803197611794518,-0.06957936458562068,0.15404336760796292,-0.1153188369744853,-0.0494465762638988
POMC,0.1549300313297055,0.04869116938154137,-0.012329894900642605,,0.03095458490565511,0.1561806415950907,0.03532006386604712,-0.01658428713860515,-0.006127316664566728,-0.025829732489582456,-0.0851438416222182,0.08527248992330495,0.045587247394375696,-0.1126212969582739,0.053203924957456246,0.03718667448170926,-0.06236687220751138,0.031959576317054234
CCL18,0.064132476214729,-0.046240629489354174,,,,,,,,,-0.11752246940222459,,,0.12102454973760607,,,,
CCL17,,,,,0.004675854951601144,,,,-0.01520217039871349,0.018652291470234644,,0.03221525014378816,,,0.010491607573226248,-0.028061561104706517,,
VEGFD,0.06937215085891321,0.04594588275343969,0.021943365523034622,,-0.012356009553464031,0.04046747306485502,,-0.08246151762998265,0.03101070907661983,0.0031628473894130715,-0.03509031008808786,-0.001971140162971622,,0.000758363558274926,-0.028258981228927244,,,
TNFSF13,,0.0259036616422873,,,-0.023010883043655384,,0.023215628683662243,,,,,,,,-0.011319772737511936,-0.03516701422427911,0.013844598167702152,
WNT5A,-0.08659962722610882,-0.006566822885806763,-0.05923756928941927,0.1130400470773112,-0.04173853802721988,-0.16208012628487614,-0.2003214659457791,-0.2758524339181852,-0.02689378136110718,-0.0008001917745031776,0.050667740250364704,-0.002525066953838638,0.15402733305152852,0.00790524210697618,0.047056845018354165,0.05400708428100223,0.10002772393557863,-0.013671412795647946
CXCL8,-0.13822110605404436,-0.0357223357273928,-0.025242917158105584,-0.14989422556323448,0.07611878048112056,-0.12299159168628847,-0.011611351767641444,-0.14365571942498942,-0.12615089590824988,-0.02702383015709003,-0.13011878390495196,-0.06872627607828495,,-0.18181716227510825,-0.011464227215755355,-0.04712686747475308,-0.003927084199939982,-0.0350969854101496
GRN,-0.10623355186928407,0.06793088996222953,-0.04384758804490818,0.08925357531488914,-0.005271855534126581,-0.06759231879787757,-0.22113894701759523,-0.3757865899287914,0.025972080977441657,-0.08595573630034059,-0.2549627359412058,0.03577518671601136,0.1208167548675577,0.07319523918937983,0.0332329208577136,-0.13638891875462414,-0.0662449617435274,-0.17415616246373852
MIA,-0.0299996709110704,0.013266364233059455,0.0026355084626563468,-0.010848125745786509,-0.053150307373902354,-0.047173123544695154,-0.05730603776668465,-0.1345653385124957,-0.03405714910191092,-0.03300309344484549,,-0.011132190376545729,0.15465602738347245,-0.0765289780771852,0.03809177133901387,0.26667227897931794,0.12630081882064279,
COL4A4,0.03532171316424725,-0.050898048086816874,-0.040319736343106864,-0.0570245351882542,0.010404499646404976,-0.1233479201978539,-0.05103950864645022,0.002723963091169762,0.036711786930203764,0.0011939416348710412,,0.06272228464434772,,,-0.017254541267751985,-0.07908781586201612,0.05072347747358778,
TAC1,0.31242346659498593,0.08634798809385383,0.07173855709637424,0.24879890891538833,0.04940538860349084,0.2790301507006288,0.2978224727819548,0.46335594352551057,0.2359703691590347,0.07070800771145042,0.32137408508129517,0.18376089779474794,,,,0.02369326375170143,-0.0898524364524913,0.21113095058927173
RARRES2,0.04711431364281625,-0.033471642764223285,-0.0555767758258735,-0.07623699187726714,-0.018915181450183404,-0.23541217546328644,-0.22158154877954148,-0.4362779949012003,0.0844774338776991,0.018391068801961473,-0.08379443712393907,-0.09137504620868617,-0.045934778565060216,0.1275197659978214,-0.04031011514606126,0.06586467266200212,0.0009481661478933757,0.11761525524469671
FGF7,-0.04907217513137494,,0.04517037383270064,0.005821701896091833,0.0008953143835873181,0.16430191529007823,-0.0050139337777294745,-0.07548500993579747,0.0004979918748626683,-0.05478077931228968,-0.005584026164993806,-0.023555957908771217,0.03122269477937285,-0.037778320992311286,-0.06756558191882543,0.18656809127795607,0.07683568010207671,-0.06495809813191028
