,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.014860836447916788,,,,,,,,,0.03504059208727123,
BMP1,-0.013295482784535106,-0.07497498089174962,0.019600678357738044,-0.010540779759970767,-0.008362850189286956,-0.038923210603733174,-0.01713029181938125,0.15291577250792518,0.024423923844535858,0.01424610803707025,-0.05154922898588138,-0.003465304906575647,0.11808359935270521,0.025940979406029786,0.044574929805613075,0.019562273934658623,-0.007262645716221615,0.007065399965487547,0.019286943777079627
NDP,0.0020344256443135408,-0.09608962417650532,-0.03419190290092081,-0.0033944157461480544,-0.015967824491624313,-0.018649073884512684,0.028451805991283025,0.008070872089231934,0.04325793190216247,0.057907752079400916,0.05037764218259174,0.016426386054691614,0.18757795457565873,-0.033247777564099315,0.03988999102167778,0.025420869361696286,0.06232244642997856,0.07219018152196614,0.041236948228797726
TNFSF18,0.12383678744355149,-0.030822755113086218,0.05265408207996053,-0.00726443781341808,,,,0.0706074615799253,-0.02206789599062083,-0.01534784688031652,,,,-0.05346309410974756,,,,0.022090786404170285,-0.02430872834009309
RTN4,0.04158381653311635,0.038849484600729296,-0.0010362355542855998,0.009531978386130983,0.04403245201664396,-0.040681415950689484,-0.0019133027724477952,-0.16816349288890056,-0.02298656905782741,-0.054333939069680245,0.05921409230031021,-0.010842182594883319,-0.00873647174095169,0.03487290579392275,-0.015920301254881714,-0.0023528187503592465,-0.01236822599685417,0.012431003285168973,0.05975999978647057
HEBP1,0.0293215754436201,0.030735235488370347,0.017494986196247862,-0.025082939473679452,-0.018368931969931668,-0.03745829059302858,-0.02603798939734612,0.05346028300415158,-0.019316650346983554,0.004884411829150383,0.029858578674905285,-0.016818635083882327,0.0003614188086117815,0.03260827398199656,-0.07893573612852323,0.043828231085425336,0.0849242281924722,0.05482626650853398,-0.035244318353754536
WNT7B,0.03723419067273576,0.10191879041831389,-0.02549057487665531,-0.018628562632144897,-0.03865441621092038,-8.73419754665593e-06,0.008319503121228117,0.018845282157813593,-0.015574946630673063,0.0278713821937018,0.025030257981862265,,0.007496015789621603,,0.009676145030368203,-0.03487035593894774,0.05377287249109377,0.11493144599511185,0.08018650240152249
PTMA,0.04044738731265647,-0.03343525941399418,0.006756217516814056,0.0061133811610148275,0.07655498351058973,-0.024244377318217714,-0.0274637364431005,0.18796525247843676,0.022564463818756285,-0.04334386410876041,-0.021389427853457533,-0.031669531669426335,0.0880598161686455,0.036584036101024855,-0.018818620352948214,-0.08292371541310366,0.06911565698816434,-0.06570090397543663,-0.01834066916431852
FASLG,0.11958791714831123,,,,,,,,,,,,,,,,,-0.023544804552884973,
CEACAM1,-0.023583905580269862,,-0.024684097517819272,-0.014296301387575148,,0.007876473135958552,-0.016595313271360226,,-0.02904009423028269,0.06735548957348951,,,,-0.0375936286146038,-0.01793026264372632,0.03102866015317378,-0.01351765766452986,0.007195311747623901,
PDAP1,-0.009025414129995787,-0.014900151713168042,0.07138325307750919,-0.030827750468351588,0.047724783139805896,0.01787895330079675,0.03346565531844959,0.051807411786989936,0.0038076437394891764,0.01743853269254207,0.003138646034250863,0.07365904428268504,0.13855027785033366,-0.11614678086957156,0.022960263573948078,0.03928270085486275,0.004349470609794856,-0.025164154098771825,-0.002239031316927676
