,MGH258,UKF243,UKF251,UKF260,UKF266,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,0.07525357990701463,,,0.005447727153715778,,
BMP1,0.014748749144308907,0.03988627929934314,0.028257214469759095,-0.048909854841480686,-0.0018760805800930585,-0.0023281958748391815,0.10174406102599223,0.027799066005009396,0.014172246883019901,-0.043127448784439554,0.04632765546146412,0.0779288465217912,0.09282221961003173,0.015354154320426324,-0.05006004096531072,0.15587484548627825,0.14800881920463455,0.054735225765700626
NDP,-0.05524921633410917,0.02798566616203132,0.022062991366771586,0.05343868611631216,-0.007395745704831039,0.011544227080302817,0.00899105105812084,0.015269324434618571,0.019035345627177788,-0.14928485695194527,0.00026152548823738794,0.015834001392506673,0.06945069089810603,-0.050369795329395006,-0.014635867238867355,0.05620671599427003,-0.02654138841412631,0.041687168739652655
TNFSF18,0.1208059815392008,-0.023606113350724763,0.02074132586651613,,-0.012024546231235793,-0.016604479951661418,,0.2359885281713926,,,,,0.07141435437285613,,0.07361857918772635,0.03384975094554049,-0.015723431832467136,
RTN4,-0.018299364978890818,0.0621017749766501,-0.008903623219391444,0.04180793572209811,0.002268190521576724,-0.009981602027818936,-0.05281339177050788,-0.12080224390733045,-0.053339091203779554,0.1260092524515771,0.005184558887192016,-0.06993704772548712,-0.0573730095067759,0.04813504984519463,-0.06528199324255152,-0.03531099195438508,0.007777246711162628,0.01621084217083879
HEBP1,-0.006557034036776844,0.09811161271547733,-0.024942252362199418,0.0011994494462699303,-0.017484708105957696,-0.024274660072410133,0.003104863501726104,0.012953075983854973,0.07353950864986945,-0.03026365774847735,-0.04612455946543764,-0.011409151164374527,0.08698949501159653,-0.0030268572171810826,0.002927394455540789,0.11677480670363188,0.02786597316770953,0.01987774367929864
WNT7B,-0.01722990889642852,-0.010672496202578824,0.019435273946157135,0.015989454852108828,-0.020735635396138048,-0.01579609672505559,,-0.02780627494091156,0.019016442728681686,-0.03362338482939846,-0.048057527190923786,0.0024659789168343022,-0.053170173146948614,0.01252188165720593,-0.03819608670489662,-0.02622982449857824,0.0750850265723779,-0.03015052119077708
PTMA,-0.06963699447515392,-0.0015963587633427928,0.016961884611512348,0.00929004338892293,0.039248980895144184,0.018266336445976077,0.07743085663104249,0.01460438515094339,0.09718965598171125,0.11397172514841153,-0.05338144193327173,-0.07926609521630638,-0.09429374782860878,0.0033193869475084035,0.06358103822555256,0.02943411323184251,0.12524434779643234,0.0749714726726876
FASLG,0.17069760599018827,,,,,,,,,,,,,,,0.023551690078296595,,
CEACAM1,-0.004131265237828886,,0.08570365522586258,0.08377306966141018,,-0.02611489121166527,,,0.10515718565119438,0.131762284144723,-0.026929002772032636,-0.024239173179029322,0.00868779801753493,-0.034190613829791903,,0.048897273656345615,,
PDAP1,-0.026613904812458563,-0.04915507952364696,-0.022792599924768727,-0.033284273948428734,0.027482861936126146,0.00867053772160497,0.026551395901582866,0.10376933409860181,0.11495911444691466,-0.09453706896348271,-0.025344296112699376,-0.02698801281849507,-0.025843915312575978,0.07689906319147405,0.06937199754926617,0.021078729574914624,-0.04470808579954928,0.03653743784613051
QDPR,-0.009513116182839683,0.04544810013809603,0.04942854996891721,0.008269179886928478,0.04109680099608138,-0.002909259519650677,0.03169501365894916,-0.007276985526568138,-0.0326805194177204,0.01916438474946935,-0.03374818954180146,0.011646741096042242,-0.04649123762612963,-0.0664288739931742,0.06692327887142144,0.03362077064987201,-0.10944401558007857,0.0447216128537884
POMC,-0.047723576876489406,-0.04457228155220535,-0.023491916634798785,-0.042005282005710104,-0.031723178193684906,-0.019266525484563157,0.029900471120946126,-0.00026723271307764154,0.010304383935492297,-0.04778058132238842,0.014416979405800185,0.12122412085957672,-0.015905250904832764,0.05935714609268264,,0.10838765887961019,0.04771590647242248,-0.016268554038903683
CCL18,,0.14315588115234124,,,,,0.057674345480229754,,-0.03926703775128653,0.07820820237026693,0.1605802230142765,0.0850392397816438,,-0.006377693867463478,,,,
CCL17,,,,,,0.006242628808176448,,,,,-0.019104824066385327,0.015004180039009725,-0.03854444645970677,,,0.06272656315963657,,
